file,field_path,role,value
data/curated/papers.csv,[107].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[107].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[107].venue_track,source_paper_track,workshops
data/curated/papers.csv,[107].raw_venue,provenance,2026 ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec)
data/curated/papers.csv,[108].venue_track,source_paper_track,workshops
data/curated/papers.csv,[108].raw_venue,provenance,2026 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/curated/papers.csv,[109].venue_track,source_paper_track,workshops
data/curated/papers.csv,[109].raw_venue,provenance,2026 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/curated/papers.csv,[110].venue_track,source_paper_track,workshops
data/curated/papers.csv,[110].raw_venue,provenance,2026 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/curated/papers.csv,[118].venue_track,source_paper_track,workshops
data/curated/papers.csv,[118].raw_venue,provenance,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/curated/papers.csv,[128].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[128].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[128].venue_track,source_paper_track,workshops
data/curated/papers.csv,[128].raw_venue,provenance,Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation (MAD)
data/curated/papers.csv,[129].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[129].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[129].venue_track,source_paper_track,workshops
data/curated/papers.csv,[129].raw_venue,provenance,Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation (MAD)
data/curated/papers.csv,[131].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[131].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/papers.csv,[131].venue_track,source_paper_track,workshops
data/curated/papers.csv,[131].raw_venue,provenance,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec)
data/curated/papers.csv,[183].venue_track,source_paper_track,workshops
data/curated/papers.csv,[183].raw_venue,provenance,2026 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) Workshop
data/curated/papers.csv,[195].venue_id,canonical_id,venue:siggraph:posters
data/curated/papers.csv,[224].venue_track,source_paper_track,workshops
data/curated/papers.csv,[230].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[230].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[230].venue_track,source_paper_track,workshops
data/curated/papers.csv,[230].raw_venue,provenance,3rd ACM International Workshop on Multimedia AI against Disinformation
data/curated/papers.csv,[241].venue_track,source_paper_track,Workshop
data/curated/papers.csv,[241].raw_venue,provenance,2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/curated/papers.csv,[247].venue_track,source_paper_track,workshops
data/curated/papers.csv,[251].venue_track,source_paper_track,workshops
data/curated/papers.csv,[258].venue_track,source_paper_track,workshops
data/curated/papers.csv,[259].venue_track,source_paper_track,workshops
data/curated/papers.csv,[278].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/curated/papers.csv,[278].venue_id,canonical_id,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes
data/curated/papers.csv,[278].venue_name,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/curated/papers.csv,[278].raw_venue,provenance,Proceedings of the 4th Workshop on Security Implications of Deepfakes and Cheapfakes
data/curated/papers.csv,[289].venue_track,source_paper_track,workshops
data/curated/papers.csv,[296].venue_track,source_paper_track,workshops
data/curated/papers.csv,[320].venue,canonical_venue,IEEE European Symposium on Security and Privacy Workshops
data/curated/papers.csv,[320].raw_venue,provenance,IEEE European Symposium on Security and Privacy Workshops
data/curated/papers.csv,[321].venue_track,source_paper_track,workshops
data/curated/papers.csv,[323].venue_track,source_paper_track,workshops
data/curated/papers.csv,[344].venue_track,source_paper_track,Workshop
data/curated/papers.csv,[344].raw_venue,provenance,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops; SAFE (Synthetic & Adversarial ForEnsics)
data/curated/papers.csv,[345].venue_track,source_paper_track,Workshop
data/curated/papers.csv,[345].raw_venue,provenance,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops; NTIRE (New Trends in Image Restoration and Enhancement)
data/curated/venue_aliases.csv,[2].alias,source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/curated/venue_aliases.csv,[2].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[3].alias,source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops
data/curated/venue_aliases.csv,[3].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[4].alias,source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/curated/venue_aliases.csv,[4].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[8].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) Workshops
data/curated/venue_aliases.csv,[8].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[9].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) Workshop
data/curated/venue_aliases.csv,[9].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[10].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)
data/curated/venue_aliases.csv,[10].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[11].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision Workshop (WACVW)
data/curated/venue_aliases.csv,[11].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[12].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACVW) Workshops
data/curated/venue_aliases.csv,[12].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[13].alias,source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACVW) Workshop
data/curated/venue_aliases.csv,[13].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[25].venue_id,canonical_id,venue:lncs
data/curated/venue_aliases.csv,[25].venue_acronym,canonical_acronym,LNCS
data/curated/venue_aliases.csv,[28].alias,source_alias,ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec)
data/curated/venue_aliases.csv,[28].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/venue_aliases.csv,[28].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[29].alias,source_alias,ACM Workshop on Information Hiding and Multimedia Security
data/curated/venue_aliases.csv,[29].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/curated/venue_aliases.csv,[29].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[32].alias,source_alias,IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/curated/venue_aliases.csv,[32].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[47].alias,source_alias,IEEE International Workshop on Information Forensics and Security (WIFS)
data/curated/venue_aliases.csv,[47].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/venue_aliases.csv,[47].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[48].alias,source_alias,IEEE International Workshop on Information Forensics and Security
data/curated/venue_aliases.csv,[48].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/curated/venue_aliases.csv,[48].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[51].alias,source_alias,ACM International Workshop on Multimedia AI against Disinformation (MAD)
data/curated/venue_aliases.csv,[51].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/venue_aliases.csv,[51].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[52].alias,source_alias,ACM International Workshop on Multimedia AI against Disinformation
data/curated/venue_aliases.csv,[52].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/curated/venue_aliases.csv,[52].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[73].alias,source_alias,European Conference on Computer Vision (ECCV) Workshops
data/curated/venue_aliases.csv,[73].venue_track,source_paper_track,workshops
data/curated/venue_aliases.csv,[109].venue_id,canonical_id,venue:siggraph:posters
data/curated/venue_aliases.csv,[110].venue_id,canonical_id,venue:siggraph:posters
data/curated/venue_aliases.csv,[131].alias,source_alias,Workshop on Security Implications of Deepfakes and Cheapfakes
data/curated/venue_aliases.csv,[131].venue_id,canonical_id,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes
data/curated/venue_aliases.csv,[131].venue_name,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/missing_author_mappings_report.csv,[33].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/missing_author_mappings_report.csv,[40].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/manual/missing_author_mappings_report.csv,[44].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/missing_author_mappings_report.csv,[128].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/manual/missing_author_mappings_report.csv,[133].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[161].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[166].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[171].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[187].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[217].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[220].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[241].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[257].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/manual/missing_author_mappings_report.csv,[258].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/manual/missing_author_mappings_report.csv,[337].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[382].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/manual/missing_author_mappings_report.csv,[387].venue,canonical_venue,IEEE Annual Computing and Communication Workshop and Conference
data/manual/missing_author_mappings_report.csv,[452].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[480].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[492].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/missing_author_mappings_report.csv,[562].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/manual/paper_arxiv_links.csv,[3].venue,canonical_venue,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[95].venue,canonical_venue,3rd ACM International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[102].venue,canonical_venue,Proceedings of the 2024 ACM Workshop on Information Hiding and Multimedia Security
data/manual/paper_arxiv_links.csv,[124].venue,canonical_venue,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/manual/paper_arxiv_links.csv,[126].venue,canonical_venue,2024 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[127].venue,canonical_venue,2023 IEEE International Conference on Data Mining Workshops (ICDMW)
data/manual/paper_arxiv_links.csv,[159].venue,canonical_venue,Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[193].venue,canonical_venue,Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[206].venue,canonical_venue,Proceedings of the Fifth International Workshop on Natural Language Processing for Social Media
data/manual/paper_arxiv_links.csv,[207].venue,canonical_venue,Proceedings of the 4th Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/paper_arxiv_links.csv,[243].venue,canonical_venue,2018 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[247].venue,canonical_venue,Proceedings of the 2nd ACM International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[436].venue,canonical_venue,2019 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[453].venue,canonical_venue,3rd ACM International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[525].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[588].venue,canonical_venue,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[702].venue,canonical_venue,Proceedings of the Workshop on Linking Natural Language Processing and Biology Towards Deeper Biological Literature Analysis - BioNLP '06
data/manual/paper_arxiv_links.csv,[786].venue,canonical_venue,2020 8th International Workshop on Biometrics and Forensics (IWBF)
data/manual/paper_arxiv_links.csv,[878].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[999].venue,canonical_venue,Proceedings of the 1st International Workshop on Multimedia AI against Disinformation
data/manual/paper_arxiv_links.csv,[1046].venue,canonical_venue,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[1059].venue,canonical_venue,2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/manual/paper_arxiv_links.csv,[1066].venue,canonical_venue,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[1074].venue,canonical_venue,Proceedings of the 1st Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/paper_arxiv_links.csv,[1182].venue,canonical_venue,2015 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[1258].venue,canonical_venue,Proceedings of the 9th workshop on Multimedia &amp; security - MM&amp;Sec '07
data/manual/paper_arxiv_links.csv,[1318].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[1374].venue,canonical_venue,2017 IEEE Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[1512].venue,canonical_venue,Proceedings of the Fourth Workshop on Vision and Language
data/manual/paper_arxiv_links.csv,[1683].venue,canonical_venue,2020 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[1695].venue,canonical_venue,2018 IEEE Security and Privacy Workshops (SPW)
data/manual/paper_arxiv_links.csv,[1800].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[2106].venue,canonical_venue,Proceedings of the Workshop on Human-In-the-Loop Data Analytics
data/manual/paper_arxiv_links.csv,[2285].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_arxiv_links.csv,[2286].venue,canonical_venue,2019 IEEE International Workshop on Information Forensics and Security (WIFS)
data/manual/paper_arxiv_links.csv,[2294].venue,canonical_venue,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/manual/paper_arxiv_links.csv,[2329].venue,canonical_venue,2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC)
data/manual/paper_arxiv_links.csv,[2331].venue,canonical_venue,Proceedings of the 4th Workshop on Security Implications of Deepfakes and Cheapfakes
data/manual/paper_arxiv_links.csv,[2332].venue,canonical_venue,Proceedings of the ACM Workshop on Information Hiding and Multimedia Security
data/manual/paper_arxiv_links.csv,[2334].venue,canonical_venue,2025 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)
data/manual/paper_preview_without_map_location.csv,[94].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_preview_without_map_location.csv,[104].venue,canonical_venue,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/manual/paper_preview_without_map_location.csv,[124].venue,canonical_venue,Proceedings of the 1st International Workshop on Multimedia AI against Disinformation
data/manual/paper_preview_without_map_location.csv,[152].venue,canonical_venue,2020 IEEE International Workshop on Information Forensics and Security (WIFS)
data/processed/author_affiliation_review.csv,[38].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/processed/author_affiliation_review.csv,[45].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/author_affiliation_review.csv,[49].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/processed/author_affiliation_review.csv,[135].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/author_affiliation_review.csv,[140].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[168].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[178].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[195].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[224].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[227].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[245].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[259].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/author_affiliation_review.csv,[260].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/author_affiliation_review.csv,[326].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[362].venue,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[366].venue,canonical_venue,IEEE 16th Annual Computing and Communication Workshop and Conference
data/processed/author_affiliation_review.csv,[377].venue,canonical_venue,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference
data/processed/author_affiliation_review.csv,[424].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[452].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[463].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/author_affiliation_review.csv,[486].venue,canonical_venue,2023 IEEE International Conference on Data Mining Workshops (ICDMW)
data/processed/author_affiliation_review.csv,[505].venue,canonical_venue,Proceedings of the 1st International Workshop on Multimedia AI against Disinformation
data/processed/author_affiliation_review.csv,[531].venue,canonical_venue,2020 IEEE Security and Privacy Workshops (SPW)
data/processed/author_affiliation_review.csv,[532].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/canonical_venues.json,[0].aliases[2],source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops
data/processed/canonical_venues.json,[0].aliases[3],source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops
data/processed/canonical_venues.json,[0].aliases[4],source_alias,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/processed/canonical_venues.json,[0].aliases[6],source_alias,CVPRW
data/processed/canonical_venues.json,[0].aliases[9],source_alias,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
data/processed/canonical_venues.json,[1].aliases[2],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) Workshops
data/processed/canonical_venues.json,[1].aliases[3],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) Workshop
data/processed/canonical_venues.json,[1].aliases[4],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW)
data/processed/canonical_venues.json,[1].aliases[5],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision Workshop (WACVW)
data/processed/canonical_venues.json,[1].aliases[6],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACVW) Workshops
data/processed/canonical_venues.json,[1].aliases[7],source_alias,IEEE/CVF Winter Conference on Applications of Computer Vision (WACVW) Workshop
data/processed/canonical_venues.json,[1].aliases[8],source_alias,WACVW
data/processed/canonical_venues.json,[8].venue_id,canonical_id,venue:lncs
data/processed/canonical_venues.json,[8].venue_acronym,canonical_acronym,LNCS
data/processed/canonical_venues.json,[10].venue_name,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/canonical_venues.json,[10].aliases[0],source_alias,ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec)
data/processed/canonical_venues.json,[10].aliases[1],source_alias,ACM Workshop on Information Hiding and Multimedia Security
data/processed/canonical_venues.json,[11].aliases[2],source_alias,IEEE/CVF International Conference on Computer Vision Workshops (ICCVW)
data/processed/canonical_venues.json,[11].aliases[3],source_alias,ICCVW
data/processed/canonical_venues.json,[11].aliases[4],source_alias,ICCV Workshops
data/processed/canonical_venues.json,[14].venue_name,canonical_venue,IEEE International Workshop on Information Forensics and Security
data/processed/canonical_venues.json,[14].aliases[0],source_alias,IEEE International Workshop on Information Forensics and Security (WIFS)
data/processed/canonical_venues.json,[14].aliases[1],source_alias,IEEE International Workshop on Information Forensics and Security
data/processed/canonical_venues.json,[14].aliases[3],source_alias,2020 IEEE International Workshop on Information Forensics and Security (WIFS)
data/processed/canonical_venues.json,[14].aliases[4],source_alias,2024 IEEE International Workshop on Information Forensics and Security (WIFS)
data/processed/canonical_venues.json,[14].aliases[5],source_alias,2019 IEEE International Workshop on Information Forensics and Security (WIFS)
data/processed/canonical_venues.json,[16].aliases[3],source_alias,"Proceedings of the 1st on Deepfake Forensics Workshop: Detection, Attribution, Recognition, and Adversarial Challenges in the Era of AI-Generated Media"
data/processed/canonical_venues.json,[17].venue_name,canonical_venue,ACM International Workshop on Multimedia AI against Disinformation
data/processed/canonical_venues.json,[17].aliases[0],source_alias,ACM International Workshop on Multimedia AI against Disinformation (MAD)
data/processed/canonical_venues.json,[17].aliases[1],source_alias,ACM International Workshop on Multimedia AI against Disinformation
data/processed/canonical_venues.json,[17].aliases[2],source_alias,Proceedings of the 1st International Workshop on Multimedia AI against Disinformation
data/processed/canonical_venues.json,[26].aliases[2],source_alias,European Conference on Computer Vision (ECCV) Workshops
data/processed/canonical_venues.json,[26].aliases[3],source_alias,Computer Vision – ECCV 2024 Workshops
data/processed/canonical_venues.json,[66].venue_id,canonical_id,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes
data/processed/canonical_venues.json,[66].venue_name,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/processed/canonical_venues.json,[66].aliases[0],source_alias,Workshop on Security Implications of Deepfakes and Cheapfakes
data/processed/canonical_venues.json,[92].aliases[2],source_alias,2020 IEEE Security and Privacy Workshops (SPW)
data/processed/canonical_venues.json,[92].aliases[3],source_alias,SPW
data/processed/canonical_venues.json,[92].aliases[6],source_alias,IEEE Security and Privacy Workshops
data/processed/canonical_venues.json,[93].aliases[1],source_alias,IEEE European Symposium on Security and Privacy Workshops
data/processed/canonical_venues.json,[93].aliases[2],source_alias,2026 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW)
data/processed/canonical_venues.json,[93].aliases[3],source_alias,EuroS&PW
data/processed/canonical_venues.json,[94].aliases[1],source_alias,2023 IEEE International Conference on Data Mining Workshops (ICDMW)
data/processed/canonical_venues.json,[94].aliases[2],source_alias,ICDMW
data/processed/canonical_venues.json,[95].venue_id,canonical_id,venue:ieee-annual-computing-and-communication-workshop-and-conference
data/processed/canonical_venues.json,[95].venue_name,canonical_venue,IEEE Annual Computing and Communication Workshop and Conference
data/processed/canonical_venues.json,[95].aliases[0],source_alias,IEEE Annual Computing and Communication Workshop and Conference
data/processed/canonical_venues.json,[95].aliases[2],source_alias,2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC)
data/processed/canonical_venues.json,[195].aliases[1],source_alias,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference
data/processed/full_source_completeness_audit.csv,[8].venue,canonical_venue,IEEE Annual Computing and Communication Workshop and Conference
data/processed/full_source_completeness_audit.csv,[12].venue,canonical_venue,Workshop on Security Implications of Deepfakes and Cheapfakes
data/processed/full_source_completeness_audit.csv,[14].venue,canonical_venue,ACM Workshop on Information Hiding and Multimedia Security
data/processed/full_source_completeness_audit.csv,[65].venue,canonical_venue,IEEE International Workshop on Information Forensics and Security
