canonical_paper_identity,title,previous_publication_type,canonical_venue_id,canonical_venue_name,canonical_venue_type,arxiv_id,arxiv_url,doi,repository_identifiers,proposed_publication_type,applied_rule,ambiguity_status
curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,journal,,,journal,,,10.1109/iccvw69036.2025.00165,,journal,canonical_venue_type,resolved
curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",preprint,venue:arxiv:main,arXiv,preprint,2502.19716,,10.48550/arxiv.2502.19716,2502.19716; 10.48550/arxiv.2502.19716,preprint,existing_value,resolved
curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i14.38146,,conference,canonical_venue_type,resolved
curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2411.15633,,10.48550/arxiv.2411.15633,2411.15633; 10.48550/arxiv.2411.15633,conference,canonical_venue_type,resolved
curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2502.07778,,10.48550/arxiv.2502.07778,2502.07778; 10.48550/arxiv.2502.07778,preprint,existing_value,resolved
curated:e688194977fa7bbf7db3,LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,journal,,,journal,,,10.1109/pst65910.2025.11268874,,journal,canonical_venue_type,resolved
curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,journal,venue:hal-le-centre-pour-la-communication-scientifique-directe:main,HAL (Le Centre pour la Communication Scientifique Directe),journal,,,10.1145/3746265.3759667,,journal,canonical_venue_type,resolved
curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,journal,,,journal,,,10.1109/icce63647.2025.10929816,,journal,canonical_venue_type,resolved
curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,conference,,,conference,,,10.3390/engproc2026123032,,conference,canonical_venue_type,resolved
curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,journal,,,journal,,,10.1109/amlds63918.2025.11159445,,journal,canonical_venue_type,resolved
curated:b7664c48f91262cfe091,StealthDiffusion: Towards Evading Diffusion Forensic Detection through Diffusion Model,journal,,,journal,,,10.1145/3664647.3681535,,journal,canonical_venue_type,resolved
curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,journal,venue:ieee-access:main,IEEE Access,journal,,,10.1109/access.2025.3597641,,journal,canonical_venue_type,resolved
curated:0b2081f70faaf81278dc,Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,journal,venue:knowledge-uchicago-university-of-chicago:main,Knowledge@UChicago (University of Chicago),journal,,,10.1145/3658644.3670306,,journal,canonical_venue_type,resolved
curated:b1977dc0fcca329719f0,Towards the Detection of Diffusion Model Deepfakes,journal,,,journal,,,10.5220/0012422000003660,,journal,canonical_venue_type,resolved
curated:c420495aae5c20e0ea2a,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection,conference,venue:international-conference-on-multimedia-modeling:main,International Conference on Multimedia Modeling,conference,,,10.1007/978-981-95-6960-1_26,,conference,canonical_venue_type,resolved
curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,journal,venue:arxiv:main,arXiv,preprint,2603.17343,,,2603.17343,journal,existing_value,resolved
curated:cf55e35fcf11e09fdd12,Locate-Then-Examine: Grounded Region Reasoning Improves Detection of AI-Generated Images,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2510.04225,,10.48550/arxiv.2510.04225,2510.04225; 10.48550/arxiv.2510.04225,conference,canonical_venue_type,resolved
curated:be2900947b322f9eb905,OmniDFA: A Unified Framework for Open Set Synthesis Image Detection and Few-Shot Attribution,preprint,venue:arxiv:main,arXiv,preprint,2509.25682,,10.48550/arxiv.2509.25682,2509.25682; 10.48550/arxiv.2509.25682,preprint,existing_value,resolved
curated:8e9658fa727094695be8,MIRAGE: Towards AI-Generated Image Detection in the Wild,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i7.37421,,conference,canonical_venue_type,resolved
curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,conference,venue:acm-mm:main,ACM International Conference on Multimedia,conference,2602.10546,,10.48550/arxiv.2602.10546,2602.10546; 10.48550/arxiv.2602.10546,conference,canonical_venue_type,resolved
curated:79adf19ca6991c1d85f8,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,preprint,venue:arxiv:main,arXiv,preprint,2506.03988,,10.48550/arxiv.2506.03988,2506.03988; 10.48550/arxiv.2506.03988,preprint,existing_value,resolved
curated:074bb9a77ee85d50090c,Aperture: a patch-aware framework for joint forgery detection and localization,journal,venue:vicinagearth:main,Vicinagearth.,journal,,,10.1007/s44336-025-00027-8,,journal,canonical_venue_type,resolved
curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2407.20020,,10.48550/arxiv.2407.20020,2407.20020; 10.48550/arxiv.2407.20020,preprint,existing_value,resolved
curated:4d91354cd919a64a2259,Few-Shot Learner Generalizes Across AI-Generated Image Detection,conference,venue:icml:main,International Conference on Machine Learning,conference,2501.08763,,10.48550/arxiv.2501.08763,2501.08763; 10.48550/arxiv.2501.08763,conference,canonical_venue_type,resolved
curated:3c3cd6143ece4045b378,Generalized Design Choices for Deepfake Detectors,preprint,venue:arxiv:main,arXiv,preprint,2511.21507,,10.48550/arxiv.2511.21507,2511.21507; 10.48550/arxiv.2511.21507,preprint,existing_value,resolved
curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,2509.09172,,10.1109/iccv51701.2025.01895,2509.09172,conference,canonical_venue_type,resolved
curated:61baa52cd3bc07215faf,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,journal,venue:arxiv:main,arXiv,preprint,2601.14625,,,2601.14625,journal,existing_value,resolved
curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,preprint,venue:zenodo:main,Zenodo,preprint,,,10.5281/zenodo.20814592,10.5281/zenodo.20814592,preprint,existing_value,resolved
curated:ee47e898ad64ec14b709,Training-free Source Attribution of AI-generated Images via Resynthesis,conference,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,,,10.1109/wifs66636.2025.00028,,conference,canonical_venue_type,resolved
curated:3bd79627ad7e70a28a97,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2404.04584,,https://doi.org/10.48550/arxiv.2404.04584,2404.04584; https://doi.org/10.48550/arxiv.2404.04584,conference,canonical_venue_type,resolved
curated:a1eea412716e4d045da6,Source Attribution of AI-Generated Images in Data Scarcity Conditions via Training-Free Resynthesis,journal,venue:ieee-open-journal-of-signal-processing:main,IEEE Open Journal of Signal Processing,journal,,,10.1109/ojsp.2026.3710125,,journal,canonical_venue_type,resolved
curated:5a91cc922c8a3c4c3d0c,Open Set Synthetic Image Source Attribution,preprint,venue:arxiv:main,arXiv,preprint,2308.11557,,10.48550/arxiv.2308.11557,2308.11557; 10.48550/arxiv.2308.11557,preprint,existing_value,resolved
curated:3864d12fe8df7b9cb19c,Detecting computer-generated images by using only real images,conference,venue:international-conference-on-machine-vision:main,International Conference on Machine Vision,conference,,,10.1117/12.3055092,,conference,canonical_venue_type,resolved
curated:31a4d429d7c5750bd778,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,conference,venue:neurips:main,Advances in Neural Information Processing Systems,conference,2503.14905,,10.48550/arxiv.2503.14905,2503.14905; 10.48550/arxiv.2503.14905,conference,canonical_venue_type,resolved
curated:c6bb6e1e0a4d4eb372b5,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,conference,venue:neurips:main,Advances in Neural Information Processing Systems,conference,2304.13023,,10.48550/arxiv.2304.13023,2304.13023; 10.48550/arxiv.2304.13023,conference,canonical_venue_type,resolved
curated:0b34eeaa2b4f5b0a7b3b,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,conference,venue:iclr:main,International Conference on Learning Representations,conference,2410.11835,,10.48550/arxiv.2410.11835,2410.11835; 10.48550/arxiv.2410.11835,conference,canonical_venue_type,resolved
curated:f158c57190bcd2c8405c,Is Artificial Intelligence Generated Image Detection a Solved Problem?,conference,venue:neurips:main,Advances in Neural Information Processing Systems,conference,2505.12335,,10.48550/arxiv.2505.12335,2505.12335; 10.48550/arxiv.2505.12335,conference,canonical_venue_type,resolved
curated:211ea83fa8d41c8ec810,AI-generated image detection algorithm based on classical-quantum hybrid neural network,journal,venue:science-china-information-sciences:main,Science China Information Sciences,journal,,,10.1007/s11432-024-4475-4,,journal,canonical_venue_type,resolved
curated:29878fee09624b7d105d,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,journal,venue:ieee-transactions-on-pattern-analysis-and-machine-intelligence:main,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,2512.05651,,10.1109/tpami.2026.3654274,2512.05651,journal,canonical_venue_type,resolved
curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i42.40927,,conference,canonical_venue_type,resolved
curated:911d693997183535a4ac,Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,conference,venue:acm-mm:main,ACM International Conference on Multimedia,conference,2504.14245,,10.1145/3746027.3755421,2504.14245,conference,canonical_venue_type,resolved
curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-hoc Distribution Alignment,preprint,venue:arxiv:main,arXiv,preprint,2502.10803,,10.48550/arxiv.2502.10803,2502.10803; 10.48550/arxiv.2502.10803,preprint,existing_value,resolved
curated:fe2c4c4c423cdd91d6d3,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,preprint,venue:arxiv:main,arXiv,preprint,2411.19117,,10.48550/arxiv.2411.19117,2411.19117; 10.48550/arxiv.2411.19117,preprint,existing_value,resolved
curated:d9f9207830bec1da388f,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,preprint,venue:arxiv:main,arXiv,preprint,2411.08642,,10.48550/arxiv.2411.08642,2411.08642; 10.48550/arxiv.2411.08642,preprint,existing_value,resolved
curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,preprint,venue:arxiv:main,arXiv,preprint,2406.15035,,10.48550/arxiv.2406.15035,2406.15035; 10.48550/arxiv.2406.15035,preprint,existing_value,resolved
curated:9a84f4f666bcdda92186,Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2404.04883,,10.48550/arxiv.2404.04883,2404.04883; 10.48550/arxiv.2404.04883,preprint,existing_value,resolved
curated:40db3b79c5d83b80e5a4,Fake-GPT: Detecting Fake Image via Large Language Model,conference,venue:pattern-recognition-and-computer-vision-7th-chinese-conference:main,Pattern Recognition and Computer Vision: 7th Chinese Conference,conference,,,10.1007/978-981-97-8685-5_9,,conference,canonical_venue_type,resolved
curated:0f774e5d7c63020bdc50,Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,journal,venue:neurocomputing:main,Neurocomputing,journal,,,10.1016/j.neucom.2026.133229,,journal,canonical_venue_type,resolved
curated:67a6b7828afaed59e1c0,Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,journal,venue:electronics:main,Electronics,journal,,,10.3390/electronics15030716,,journal,canonical_venue_type,resolved
curated:772bb625ccc3e45e8481,Prompt-Engineered Detection of AI-Generated Images,book,venue:frontiers-aiai:main,Frontiers in Artificial Intelligence and Applications,book,,,10.3233/faia250538,,book,canonical_venue_type,resolved
curated:f105a82454d369e100b9,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,conference,venue:wacv:main,IEEE/CVF Winter Conference on Applications of Computer Vision,conference,2512.05590,,10.1109/wacv61042.2026.00754,2512.05590,conference,canonical_venue_type,resolved
curated:3fcd3bc4dd2c9d8c3b80,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2603.10598,,https://doi.org/10.48550/arxiv.2603.10598,2603.10598; https://doi.org/10.48550/arxiv.2603.10598,conference,canonical_venue_type,resolved
curated:5fde2c559e029508e0c3,Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection\n of Generated Images and the Impact of Prompts,conference,venue:1stworkshop-on-genai-content-detection:main,1stWorkshop on GenAI Content Detection,conference,2412.09715,,10.48550/arxiv.2412.09715,2412.09715; 10.48550/arxiv.2412.09715,conference,canonical_venue_type,resolved
curated:cda6067db322246e8195,No Detector to Rule Them All,conference,,,conference,,,10.1145/3746265.3759659,,conference,canonical_venue_type,resolved
curated:d59bffe554500b241a3e,ImageAttributionBench: How Far Are We from Generalizable Attribution?,preprint,venue:arxiv:main,arXiv,preprint,2605.12967,,10.48550/arxiv.2605.12967,2605.12967; 10.48550/arxiv.2605.12967,preprint,existing_value,resolved
curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2603.10583,,10.48550/arxiv.2603.10583,2603.10583; 10.48550/arxiv.2603.10583,conference,canonical_venue_type,resolved
curated:5f105b70c28ce5beeb0b,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,preprint,venue:arxiv:main,arXiv,preprint,2504.03615,,10.48550/arxiv.2504.03615,2504.03615; 10.48550/arxiv.2504.03615,preprint,existing_value,resolved
curated:1d944c47839b3890a623,Are handcrafted filters helpful for attributing AI-generated images?,conference,venue:acm-mm:main,ACM International Conference on Multimedia,conference,2407.14570,,10.1145/3664647.3680945,2407.14570,conference,canonical_venue_type,resolved
curated:56cb44d373ab183b7df9,On the Use of Mixup Augmentation for Synthetic Image Attribution in the Wild,conference,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,,,10.1109/wifs61860.2024.10810696,,conference,canonical_venue_type,resolved
curated:2117831292318de4cf18,Explainable Artifacts for Synthetic Western Blot Source Attribution,conference,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,2409.18881,,10.1109/wifs61860.2024.10810680,2409.18881,conference,canonical_venue_type,resolved
curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,conference,venue:image-analysis-and-processing-iciap-2025-workshops-23rd-international-conference:workshops,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference,conference,,,10.1007/978-3-032-11381-8_32,,conference,canonical_venue_type,resolved
curated:8c85a92b00aa321fbe8c,Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,conference,venue:apsipa-asc:main,Asia Pacific Signal and Information Processing Association Annual Summit and Conference,conference,,,10.1109/apsipaasc63619.2025.10849098,,conference,canonical_venue_type,resolved
curated:2c278dcd079ea27d0f73,MAID: Model Attribution via Inverse Diffusion,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,10.1109/icassp49660.2025.10888869,,conference,canonical_venue_type,resolved
curated:1ec62a78a4e0372bc0d9,ReTD: Reconstruction-Based Traceability Detection for Generated Images,conference,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,,,https://doi.org/10.1109/icassp49660.2025.10890492,,conference,canonical_venue_type,resolved
curated:1c590f67c931d712bb78,An Efficient Frequency Domain Based Attribution and Detection Network,journal,venue:ieee-access:main,IEEE Access,journal,,,10.1109/access.2025.3534829,,journal,canonical_venue_type,resolved
curated:3e94d8fc69e41aade2cc,D <sup>3</sup> QE: Learning Discrete Distribution Discrepancy-Aware Quantization Error for Autoregressive-Generated Image Detection,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,2510.05891,,10.1109/iccv51701.2025.01512,2510.05891,conference,canonical_venue_type,resolved
curated:16646ad4b7b77cde2ad8,One for All: Synthesis-Free Fingerprint Learning for Attribution of In-the-Wild Synthetic Images,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,,,10.1609/aaai.v40i42.40851,,conference,canonical_venue_type,resolved
curated:246f07c81b9f91e527eb,IncreFA: Breaking the Static Wall of Generative Model Attribution,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2604.17736,,,2604.17736,conference,canonical_venue_type,resolved
curated:170f07b3d7020611e566,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,1811.08180v3,,10.1109/iccv.2019.00765,1811.08180v3,conference,canonical_venue_type,resolved
curated:fb05dfbc95518f6fb1db,Source Generator Attribution via Inversion,conference,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,1905.02259,,,1905.02259,conference,canonical_venue_type,resolved
curated:dcf7aae2c8590b07aff3,Leveraging Frequency Analysis for Deep Fake Image Recognition,conference,venue:icml:main,International Conference on Machine Learning,conference,2003.08685,,10.48550/arxiv.2003.08685,2003.08685; 10.48550/arxiv.2003.08685,conference,canonical_venue_type,resolved
curated:baa48a1bff3effa2e915,Universal Detection and Source Attribution of Diffusion Model Generated Images with High Generalization and Robustness,conference,venue:premi:main,International Conference on Pattern Recognition and Machine Intelligence,conference,,,10.1007/978-3-031-45170-6_45,,conference,canonical_venue_type,resolved
curated:625ba11125534aedd39d,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,conference,venue:eccv:main,European Conference on Computer Vision,conference,2207.02063v2,,10.1007/978-3-031-19781-9_9,2207.02063v2,conference,canonical_venue_type,resolved
curated:1ef55e4fc03eb4880beb,Towards Universal Fake Image Detectors that Generalize Across Generative Models,conference,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2302.10174,,10.1109/cvpr52729.2023.02345,2302.10174,conference,canonical_venue_type,resolved
curated:2465f28a94bb45bec499,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,conference,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,2507.02664,,https://doi.org/10.1109/iccv51701.2025.01742,2507.02664,conference,canonical_venue_type,resolved
curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,conference,venue:neurips:main,Advances in Neural Information Processing Systems,conference,2505.14359,,10.48550/arxiv.2505.14359,2505.14359; 10.48550/arxiv.2505.14359,conference,canonical_venue_type,resolved
curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,book,,,book,,,10.1007/978-3-032-11782-3_6,,book,canonical_venue_type,resolved
curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,conference,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,2507.18988,,10.1609/aaai.v40i12.37930,2507.18988,conference,canonical_venue_type,resolved
curated:f6ad15b01df18aadfe1a,PRADA: Probability-Ratio-Based Attribution and Detection of Autoregressive-Generated Images,conference,venue:cvpr:findings,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,2511.20068,,10.48550/arxiv.2511.20068,2511.20068; 10.48550/arxiv.2511.20068,conference,canonical_venue_type,resolved
curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-modal Language Models,conference,venue:acl:industry,Annual Meeting of the Association for Computational Linguistics,conference,2606.11200,,10.18653/v1/2026.acl-industry.15,2606.11200,conference,canonical_venue_type,resolved
curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,conference,venue:ih-mmsec:main,ACM Workshop on Information Hiding and Multimedia Security,conference,,,10.1145/3785353.3815073,,conference,canonical_venue_type,resolved
