institution_id,starting_canonical_name,starting_type,final_institution_id,final_canonical_name,final_type,final_status,name_decision,type_decision,evidence_status,evidence_url,notes
institution:042deeccb5521315,Bay Institute,research_unit,institution:042deeccb5521315,Bay Institute,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f336b3005794930b,Beihang University,university,institution:f336b3005794930b,Beihang University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:985443a2d7239406,Beijing Academy of Artificial Intelligence,research_unit,institution:985443a2d7239406,Beijing Academy of Artificial Intelligence,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,university,institution:9cd15ab643d7131f,Beijing Institute of Graphic Communication,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:bf6195b78f6dc951,Beijing Jiaotong University,university,institution:bf6195b78f6dc951,Beijing Jiaotong University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:924e1e0e9723b423,Beijing Normal University,university,institution:924e1e0e9723b423,Beijing Normal University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:1502cb7c96ae3095,Beijing University of Posts and Telecommunications,university,institution:1502cb7c96ae3095,Beijing University of Posts and Telecommunications,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f060d61d546153f2,Beijing University of Technology,university,institution:f060d61d546153f2,Beijing University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:2792f975d7b5565e,Binjiang Institute of Artificial Intelligence,research_unit,institution:2792f975d7b5565e,Binjiang Institute of Artificial Intelligence,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",university,institution:ffd387a3478eb9e9,"Birla Institute of Technology, Mesra",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e822c28c6d58a829,"BITS Pilani, Goa",university,institution:e822c28c6d58a829,"BITS Pilani, Goa",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:99ef70abd8f55fae,"BITS Pilani, Hyderabad",university,institution:99ef70abd8f55fae,"BITS Pilani, Hyderabad",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:2c846bda509d7d12,Boston University,university,institution:2c846bda509d7d12,Boston University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:c5235efb76365de2,Carnegie Mellon University,university,institution:c5235efb76365de2,Carnegie Mellon University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:060062d7bc15b07c,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",university,institution:060062d7bc15b07c,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:15e8da2735014d49,Central University of Finance and Economics,university,institution:15e8da2735014d49,Central University of Finance and Economics,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas,research_unit,institution:f841aa8a7a0d29aa,Centre for Research and Technology Hellas,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:29645bb566fcd576,French National Centre for Scientific Research,research_unit,institution:29645bb566fcd576,French National Centre for Scientific Research,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6bdc62fb06ac696f,Changsha University of Science and Technology,university,institution:6bdc62fb06ac696f,Changsha University of Science and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:7aae859eefe8edd1,Chang'an University,university,institution:7aae859eefe8edd1,Chang'an University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:5757493192522b63,China Electronics Technology Group Corporation,company,institution:5757493192522b63,China Electronics Technology Group Corporation,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:0be9d444a6c88894,"China Telecom Cloud Technology Co., Ltd.",company,institution:0be9d444a6c88894,"China Telecom Cloud Technology Co., Ltd.",company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e67012d79bb3f603,China University of Mining and Technology,university,institution:e67012d79bb3f603,China University of Mining and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3afb6cc453e0a8d9,Chinese Academy of Sciences,research_unit,institution:3afb6cc453e0a8d9,Chinese Academy of Sciences,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3f9391add8daa620,Chinese People's Armed Police Force Engineering University,university,institution:3f9391add8daa620,Chinese People's Armed Police Force Engineering University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ff4b6fb0e7e3f155,Chinese University of Hong Kong,university,institution:ff4b6fb0e7e3f155,Chinese University of Hong Kong,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:488418437bfc9b2c,Chittagong University of Engineering and Technology,university,institution:488418437bfc9b2c,Chittagong University of Engineering and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:7e10613327a4e264,Chongqing University of Posts and Telecommunications,university,institution:7e10613327a4e264,Chongqing University of Posts and Telecommunications,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:aea376936c88135b,CISPA Helmholtz Center for Information Security,research_unit,institution:aea376936c88135b,CISPA Helmholtz Center for Information Security,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ec71dc4340659fd9,City University of Hong Kong,university,institution:ec71dc4340659fd9,City University of Hong Kong,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:24e78a56f93457a5,City University of London,university,institution:24e78a56f93457a5,City University of London,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:769b711ed2fee7c0,City University of Macau,university,institution:769b711ed2fee7c0,City University of Macau,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:fa6adc95226df542,Clemson University,university,institution:fa6adc95226df542,Clemson University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:721b1fe645c5b099,National Inter-University Consortium for Telecommunications,research_unit,institution:721b1fe645c5b099,National Inter-University Consortium for Telecommunications,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3da00d58d4c97192,Commonwealth Scientific and Industrial Research Organisation,research_unit,institution:3da00d58d4c97192,Commonwealth Scientific and Industrial Research Organisation,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6a318a8411b5cf74,Complutense University of Madrid,university,institution:6a318a8411b5cf74,Complutense University of Madrid,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3d7a55d07b650cfa,Czech Technical University in Prague,university,institution:3d7a55d07b650cfa,Czech Technical University in Prague,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3be1ce40ea53f6d2,Data61,research_unit,institution:3be1ce40ea53f6d2,Data61,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e0fc2ffb269489e7,Drexel University,university,institution:e0fc2ffb269489e7,Drexel University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:a8d8c5fe60be3e65,East China Normal University,university,institution:a8d8c5fe60be3e65,East China Normal University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:82b627d49a985ef1,East China University of Science and Technology,university,institution:82b627d49a985ef1,East China University of Science and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:73bb0fe265f6e090,Friedrich-Alexander-Universität Erlangen-Nürnberg,university,institution:73bb0fe265f6e090,Friedrich-Alexander-Universität Erlangen-Nürnberg,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:baa1df7c4adddbda,Fudan University,university,institution:baa1df7c4adddbda,Fudan University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:c3227ed71ef6fcd8,Fujian University of Technology,university,institution:c3227ed71ef6fcd8,Fujian University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:0da909b4402f8657,Fujitsu Limited,company,institution:0da909b4402f8657,Fujitsu Limited,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:dbb4589b8e2f8264,Florida International University,university,institution:dbb4589b8e2f8264,Florida International University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:90cbfdc3d90fe8a0,Fujitsu Research of Europe,company,institution:90cbfdc3d90fe8a0,Fujitsu Research of Europe,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6beb2f6c52d3f30c,Gachon University,university,institution:6beb2f6c52d3f30c,Gachon University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:39839f8732e7433b,George Mason University,university,institution:39839f8732e7433b,George Mason University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ab37cf6fbc2c38dd,GIPSA-Lab,research_unit,institution:ab37cf6fbc2c38dd,GIPSA-Lab,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:35e36dc1a5213fa3,Google Research,company,institution:35e36dc1a5213fa3,Google Research,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:8fe72087521e285a,Guangdong University of Technology,university,institution:8fe72087521e285a,Guangdong University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:a1e1ec8b780e67c8,Guizhou Normal University,university,institution:a1e1ec8b780e67c8,Guizhou Normal University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:91e76fe32279c58d,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,research_unit,institution:91e76fe32279c58d,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:3e2d6c20e9d268da,Hanyang University,university,institution:3e2d6c20e9d268da,Hanyang University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:fe438b1c7662476f,Harbin Institute of Technology,university,institution:fe438b1c7662476f,Harbin Institute of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:6c5bb70e9f4b77ba,"Harbin Institute of Technology, Shenzhen",university,institution:6c5bb70e9f4b77ba,"Harbin Institute of Technology, Shenzhen",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:b83f47152ad1ec29,Hebei University of Technology,university,institution:b83f47152ad1ec29,Hebei University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:dfb7666cf1c6e052,Hefei Comprehensive National Science Center,research_unit,institution:dfb7666cf1c6e052,Hefei Comprehensive National Science Center,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f6342fd457763517,Hefei University of Technology,university,institution:f6342fd457763517,Hefei University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:9dd7b58a09f6962c,"HKISI, Chinese Academy of Sciences",research_unit,institution:9dd7b58a09f6962c,"HKISI, Chinese Academy of Sciences",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e1fcb46488c800ef,Hong Kong Metropolitan University,university,institution:e1fcb46488c800ef,Hong Kong Metropolitan University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:95daf5606b8bd80c,HSE University,university,institution:95daf5606b8bd80c,HSE University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:2e62680df0fed751,Huawei Noah's Ark Lab,company,institution:2e62680df0fed751,Huawei Noah's Ark Lab,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:570cf7f2e9869b63,Huawei Technologies (China),company,institution:570cf7f2e9869b63,Huawei Technologies (China),company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e540a2485c3e954f,Huazhong University of Science and Technology,university,institution:e540a2485c3e954f,Huazhong University of Science and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:be8fe6da68f67876,Hunan University,university,institution:be8fe6da68f67876,Hunan University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:42d2e85e0328361b,Hunan University of Science and Technology,university,institution:42d2e85e0328361b,Hunan University of Science and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f5c8a9b792d3b901,IBM Thomas J. Watson Research Center,company,institution:f5c8a9b792d3b901,IBM Thomas J. Watson Research Center,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:fe7a819f82113c79,IdentifAI,company,institution:fe7a819f82113c79,IdentifAI,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:9958d7ee1cfec4aa,IMT School for Advanced Studies Lucca,university,institution:9958d7ee1cfec4aa,IMT School for Advanced Studies Lucca,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:c49f954847b969c5,Incheon National University,university,institution:c49f954847b969c5,Incheon National University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:4269181ef8bd7d6e,"Indian Institute of Engineering Science and Technology, Shibpur",university,institution:4269181ef8bd7d6e,"Indian Institute of Engineering Science and Technology, Shibpur",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:f0c3da144873207a,Indian Institute of Technology Kharagpur,university,institution:f0c3da144873207a,Indian Institute of Technology Kharagpur,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:d0b09c4ef698e8de,Indian Institute of Technology Roorkee,university,institution:d0b09c4ef698e8de,Indian Institute of Technology Roorkee,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:df7499422b3e4d82,Indraprastha Institute of Information Technology Delhi,university,institution:df7499422b3e4d82,Indraprastha Institute of Information Technology Delhi,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:04b81a56c7eb1a69,Informatics Institute for Postgraduate Studies,research_unit,institution:04b81a56c7eb1a69,Informatics Institute for Postgraduate Studies,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:ce9788da3b7b6137,Inner Mongolia University of Technology,university,institution:ce9788da3b7b6137,Inner Mongolia University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:507c5724052f23eb,"INSAIT, Sofia University ""St. Kliment Ohridski""",university,institution:507c5724052f23eb,"INSAIT, Sofia University ""St. Kliment Ohridski""",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:475fa3f7d32d5d27,Grenoble INP,university,institution:475fa3f7d32d5d27,Grenoble INP,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e4ca3896941052d9,Institute for Scientific Interchange,research_unit,institution:e4ca3896941052d9,Institute for Scientific Interchange,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:a1ff6f7123083db9,"Institute of Artificial Intelligence (TeleAI), China Telecom",company,institution:a1ff6f7123083db9,"Institute of Artificial Intelligence (TeleAI), China Telecom",company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:966ff12833f90bb0,"Institute of Automation, Chinese Academy of Sciences",research_unit,institution:966ff12833f90bb0,"Institute of Automation, Chinese Academy of Sciences",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:e278f75918ccf8a7,"Institute of Computing Technology, Chinese Academy of Sciences",research_unit,institution:e278f75918ccf8a7,"Institute of Computing Technology, Chinese Academy of Sciences",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:cee70184073782c7,"Institute of Information Engineering, Chinese Academy of Sciences",research_unit,institution:cee70184073782c7,"Institute of Information Engineering, Chinese Academy of Sciences",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:0aed8b5908ebcd25,Institute for Pure and Applied Mathematics,research_unit,institution:0aed8b5908ebcd25,Institute for Pure and Applied Mathematics,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:260c0fc69149bb41,Intel Corporation,company,institution:260c0fc69149bb41,Intel Corporation,company,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:33f2056ddfd46aaa,International Institute of Information Technology,university,institution:33f2056ddfd46aaa,International Institute of Information Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:118c2f047da4525d,"International Institute of Information Technology, Naya Raipur",university,institution:118c2f047da4525d,"International Institute of Information Technology, Naya Raipur",university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:541450f1f663948c,"Institute of Information Science and Technologies ""Alessandro Faedo"", National Research Council of Italy",research_unit,institution:541450f1f663948c,"Institute of Information Science and Technologies ""Alessandro Faedo"", National Research Council of Italy",research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:bc52939c5da8ad98,Jaume I University,university,institution:bc52939c5da8ad98,Jaume I University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:45d2a7ca48493f42,Jilin Vocational College of Industry and Technology,university,institution:45d2a7ca48493f42,Jilin Vocational College of Industry and Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:8632718a2c1444c6,Jinan University,university,institution:8632718a2c1444c6,Jinan University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:81f79a387128ccac,Khalifa University,university,institution:81f79a387128ccac,Khalifa University,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:24b3cd33acdc095d,Kochi University of Technology,university,institution:24b3cd33acdc095d,Kochi University of Technology,university,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
institution:696e90c102571ea3,Korea AI Safety Institute,research_unit,institution:696e90c102571ea3,Korea AI Safety Institute,research_unit,active,retained,retained,retained_after_registry_wide_review,,"No authoritative discrepancy identified by the name, type, alias, hierarchy, and duplicate-identity scans."
