canonical_paper_identity,title,previous_publication_type,canonical_venue_id,canonical_venue_name,canonical_venue_type,arxiv_id,arxiv_url,doi,repository_identifiers,proposed_publication_type,applied_rule,ambiguity_status
10.48550/arxiv.2407.10575,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",preprint,venue:arxiv:main,arXiv,preprint,2407.10575,https://arxiv.org/abs/2407.10575,10.48550/arxiv.2407.10575,2407.10575; https://arxiv.org/abs/2407.10575; 10.48550/arxiv.2407.10575,preprint,existing_value,resolved
10.48550/arxiv.2411.13553,AI-generated Image Detection: Passive or Watermark?,preprint,venue:arxiv:main,arXiv,preprint,2411.13553,https://arxiv.org/abs/2411.13553,10.48550/arxiv.2411.13553,2411.13553; https://arxiv.org/abs/2411.13553; 10.48550/arxiv.2411.13553,preprint,existing_value,resolved
curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,book,venue:lncs:main,Lecture Notes in Computer Science,book,2407.20337,https://arxiv.org/abs/2407.20337,10.1007/978-3-031-73036-8_12,2407.20337; https://arxiv.org/abs/2407.20337,book,canonical_venue_type,resolved
10.48550/arxiv.2403.06803,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,preprint,venue:arxiv:main,arXiv,preprint,2403.06803,https://arxiv.org/abs/2403.06803,10.48550/arxiv.2403.06803,2403.06803; https://arxiv.org/abs/2403.06803; 10.48550/arxiv.2403.06803,preprint,existing_value,resolved
10.48550/arxiv.2403.13479,Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,preprint,venue:arxiv:main,arXiv,preprint,2403.13479,https://arxiv.org/abs/2403.13479,10.48550/arxiv.2403.13479,2403.13479; https://arxiv.org/abs/2403.13479; 10.48550/arxiv.2403.13479,preprint,existing_value,resolved
10.21203/rs.3.rs-4259468/v1,Detecting AI-Generated Images via CLIP,preprint,venue:research-square:main,Research Square,preprint,2404.08788v1,https://arxiv.org/abs/2404.08788v1,10.21203/rs.3.rs-4259468/v1,2404.08788v1; https://arxiv.org/abs/2404.08788v1,preprint,existing_value,resolved
10.36227/techrxiv.170723324.44685515/v1,Detecting Multimedia Generated by Large AI Models: A Survey,preprint,venue:authorea-inc:main,"Authorea, Inc.",preprint,2402.00045,https://arxiv.org/abs/2402.00045,10.36227/techrxiv.170723324.44685515/v1,2402.00045; https://arxiv.org/abs/2402.00045,preprint,existing_value,resolved
10.48550/arxiv.2408.09371,Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2408.09371,https://arxiv.org/abs/2408.09371,10.48550/arxiv.2408.09371,2408.09371; https://arxiv.org/abs/2408.09371; 10.48550/arxiv.2408.09371,preprint,existing_value,resolved
10.48550/arxiv.2406.13688,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,preprint,venue:arxiv:main,arXiv,preprint,2406.13688,https://arxiv.org/abs/2406.13688,10.48550/arxiv.2406.13688,2406.13688; https://arxiv.org/abs/2406.13688; 10.48550/arxiv.2406.13688,preprint,existing_value,resolved
10.1007/978-3-031-78305-0_15,Diffusion Models as a Representation Learner for Deepfake Image Detection,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-78305-0_15,,book,canonical_venue_type,resolved
curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",preprint,venue:arxiv:main,arXiv,preprint,2406.00856,https://arxiv.org/abs/2406.00856,10.48550/arxiv.2406.00856,2406.00856; https://arxiv.org/abs/2406.00856; 10.48550/arxiv.2406.00856,preprint,existing_value,resolved
10.48550/arxiv.2404.13306,FakeBench: Probing Explainable Fake Image Detection via Large Multimodal Models,preprint,venue:arxiv:main,arXiv,preprint,2404.13306,https://arxiv.org/abs/2404.13306,10.48550/arxiv.2404.13306,2404.13306; https://arxiv.org/abs/2404.13306; 10.48550/arxiv.2404.13306,preprint,existing_value,resolved
10.48550/arxiv.2404.02726,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2404.02726,https://arxiv.org/abs/2404.02726,10.48550/arxiv.2404.02726,2404.02726; https://arxiv.org/abs/2404.02726; 10.48550/arxiv.2404.02726,preprint,existing_value,resolved
curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2407.20020,https://arxiv.org/abs/2407.20020,10.48550/arxiv.2407.20020,2407.20020; https://arxiv.org/abs/2407.20020; 10.48550/arxiv.2407.20020,preprint,existing_value,resolved
curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,preprint,venue:arxiv:main,arXiv,preprint,2406.15035,https://arxiv.org/abs/2406.15035,10.48550/arxiv.2406.15035,2406.15035; https://arxiv.org/abs/2406.15035; 10.48550/arxiv.2406.15035,preprint,existing_value,resolved
10.1007/978-3-031-66431-1_43,Level Up the Deepfake Detection: A Method to Effectively Discriminate Images Generated by GAN Architectures and Diffusion Models,book,venue:lecture-notes-in-networks-and-systems:main,Lecture notes in networks and systems,book,2303.00608v1,https://arxiv.org/abs/2303.00608v1,10.1007/978-3-031-66431-1_43,2303.00608v1; https://arxiv.org/abs/2303.00608v1,book,canonical_venue_type,resolved
10.1007/978-3-031-73220-1_23,Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,book,venue:lncs:main,Lecture Notes in Computer Science,book,2402.19091v2,https://arxiv.org/abs/2402.19091v2,10.1007/978-3-031-73220-1_23,2402.19091v2; https://arxiv.org/abs/2402.19091v2,book,canonical_venue_type,resolved
curated:9a84f4f666bcdda92186,Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2404.04883,https://arxiv.org/abs/2404.04883,10.48550/arxiv.2404.04883,2404.04883; https://arxiv.org/abs/2404.04883; 10.48550/arxiv.2404.04883,preprint,existing_value,resolved
10.48550/arxiv.2405.20112,RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2405.20112,https://arxiv.org/abs/2405.20112,10.48550/arxiv.2405.20112,2405.20112; https://arxiv.org/abs/2405.20112; 10.48550/arxiv.2405.20112,preprint,existing_value,resolved
10.48550/arxiv.2412.06727,Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,preprint,venue:arxiv:main,arXiv,preprint,2412.06727,https://arxiv.org/abs/2412.06727,10.48550/arxiv.2412.06727,2412.06727; https://arxiv.org/abs/2412.06727; 10.48550/arxiv.2412.06727,preprint,existing_value,resolved
10.48550/arxiv.2405.18071,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,preprint,venue:arxiv:main,arXiv,preprint,2405.18071,https://arxiv.org/abs/2405.18071,10.48550/arxiv.2405.18071,2405.18071; https://arxiv.org/abs/2405.18071; 10.48550/arxiv.2405.18071,preprint,existing_value,resolved
curated:d9f9207830bec1da388f,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,preprint,venue:arxiv:main,arXiv,preprint,2411.08642,https://arxiv.org/abs/2411.08642,10.48550/arxiv.2411.08642,2411.08642; https://arxiv.org/abs/2411.08642; 10.48550/arxiv.2411.08642,preprint,existing_value,resolved
10.5281/zenodo.8031784,TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter,preprint,venue:zenodo:main,Zenodo,preprint,,,10.5281/zenodo.8031784,10.5281/zenodo.8031784,preprint,existing_value,resolved
curated:fe2c4c4c423cdd91d6d3,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,preprint,venue:arxiv:main,arXiv,preprint,2411.19117,https://arxiv.org/abs/2411.19117,10.48550/arxiv.2411.19117,2411.19117; https://arxiv.org/abs/2411.19117; 10.48550/arxiv.2411.19117,preprint,existing_value,resolved
curated:98c0322e2f8dd41d3e9e,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,book,venue:lncs:main,Lecture Notes in Computer Science,book,2404.02697,https://arxiv.org/abs/2404.02697,10.1007/978-3-031-73033-7_16,2404.02697; https://arxiv.org/abs/2404.02697,book,canonical_venue_type,resolved
10.1007/978-3-031-72649-1_4,Zero-Shot Detection of AI-Generated Images,book,venue:lncs:main,Lecture Notes in Computer Science,book,2409.15875v1,https://arxiv.org/abs/2409.15875v1,10.1007/978-3-031-72649-1_4,2409.15875v1; https://arxiv.org/abs/2409.15875v1,book,canonical_venue_type,resolved
10.48550/arxiv.2310.17419,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,preprint,venue:arxiv:main,arXiv,preprint,2310.17419,https://arxiv.org/abs/2310.17419,10.48550/arxiv.2310.17419,2310.17419; https://arxiv.org/abs/2310.17419; 10.48550/arxiv.2310.17419,preprint,existing_value,resolved
10.48550/arxiv.2302.14475,Benchmarking Deepart Detection,preprint,venue:arxiv:main,arXiv,preprint,2302.14475,https://arxiv.org/abs/2302.14475,10.48550/arxiv.2302.14475,2302.14475; https://arxiv.org/abs/2302.14475; 10.48550/arxiv.2302.14475,preprint,existing_value,resolved
10.48550/arxiv.2312.10407,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,preprint,venue:arxiv:main,arXiv,preprint,2312.10407,https://arxiv.org/abs/2312.10407,10.48550/arxiv.2312.10407,2312.10407; https://arxiv.org/abs/2312.10407; 10.48550/arxiv.2312.10407,preprint,existing_value,resolved
10.48550/arxiv.2312.02625,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2312.02625,https://arxiv.org/abs/2312.02625,10.48550/arxiv.2312.02625,2312.02625; https://arxiv.org/abs/2312.02625; 10.48550/arxiv.2312.02625,preprint,existing_value,resolved
10.48550/arxiv.2307.06272,Exposing the Fake: Effective Diffusion-Generated Images Detection,preprint,venue:arxiv:main,arXiv,preprint,2307.06272,https://arxiv.org/abs/2307.06272,10.48550/arxiv.2307.06272,2307.06272; https://arxiv.org/abs/2307.06272; 10.48550/arxiv.2307.06272,preprint,existing_value,resolved
10.48550/arxiv.2312.08880,GenDet: Towards Good Generalizations for AI-Generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2312.08880,https://arxiv.org/abs/2312.08880,10.48550/arxiv.2312.08880,2312.08880; https://arxiv.org/abs/2312.08880; 10.48550/arxiv.2312.08880,preprint,existing_value,resolved
https://doi.org/10.48550/arxiv.2307.15977,Model Synthesis for Zero-Shot Model Attribution,preprint,venue:arxiv:main,arXiv,preprint,2307.15977,https://arxiv.org/abs/2307.15977,https://doi.org/10.48550/arxiv.2307.15977,2307.15977; https://arxiv.org/abs/2307.15977; https://doi.org/10.48550/arxiv.2307.15977,preprint,existing_value,resolved
curated:5a91cc922c8a3c4c3d0c,Open Set Synthetic Image Source Attribution,preprint,venue:arxiv:main,arXiv,preprint,2308.11557,https://arxiv.org/abs/2308.11557,10.48550/arxiv.2308.11557,2308.11557; https://arxiv.org/abs/2308.11557; 10.48550/arxiv.2308.11557,preprint,existing_value,resolved
10.48550/arxiv.2311.12397,PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,preprint,venue:arxiv:main,arXiv,preprint,2311.12397,https://arxiv.org/abs/2311.12397,10.48550/arxiv.2311.12397,2311.12397; https://arxiv.org/abs/2311.12397; 10.48550/arxiv.2311.12397,preprint,existing_value,resolved
10.1007/978-3-031-19781-9_6,Detecting Generated Images by Real Images,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-19781-9_6,,book,canonical_venue_type,resolved
10.1007/978-3-031-19784-0_39,Discovering Transferable Forensic Features for CNN-Generated Images Detection,book,venue:lncs:main,Lecture Notes in Computer Science,book,2208.11342v1,https://arxiv.org/abs/2208.11342v1,10.1007/978-3-031-19784-0_39,2208.11342v1; https://arxiv.org/abs/2208.11342v1,book,canonical_venue_type,resolved
10.1007/978-3-030-96466-5_14,EasyDeep: An IoT Friendly Robust Detection Method for GAN Generated Deepfake Images in Social Media,book,venue:ifip-advances-in-information-and-communication-technology:main,IFIP advances in information and communication technology,book,,,10.1007/978-3-030-96466-5_14,,book,canonical_venue_type,resolved
10.1007/978-3-031-19781-9_5,FingerprintNet: Synthesized Fingerprints for Generated Image Detection,book,venue:lncs:main,Lecture Notes in Computer Science,book,,,10.1007/978-3-031-19781-9_5,,book,canonical_venue_type,resolved
10.48550/arxiv.2203.09777,Transferable Class-Modelling for Decentralized Source Attribution of GAN-Generated Images,preprint,venue:arxiv:main,arXiv,preprint,2203.09777,https://arxiv.org/abs/2203.09777,10.48550/arxiv.2203.09777,2203.09777; https://arxiv.org/abs/2203.09777; 10.48550/arxiv.2203.09777,preprint,existing_value,resolved
10.1007/978-3-030-49500-8_3,Detection of Deepfake Images Created Using Generative Adversarial Networks: A Review,book,venue:transactions-on-computational-science-and-computational-intelligence:main,Transactions on computational science and computational intelligence,book,,,10.1007/978-3-030-49500-8_3,,book,canonical_venue_type,resolved
10.48550/arxiv.2106.08749,Learning to Disentangle GAN Fingerprint for Fake Image Attribution,preprint,venue:arxiv:main,arXiv,preprint,2106.08749,https://arxiv.org/abs/2106.08749,10.48550/arxiv.2106.08749,2106.08749; https://arxiv.org/abs/2106.08749; 10.48550/arxiv.2106.08749,preprint,existing_value,resolved
https://openalex.org/W3170631962,Wavelet-Packet Powered Deepfake Image Detection.,preprint,,,preprint,,,,,preprint,existing_value,resolved
10.6084/m9.figshare.12731039.v1,Deep Learning for Deepfakes Creation and Detection: A Survey,preprint,venue:figshare:main,Figshare,preprint,1909.11573,https://arxiv.org/abs/1909.11573,10.6084/m9.figshare.12731039.v1,1909.11573; https://arxiv.org/abs/1909.11573; 10.6084/m9.figshare.12731039.v1,preprint,existing_value,resolved
10.48550/arxiv.2008.09194,On Attribution of Deepfakes,preprint,venue:arxiv:main,arXiv,preprint,2008.09194,https://arxiv.org/abs/2008.09194,10.48550/arxiv.2008.09194,2008.09194; https://arxiv.org/abs/2008.09194; 10.48550/arxiv.2008.09194,preprint,existing_value,resolved
10.48550/arxiv.1910.05455,Complement Face Forensic Detection and Localization with FacialLandmarks,preprint,venue:arxiv:main,arXiv,preprint,1910.05455,https://arxiv.org/abs/1910.05455,10.48550/arxiv.1910.05455,1910.05455; https://arxiv.org/abs/1910.05455; 10.48550/arxiv.1910.05455,preprint,existing_value,resolved
10.48550/arxiv.1911.06465,Fourier Spectrum Discrepancies in Deep Network Generated Images,preprint,venue:arxiv:main,arXiv,preprint,1911.06465,https://arxiv.org/abs/1911.06465,10.48550/arxiv.1911.06465,1911.06465; https://arxiv.org/abs/1911.06465; 10.48550/arxiv.1911.06465,preprint,existing_value,resolved
10.48550/arxiv.1912.11082,Scalable Fine-grained Generated Image Classification Based on Deep Metric Learning,preprint,venue:arxiv:main,arXiv,preprint,1912.11082,https://arxiv.org/abs/1912.11082,10.48550/arxiv.1912.11082,1912.11082; https://arxiv.org/abs/1912.11082; 10.48550/arxiv.1912.11082,preprint,existing_value,resolved
