institution_name,city,country,ror_id,resolution_method,resolution_confidence,needs_review,reason,example_openalex_id,example_author_name
Sichuan University,,,011ashp19,ror_id,high,false,resolved,https://openalex.org/W4293518933,Mingxu Zhang
Aligarh Muslim University,,,03kw9gc02,ror_id,high,false,resolved,https://openalex.org/W4293518933,Asad Malik
Czech Technical University in Prague,,,03kqpb082,ror_id,high,false,resolved,https://openalex.org/W4367000238,Giorgos Kordopatis-Zilos
Centre National de la Recherche Scientifique,,,02feahw73,ror_id,high,false,resolved,https://openalex.org/W4389370799,Quentin Bammey
Université Paris-Saclay,,,03xjwb503,ror_id,high,false,resolved,https://openalex.org/W4389370799,Quentin Bammey
Hangzhou Dianzi University,,,0576gt767,ror_id,high,false,resolved,https://openalex.org/W2973074956,Xuan Ni
Peking University,,,02v51f717,ror_id,high,false,resolved,https://openalex.org/W3034196597,Lingzhi Li
Fraunhofer Institute for Industrial Mathematics,,,019hjw009,ror_id,high,false,resolved,https://openalex.org/W4410706528,Patrick Grommelt
Supply Chain Competence Center (Germany),,,04rbcv404,ror_id,high,false,resolved,https://openalex.org/W4410706528,Patrick Grommelt
Offenburg University of Applied Sciences,,,03zh5eq96,ror_id,high,false,resolved,https://openalex.org/W4410706528,Patrick Grommelt
University of Mannheim,,,031bsb921,ror_id,high,false,resolved,https://openalex.org/W4410706528,Janis Keuper
University of Catania,,,03a64bh57,ror_id,high,false,resolved,https://openalex.org/W4392623241,Luca Guarnera
Bank of Italy,,,03v2nbx43,ror_id,high,false,resolved,https://openalex.org/W4392623241,Oliver Giudice
University of Oxford,,,052gg0110,ror_id,high,false,resolved,https://openalex.org/W3034795015,Zhengzhe Liu
University of Hong Kong,,,02zhqgq86,ror_id,high,false,resolved,https://openalex.org/W3034795015,Xiaojuan Qi
"University of California, Santa Barbara",,,02t274463,ror_id,high,false,resolved,https://openalex.org/W3179128750,Michael Goebel
Mayachitra (United States),,,02pvba079,ror_id,high,false,resolved,https://openalex.org/W3179128750,Michael Goebel
PLA Information Engineering University,,,00mm1qk40,ror_id,high,false,resolved,https://openalex.org/W3166640306,Guihua Tang
Liaoning University,,,03xpwj629,ror_id,high,false,resolved,https://openalex.org/W4381620941,Yun Liu
Shenzhen University Health Science Center,,,04yjbr930,ror_id,high,false,resolved,https://openalex.org/W4381620941,Guanghui Yue
National Pingtung University of Science and Technology,,,01y6ccj36,ror_id,high,false,resolved,https://openalex.org/W2970868842,Chih–Chung Hsu
National United University,,,04twccc71,ror_id,high,false,resolved,https://openalex.org/W2970868842,Chia‐Yen Lee
"University of California, Riverside",,,03nawhv43,ror_id,high,false,resolved,https://openalex.org/W2975558816,Lakshmanan Nataraj
Naval Air Warfare Center Weapons Division,,,03cap2a49,ror_id,high,false,resolved,https://openalex.org/W2975558816,Lakshmanan Nataraj
Politecnico di Milano,,,01nffqt88,ror_id,high,false,resolved,https://openalex.org/W4416252268,Sara Mandelli
Sapienza University of Rome,,,02be6w209,ror_id,high,false,resolved,https://openalex.org/W4416252268,Luca Zanchetta
Technische Universität Berlin,,,03v4gjf40,ror_id,high,false,resolved,https://openalex.org/W4399261595,Alexander Wißmann
Bucknell University,,,00fc1qt65,ror_id,high,false,resolved,https://openalex.org/W4399261595,Robert M. Nickel
University Frères Mentouri Constantine 1,,,017wv6808,ror_id,high,false,resolved,https://openalex.org/W4407408001,Yasmine Namani
Université Paris-Est Créteil,,,05ggc9x40,ror_id,high,false,resolved,https://openalex.org/W4407408001,Mohamed Aymen Labiod
Paris-Est Sup,,,0268ecp52,ror_id,high,false,resolved,https://openalex.org/W4407408001,Mohamed Aymen Labiod
University of Portsmouth,,,03ykbk197,ror_id,high,false,resolved,https://openalex.org/W4407408001,Stavros Shiaeles
Nvidia (United States),,,03jdj4y14,ror_id,high,false,resolved,https://openalex.org/W4393972628,Koki Nagano
University of Surrey,,,00ks66431,ror_id,high,false,resolved,https://openalex.org/W4385801341,Kar Balan
"University of Maryland, College Park",,,047s2c258,ror_id,high,false,resolved,https://openalex.org/W3161417217,Sharath Girish
"Indian Institute of Engineering Science and Technology, Shibpur",,,02ytfzr55,ror_id,high,false,resolved,https://openalex.org/W4388656143,Sanandita Das
The University of Sydney,,,0384j8v12,ror_id,high,false,resolved,https://openalex.org/W4385767391,Sheng Shen
City University of Macau,,,04gpd4q15,ror_id,high,false,resolved,https://openalex.org/W4385767391,Wanlei Zhou
Institute of Engineering Science,,,03zeyg902,ror_id,high,false,resolved,https://openalex.org/W4391306866,Tanusree Ghosh
Indian Institute of Technology Indore,,,01hhf7w52,ror_id,high,false,resolved,https://openalex.org/W4391306866,Tanusree Ghosh
South China University of Technology,,,0530pts50,ror_id,high,false,resolved,https://openalex.org/W4401325047,Patrick P. K. Chan
Chengdu University of Information Technology,,,01yxwrh59,ror_id,high,false,resolved,https://openalex.org/W4402352361,Lei Zhang
University of Indianapolis,,,052133d12,ror_id,high,false,resolved,https://openalex.org/W4402352361,Shu Hu
Indiana University – Purdue University Indianapolis,,,05gxnyn08,ror_id,high,true,authoritative_record_not_active,https://openalex.org/W4402352361,Shu Hu
Tunghai University,,,00zhvdn11,ror_id,high,false,resolved,https://openalex.org/W4402352361,Ching-Sheng Lin
"University at Albany, State University of New York",,,012zs8222,ror_id,high,false,resolved,https://openalex.org/W4402352361,Xin Wang
University of North Texas,,,00v97ad02,ror_id,high,false,resolved,https://openalex.org/W4213417724,Alakananda Mitra
Ollscoil na Gaillimhe – University of Galway,,,03bea9k73,ror_id,high,false,resolved,https://openalex.org/W4213417724,Peter Corcoran
University of Padua,,,00240q980,ror_id,high,false,resolved,https://openalex.org/W3161986877,Simone Milani
Dehradun Institute of Technology University,,,01v5k4d73,ror_id,high,false,resolved,https://openalex.org/W4409526923,Preeti Sharma
University of Wollongong in Dubai,,,0447ajy94,ror_id,high,false,resolved,https://openalex.org/W4409526923,Manoj Kumar
Middle East University,,,059bgad73,ror_id,high,false,resolved,https://openalex.org/W4409526923,Manoj Kumar
University of Petroleum and Energy Studies,,,04q2jes40,ror_id,high,false,resolved,https://openalex.org/W4409526923,Hitesh Kumar Sharma
Beijing Normal University,,,022k4wk35,ror_id,high,false,resolved,https://openalex.org/W4409705469,Biwei Chen
Southwest University of Science and Technology,,,04d996474,ror_id,high,false,resolved,https://openalex.org/W4409705469,Hui Zeng
Beijing Academy of Artificial Intelligence,,,016a74861,ror_id,high,false,resolved,https://openalex.org/W4410853187,Weinan Guan
Nanjing University of Information Science and Technology,,,02y0rxk19,ror_id,high,false,resolved,https://openalex.org/W4410853187,Ziwen He
Nanjing University of Aeronautics and Astronautics,,,01scyh794,ror_id,high,false,resolved,https://openalex.org/W4400828592,Weng Jing
Sorbonne Université,,,02en5vm52,ror_id,high,false,resolved,https://openalex.org/W4390872921,Guillaume Couairon
Institut national de recherche en sciences et technologies du numérique,,,02kvxyf05,ror_id,high,false,resolved,https://openalex.org/W4390872921,Teddy Furon
Honeywell (United States),,,02t71h845,ror_id,high,false,resolved,https://openalex.org/W2971682216,Michael Albright
Nirma University,,,05qkq7x38,ror_id,high,false,resolved,https://openalex.org/W4323022407,Y. G. Patel
Najran University,,,05edw4a90,ror_id,high,false,resolved,https://openalex.org/W4323022407,Turki Alsuwian
Cape Peninsula University of Technology,,,056e9h402,ror_id,high,false,resolved,https://openalex.org/W4323022407,Innocent E. Davidson
Durban University of Technology,,,0303y7a51,ror_id,high,false,resolved,https://openalex.org/W4323022407,Thokozile Mazibuko
Macau University of Science and Technology,,,03jqs2n27,ror_id,high,false,resolved,https://openalex.org/W4406858668,Xinqi Jiang
Drexel University,,,04bdffz58,ror_id,high,false,resolved,https://openalex.org/W4413145326,Tai D. Nguyen
Xidian University,,,05s92vm98,ror_id,high,false,resolved,https://openalex.org/W2972023908,Kejun Zhang
Beijing Electronic Science and Technology Institute,,,01xdzh226,ror_id,high,false,resolved,https://openalex.org/W2972023908,Jianyi Zhang
Khwaja Fareed University of Engineering and Information Technology,,,0161dyt30,ror_id,high,false,resolved,https://openalex.org/W4297988790,Ali Raza
University of Hafr Al-Batin,,,021jt1927,ror_id,high,false,resolved,https://openalex.org/W4297988790,Mubarak Almutairi
Hindustan Institute of Technology and Science,,,037tgdn13,ror_id,high,false,resolved,https://openalex.org/W4402322120,R Maheshwari
Govind Ballabh Pant University of Agriculture and Technology,,,02msjvh03,ror_id,high,false,resolved,https://openalex.org/W4402322120,Binay Kumar Pandey
North South University,,,05wdbfp45,ror_id,high,false,resolved,https://openalex.org/W4200434941,Hasin Shahed Shad
Manipal University Jaipur,,,040h76494,ror_id,high,false,resolved,https://openalex.org/W4200434941,Arjun Singh
Taif University,,,014g1a453,ror_id,high,false,resolved,https://openalex.org/W4200434941,Atef Zaguia
Middle Technical University,,,02fvkg758,ror_id,high,false,resolved,https://openalex.org/W4395673009,Omar Alfarouk Hadi Hasan Al-Dulaimi
Altınbaş University,,,0145w8333,ror_id,high,false,resolved,https://openalex.org/W4395673009,Omar Alfarouk Hadi Hasan Al-Dulaimi
National Institute of Technology Karnataka,,,01hz4v948,ror_id,high,false,resolved,https://openalex.org/W4285362588,Niteesh Kumar
"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",,,05kacka20,ror_id,high,false,resolved,https://openalex.org/W4283452332,Davide Alessandro Coccomini
National Research Council,,,04zaypm56,ror_id,high,false,resolved,https://openalex.org/W4283452332,Davide Alessandro Coccomini
Consorzio Nazionale Interuniversitario per le Telecomunicazioni,,,0182a5n39,ror_id,high,false,resolved,https://openalex.org/W4283452332,Roberto Caldelli
Universiti Putra Malaysia,,,02e91jd64,ror_id,high,false,resolved,https://openalex.org/W4399978626,Zahra Nazemi Ashani
King's College London,,,0220mzb33,ror_id,high,false,resolved,https://openalex.org/W4402130168,Bogdan Ghita
Sheffield Hallam University,,,019wt1929,ror_id,high,false,resolved,https://openalex.org/W4402130168,Bogdan Ghita
Leeds Beckett University,,,02xsh5r57,ror_id,high,false,resolved,https://openalex.org/W4402130168,Bogdan Ghita
University of Plymouth,,,008n7pv89,ror_id,high,false,resolved,https://openalex.org/W4402130168,Bogdan Ghita
Virginia Tech,,,02smfhw86,ror_id,high,false,resolved,https://openalex.org/W4402264364,Sifat Muhammad Abdullah
International Institute of Information Technology,,,02dernx73,ror_id,high,false,resolved,https://openalex.org/W4408018363,Pranav Sathe
Allied Services,,,02trh1t47,ror_id,high,false,resolved,https://openalex.org/W4406611495,Reena S. Satpute
Dominican University,,,01qww1p93,ror_id,high,false,resolved,https://openalex.org/W4406611495,Chidozie Peter Onwe
Haliç University,,,022xhck05,ror_id,high,false,resolved,https://openalex.org/W4388851105,Arash Heidari
Kadir Has University,,,03zzckc47,ror_id,high,false,resolved,https://openalex.org/W4388851105,Nima Jafari Navimipour
National Yunlin University of Science and Technology,,,04qkq2m54,ror_id,high,false,resolved,https://openalex.org/W4388851105,Nima Jafari Navimipour
İstanbul Nişantaşı Üniversitesi,,,04tah3159,ror_id,high,false,resolved,https://openalex.org/W4388851105,Mehmet Ünal
Shandong University of Political Science and Law,,,01b2j5886,ror_id,high,false,resolved,https://openalex.org/W3084142230,Xu Chang
Bar-Ilan University,,,03kgsv495,ror_id,high,false,resolved,https://openalex.org/W3173581984,Yuval Nirkin
Tel Aviv University,,,04mhzgx49,ror_id,high,false,resolved,https://openalex.org/W3173581984,Lior Wolf
Menlo School,,,01240pn49,ror_id,high,false,resolved,https://openalex.org/W3173581984,Tal Hassner
Meta (United States),,,01zbnvs85,ror_id,high,false,resolved,https://openalex.org/W3173581984,Tal Hassner
University of Kerala,,,05tqa9940,ror_id,high,false,resolved,https://openalex.org/W4410253117,Arvanitis Theodoros N.
AISSMS Institute of Information Technology,,,01bg3pz19,ror_id,high,false,resolved,https://openalex.org/W4394009764,Mrs. Prajwal S
Tun Hussein Onn University of Malaysia,,,01c5wha71,ror_id,high,false,resolved,https://openalex.org/W4408401076,Lee Kar Yee
Universiti Malaysia Sarawak,,,05b307002,ror_id,high,false,resolved,https://openalex.org/W4408401076,Kuryati Kipli
Graphic Era University,,,03wqgqd89,ror_id,high,false,resolved,https://openalex.org/W4389633690,Vrince Vimal
St. Joseph's Institute of Technology,,,012npkr10,ror_id,high,false,resolved,https://openalex.org/W4402353496,T. Manju
PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,,,01sa9ng67,ror_id,high,false,resolved,https://openalex.org/W4402353496,S. Kalarani
Karabük University,,,04wy7gp54,ror_id,high,false,resolved,https://openalex.org/W4283712107,Saadaldeen Rashid Ahmed
Marmara University,,,02kswqa67,ror_id,high,false,resolved,https://openalex.org/W4283712107,Adil Deniz Duru
Kahramanmaraş Sütçü İmam University,,,03gn5cg19,ror_id,high,false,resolved,https://openalex.org/W4408853348,Lutfi Emre Demir
Fraunhofer-Gesellschaft,,,05hkkdn48,ror_id,high,false,resolved,https://openalex.org/W3170631962,Felix Blanke
University of Bonn,,,041nas322,ror_id,high,false,resolved,https://openalex.org/W3170631962,Jochen Garcke
APJ Abdul Kalam Technological University,,,04yn30r61,ror_id,high,false,resolved,https://openalex.org/W3128257465,K. Remya Revi
Deakin University,,,02czsnj07,ror_id,high,false,resolved,https://openalex.org/W3045755384,Thanh Thi Nguyen
Chongqing University of Science and Technology,,,03n3v6d52,ror_id,high,false,resolved,https://openalex.org/W4406867188,Guorong Chen
University of Liverpool,,,04xs57h96,ror_id,high,false,resolved,https://openalex.org/W4413144523,Zhenglin Huang
Nanyang Technological University,,,02e7b5302,ror_id,high,false,resolved,https://openalex.org/W4413144523,Xiangtai Li
University of Warwick,,,01a77tt86,ror_id,high,false,resolved,https://openalex.org/W4413144523,Xingyu Zhao
"Chinese University of Hong Kong, Shenzhen",,,02d5ks197,ror_id,high,false,resolved,https://openalex.org/W4413144523,Baoyuan Wu
Sunway University,,,04mjt7f73,ror_id,high,false,resolved,https://openalex.org/W4413255768,Jefferson Ng
University of Aleppo,,,03mzvxz96,ror_id,high,false,resolved,https://openalex.org/W4413255768,Bayan Issa
Amrita Vishwa Vidyapeetham,,,03am10p12,ror_id,high,false,resolved,https://openalex.org/W4409586875,Talluri Harshitha
University of Cagliari,,,003109y17,ror_id,high,false,resolved,https://openalex.org/W4297477523,Giovanni Puglisi
Mercatorum University,,,03znjxt55,ror_id,high,false,resolved,https://openalex.org/W4297477523,Roberto Caldelli
"University of Nevada, Reno",,,01keh0577,ror_id,high,false,resolved,https://openalex.org/W4402716164,Ping Liu
Guangdong University of Technology,,,04azbjn80,ror_id,high,false,resolved,https://openalex.org/W4415428300,Zili Xu
Qilu University of Technology,,,04hyzq608,ror_id,high,false,resolved,https://openalex.org/W4415428300,Fuqiang Yu
University of Florence,,,04jr1s763,ror_id,high,false,resolved,https://openalex.org/W3010352349,Daniele Baracchi
Bowie State University,,,0567w8j84,ror_id,high,false,resolved,https://openalex.org/W4386214843,Galamo Monkam
University of Baltimore,,,024gw2733,ror_id,high,false,resolved,https://openalex.org/W4386214843,Weifeng Xu
Texas Tech University,,,0405mnx93,ror_id,high,false,resolved,https://openalex.org/W4411926716,Abhilash Reddy Gunukula
Louisiana State University of Alexandria,,,043z25g17,ror_id,high,false,resolved,https://openalex.org/W4411926716,Himel Das Gupta
Carnegie Institution for Science,,,04jr01610,ror_id,high,false,resolved,https://openalex.org/W4394891207,Alexander Moskowitz
Haemonetics (United States),,,02vxa5545,ror_id,high,false,resolved,https://openalex.org/W4394891207,Jacob Peterson
Florida International University,,,02gz6gg07,ror_id,high,false,resolved,https://openalex.org/W7125199518,Arpan Mahara
Nanchang University,,,042v6xz23,ror_id,high,false,resolved,https://openalex.org/W4408352289,Feng Ding
Jinan University,,,02xe5ns62,ror_id,high,false,resolved,https://openalex.org/W4401287425,Jiahan Chen
Yulin Normal University,,,00445hv47,ror_id,high,false,resolved,https://openalex.org/W4401287425,Hailiang Liao
Institute of Engineering,,,03ny67e60,ror_id,high,false,resolved,https://openalex.org/W4410120556,Abhishek Pratap Singh
Friedrich-Alexander-Universität Erlangen-Nürnberg,,,00f7hpc57,ror_id,high,false,resolved,https://openalex.org/W2912336782,Christian Rieß
Georgetown University,,,05vzafd60,ror_id,high,false,resolved,https://openalex.org/W4407129617,Maryam Yashtini
University of Rajshahi,,,05nnyr510,ror_id,high,false,resolved,https://openalex.org/W4415936841,Mohd Ruhul Ameen
City University of Hong Kong,,,03q8dnn23,ror_id,high,false,resolved,https://openalex.org/W4413146215,Nan Zhong
Fudan University,,,013q1eq08,ror_id,high,false,resolved,https://openalex.org/W4413146215,Yiran Xu
MIT University,,,00v140q16,ror_id,high,false,resolved,https://openalex.org/W4394571198,T.J. Thomson
RMIT University,,,04ttjf776,ror_id,high,false,resolved,https://openalex.org/W4394571198,T.J. Thomson
Washington State University,,,05dk0ce17,ror_id,high,false,resolved,https://openalex.org/W4394571198,Ryan J. Thomas
Queensland University of Technology,,,03pnv4752,ror_id,high,false,resolved,https://openalex.org/W4394571198,Phoebe Matich
New York University,,,0190ak572,ror_id,high,false,resolved,https://openalex.org/W4406443479,Nouar AlDahoul
Northeast Agricultural University,,,0515nd386,ror_id,high,false,resolved,https://openalex.org/W3135589907,Keke Zhang
Chitkara University,,,057d6z539,ror_id,high,false,resolved,https://openalex.org/W4400793389,Vinay Gautam
Sharda University,,,03b6ffh07,ror_id,high,false,resolved,https://openalex.org/W4400793389,Ambuj Kumar Agarwal
University of Newcastle Australia,,,00eae9z71,ror_id,high,false,resolved,https://openalex.org/W2766065312,Abdul Jabbar
Shenzhen Academy of Robotics,,,01h027j09,ror_id,high,false,resolved,https://openalex.org/W4284974950,Junhua Zhao
Guangxi Medical University,,,03dveyr97,ror_id,high,false,resolved,https://openalex.org/W4284974950,Weijin Fu
First Affiliated Hospital of GuangXi Medical University,,,030sc3x20,ror_id,high,false,resolved,https://openalex.org/W4284974950,Weijin Fu
University of Engineering and Technology Taxila,,,03v00ka07,ror_id,high,false,resolved,https://openalex.org/W4375955734,Rimsha Rafique
Chonnam National University,,,05kzjxq56,ror_id,high,false,resolved,https://openalex.org/W4375955734,Rahma Gantassi
Karnatak University,,,05ajnv358,ror_id,high,false,resolved,https://openalex.org/W4375955734,Rashid Amin
VSB - Technical University of Ostrava,,,05x8mcb75,ror_id,high,false,resolved,https://openalex.org/W4375955734,Jaroslav Frnda
University of Žilina,,,031wwwj55,ror_id,high,false,resolved,https://openalex.org/W4375955734,Jaroslav Frnda
