paper_id,title,doi,previous_overall,corrected_overall,overall_changed,trigger_scope,global_reason,local_reasons,curation_status,review_status,needs_review,venue_review_required,affiliation_review_state,mapping_statuses,field_specific_overrides,unresolved_public_fields
curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_added,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:d6f1c90d69e8b0e68e4f,All-Around Forgery Clues for Generalizable AI-Generated Image Detection,10.1016/j.patcog.2026.114661,Needs review,Needs review,false,global,review_status=pending; curation_status=needs_review,affiliation_review_state=curated | mapping_status=needs_review (source-backed) | affiliation.preliminary=true | needs_review=true (derived aggregate; not a global paper decision),needs_review,pending,true,false,curated,active|needs_review,{},title|publication_date|venue|publication_type|doi|affiliations
curated:92fe1dfd435209b21ff4,Anchor-Regularized Adaptation for Generalizable AI-Generated Image Detection with DINOv3,,Needs review,Needs review,false,global,review_status=pending; curation_status=needs_review,affiliation_review_state=curated | mapping_status=needs_review (source-backed) | affiliation.preliminary=true | needs_review=true (derived aggregate; not a global paper decision),needs_review,pending,true,false,curated,active|needs_review,{},title|publication_date|venue|publication_type|arxiv|affiliations
curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,10.1109/tmm.2026.3694528,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}}",
curated:db62aa9b0b1aab0c9f7a,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,10.1109/ic2pct68894.2026.11584299,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,10.48550/arxiv.2603.10583,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,10.1145/3810988.3812662,Needs review,Verified,true,local,review_status=reviewed,venue_review_required=true | affiliation_review_state=curated,manually_confirmed,reviewed,false,true,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}, ""venue"": {""source"": ""OpenAlex"", ""status"": ""Needs review""}}",venue
curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,10.1109/lsp.2026.3678476,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""status"": ""Curated""}}",
curated:aa7dceb70828cdd6ad39,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:ce21a7aa219b08d1b81a,Beyond Backbones: Degradation-Aware Prototype Fusion for Robust Deepfake Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:49cc18f090b2488dda2d,Beyond Binary Classification: A Semi-Supervised Approach to Generalized AI-Generated Image Detection,10.1609/aaai.v40i42.40886,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:672e9600fc8b6ead6ab1,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,10.1109/lsp.2026.3714736,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""status"": ""Curated""}}",
curated:9d722dfb4a3418d86063,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,10.1007/978-981-92-3420-2_35,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-Level Mapping for Generalized AI-Generated Image Detection,10.1609/aaai.v40i42.40927,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|needs_review,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}}",
curated:f7906cb987975444e893,Boosting Robust AIGI Detection with LoRA-Based Pairwise Training,10.48550/arxiv.2604.12307,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:7287cadbc4b8408fd16b,Breaking Manifold Continuity: Vector Quantized Modeling for Real-Centric Deepfake Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_added,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:31c548f5aa68f9075659,CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images,10.1609/aaai.v40i9.37642,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:dd5b85612778b9021f4e,CCMA-CLIP: Concept-Guided Cross-Modal Adaptation for Robust AI-Generated Image Detection,10.1007/978-981-92-3531-5_9,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""status"": ""Curated""}}",
curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,10.1109/tifs.2026.3676657,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}}",
curated:9b7e6c57a9f75e06fddf,CLIP-SegFusion: An Attention-Guided Feature Fusion Framework for Multi-Level Detection on AI-Generated Artworks,10.1145/3805622.3810639,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:e29203ef9599b73d8733,CoDA: Color Distribution Probing for Efficient and Generalizable AI-Generated Image Detection,10.1109/tpami.2026.3696399,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,10.1145/3785353.3815073,Needs review,Verified,true,local,review_status=reviewed,venue_review_required=true | affiliation_review_state=curated,manually_confirmed,reviewed,false,true,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}, ""venue"": {""source"": ""OpenAlex"", ""status"": ""Needs review""}}",venue
curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,10.1145/3785353.3815097,Needs review,Verified,true,local,review_status=reviewed,venue_review_required=true | affiliation_review_state=curated,manually_confirmed,reviewed,false,true,curated,active,"{""affiliations"": {""source"": ""Publisher"", ""status"": ""Curated""}, ""venue"": {""source"": ""OpenAlex"", ""status"": ""Needs review""}}",venue
curated:b4940a39cbd4a3117473,Cross-Domain Synthetic Image Detection via Few-Shot Adaptation,10.1007/978-3-032-31933-3_5,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:1d3010a3086b0a08317d,Cross-Modal Representation Learning for Diffusion-Generated Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:a05de778283ed84d3f90,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:5888bece56862fbbfc43,DADP: A Discrepancy-Aware Dual-Path Network for AI-Generated Image Detection,10.1007/s00530-026-02435-2,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
doi:10.1109/tcsvt.2026.3656696,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,10.1109/tcsvt.2026.3656696,Needs review,Source metadata,true,local,no authoritative paper-level review or curation status,affiliation_review_state=unreviewed | affiliation.preliminary=true | needs_review=true (derived aggregate; not a global paper decision),,,true,false,unreviewed,,"{""affiliations"": {""status"": ""Needs review""}}",affiliations
curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,10.1609/aaai.v40i8.37553,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:239572598dfae08d563b,DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,10.1007/978-3-032-07343-3_12,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:86507b243a7d58c76b2c,Deep-Synthesized Image Detection via Multi-Domain Feature Fusion and Explainable AI Guided Color Model Selection,10.1016/j.cviu.2026.104881,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:1398fe67015092fb543d,Deepfake Detection on Low-Resolution Images Using Optimized Ensemble Learning,10.1007/s00521-026-12359-7,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:d973c571c1fafe6fb25f,Deepfake-Agent: Aggregating Semantic Forgery Clues for Generalizable Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_added,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:54a373c86043477d3b68,Defake-O3: From Speculative Rationales to Verifiable Evidence for Explainable AIGI Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""arXiv"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-Modal Language Models,10.18653/v1/2026.acl-industry.15,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
doi:10.1109/qpain69676.2026.11545865,Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,10.1109/qpain69676.2026.11545865,Needs review,Source metadata,true,local,no authoritative paper-level review or curation status,affiliation_review_state=unreviewed | needs_review=true (derived aggregate; not a global paper decision),,,true,false,unreviewed,,"{""affiliations"": {""status"": ""Needs review""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Source metadata""}}",affiliations
curated:417b1f4f681de2a47dbf,Detecting Compressed AI-Generated Images via Phase Spectrum Robustness,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active|needs_review,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:7ed4e932c4dac57d0136,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,10.48550/arxiv.2511.13108,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,10.1109/lsp.2026.3687792,Needs review,Verified,true,local,review_status=reviewed,affiliation_review_state=unreviewed | affiliation.preliminary=true | needs_review=true (derived aggregate; not a global paper decision),manually_confirmed,reviewed,true,false,unreviewed,needs_review,"{""affiliations"": {""status"": ""Needs review""}}",affiliations
curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,10.48550/arxiv.2606.10309,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:a1926ecb09e1e945bbad,Diversity over Uniformity: Rethinking Representation in Generated Image Detection,,Needs review,Verified,true,local,review_status=reviewed,affiliation_review_state=curated | needs_review=true (derived aggregate; not a global paper decision),confirmed,reviewed,true,false,curated,active|needs_review,"{""affiliations"": {""status"": ""Needs review""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",affiliations
curated:0b6c1b00c1b39838db42,DNA: Dual-Stage Native Attribution for Generated Image Source Tracing,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:66ace53ae822cee4c24c,DocShield: Towards AI Document Safety via Evidence-Grounded Agentic Reasoning,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""arXiv"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,10.1109/lsp.2026.3710437,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:ab6b43e21ae47dadafe0,Dual Frequency Branch Framework with Reconstructed Sliding Windows Attention for AI-Generated Image Detection,10.1109/tifs.2026.3664000,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:983a33a1268421bbfc71,Dual-Branch AIGC Image Detection Leveraging Integrated Semantic and Frequency-Domain Features,10.1016/j.cviu.2026.104893,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""status"": ""Curated""}}",
curated:aeb3a6e4747e1a1b3181,Dual-Stream Framework for Real/Fake Classification and Source Attribution of AI-Generated Images Using Spatial and Frequency Features,10.1007/s10044-026-01719-7,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:52edb9369ffaae37bd81,Dual-Tree Complex Wavelet Driven Hierarchical Spatial-Frequency Fusion Learning for Robust Deepfake Detection,10.1109/tdsc.2026.3712721,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""OpenAlex"", ""status"": ""Curated""}}",
curated:20975a1b80c227684804,DualSight: Learning to Disentangle Artifact and Semantic Features for Detection of Diffusion-Generated Images,10.1007/978-3-032-31335-5_18,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,10.1609/aaai.v40i42.40868,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:69dbedc9fd032cbd190b,Editprint: General Digital Image Forensics via Editing Fingerprint with Self-Augmentation Training,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:634d12d4ee0e1b3d8064,Efficient AI-Generated Image Detection via Confidence-Aware Cascading,10.1109/icbdse70225.2026.11635577,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:adf8025bbe37e5e601cd,Enabling Supervised Learning of Generative Signatures for Generalized AI-Generated Images Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,10.1109/tdsc.2026.3677794,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active|excluded,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-Based Framework for Practical and Evolving AI-Generated Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Verified""}}",
curated:41a934ce12ecfd2f17e9,EXACT: An Explainable Adaptive SemantiC-Trace Framework for AI-Generated Image Forensics,10.1016/j.cviu.2026.104871,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:46773aac10dade5fbd50,Explainability-Driven Analysis of AI-Generated Image Detectors: Insights Into Generalization and Failure Modes,10.1007/978-3-032-23347-9_28,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,manually_confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
doi:10.1609/aaai.v40i13.38060,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,10.1609/aaai.v40i13.38060,Needs review,Source metadata,true,local,no authoritative paper-level review or curation status,affiliation_review_state=unreviewed | affiliation.preliminary=true | needs_review=true (derived aggregate; not a global paper decision),,,true,false,unreviewed,,"{""affiliations"": {""status"": ""Needs review""}, ""arxiv"": {""source"": ""arXiv"", ""status"": ""Source metadata""}}",affiliations
curated:10b24e1d35ca792385ac,Exploiting the Source-Asymmetry Confidence Gap for Generalizable AI-Generated Image Detection,,Verified,Verified,false,global,review_status=reviewed,affiliation_review_state=curated,confirmed,reviewed,false,false,curated,active,"{""affiliations"": {""source"": ""Manual curation"", ""status"": ""Curated""}}",
curated:8503e319e1f4890c2e28,FAIR: Feature-Augmented Implicit Regularization for AI-Generated Fake Image Detection,10.48550/arxiv.2607.22087,Needs review,Needs review,false,global,review_status=pending; curation_status=needs_review,affiliation_review_state=curated | needs_review=true (derived aggregate; not a global paper decision),needs_review,pending,true,false,curated,active,"{""affiliations"": {""source"": ""arXiv"", ""status"": ""Curated""}}",title|publication_date|venue|publication_type|doi|arxiv
