category,paper_id,title,venue_id,venue_name,venue_type,venue_track,resolved_venue_id,note
no_action_required,curated:253c210194ac9348f9e6,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,,,journal,,,
no_action_required,curated:c9485f4d5346304272f2,Frequency Masking for Universal Deepfake Detection,,,journal,,,
no_action_required,curated:8603d8942c241dd876ed,On the Exploitation of DCT-Traces in the Generative-AI Domain,,,journal,,,
no_action_required,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,,,journal,,,
no_action_required,curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,,,journal,,,
no_action_required,curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,venue:icml:main,International Conference on Machine Learning,conference,main,venue:icml:main,
no_action_required,curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:e688194977fa7bbf7db3,LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,,,journal,,,
dangling_venue_id,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,venue:hal-le-centre-pour-la-communication-scientifique-directe,HAL (Le Centre pour la Communication Scientifique Directe),journal,,venue:hal-le-centre-pour-la-communication-scientifique-directe,paper venue_id is absent from the canonical registry
no_action_required,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,,,journal,,,
no_action_required,curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,,,conference,main,,
no_action_required,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,,,journal,,,
no_action_required,curated:b7664c48f91262cfe091,StealthDiffusion: Towards Evading Diffusion Forensic Detection through Diffusion Model,,,journal,,,
dangling_venue_id,curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,venue:ieee-access,IEEE Access,journal,,venue:ieee-access,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:0b2081f70faaf81278dc,Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,venue:knowledge-uchicago-university-of-chicago,Knowledge@UChicago (University of Chicago),journal,,venue:knowledge-uchicago-university-of-chicago,paper venue_id is absent from the canonical registry
no_action_required,curated:b1977dc0fcca329719f0,Towards the Detection of Diffusion Model Deepfakes,,,journal,,,
dangling_venue_id,curated:c420495aae5c20e0ea2a,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection,venue:international-conference-on-multimedia-modeling:main,International Conference on Multimedia Modeling,conference,main,venue:international-conference-on-multimedia-modeling:main,paper venue_id is absent from the canonical registry
no_action_required,curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:cf55e35fcf11e09fdd12,Locate-Then-Examine: Grounded Region Reasoning Improves Detection of AI-Generated Images,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:be2900947b322f9eb905,OmniDFA: A Unified Framework for Open Set Synthesis Image Detection and Few-Shot Attribution,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:8e9658fa727094695be8,MIRAGE: Towards AI-Generated Image Detection in the Wild,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,venue:acm-mm:main,ACM International Conference on Multimedia,conference,main,venue:acm-mm:main,
no_action_required,curated:79adf19ca6991c1d85f8,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,venue:arxiv,arXiv,preprint,,venue:arxiv,
dangling_venue_id,curated:074bb9a77ee85d50090c,Aperture: a patch-aware framework for joint forgery detection and localization,venue:vicinagearth,Vicinagearth.,journal,,venue:vicinagearth,paper venue_id is absent from the canonical registry
no_action_required,curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:4d91354cd919a64a2259,Few-Shot Learner Generalizes Across AI-Generated Image Detection,venue:icml:main,International Conference on Machine Learning,conference,main,venue:icml:main,
no_action_required,curated:3c3cd6143ece4045b378,Generalized Design Choices for Deepfake Detectors,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,main,venue:iccv:main,
no_action_required,curated:61baa52cd3bc07215faf,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,venue:zenodo,Zenodo,preprint,,venue:zenodo,
no_action_required,curated:ee47e898ad64ec14b709,Training-free Source Attribution of AI-generated Images via Resynthesis,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,workshops,venue:wifs:main,
no_action_required,curated:3bd79627ad7e70a28a97,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
dangling_venue_id,curated:a1eea412716e4d045da6,Source Attribution of AI-Generated Images in Data Scarcity Conditions via Training-Free Resynthesis,venue:ieee-open-journal-of-signal-processing,IEEE Open Journal of Signal Processing,journal,,venue:ieee-open-journal-of-signal-processing,paper venue_id is absent from the canonical registry
no_action_required,curated:5a91cc922c8a3c4c3d0c,Open Set Synthetic Image Source Attribution,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:3864d12fe8df7b9cb19c,Detecting computer-generated images by using only real images,venue:international-conference-on-machine-vision:main,International Conference on Machine Vision,conference,main,venue:international-conference-on-machine-vision:main,
no_action_required,curated:31a4d429d7c5750bd778,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,venue:neurips:main,Advances in Neural Information Processing Systems,conference,main,venue:neurips:main,
no_action_required,curated:c6bb6e1e0a4d4eb372b5,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,venue:neurips:main,Advances in Neural Information Processing Systems,conference,main,venue:neurips:main,
no_action_required,curated:0b34eeaa2b4f5b0a7b3b,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,venue:iclr:main,International Conference on Learning Representations,conference,main,venue:iclr:main,
no_action_required,curated:f158c57190bcd2c8405c,Is Artificial Intelligence Generated Image Detection a Solved Problem?,venue:neurips:main,Advances in Neural Information Processing Systems,conference,main,venue:neurips:main,
dangling_venue_id,curated:211ea83fa8d41c8ec810,AI-generated image detection algorithm based on classical-quantum hybrid neural network,venue:science-china-information-sciences,Science China Information Sciences,journal,,venue:science-china-information-sciences,paper venue_id is absent from the canonical registry
no_action_required,curated:29878fee09624b7d105d,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,venue:ieee-transactions-on-pattern-analysis-and-machine-intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,,venue:ieee-transactions-on-pattern-analysis-and-machine-intelligence,
no_action_required,curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:911d693997183535a4ac,Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,venue:acm-mm:main,ACM International Conference on Multimedia,conference,main,venue:acm-mm:main,
no_action_required,curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-hoc Distribution Alignment,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:fe2c4c4c423cdd91d6d3,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:d9f9207830bec1da388f,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:9a84f4f666bcdda92186,Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,venue:arxiv,arXiv,preprint,,venue:arxiv,
dangling_venue_id,curated:40db3b79c5d83b80e5a4,Fake-GPT: Detecting Fake Image via Large Language Model,venue:pattern-recognition-and-computer-vision-7th-chinese-conference:main,Pattern Recognition and Computer Vision: 7th Chinese Conference,conference,main,venue:pattern-recognition-and-computer-vision-7th-chinese-conference:main,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:0f774e5d7c63020bdc50,Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,venue:neurocomputing,Neurocomputing,journal,,venue:neurocomputing,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:67a6b7828afaed59e1c0,Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,venue:electronics,Electronics,journal,,venue:electronics,paper venue_id is absent from the canonical registry
no_action_required,curated:772bb625ccc3e45e8481,Prompt-Engineered Detection of AI-Generated Images,,,,,,
no_action_required,curated:f105a82454d369e100b9,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,venue:wacv:main,IEEE/CVF Winter Conference on Applications of Computer Vision,conference,main,venue:wacv:main,
no_action_required,curated:3fcd3bc4dd2c9d8c3b80,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
dangling_venue_id,curated:5fde2c559e029508e0c3,Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection\n of Generated Images and the Impact of Prompts,venue:1stworkshop-on-genai-content-detection:main,1stWorkshop on GenAI Content Detection,conference,main,venue:1stworkshop-on-genai-content-detection:main,paper venue_id is absent from the canonical registry
no_action_required,curated:cda6067db322246e8195,No Detector to Rule Them All,,,conference,main,,
no_action_required,curated:d59bffe554500b241a3e,ImageAttributionBench: How Far Are We from Generalizable Attribution?,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:5f105b70c28ce5beeb0b,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,venue:arxiv,arXiv,preprint,,venue:arxiv,
no_action_required,curated:1d944c47839b3890a623,Are handcrafted filters helpful for attributing AI-generated images?,venue:acm-mm:main,ACM International Conference on Multimedia,conference,main,venue:acm-mm:main,
no_action_required,curated:56cb44d373ab183b7df9,On the Use of Mixup Augmentation for Synthetic Image Attribution in the Wild,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,workshops,venue:wifs:main,
no_action_required,curated:2117831292318de4cf18,Explainable Artifacts for Synthetic Western Blot Source Attribution,venue:wifs:main,IEEE International Workshop on Information Forensics and Security,conference,workshops,venue:wifs:main,
dangling_venue_id,curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,venue:image-analysis-and-processing-iciap-2025-workshops-23rd-international-conference:workshops,Image Analysis and Processing - ICIAP 2025 Workshops: 23rd International Conference,conference,workshops,venue:image-analysis-and-processing-iciap-2025-workshops-23rd-international-conference:workshops,paper venue_id is absent from the canonical registry
no_action_required,curated:8c85a92b00aa321fbe8c,Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,venue:apsipa-asc:main,Asia Pacific Signal and Information Processing Association Annual Summit and Conference,conference,main,venue:apsipa-asc:main,
no_action_required,curated:2c278dcd079ea27d0f73,MAID: Model Attribution via Inverse Diffusion,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,main,venue:icassp:main,
no_action_required,curated:1ec62a78a4e0372bc0d9,ReTD: Reconstruction-Based Traceability Detection for Generated Images,venue:icassp:main,"IEEE International Conference on Acoustics, Speech and Signal Processing",conference,main,venue:icassp:main,
dangling_venue_id,curated:1c590f67c931d712bb78,An Efficient Frequency Domain Based Attribution and Detection Network,venue:ieee-access,IEEE Access,journal,,venue:ieee-access,paper venue_id is absent from the canonical registry
no_action_required,curated:3e94d8fc69e41aade2cc,D <sup>3</sup> QE: Learning Discrete Distribution Discrepancy-Aware Quantization Error for Autoregressive-Generated Image Detection,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,main,venue:iccv:main,
no_action_required,curated:16646ad4b7b77cde2ad8,One for All: Synthesis-Free Fingerprint Learning for Attribution of In-the-Wild Synthetic Images,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:246f07c81b9f91e527eb,IncreFA: Breaking the Static Wall of Generative Model Attribution,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:170f07b3d7020611e566,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,main,venue:iccv:main,
no_action_required,curated:fb05dfbc95518f6fb1db,Source Generator Attribution via Inversion,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,workshops,venue:cvpr:workshops,
no_action_required,curated:dcf7aae2c8590b07aff3,Leveraging Frequency Analysis for Deep Fake Image Recognition,venue:icml:main,International Conference on Machine Learning,conference,main,venue:icml:main,
no_action_required,curated:baa48a1bff3effa2e915,Universal Detection and Source Attribution of Diffusion Model Generated Images with High Generalization and Robustness,venue:premi:main,International Conference on Pattern Recognition and Machine Intelligence,conference,main,venue:premi:main,
no_action_required,curated:625ba11125534aedd39d,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,venue:eccv:main,European Conference on Computer Vision,conference,main,venue:eccv:main,
no_action_required,curated:1ef55e4fc03eb4880beb,Towards Universal Fake Image Detectors that Generalize Across Generative Models,venue:cvpr:main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,main,venue:cvpr:main,
no_action_required,curated:2465f28a94bb45bec499,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,main,venue:iccv:main,
no_action_required,curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,venue:neurips:main,Advances in Neural Information Processing Systems,conference,main,venue:neurips:main,
no_action_required,curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,,,,,,
no_action_required,curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:f6ad15b01df18aadfe1a,PRADA: Probability-Ratio-Based Attribution and Detection of Autoregressive-Generated Images,venue:cvpr:findings,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,findings,venue:cvpr:findings,
no_action_required,curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-modal Language Models,venue:acl:industry,Annual Meeting of the Association for Computational Linguistics,conference,industry,venue:acl:industry,
no_action_required,curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,venue:ih-mmsec:main,ACM Workshop on Information Hiding and Multimedia Security,conference,workshops,venue:ih-mmsec:main,
no_action_required,curated:bb388762c1cb4bd3bf4a,Quality-Aware Calibration for AI-Generated Image Detection in the Wild,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,workshops,venue:cvpr:workshops,
no_action_required,curated:589870527983af575480,The Deployment Gap in AI Media Detection: Platform-Aware and Visually Constrained Adversarial Evaluation,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,workshops,venue:cvpr:workshops,
no_action_required,curated:f7906cb987975444e893,Boosting Robust AIGI Detection with LoRA-based Pairwise Training,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,workshops,venue:cvpr:workshops,
dangling_venue_id,curated:efceafb2be2246aa120b,Weakly‐Aligned Region‐Language Transformer for Real‐Time Artistic Content Detection in SAGIN,venue:transactions-on-emerging-telecommunications-technologies,Transactions on Emerging Telecommunications Technologies,journal,,venue:transactions-on-emerging-telecommunications-technologies,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:8ffdbd0ba264927d1c3a,Robust Fake Image Detection via Incremental Training of Siamese Neural Networks,venue:international-symposium-on-cyberspace-safety-and-security:main,International Symposium on Cyberspace Safety and Security,conference,main,venue:international-symposium-on-cyberspace-safety-and-security:main,paper venue_id is absent from the canonical registry
no_action_required,curated:08aa2b51bb36247bdda3,RealNet: Efficient and Unsupervised Detection of AI-Generated Images via Real-Only Representation Learning,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:89f7a674fe872806006b,ODDN: Addressing Unpaired Data Challenges in Open-World Deepfake Detection on Online Social Networks,venue:aaai:main,AAAI Conference on Artificial Intelligence,conference,main,venue:aaai:main,
no_action_required,curated:8cb907bc9003c61325f8,E3: Ensemble of Expert Embedders for Adapting Synthetic Image Detectors to New Generators Using Limited Data,venue:cvpr:workshops,IEEE/CVF Conference on Computer Vision and Pattern Recognition,conference,workshops,venue:cvpr:workshops,
no_action_required,curated:aa6672aa3ab0a0709e32,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,venue:iccv:main,IEEE/CVF International Conference on Computer Vision,conference,main,venue:iccv:main,
no_action_required,curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,venue:ieee-signal-processing-letters,IEEE Signal Processing Letters,journal,,venue:ieee-signal-processing-letters,
no_action_required,curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,venue:ieee-transactions-on-information-forensics-and-security,IEEE Transactions on Information Forensics and Security,journal,,venue:ieee-transactions-on-information-forensics-and-security,
no_action_required,curated:c495f498c11dab35ecbc,FALCON-Net: Feature Aggregation of Local Patterns for AI-Generated Image Detection,venue:ieee-transactions-on-information-forensics-and-security,IEEE Transactions on Information Forensics and Security,journal,,venue:ieee-transactions-on-information-forensics-and-security,
dangling_venue_id,curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,venue:ieee-transactions-on-dependable-and-secure-computing,IEEE Transactions on Dependable and Secure Computing,journal,,venue:ieee-transactions-on-dependable-and-secure-computing,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,venue:ieee-internet-of-things-journal,IEEE Internet of Things Journal,journal,,venue:ieee-internet-of-things-journal,paper venue_id is absent from the canonical registry
no_action_required,curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features into CLIP for AI-Generated Image Detection,venue:ieee-transactions-on-multimedia,IEEE Transactions on Multimedia,journal,,venue:ieee-transactions-on-multimedia,
dangling_venue_id,curated:167b4dd09fa505470bce,NSFF: Noise and semantic features fusion for AI-generated image detection,venue:neural-networks,Neural Networks,journal,,venue:neural-networks,paper venue_id is absent from the canonical registry
dangling_venue_id,curated:316fc03d348baa637bb4,Geometric-semantic dual-adaptation for generalizable AI-generated image detection,venue:neurocomputing,Neurocomputing,journal,,venue:neurocomputing,paper venue_id is absent from the canonical registry
no_action_required,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,venue:mad:main,ACM International Workshop on Multimedia AI against Disinformation,conference,workshops,venue:mad:main,
no_action_required,curated:0d918782407e05ade5bd,Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion,venue:mad:main,ACM International Workshop on Multimedia AI against Disinformation,conference,workshops,venue:mad:main,
dangling_venue_id,curated:46773aac10dade5fbd50,Explainability-Driven Analysis of AI-Generated Image Detectors: Insights into Generalization and Failure Modes,venue:international-conference-on-advanced-information-networking-and-applications:main,International Conference on Advanced Information Networking and Applications,conference,main,venue:international-conference-on-advanced-information-networking-and-applications:main,paper venue_id is absent from the canonical registry
no_action_required,curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,venue:ih-mmsec:main,ACM Workshop on Information Hiding and Multimedia Security,conference,workshops,venue:ih-mmsec:main,
no_action_required,curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,venue:ieee-signal-processing-letters,IEEE Signal Processing Letters,journal,,venue:ieee-signal-processing-letters,
dangling_venue_id,curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,venue:pacific-asia-conference-on-knowledge-discovery-and-data-mining:main,Pacific-Asia Conference on Knowledge Discovery and Data Mining,conference,main,venue:pacific-asia-conference-on-knowledge-discovery-and-data-mining:main,paper venue_id is absent from the canonical registry
