paper_id,title,task,old_subtask,assessment
curated:25c76f83f95efc6207a4,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,detection,,empty
curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,detection,,empty
curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,detection,,empty
curated:a6f370defb21b2e07381,Your Diffusion Model is an Implicit Synthetic Image Detector,detection,ai_generated_image_detection,consistent
curated:a87d86d7032f5a751004,ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,detection,,empty
curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,detection,,empty
curated:253c210194ac9348f9e6,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,detection,,empty
curated:c9485f4d5346304272f2,Frequency Masking for Universal Deepfake Detection,detection,,empty
curated:8603d8942c241dd876ed,On the Exploitation of DCT-Traces in the Generative-AI Domain,detection,,empty
curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,detection,,empty
curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,detection,,empty
curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,detection,,empty
curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",detection,,empty
curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",detection,,empty
curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,detection,,empty
curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,detection,,empty
curated:e688194977fa7bbf7db3,LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,detection,,empty
curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,detection,,empty
curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,detection,,empty
curated:f3e1319a5e27319578cd,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,detection,,empty
curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,detection,,empty
curated:b7664c48f91262cfe091,StealthDiffusion: Towards Evading Diffusion Forensic Detection through Diffusion Model,detection,,empty
curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,detection,,empty
curated:0b2081f70faaf81278dc,Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,detection,,empty
curated:b1977dc0fcca329719f0,Towards the Detection of Diffusion Model Deepfakes,detection,,empty
curated:c420495aae5c20e0ea2a,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection,detection,,empty
curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-based Framework for Practical and Evolving AI-Generated Image Detection,detection,,empty
curated:cf55e35fcf11e09fdd12,Locate-Then-Examine: Grounded Region Reasoning Improves Detection of AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:be2900947b322f9eb905,OmniDFA: A Unified Framework for Open Set Synthesis Image Detection and Few-Shot Attribution,detection_and_source_attribution,,empty
curated:8e9658fa727094695be8,MIRAGE: Towards AI-Generated Image Detection in the Wild,detection,,empty
curated:44a70bf5f21b5457102b,RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:79adf19ca6991c1d85f8,RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,detection,,empty
curated:074bb9a77ee85d50090c,Aperture: a patch-aware framework for joint forgery detection and localization,detection,,empty
curated:f76424b401abe0c0fd0c,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,detection,,empty
curated:4d91354cd919a64a2259,Few-Shot Learner Generalizes Across AI-Generated Image Detection,detection,,empty
curated:3c3cd6143ece4045b378,Generalized Design Choices for Deepfake Detectors,detection,,empty
curated:e256ad6b672c3cf433ba,Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,detection,,empty
curated:61baa52cd3bc07215faf,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,detection,,empty
curated:35aae1e2c9d673ab1a97,Source Attribution of AI-Generated Images: a Principled Survey,source_attribution,source_identification,consistent
curated:ee47e898ad64ec14b709,Training-free Source Attribution of AI-generated Images via Resynthesis,source_attribution,source_identification,consistent
curated:3bd79627ad7e70a28a97,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,detection,ai_generated_image_detection,consistent
curated:a1eea412716e4d045da6,Source Attribution of AI-Generated Images in Data Scarcity Conditions via Training-Free Resynthesis,source_attribution,generated_image_source_attribution,consistent
curated:5a91cc922c8a3c4c3d0c,Open Set Synthetic Image Source Attribution,source_attribution,,empty
curated:3864d12fe8df7b9cb19c,Detecting computer-generated images by using only real images,detection,,empty
curated:31a4d429d7c5750bd778,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,detection,ai_generated_image_detection,consistent
curated:c6bb6e1e0a4d4eb372b5,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:0b34eeaa2b4f5b0a7b3b,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,detection,ai_generated_image_detection,consistent
curated:f158c57190bcd2c8405c,Is Artificial Intelligence Generated Image Detection a Solved Problem?,detection,,empty
curated:211ea83fa8d41c8ec810,AI-generated image detection algorithm based on classical-quantum hybrid neural network,detection,,empty
curated:29878fee09624b7d105d,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,detection,ai_generated_image_detection,consistent
curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,detection,,empty
curated:911d693997183535a4ac,Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,detection,ai_generated_image_detection,consistent
curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-hoc Distribution Alignment,detection,ai_generated_image_detection,consistent
curated:fe2c4c4c423cdd91d6d3,Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,detection,ai_generated_image_detection,consistent
curated:d9f9207830bec1da388f,Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,detection,,empty
curated:fa317ff4ccce609227c0,Improving Interpretability and Robustness for the Detection of AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:9a84f4f666bcdda92186,Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:40db3b79c5d83b80e5a4,Fake-GPT: Detecting Fake Image via Large Language Model,detection,ai_generated_image_detection,consistent
curated:0f774e5d7c63020bdc50,Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,detection,ai_generated_image_detection,consistent
curated:67a6b7828afaed59e1c0,Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:772bb625ccc3e45e8481,Prompt-Engineered Detection of AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:f105a82454d369e100b9,General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,detection,ai_generated_image_detection,consistent
curated:3fcd3bc4dd2c9d8c3b80,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:5fde2c559e029508e0c3,Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection\n of Generated Images and the Impact of Prompts,detection,ai_generated_image_detection,consistent
curated:cda6067db322246e8195,No Detector to Rule Them All,detection,ai_generated_image_detection,consistent
curated:d59bffe554500b241a3e,ImageAttributionBench: How Far Are We from Generalizable Attribution?,source_attribution,generated_image_source_attribution,consistent
curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:5f105b70c28ce5beeb0b,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:1d944c47839b3890a623,Are handcrafted filters helpful for attributing AI-generated images?,source_attribution,source_identification,consistent
curated:56cb44d373ab183b7df9,On the Use of Mixup Augmentation for Synthetic Image Attribution in the Wild,source_attribution,source_identification,consistent
curated:2117831292318de4cf18,Explainable Artifacts for Synthetic Western Blot Source Attribution,source_attribution,source_identification,consistent
curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,source_attribution,source_identification,consistent
curated:8c85a92b00aa321fbe8c,Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:2c278dcd079ea27d0f73,MAID: Model Attribution via Inverse Diffusion,source_attribution,source_identification,consistent
curated:1ec62a78a4e0372bc0d9,ReTD: Reconstruction-Based Traceability Detection for Generated Images,detection,ai_generated_image_detection,consistent
curated:1c590f67c931d712bb78,An Efficient Frequency Domain Based Attribution and Detection Network,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:3e94d8fc69e41aade2cc,D <sup>3</sup> QE: Learning Discrete Distribution Discrepancy-Aware Quantization Error for Autoregressive-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:16646ad4b7b77cde2ad8,One for All: Synthesis-Free Fingerprint Learning for Attribution of In-the-Wild Synthetic Images,source_attribution,source_identification,consistent
curated:246f07c81b9f91e527eb,IncreFA: Breaking the Static Wall of Generative Model Attribution,source_attribution,source_identification,consistent
curated:170f07b3d7020611e566,Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,source_attribution,source_identification,consistent
curated:fb05dfbc95518f6fb1db,Source Generator Attribution via Inversion,source_attribution,generated_image_source_attribution,consistent
curated:dcf7aae2c8590b07aff3,Leveraging Frequency Analysis for Deep Fake Image Recognition,detection,ai_generated_image_detection,consistent
curated:baa48a1bff3effa2e915,Universal Detection and Source Attribution of Diffusion Model Generated Images with High Generalization and Robustness,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:625ba11125534aedd39d,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,source_attribution,generated_image_source_attribution,consistent
curated:1ef55e4fc03eb4880beb,Towards Universal Fake Image Detectors that Generalize Across Generative Models,detection,ai_generated_image_detection,consistent
curated:2465f28a94bb45bec499,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,detection,ai_generated_image_detection,consistent
curated:f40ecaaf5d0212852b79,Dual Data Alignment Makes AI-Generated Image Detector Easier Generalizable,detection,ai_generated_image_detection,consistent
curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,detection,ai_generated_image_detection,consistent
curated:27b6ffdee837c7f997f5,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,detection,ai_generated_image_detection,consistent
curated:f6ad15b01df18aadfe1a,PRADA: Probability-Ratio-Based Attribution and Detection of Autoregressive-Generated Images,detection,ai_generated_image_detection,consistent
curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-modal Language Models,detection,ai_generated_image_detection,consistent
curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,source_attribution,source_identification,consistent
curated:bb388762c1cb4bd3bf4a,Quality-Aware Calibration for AI-Generated Image Detection in the Wild,detection,ai_generated_image_detection,consistent
curated:589870527983af575480,The Deployment Gap in AI Media Detection: Platform-Aware and Visually Constrained Adversarial Evaluation,detection,ai_generated_image_detection,consistent
curated:f7906cb987975444e893,Boosting Robust AIGI Detection with LoRA-based Pairwise Training,detection,ai_generated_image_detection,consistent
curated:efceafb2be2246aa120b,Weakly‐Aligned Region‐Language Transformer for Real‐Time Artistic Content Detection in SAGIN,detection,ai_generated_image_detection,consistent
curated:8ffdbd0ba264927d1c3a,Robust Fake Image Detection via Incremental Training of Siamese Neural Networks,detection,ai_generated_image_detection,consistent
curated:08aa2b51bb36247bdda3,RealNet: Efficient and Unsupervised Detection of AI-Generated Images via Real-Only Representation Learning,detection,ai_generated_image_detection,consistent
curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:dbbb2e6ee311ee6198c3,FIND: A Simple Yet Effective Baseline for Diffusion-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:89f7a674fe872806006b,ODDN: Addressing Unpaired Data Challenges in Open-World Deepfake Detection on Online Social Networks,detection,ai_generated_image_detection,consistent
curated:8cb907bc9003c61325f8,E3: Ensemble of Expert Embedders for Adapting Synthetic Image Detectors to New Generators Using Limited Data,detection,ai_generated_image_detection,consistent
curated:aa6672aa3ab0a0709e32,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,detection,ai_generated_image_detection,consistent
curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:c495f498c11dab35ecbc,FALCON-Net: Feature Aggregation of Local Patterns for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,detection,ai_generated_image_detection,consistent
curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,detection,ai_generated_image_detection,consistent
curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features into CLIP for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:167b4dd09fa505470bce,NSFF: Noise and semantic features fusion for AI-generated image detection,detection,ai_generated_image_detection,consistent
curated:316fc03d348baa637bb4,Geometric-semantic dual-adaptation for generalizable AI-generated image detection,detection,ai_generated_image_detection,consistent
curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:0d918782407e05ade5bd,Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion,detection,ai_generated_image_detection,consistent
curated:46773aac10dade5fbd50,Explainability-Driven Analysis of AI-Generated Image Detectors: Insights into Generalization and Failure Modes,detection,ai_generated_image_detection,consistent
curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,detection,ai_generated_image_detection,consistent
curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,detection,ai_generated_image_detection,consistent
curated:9ae6e4e3816daa7e1650,ForgeryMoE: Mixture of Experts for Image Forgery Detection under JPEG Compression,detection,ai_generated_image_detection,consistent
curated:559269bd486bc1da5115,Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,detection,deepfake_image_detection,consistent
curated:988373de555945528142,"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",detection,deepfake_image_detection,consistent
curated:9a95c96ee1d20e56c56d,Spatial flatness-curvature mask driven generalized detection of synthetic images,detection,ai_generated_image_detection,consistent
curated:161b6d5ca391d238f7e9,Detecting Origin Attribution for Text-to-Image Diffusion Models,source_attribution,source_identification,consistent
curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:078ade9edabe304013a7,ForensicConcept: Transferable Forensic Concepts for AIGI Detection,detection,ai_generated_image_detection,consistent
curated:7ed4e932c4dac57d0136,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:d6fe2666a64b0c70ff6b,GenShield: Unified Detection and Artifact Correction for AI-Generated Images,detection,ai_generated_image_detection,consistent
curated:a570863c3a6ac227b56c,PGC: Peak-Guided Calibration for Generalizable AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:f380c0d31081fc59f1eb,FiSeR: Fine-Grained Source Representations for Cross-Domain AI Image Detection,detection,ai_generated_image_detection,consistent
curated:75cbd31c9946c7eb7977,"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",detection,ai_generated_image_detection,consistent
curated:2938e895376a45baceec,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,detection,deepfake_image_detection,consistent
curated:517a2cc4ca3690f3fc44,A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,detection,synthetic_image_detection,consistent
curated:e9594b5466110ca009aa,Toward Generalizable AI-Generated Image Detection with a New Realistic Dataset: Performance Evaluation and Improvement,detection,ai_generated_image_detection,consistent
curated:8ebf01a335c20fdc902d,Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks,detection,ai_generated_image_detection,consistent
curated:b31395a72552920109fa,The PRISM benchmark: PhotoRealistic Image Synthesis and Manipulation to detect generated images,detection,ai_generated_image_detection,consistent
curated:ab6b43e21ae47dadafe0,Dual Frequency Branch Framework With Reconstructed Sliding Windows Attention for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:038a578e520799c8671e,Toward Generalizable Forgery Detection and Reasoning,detection,ai_generated_image_detection,consistent
curated:75b4ab2d95e995615ae2,Quality-Guided Forgery Adapter for Generalizable AIGC Image Detection,detection,ai_generated_image_detection,consistent
curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,detection,ai_generated_image_detection,consistent
curated:d8df0e4505f5d38ebb28,Lightweight Image Forgery Detection via Tucker Decomposition for Efficient Edge Deployment,detection,ai_generated_image_detection,consistent
curated:70f6d63927384365006f,High-Resolution Contrastive Framework for Generalizable AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:03f893b9484ea2d09c22,Universal Denoising Patterns for Diffusion Image Detection,detection,ai_generated_image_detection,consistent
curated:567ec9e4515f2e4a20ca,RADI: A Retrieval-Augmented Dynamic In-Context Learning Framework for AIGC Image Detection,detection,ai_generated_image_detection,consistent
curated:5ceb080eeeacfdf0cb8f,M <sup>2</sup> EA: Multi-VAE Manifold Envelope Alignment for Challenging AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:e2c0dacc159564e9e575,Gamma: Generalizable Ai-Generated Image Detection Via Multi-Task and Manipulation-Augmented Supervision,detection,ai_generated_image_detection,consistent
curated:dc9126cc128e1b228717,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,detection,ai_generated_image_detection,consistent
curated:613af6288792f6ece505,The Visual Counter Turing Test (VCT2): A Benchmark for Evaluating AI-Generated Image Detection and the Visual AI Index (VAI),detection,ai_generated_image_detection,consistent
curated:828a87e68db4c3541e80,MLEP: Multi-granularity Local Entropy Patterns for Generalized AI-generated Image Detection,detection,ai_generated_image_detection,consistent
curated:4c10e64c5b8f09c7333e,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,detection,ai_generated_image_detection,consistent
curated:9b7e6c57a9f75e06fddf,CLIP-SegFusion: An Attention-Guided Feature Fusion Framework for Multi-Level Detection on AI-Generated Artworks,detection,ai_generated_image_detection,consistent
curated:084e01a1a2191cb4c86a,LOKI: A Comprehensive Synthetic Data Detection Benchmark using Large Multimodal Models,detection,ai_generated_image_detection,consistent
curated:4a7bded8c311ed9c0540,Forensic-MoE: Exploring Comprehensive Synthetic Image Detection Traces With Mixture of Experts,detection,ai_generated_image_detection,consistent
curated:0fb6a9c0db904eae726d,Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,detection,ai_generated_image_detection,consistent
curated:31c548f5aa68f9075659,CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images,detection,ai_generated_image_detection,consistent
curated:7b767faa09af80414296,Leveraging Failed Samples: A Few-Shot and Training-Free Framework for Generalized Deepfake Detection,detection,ai_generated_image_detection,consistent
curated:cdbafbabadfbb462102a,Aggregating Diverse Cue Experts for AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:64635535d7b7b6a12a32,Unveiling Perceptual Artifacts: A Fine-Grained Benchmark for Interpretable AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:49cc18f090b2488dda2d,Beyond Binary Classification: A Semi-supervised Approach to Generalized AI-generated Image Detection,detection,ai_generated_image_detection,consistent
curated:b2b738978609f5704f00,HSIC Bottleneck for Cross-Generator and Domain-Incremental Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:37949b937d2159b47e73,Spatial-Temporal Forgery Trace Based Forgery Image Identification,detection,ai_generated_image_detection,consistent
curated:506d44d3feea2627dd42,No Pixel Left Behind: A Detail-Preserving Architecture for Robust High-Resolution AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:6c2f591bf6fda3abecbb,Reasoning-Aware AIGC Detection via Alignment and Reinforcement,detection,ai_generated_image_detection,consistent
curated:411724cd949b78c1af6a,FakeXplain: AI-Generated Image Detection via Human-Aligned Grounded Reasoning,detection,ai_generated_image_detection,consistent
curated:3c8696103d9d5e608281,DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,detection,ai_generated_image_detection,consistent
curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",detection,ai_generated_image_detection,consistent
curated:7693a9c0107feaf90e10,Are High-Quality AI-Generated Images More Difficult for Models to Detect?,detection,ai_generated_image_detection,consistent
curated:95953a73a0e2e1f14ccb,PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,detection,ai_generated_image_detection,consistent
curated:6976641cbfe602a7e617,Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,detection,ai_generated_image_detection,consistent
curated:3c22ad3ac0639bf3d2b5,Multiscale Spatial Frequency-Aware Transformer and Saturation Analysis for Universal Deepfake Detection,detection,ai_generated_image_detection,consistent
curated:7287cadbc4b8408fd16b,Breaking Manifold Continuity: Vector Quantized Modeling for Real-Centric Deepfake Detection,detection,ai_generated_image_detection,consistent
curated:b45849aa3f89cc8b64ef,Position: We need to re-think the concept of “real” images.,detection,ai_generated_image_detection,consistent
curated:c84b04cb8e921be753db,Representation and Reference Selection in Training-Free Synthetic Image Attribution,source_attribution,source_identification,consistent
curated:beb92721c8ba0d0c4231,Scaling Up AI-Generated Image Detection with Generator-Aware Prototypes,detection,ai_generated_image_detection,consistent
curated:40ffd016e03ca4604fa8,Model Synthesis for Zero-Shot Model Attribution,source_attribution,generated_image_source_attribution,consistent
curated:830febb52786dbaebbb5,T-GD: Transferable GAN-generated Images Detection Framework,detection,synthetic_image_detection,consistent
curated:14272073fa5bc0e301b5,LEGION: Learning to Ground and Explain for Synthetic Image Detection,detection,ai_generated_image_detection,consistent
curated:dd05c4a609d902da8c1d,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,detection,ai_generated_image_detection,consistent
curated:41a934ce12ecfd2f17e9,EXACT: An Explainable Adaptive SemantiC-Trace framework for AI-generated image forensics,detection,ai_generated_image_detection,consistent
curated:9d722dfb4a3418d86063,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,detection,ai_generated_image_detection,consistent
curated:9fdc78cdcf22cdbf4776,Radial Residual Frequency: A Semantically Aligned Benchmark and Spectral Detector for AI-Generated Images,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:2b5013b99aa5e4de2621,All patches are not equal: Focusing on a single exposed patch for AI-generated image detection,detection,ai_generated_image_detection,consistent
curated:a3fb37f39cb20a95e3bf,Can model attribution bridge AI's accountability gap in safety-critical domains?,source_attribution,generated_image_source_attribution,consistent
curated:aeb3a6e4747e1a1b3181,Dual-stream framework for real/fake classification and source attribution of AI-generated images using spatial and frequency features,detection_and_source_attribution,detection_and_source_attribution,consistent
curated:5888bece56862fbbfc43,DADP: a discrepancy-aware dual-path network for AI-generated image detection,detection,ai_generated_image_detection,consistent
curated:d1195175f50833c90a64,ADRD: Detecting diffusion-generated images via adversarial perturbation induced reconstruction discrepancy,detection,ai_generated_image_detection,consistent
curated:543d02cab0479b0d19ad,"Multi-Domain Feature Fusion: Leveraging Color, Noise, and Spatial Features for AI-generated Image Detection",detection,ai_generated_image_detection,consistent
curated:52edb9369ffaae37bd81,Dual-Tree Complex Wavelet Driven Hierarchical Spatial-Frequency Fusion Learning for Robust Deepfake Detection,detection,ai_generated_image_detection,consistent
curated:db62aa9b0b1aab0c9f7a,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,detection,ai_generated_image_detection,consistent
curated:3e707a16418405139945,Towards Generalizable AI-Generated Image Detection via Image-Adaptive Prompt Learning,detection,ai_generated_image_detection,consistent
