key_title,openalex_match_score,openalex_title,openalex_year,openalex_url_or_id,doi,candidate_map_score,candidate_map_title,public_preview_score,public_preview_title,diagnosis,matching_csv_files
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,1.000,Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,https://openalex.org/W4415797310,10.52202/079017-1903,0.707,A Bias-Free Training Paradigm for More General AI-generated Image Detection,0.707,A Bias-Free Training Paradigm for More General AI-generated Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,1.000,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,https://openalex.org/W4391019749,10.1109/access.2024.3356122,0.707,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,0.707,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Advanced Detection of AI-Generated Images Through Vision Transformers,1.000,Advanced Detection of AI-Generated Images Through Vision Transformers,2024,https://openalex.org/W4405778887,10.1109/access.2024.3522759,0.648,Online Detection of AI-Generated Images,0.648,Online Detection of AI-Generated Images,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
A Single Simple Patch is All You Need for AI-generated Image Detection,1.000,A Single Simple Patch is All You Need for AI-generated Image Detection,2024,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,0.678,LOTA: Bit-Planes Guided AI-Generated Image Detection,0.678,LOTA: Bit-Planes Guided AI-Generated Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,1.000,PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2023,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,0.648,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,0.648,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,1.000,RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,https://openalex.org/W4399252995,10.48550/arxiv.2405.20112,0.640,X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,0.640,X-Transfer: A Transfer Learning-Based Framework for GAN-Generated Fake Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
A Sanity Check for AI-generated Image Detection,1.000,A Sanity Check for AI-generated Image Detection,2024,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,0.747,DIRE for Diffusion-Generated Image Detection,0.747,DIRE for Diffusion-Generated Image Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
AI-generated Image Detection: Passive or Watermark?,1.000,AI-generated Image Detection: Passive or Watermark?,2024,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,0.727,AI Generated Image Detection Using Neural Networks,0.727,AI Generated Image Detection Using Neural Networks,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Genimage: A million-scale benchmark for detecting ai-generated image,1.000,GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,2023,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,0.637,Multi-modal texture fusion network for detecting AI-generated images,0.637,Multi-modal texture fusion network for detecting AI-generated images,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:2 | data/processed/openalex_candidate_papers_in_scope.csv:2 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:2 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,1.000,WildFake: A Large-scale Challenging Dataset for AI-Generated Images Detection,2024,https://openalex.org/W4391987733,10.48550/arxiv.2402.11843,0.879,WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection,0.879,WildFake: A Large-Scale and Hierarchical Dataset for AI-Generated Images Detection,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/processed/openalex_candidate_papers_in_scope.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/institution_paper_risk_report.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
Detecting Multimedia Generated by Large AI Models: A Survey,1.000,Detecting Multimedia Generated by Large AI Models: A Survey,2024,https://openalex.org/W4391563741,10.36227/techrxiv.170723324.44685515/v1,0.604,Detecting AI-Generated Images via CLIP,0.604,Detecting AI-Generated Images via CLIP,in_openalex_pool_but_exporter_skipped,data/processed/openalex_candidate_papers.csv:1 | data/manual/key_papers.csv:1 | data/manual/key_papers_enriched.csv:1 | data/manual/paper_arxiv_links.csv:1 | data/manual/key_paper_gap_analysis.csv:1 | data/manual/key_paper_coverage_report.csv:1
