title,year,expected_task,authors,doi,arxiv_id,openalex_url,paper_url,source_doc,section,notes,supplement_reason,manual_review
Model Synthesis for Zero-Shot Model Attribution,2025,source_attribution,"Tianyun Yang, Juan Cao, Danding Wang, Chang Xu. 中科院",10.1109/tmm.2025.3607778,,https://openalex.org/W4414693448,https://doi.org/10.1109/tmm.2025.3607778,Z_Update_SIA.docx,Identification,"source_suffix=TMM, 2025",linked_openalex_but_missing_from_candidate_queries,true
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,detection_and_source_attribution,"Katherine Xu, Lingzhi Zhang, Jianbo Shi. University of Pennsylvania, USA",10.1109/wacv61041.2025.00850,,https://openalex.org/W4409262697,https://openaccess.thecvf.com/content/WACV2025/papers/Xu_Detecting_Origin_Attribution_for_Text-to-Image_Diffusion_Models_WACV_2025_paper.pdf,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WACV, 2025",linked_openalex_but_missing_from_candidate_queries,true
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,source_attribution,"Hanbyul Lee, Juneho Yi. Sungkyunkwan University",10.48550/arxiv.2503.08148,,https://openalex.org/W4414577086,http://arxiv.org/abs/2503.08148,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250311; source_suffix=arXiv, 2025",linked_openalex_but_missing_from_candidate_queries,true
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,source_attribution,"Danielle Sullivan-Pao, Nicole Tian, Pooya Khorrami. MIT Lincoln Laboratory & Yale University",10.48550/arxiv.2504.08149,,https://openalex.org/W4414827699,http://arxiv.org/abs/2504.08149,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250410; source_suffix=arXiv, 2025",linked_openalex_but_missing_from_candidate_queries,true
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,source_attribution,"Zhenting Wang, Vikash Sehwag, Chen Chen, Lingjuan Lyu, Dimitris N. Metaxas, Shiqing Ma. Rutgers University, USA",10.48550/arxiv.2405.13360,,https://openalex.org/W4398795245,http://arxiv.org/abs/2405.13360,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024",linked_openalex_but_missing_from_candidate_queries,true
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,source_attribution,"Mike Laszkiewicz, Jonas Ricker, Johannes Lederer, Asja Fischer. Ruhr University Bochum, Germany",10.48550/arxiv.2306.06210,,https://openalex.org/W4380551225,https://proceedings.mlr.press/v235/laszkiewicz24a.html,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024",linked_openalex_but_missing_from_candidate_queries,true
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,source_attribution,"Fengyuan Liu, Haochen Luo, Yiming Li, Philip Torr, and Jindong Gu. Oxford University",10.1007/978-3-031-73033-7_16,,https://openalex.org/W4403906547,https://doi.org/10.1007/978-3-031-73033-7_16,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ECCV, 2024",linked_openalex_but_missing_from_candidate_queries,true
Detecting and Simulating Artifacts in GAN Fake Images,2019,detection,"Xu Zhang, Svebor Karaman, and Shih-Fu Chang. USA",10.1109/wifs47025.2019.9035107,,https://openalex.org/W3012472557,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9035107,Z_Update_SID-2018-2025.docx,Detection,source_suffix=WIFS 2019,linked_openalex_but_missing_from_candidate_queries,true
CNN-generated images are surprisingly easy to spot...for now,2020,detection,"Sheng-Yu Wang, Oliver Wang, Richard Zhang, Andrew Owens, Alexei A. Efros. CVPR, 2020.",10.1109/cvpr42600.2020.00872,,https://openalex.org/W3034577585,https://openaccess.thecvf.com/content_CVPR_2020/papers/Wang_CNN-Generated_Images_Are_Surprisingly_Easy_to_Spot..._for_Now_CVPR_2020_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,detection,"Ricard Durall, Margret Keuper, Janis Keuper. CVPR, 2020.",10.1109/cvpr42600.2020.00791,,https://openalex.org/W3034864980,https://openaccess.thecvf.com/content_CVPR_2020/papers/Durall_Watch_Your_Up-Convolution_CNN_Based_Generative_Deep_Neural_Networks_Are_CVPR_2020_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,detection,"Tarik Dzanic, Karan Shah, Freddie Witherden. NeurIPS, 2020.",10.48550/arxiv.1911.06465,,https://openalex.org/W2985484909,https://proceedings.neurips.cc/paper_files/paper/2020/file/1f8d87e1161af68b81bace188a1ec624-Paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,detection,"Yang He, Ning Yu, Margret Keuper, Mario Fritz.",10.24963/ijcai.2021/349,,https://openalex.org/W3187526215,https://www.ijcai.org/proceedings/2021/349,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IJCAI, 2021",linked_openalex_but_missing_from_candidate_queries,true
Detecting Generated Images by Real Images,2022,detection,"Bo Liu, Fan Yang, Xiuli Bi, Bin Xiao, Weisheng Li, Xinbo Gao.",10.1007/978-3-031-19781-9.pdf,,https://openalex.org/W4313189772,https://link.springer.com/content/pdf/10.1007/978-3-031-19781-9.pdf,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2022",linked_openalex_but_missing_from_candidate_queries,true
BiHPF: bilateral high pass filters for robust deepfake detection,2022,detection,"Jeong, Y., Kim, D., Min, S., Joe, S., Gwon, Y., Choi, J.",10.1109/wacv51458.2022.00293,,https://openalex.org/W3196551054,https://openaccess.thecvf.com/content/WACV2022/papers/Jeong_BiHPF_Bilateral_High-Pass_Filters_for_Robust_Deepfake_Detection_WACV_2022_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2022",linked_openalex_but_missing_from_candidate_queries,true
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,detection,"Utkarsh Ojha, Yuheng Li, Yong Jae Lee. CVPR, 2023. University of Wisconsin-Madison",10.1109/cvpr52729.2023.02345,,https://openalex.org/W4386071953,https://openaccess.thecvf.com/content/CVPR2023/papers/Ojha_Towards_Universal_Fake_Image_Detectors_That_Generalize_Across_Generative_Models_CVPR_2023_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,detection,"Peter Lorenz, Ricard L. Durall, Janis Keuper. ICCV Workshop, 2023.",10.1109/iccvw60793.2023.00051,,https://openalex.org/W4390191016,https://openaccess.thecvf.com/content/ICCV2023W/DFAD/papers/Lorenz_Detecting_Images_Generated_by_Deep_Diffusion_Models_Using_Their_Local_ICCVW_2023_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Exposing fake images generated by text-to-image diffusion models,2023,detection,"Qiang Xu, Hao Wang, Laijin Meng, Zhongjie Mi, Jianye Yuan, Hong Yan. PRL, 2023.",10.1016/j.patrec.2023.10.021,,https://openalex.org/W4388002730,https://www.sciencedirect.com/science/article/abs/pii/S0167865523002933,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,detection,"You-Ming Chang, Chen Yeh, Wei-Chen Chiu, Ning Yu. arXiv 2023.",10.48550/arxiv.2310.17419,,https://openalex.org/W4387994353,http://arxiv.org/abs/2310.17419,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,detection,"Yichi Zhang, Xiaogang Xu.",10.48550/arxiv.2312.02625,,https://openalex.org/W4389421609,http://arxiv.org/abs/2312.02625,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,linked_openalex_but_missing_from_candidate_queries,true
Detecting Generated Images by Real Images Only,2023,detection,"Xiuli Bi, Bo Liu, Fan Yang, Bin Xiao, Weisheng Li, Gao Huang, Pamela C. Cosman.",10.48550/arxiv.2311.00962,,https://openalex.org/W4388328956,http://arxiv.org/abs/2311.00962,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023,linked_openalex_but_missing_from_candidate_queries,true
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,detection,"Yewon Lim, Changyeon Lee, Aerin Kim, Oren Etzioni. ICML Workshop, 2024.",10.48550/arxiv.2406.00856,,https://openalex.org/W4399399328,https://github.com/miraflow/DistilDIRE,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,detection,"Ayush Sarkar, Hanlin Mai, Amitabh Mahapatra, Svetlana Lazebnik, D.A. Forsyth, Anand Bhattad. CVPR, 2024.",10.1109/cvpr52733.2024.02658,,https://openalex.org/W4402754249,https://doi.org/10.1109/cvpr52733.2024.02658,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,detection,"George Cazenavette, Avneesh Sud, Thomas Leung Ben Usman. CVPR, 2024.",10.1109/cvpr52733.2024.01023,,https://openalex.org/W4402726899,https://openaccess.thecvf.com/content/CVPR2024/papers/Cazenavette_FakeInversion_Learning_to_Detect_Images_from_Unseen_Text-to-Image_Models_by_CVPR_2024_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,detection,"Jonas Ricker, Denis Lukovnikov, and Asja Fischer. CVPR, 2024.",10.1109/cvpr52733.2024.00872,,https://openalex.org/W4402716434,https://doi.org/10.1109/cvpr52733.2024.00872,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,detection,"Li et al. CVPR Workshops, 2024. France/Brazil/Hongkong",10.1109/cvprw63382.2024.00390,,https://openalex.org/W4402916521,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Li_MaskSim_Detection_of_Synthetic_Images_by_Masked_Spectrum_Similarity_Analysis_CVPRW_2024_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,detection,"Romeo Lanzino, Federico Fontana, Anxhelo Diko, Marco Raoul Marini, Luigi Cinque. CVPR Workshops, 2024.",10.1109/cvprw63382.2024.00381,,https://openalex.org/W4402916679,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Lanzino_Faster_Than_Lies_Real-time_Deepfake_Detection_using_Binary_Neural_Networks_CVPRW_2024_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,detection,"Chuangchuang Tan, Yao Zhao, Shikui Wei, Guanghua Gu, Ping Liu, Yunchao Wei",10.1609/aaai.v38i5.28310,2403.07240,https://openalex.org/W4393154086,https://doi.org/10.1609/aaai.v38i5.28310,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2024; source_alias=(FreqNet)",linked_openalex_but_missing_from_candidate_queries,true
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,detection,"Dimitrios Karageorgiou, Quentin Bammey, Valentin Por cellini, Bertrand Goupil, Denis Teyssou, and Symeon Pa padopoulos.",10.48550/arxiv.2408.11541,,https://openalex.org/W4403523317,http://arxiv.org/abs/2408.11541,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV Workshops, 2024",linked_openalex_but_missing_from_candidate_queries,true
Your diffusion model is an implicit synthetic image detector,2024,detection,"Wang, X., Kalogeiton, V",10.1007/978-3-031-92648-8_25,,https://openalex.org/W4403147633,https://doi.org/10.1007/978-3-031-92648-8_25,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024",linked_openalex_but_missing_from_candidate_queries,true
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,detection,"Zeyang Sha, Yicong Tan, Mingjie Li, Michael Backes, Yang Zhang",10.1145/3658644.3690297,,https://openalex.org/W4405183175,https://yangzhangalmo.github.io/papers/CCS24-ZeroFake.pdf,Z_Update_SID-2018-2025.docx,Detection,source_suffix=CCS 2024,linked_openalex_but_missing_from_candidate_queries,true
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,detection,"Ashish Hooda, Neal Mangaokar, Ryan Feng, Kassem Fawaz, Somesh Jha, Atul Prakash",10.1109/wacv57701.2024.00377,,https://openalex.org/W4394592995,https://openaccess.thecvf.com/content/WACV2024/papers/Hooda_D4_Detection_of_Adversarial_Diffusion_Deepfakes_Using_Disjoint_Ensembles_WACV_2024_paper.pdf,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2024",linked_openalex_but_missing_from_candidate_queries,true
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,detection,"Sohail Ahmed Khan, Duc-Tien Dang-Nguyen. ICMR, 2024.",10.1145/3652583.3658035,,https://openalex.org/W4399418483,https://doi.org/10.1145/3652583.3658035,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Frequency Masking for Universal Deepfake Detection,2024,detection,"Chandler Timm Doloriel, Ngai-Man Cheung. ICASSP 2024. SUTD",10.1109/icassp48485.2024.10446290,,https://openalex.org/W4392904043,https://doi.org/10.1109/icassp48485.2024.10446290,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,detection,"Orazio Pontorno, Luca Guarnera, and Sebastiano Battiato. ICIP, 2024.",10.1109/icip51287.2024.10648013,,https://openalex.org/W4402915445,https://doi.org/10.1109/icip51287.2024.10648013,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Detecting Computer-Generated Images by Using Only Real Images,2024,detection,"Ji Li, Kai Wang. ICMV, 2024. EI检索。",10.1117/12.3055092,,https://openalex.org/W4403972496,https://hal.science/hal-04751823/document,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,detection,"Mamadou Keita, Wassim Hamidouche, Hassen Bougueffa, Abdenour Hadid, Abdelmalik Taleb-Ahmed. arXiv, 2024.",10.48550/arxiv.2404.02726,,https://openalex.org/W4393968982,http://arxiv.org/abs/2404.02726,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Unsupervised Generative Fake Image Detector,2024,detection,"Tong Qiao, Hang Shao, Shichuang Xie, and Ran Shi.",10.1109/tcsvt.2024.3383833,,https://openalex.org/W4393379633,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10487975,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=TCSVT, 2024",linked_openalex_but_missing_from_candidate_queries,true
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,detection,"Tong Qiao, Yuxing Chen, Xiaofei Zhou, Ran Shi, Hang Shao, Kunye Shen, and Xiangyang Luo. TCDS, 2024.",10.1109/tcds.2023.3274450,,https://openalex.org/W4376461282,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10121791,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,detection,Syed Ali Raza; Usman Habib; Muhammad Usman; Adeel Ashraf Cheema; Muhammad Sajid Khan,10.1109/access.2024.3393842,,https://openalex.org/W4395447483,https://ieeexplore.ieee.org/document/10508385/authors,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IEEE Access, 2024",linked_openalex_but_missing_from_candidate_queries,true
MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,detection,"Qiang Xu, Shan Jia, Xinghao Jiang, Tanfeng Sun, Zhe Wang, and Hong Yan. Expert Systems with Applications, 2024.",10.1016/j.eswa.2024.123368,,https://openalex.org/W4391433395,https://www.sciencedirect.com/science/article/pii/S0957417424002331,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,detection,"Lea Uhlenbrock, Davide Cozzolino, Denise Moussa, Luisa Verdoliva, and Christian Riess. IH&MMSec, 2024.",10.1145/3658664.3659652,,https://openalex.org/W4399556631,https://dl.acm.org/doi/pdf/10.1145/3658664.3659652,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,detection,"Alireza Hajabdollah Javaheri, Hossein Motamednia, Ahmad Mahmoudi-Azanveh. MVIP, 2024.",10.1109/mvip62238.2024.10491148,,https://openalex.org/W4394624427,https://ieeexplore.ieee.org/abstract/document/10491148,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,detection,"Giorgio Leporoni, Luca Maiano, Lorenzo Papa, Irene Amerini. PRL, 2024.",10.1016/j.patrec.2024.03.025,,https://openalex.org/W4393375171,https://pdf.sciencedirectassets.com/271524/1-s2.0-S0167865524X00045/1-s2.0-S0167865524000990/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEIb%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIAE0GbGcWLuZXLcyajTH%2BBP4ZOg5MurQSV1%2FdpW1K3d4AiA5aVMIX0pxtEZQhNJYS72xZBNLiGc%2BQqiEbAFIuY9bSSq8BQi%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMWzWD2%2BxBxFhErgErKpAFlMspQfiNyxRm2Q12r8X4%2FFxzOws7KG3xnr85RYj2BNwoB0fxDYJiQM2YYkkiBSkiLMOfebczo8yBlUfSubBi%2BpBw2CWtvrhCbh6u7CQ2gXP2Yx%2FVEyjPJ3o2HQ9huhuYEfRlfhjMk4SR0tM7zEwl11uGaYcNdWlh45XFrUNYs6hUsKKQVQlBnV991SJuKI6lxN0GagGaLN46YOWOFQuY9rxy6Slt21M0G%2FDy1zzoh%2BqLFOgd3TXbrh0NWPtB5b%2FFhzjyBd4%2BfwuwR70lMHzQ0M8ZN5o6WJqScgiLKqiXKZ2BE6%2BbaAkif%2FAla%2F5eYI%2BCMMf90HF2zo41vTLg7WnaU0uUelKjXPAQf5Vdm3K8H8%2B02251VtOUiWdBClsWSeKgPf0XJbDpNSvDPqKBm6Xz6e4Vz%2F19%2BuuLfkOXcVkUpVNyXzBkQY2w1HQ%2FkiJ2%2Bv08mH8J%2F3P0GBcgsZevVkP2bJ%2BaO2v0cej0N3MbLBc%2BmDDsblOpxWohAl7tX5mNMbh%2BHq8pR1sODxTRbW6KWMTaj6Z01dNBZRzBw8K6p57hfByaUemK%2BtIqqXlvsRONJ1QuxHjufOtLJ1BpIA5sOpHrWfILVvGgimoWV%2FO7EI%2F4uH%2FGY7QaLhbETBVm5qFRiYNvah9fDsMl8WUO%2BSk3qtuEu2pz5GLl3T1WWw4XsJ5TogGED4vIxSL7%2FLjTB0pfGKkL5%2Filbf5QJ%2FyX4Pa5scvjs5j8BKO5uM93WmpPDWIJjgNuhAp0nHHvyWVNJ0K%2FSid1iT9jMbT77tAYSqvlFGnpa55l1AAKER%2FoLBAcMg9AHhmtyCh%2F%2BqG2FAXS6Y1i1HhZZx%2BhR0vKz4BFZbpniT4%2B03MRDm7f5YixjvXtARlmVywwstrFtwY6sgGOIzZe2eNlzfpERTNBlU7nHq4N1fHNDhb3DKLIfirXuq%2FdD1Xwc%2FTqx979noNH4RzJqjukhxnG6NP6kxQGXviQjsw9%2BPiK8AnD1Vi7w8RXH5tn5HVybbM1ajVEyRbzu6mqjqz8iwj%2FUpJFu07S0%2FYZZ9SUkmQp5iG0nf8Wzi8h80mTAqWN%2BDjKG7d45OqnHYn4zAAOVvYnxBmXNXWw%2Bbd5fiYWKUu3Z%2Bl0dOU2X0SPDKGU&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240923T144638Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYX6QG5R2B%2F20240923%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=ce5b612352ed734b3a5380b0408039432dc8431e4db57f4c6cb66b8599533761&hash=9ff814df1f73f69a3ffffcca3172b5844d30fbef4e8f161b2243db053541a0f5&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0167865524000990&tid=spdf-1e82cb97-9dba-4710-b431-19a846c5dcff&sid=8c62d7e3697a5348be3a,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,detection,"Aryan N Herur, Vaibhav Santhosh, Nishanth Shetty, Chandra Sekhar Seelamantula. India",10.1145/3702250.3702296,,https://openalex.org/W4405945632,https://dl.acm.org/doi/pdf/10.1145/3702250.3702296,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,detection,"Chuangchuang Tan, Ping Liu, RenShuai Tao, Huan Liu, Yao Zhao, Baoyuan Wu, Yunchao Wei. arXiv, 20240311. 北交",10.48550/arxiv.2403.06803,,https://openalex.org/W4392737360,http://arxiv.org/abs/2403.06803,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,detection,"Davide Alessandro Coccomini, Roberto Caldelli, Claudio Gennaro, Giuseppe Fiameni, Giuseppe Amato, Fabrizio Falchi. arXiv, 20240320. Italy",10.48550/arxiv.2403.13479,,https://openalex.org/W4393063559,http://arxiv.org/abs/2403.13479,Z_Update_SID-2018-2025.docx,Detection,,linked_openalex_but_missing_from_candidate_queries,true
