title,year,normalized_title,openalex_url,doi,author,author_position,institution,city,region,country,country_code,current_latitude,current_longitude,candidate_latitude,candidate_longitude,candidate_source,candidate_source_detail,candidate_confidence,coordinate_status,apply_status,risk_flags,notes
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Zeyu Li,4,Duke University,Durham,North Carolina,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Neil Zhenqiang Gong,7,Duke University,Durham,North Carolina,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Multiple exact local coordinate matches exist for this institution name.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Amir Sadovnik,5,Oak Ridge National Laboratory,Oak Ridge,Tennessee,United States,US,,,,,,,unresolved,missing_coordinates_but_has_city_country,needs_manual_review,corporate_or_lab_institution; no_exact_local_coordinate_match,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Arka Daw,6,Oak Ridge National Laboratory,Oak Ridge,Tennessee,United States,US,,,,,,,unresolved,missing_coordinates_but_has_city_country,needs_manual_review,corporate_or_lab_institution; no_exact_local_coordinate_match,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2.
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,attributing fake images to gans learning and analyzing gan fingerprints,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,Mario Fritz,3,Helmholtz Center for Information Security,,,,DE,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,attributing fake images to gans learning and analyzing gan fingerprints,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,Ning Yu,1,"University of Maryland, College Park",,,,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints,2019,attributing fake images to gans learning and analyzing gan fingerprints,https://openalex.org/W2991318208,10.1109/iccv.2019.00765,Larry S. Davis,2,"University of Maryland, College Park",,,,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Xu Guo,1,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chenhao Lin,2,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Shuai Liu,3,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chao Shen,4,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Hang Wang,5,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Zhengyu Zhao,6,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chende Zheng,7,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,34.25833,108.92861,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,cifake image classification and explainable identification of ai generated synthetic images,https://openalex.org/W4391019749,10.1109/access.2024.3356122,Jordan J. Bird,1,Nottingham Trent University,,,,GB,52.9536,-1.15047,52.9536,-1.15047,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,cifake image classification and explainable identification of ai generated synthetic images,https://openalex.org/W4391019749,10.1109/access.2024.3356122,Ahmad Lotfi,2,Nottingham Trent University,,,,GB,52.9536,-1.15047,52.9536,-1.15047,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Tianyun Yang,1,Institute of Computing Technology,,,,CN,39.9075,116.39723,39.9075,116.39723,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Ziyao Huang,2,Institute of Computing Technology,,,,CN,39.9075,116.39723,39.9075,116.39723,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Juan Cao,3,Institute of Computing Technology,,,,CN,39.9075,116.39723,39.9075,116.39723,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Lei Li,4,Institute of Computing Technology,,,,CN,39.9075,116.39723,39.9075,116.39723,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Xirong Li,5,Renmin University of China,,,,CN,39.9075,116.39723,39.9075,116.39723,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,needs_manual_review,exact_local_coordinate_match,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Possible exact local institution coordinate match; verify before copying into enrichment CSV. Demoted from confirmed because no exact enrichment row exists for this candidate key."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Tianyun Yang,1,University of Chinese Academy of Sciences,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Ziyao Huang,2,University of Chinese Academy of Sciences,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Juan Cao,3,University of Chinese Academy of Sciences,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Deepfake Network Architecture Attribution,2022,deepfake network architecture attribution,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,Lei Li,4,University of Chinese Academy of Sciences,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,Haoliang Li,3,City University of Hong Kong,,,,HK,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,Weichuang Li,1,Sichuan University,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,Peisong He,2,Sichuan University,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,Hongxia Wang,4,Sichuan University,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. OpenAlex author ID missing. | Multiple exact local coordinate matches exist for this institution name."
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,detection of gan generated images by estimating artifact similarity,https://openalex.org/W3217278836,10.1109/lsp.2021.3130525,Ruimei Zhang,5,Sichuan University,,,,CN,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually. | Multiple exact local coordinate matches exist for this institution name."
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Jinhao Duan,2,Drexel University,Philadelphia,Pennsylvania,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 2. | Multiple exact local coordinate matches exist for this institution name.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Kaidi Xu,5,Drexel University,Philadelphia,Pennsylvania,United States,US,,,,,,,unresolved,ambiguous_institution_location,needs_manual_review,ambiguous_institution_location,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 2. | Multiple exact local coordinate matches exist for this institution name.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Ruipeng Ma,1,University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,30.66667,104.06667,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Fei Kong,3,University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,30.66667,104.06667,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Xiaoshuang Shi,4,University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,30.66667,104.06667,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Shile Zhang,3,Macao Polytechnic University,Macau,Macau,China,MO,,,,,,,unresolved,missing_coordinates_but_has_city_country,needs_manual_review,no_exact_local_coordinate_match,Faculty kept only in raw_affiliation.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Haiwei Wu,1,University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,30.66667,104.06667,data/processed/institution_resolution_cache.json,ROR,high,has_valid_coordinates,confirmed,exact_local_coordinate_match,Department/school kept only in raw_affiliation. | Possible exact local institution coordinate match; verify before copying into enrichment CSV.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Jiantao Zhou,2,University of Macau,Macau,Macau,China,MO,,,,,,,unresolved,missing_coordinates_but_has_city_country,needs_manual_review,no_exact_local_coordinate_match,Lab/department/faculty kept only in raw_affiliation.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Mingjian Zhu,1,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Hanting Chen,2,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Qiangyu Yan,3,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Xudong Huang,4,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Guanyu Lin,5,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Wei Li,6,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Zhijun Tu,7,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Hailin Hu,8,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Jie Hu,9,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Yunhe Wang,10,Huawei Noah's Ark Lab,,,,,,,,,,,unresolved,missing_city_country,needs_manual_review,corporate_or_lab_institution; missing_city_country,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
