title,year,affiliation_row_count,institution_count,coordinate_row_count,institutions,locations,coordinate_pairs,source_files,diagnosis,recommended_action
Multi-modal texture fusion network for detecting AI-generated images,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Noise-Informed Diffusion-Generated Image Detection With Anomaly Attention,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Semantic-Aware Lightweight AI Model for Deepfake Image Detection in Online Retail Platforms,2025,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
CNN-LSTM Model for Deepfake Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
DeepFake Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection Using ResNet50 Model,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection Using Vision Transformer Models,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Deepfake Image Detection Using Yolov8,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
DeepSight: Enhancing Deepfake Image Detection and Classification through Ensemble and Deep Learning Techniques,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Detecting AI-generated images with CNN and Interpretation using Explainable AI,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Detection of real-time deep fakes and face forgery in video conferencing employing generative adversarial networks,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Diffusion Models as a Representation Learner for Deepfake Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Enhancing Deepfake Detection With Diversified Self-Blending Images and Residuals,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Evasion on general GAN-generated image detection by disentangled representation,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
From Provenance to Aberrations: Image Creator and Screen Reader User Perspectives on Alt Text for AI-Generated Images,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
GAN Generated Fake Human Face Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
How spammers and scammers leverage AI-generated images on Facebook for audience growth,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
LaRE$^2$: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Level Up the Deepfake Detection: A Method to Effectively Discriminate Images Generated by GAN Architectures and Diffusion Models,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Local frequency analysis for diffusion-generated image detection,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Multiclass AI-Generated Deepfake Face Detection Using Patch-Wise Deep Learning Model,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A GAN-based Approach to Detect AI-Generated Images,2023,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
A Survey of Detection and Mitigation for Fake Images on Social Media Platforms,2023,0,0,0,,,,,missing_affiliation_rows,add affiliation evidence first
