title,year,author,institution,current_country,current_country_code,raw_affiliation,reason,suggested_action,suggested_institution,confidence,notes
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,George Karantaidis,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,Olga Papadopoulou,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,Symeon Papadopoulos,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,Thanasis Pantsios,Information Technologies Institute,GR,GR,"CERTH-ITI, Thessaloniki, n/a, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Bi‐ <scp>LORA</scp> : A Vision‐Language Approach for Synthetic Image Detection,2025,Abdelmalik Taleb‐Ahmed,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Bi‐ <scp>LORA</scp> : A Vision‐Language Approach for Synthetic Image Detection,2025,Hessen Bougueffa Eutamene,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Bi‐ <scp>LORA</scp> : A Vision‐Language Approach for Synthetic Image Detection,2025,Mamadou Keïta,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,Laboratory of IEMN Université Polytechnique Hauts‐de‐France Valenciennes France,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,Claudio Gennaro,National Research Council,IT,IT,"Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,Davide Alessandro Coccomini,National Research Council,IT,IT,"Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,Fabrizio Falchi,National Research Council,IT,IT,"Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,Giuseppe Amato,National Research Council,IT,IT,"Inst. of Information Science and Technologies ""A. Faedo"", Consiglio Nazionale delle Ricerche, Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection,2022,Roberto Caldelli,Consorzio Nazionale Interuniversitario per le Telecomunicazioni,IT,IT,"National Inter-University Consortium for Telecommunications (CNIT), Florence, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,2026,Abdelmalik Taleb-Ahmed,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,"Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,2026,Hessen Bougueffa Eutamene,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,"Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,2026,Mamadou Keïta,Institut d'électronique de microélectronique et de nanotechnologie,FR,FR,"Laboratory of IEMN, University Polytechnique Hauts-de-France, Valenciennes, France",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Deep fake detection and classification using error-level analysis and deep learning,2023,Rashid Amin,Karnatak University,IN,IN,"Department of Computer Science, University of Chakwal, Chakwal, 48800, Pakistan. Rashid.sdn1@gmail.com",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,Ohad Fried,Brandman University,US,US,Reichman University,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Deep Image Fingerprint: Towards Low Budget Synthetic Image Detection and Model Lineage Analysis,2024,Sergey Sinitsa,Brandman University,US,US,Reichman University,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
DeepFake Detection Based on Discrepancies Between Faces and Their Context,2021,Tal Hassner,Meta (United States),US,US,"Facebook AI, Menlo Park, CA, USA",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,B.S. Manjunath,Naval Air Warfare Center Weapons Division,US,US,"Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,Jawadul H. Bappy,Naval Air Warfare Center Weapons Division,US,US,"Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,Lakshmanan Nataraj,Naval Air Warfare Center Weapons Division,US,US,"Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,Shivkumar Chandrasekaran,Naval Air Warfare Center Weapons Division,US,US,"Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,Tajuddin Manhar Mohammed,Naval Air Warfare Center Weapons Division,US,US,"Arjuna Flenner; Naval Air Warfare Center Weapons Division, China Lake, California, USA",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
DIRE for Diffusion-Generated Image Detection,2023,Houqiang Li,Institute of Art,PL,PL,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
DIRE for Diffusion-Generated Image Detection,2023,Wengang Zhou,Institute of Art,PL,PL,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,B. Paulchamy,Hindustan Institute of Technology and Science,IN,IN,"Department of Electronics and Communication Engineering, Hindusthan Institute of Technology, Coimbatore, India",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,R Maheshwari,Hindustan Institute of Technology and Science,IN,IN,"Research Scholar, Hindusthan Institute of Technology, Coimbatore, India",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,Qi Zhang,City University of Macau,MO,MO,"Faculty of Data Science, City University of Macau, Macau SAR, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,Qi Zhong,City University of Macau,MO,MO,"Faculty of Data Science, City University of Macau, Macau SAR, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,Sanshuai Cui,City University of Macau,MO,MO,"Faculty of Data Science, City University of Macau, Macau SAR, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,Weinan Zhang,City University of Macau,MO,MO,"Faculty of Data Science, City University of Macau, Macau SAR, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,Giorgos Kordopatis-Zilos,Centre for Research and Technology Hellas,GR,GR,"Czech Technical University in Prague, Czech Republic and Information Technologies Institute CERTH, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,Ioannis Kompatsiaris,Centre for Research and Technology Hellas,GR,GR,"Information Technologies Institute CERTH, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,Pantelis Dogoulis,Centre for Research and Technology Hellas,GR,GR,"Information Technologies Institute CERTH, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,Symeon Papadopoulos,Centre for Research and Technology Hellas,GR,GR,"Information Technologies Institute CERTH, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,Christos Koutlis,Centre for Research and Technology Hellas,GR,GR,"Information Technologies Institute @ CERTH, Thessaloniki, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,Symeon Papadopoulos,Centre for Research and Technology Hellas,GR,GR,"Information Technologies Institute @ CERTH, Thessaloniki, Greece",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
On the use of Benford's law to detect GAN-generated images,2020,Simone Milani,University of Padua,IT,IT,"University of Padova, Padova, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Semantic-Aware Lightweight AI Model for Deepfake Image Detection in Online Retail Platforms,2025,Akshat Gaurav,Ronin Institute,US,US,"Ronin Institute, USA & Center for Interdisciplinary Research, University of Petroleum and Energy Studies, Dehradun, India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Semantic-Aware Lightweight AI Model for Deepfake Image Detection in Online Retail Platforms,2025,Akshat Gaurav,University of Petroleum and Energy Studies,IN,IN,"Ronin Institute, USA & Center for Interdisciplinary Research, University of Petroleum and Energy Studies, Dehradun, India",country_mismatch_raw_text_suggests_US,manual review,,medium,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Claudio Gennaro,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,IT,"ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Davide Alessandro Coccomini,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,IT,"ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Fabrizio Falchi,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,IT,"ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Giuseppe Amato,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,IT,"ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Nicola Messina,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,IT,"ISTI-CNR, via G. Moruzzi 1, 56124 Pisa, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Face Deepfake Detection Challenge,2022,Roberto Caldelli,Consorzio Nazionale Interuniversitario per le Telecomunicazioni,IT,IT,"National Inter-University Consortium for Telecommunications (CNIT), 43124 Parma, Italy",low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
The Stable Signature: Rooting Watermarks in Latent Diffusion Models,2023,Teddy Furon,Institut national de recherche en sciences et technologies du numérique,FR,FR,Centre Inria de l&#x2019;Universit&#x00E9; de Rennes,low_institution_name_overlap,manual review,,low,Automatic local audit finding; verify before adding an override.
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,Jun Sun,Fujitsu (China),HK,CN,"Fujitsu R&amp;D Cente Company, Ltd., Beijing, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,Liuan Wang,Fujitsu (China),HK,CN,"Fujitsu R&amp;D Cente Company, Ltd., Beijing, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,Xiaojie Xia,Fujitsu (China),HK,CN,"Fujitsu R&amp;D Cente Company, Ltd., Beijing, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Towards Robust Gan-Generated Image Detection: A Multi-View Completion Representation,2023,Wanlei Zhou,City University of Macau,MO,MO,"City University of Macau | City University of Macau, Macao SAR, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Ashutosh Soni,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Gaurav Singh,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Jayanti Rout,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Lotugada Jagan,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Sanjay Das,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Sujal Kumar,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
TriFusionNet: Multi-Branch Architecture for AI-Generated Image Detection,2025,Surendra Kumar Nanda,Global University,LB,LB,"C. V. Raman Global University,Department of CSE,Bhubaneswar,Odisha,India",country_mismatch_raw_text_suggests_IN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Unmasking AI-created visual content: a review of generated images and deepfake detection technologies,2025,Chengyou Wang,Intelligent Health (United Kingdom),GB,GB,"Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
Unmasking AI-created visual content: a review of generated images and deepfake detection technologies,2025,Xiao Zhou,Intelligent Health (United Kingdom),GB,GB,"Shandong Key Laboratory of Intelligent Electronic Packaging Testing and Application, Weihai, 264209, China",country_mismatch_raw_text_suggests_CN,manual review,,medium,Automatic local audit finding; verify before adding an override.
