title,year,normalized_title,openalex_url,doi,author,author_position,raw_affiliation,institution,city,region,country,country_code,latitude,longitude,institution_source,confidence,needs_manual_review,notes
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Zhenting Wang,4,Rutgers University,Rutgers University,Piscataway,New Jersey,United States,US,40.48622,-74.45182,NeurIPS PDF first page,high,no,Author-affiliation mapping verified from NeurIPS PDF first page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,where did i come from origin attribution of ai generated images,https://openalex.org/W7133223677,10.52202/075280-3256,Yi Zeng,5,Virginia Tech,Virginia Tech,Blacksburg,Virginia,United States,US,,,NeurIPS PDF first page,high,yes,Author-affiliation mapping verified from NeurIPS PDF first page.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Haiwei Wu,1,"School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China",University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,arXiv HTML first page,high,no,Department/school kept only in raw_affiliation. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Jiantao Zhou,2,"State Key Laboratory of Internet of Things for Smart City; Department of Computer and Information Science, Faculty of Science and Technology, University of Macau, Macau 999078, China",University of Macau,Macau,Macau,China,MO,,,arXiv HTML first page,high,yes,Lab/department/faculty kept only in raw_affiliation.
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,generalizable synthetic image detection via language guided contrastive learning,https://openalex.org/W4378506811,10.48550/arxiv.2305.13800,Shile Zhang,3,"Faculty of Applied Sciences, Macao Polytechnic University, Macau 999078, China",Macao Polytechnic University,Macau,Macau,China,MO,,,arXiv HTML first page,high,yes,Faculty kept only in raw_affiliation.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,lare 2 latent reconstruction error based method for diffusion generated image detection,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,Yunpeng Luo,1,Tencent YouTu Lab,Tencent YouTu Lab,,,,,,,CVPR 2024 PDF first page,high,yes,Location left empty because the paper page only gives Tencent YouTu Lab.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,lare 2 latent reconstruction error based method for diffusion generated image detection,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,Junlong Du,2,Tencent YouTu Lab,Tencent YouTu Lab,,,,,,,CVPR 2024 PDF first page,high,yes,Location left empty because the paper page only gives Tencent YouTu Lab.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,lare 2 latent reconstruction error based method for diffusion generated image detection,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,Ke Yan,3,Tencent YouTu Lab,Tencent YouTu Lab,,,,,,,CVPR 2024 PDF first page,high,yes,Location left empty because the paper page only gives Tencent YouTu Lab.
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,lare 2 latent reconstruction error based method for diffusion generated image detection,https://openalex.org/W4393284560,10.48550/arxiv.2403.17465,Shouhong Ding,4,Tencent YouTu Lab,Tencent YouTu Lab,,,,,,,CVPR 2024 PDF first page,high,yes,Location left empty because the paper page only gives Tencent YouTu Lab.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Ruipeng Ma,1,"Department of Computer Science and Engineering, University of Electronic Science and Technology of China",University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,OpenReview PDF first page,high,no,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Jinhao Duan,2,Drexel University,Drexel University,Philadelphia,Pennsylvania,United States,US,,,OpenReview PDF first page,high,yes,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 2.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Fei Kong,3,"Department of Computer Science and Engineering, University of Electronic Science and Technology of China",University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,OpenReview PDF first page,high,no,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Xiaoshuang Shi,4,"Department of Computer Science and Engineering, University of Electronic Science and Technology of China",University of Electronic Science and Technology of China,Chengdu,Sichuan,China,CN,30.66667,104.06667,OpenReview PDF first page,high,no,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 1. Keep department only in raw_affiliation. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Exposing the Fake: Effective Diffusion-Generated Images Detection,2024,exposing the fake effective diffusion generated images detection,https://openalex.org/W4384268537,10.48550/arxiv.2307.06272,Kaidi Xu,5,Drexel University,Drexel University,Philadelphia,Pennsylvania,United States,US,,,OpenReview PDF first page,high,yes,Author-affiliation mapping verified from OpenReview PDF first page; affiliation marker 2.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Xu Guo,1,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chenhao Lin,2,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Shuai Liu,3,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chao Shen,4,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Hang Wang,5,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Zhengyu Zhao,6,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,breaking semantic artifacts for generalized ai generated image detection,https://openalex.org/W4415797310,10.52202/079017-1903,Chende Zheng,7,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an,Shaanxi,China,CN,34.25833,108.92861,NeurIPS PDF / XJTU faculty page,high,no,Author list and XJTU affiliation evidence verified from NeurIPS/proceedings and XJTU faculty page. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for key-paper affiliation and confirmed local coordinates.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Jiaxuan Chen,1,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,Nanjing,Jiangsu,China,CN,,,arXiv HTML first page,high,yes,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Jieteng Yao,2,"MoE Key Lab of Artificial Intelligence, Shanghai Jiao Tong University",Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,arXiv HTML first page,high,no,Lab kept only in raw_affiliation; affiliation marker 2. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/manual/institution_record_overrides.csv; detail=data/manual/institution_record_overrides.csv. Manual review completed for key-paper affiliation and confirmed local coordinates.
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,a single simple patch is all you need for ai generated image detection,https://openalex.org/W4391555851,10.48550/arxiv.2402.01123,Li Niu,3,"MoE Key Lab of Artificial Intelligence, Shanghai Jiao Tong University",Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,arXiv HTML first page,high,no,Lab kept only in raw_affiliation; affiliation marker 2. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/manual/institution_record_overrides.csv; detail=data/manual/institution_record_overrides.csv. Manual review completed for key-paper affiliation and confirmed local coordinates.
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,patchcraft exploring texture patch for efficient ai generated image detection,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,Nan Zhong,1,Fudan University,Fudan University,Shanghai,Shanghai,China,CN,31.22222,121.45806,arXiv HTML first page,high,no,"Paper first page lists all authors under Fudan University. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Fudan University, Shanghai, China affiliation."
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,patchcraft exploring texture patch for efficient ai generated image detection,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,Yiran Xu,2,Fudan University,Fudan University,Shanghai,Shanghai,China,CN,31.22222,121.45806,arXiv HTML first page,high,no,"Paper first page lists all authors under Fudan University. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Fudan University, Shanghai, China affiliation."
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,patchcraft exploring texture patch for efficient ai generated image detection,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,"Li, Sheng",3,Fudan University,Fudan University,Shanghai,Shanghai,China,CN,31.22222,121.45806,arXiv HTML first page,high,no,"Paper first page lists all authors under Fudan University. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Fudan University, Shanghai, China affiliation."
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,patchcraft exploring texture patch for efficient ai generated image detection,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,Zhenxing Qian,4,Fudan University,Fudan University,Shanghai,Shanghai,China,CN,31.22222,121.45806,arXiv HTML first page,high,no,"Paper first page lists all authors under Fudan University. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Fudan University, Shanghai, China affiliation."
PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,2024,patchcraft exploring texture patch for efficient ai generated image detection,https://openalex.org/W4388927818,10.48550/arxiv.2311.12397,Xinpeng Zhang,5,Fudan University,Fudan University,Shanghai,Shanghai,China,CN,31.22222,121.45806,arXiv HTML first page,high,no,"Paper first page lists all authors under Fudan University. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Fudan University, Shanghai, China affiliation."
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,rigid a training free and model agnostic framework for robust ai generated image detection,https://openalex.org/W4399252995,10.48550/arxiv.2405.20112,Zhiyuan He,1,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",The Chinese University of Hong Kong,Hong Kong,Hong Kong,Hong Kong,HK,22.4196,114.2068,arXiv HTML first page,high,no,"Department kept only in raw_affiliation. | Coordinates manually confirmed for explicit institution/city/country evidence: The Chinese University of Hong Kong, Hong Kong, Hong Kong. Manual review completed for key-paper affiliation and coordinates."
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,rigid a training free and model agnostic framework for robust ai generated image detection,https://openalex.org/W4399252995,10.48550/arxiv.2405.20112,Pin‐Yu Chen,2,IBM Research,IBM Research,,,,,,,arXiv HTML first page,high,yes,Location left empty because the paper page only gives IBM Research.
RIGID: A Training-free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2024,rigid a training free and model agnostic framework for robust ai generated image detection,https://openalex.org/W4399252995,10.48550/arxiv.2405.20112,Tsung-Yi Ho,3,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",The Chinese University of Hong Kong,Hong Kong,Hong Kong,Hong Kong,HK,22.4196,114.2068,arXiv HTML first page,high,no,"Department kept only in raw_affiliation. | Coordinates manually confirmed for explicit institution/city/country evidence: The Chinese University of Hong Kong, Hong Kong, Hong Kong. Manual review completed for key-paper affiliation and coordinates."
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Shilin Yan,1,Xiaohongshu Inc.,Xiaohongshu Inc.,,,,,,,arXiv HTML first page,high,yes,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Ouxiang Li,2,University of Science and Technology of China,University of Science and Technology of China,Hefei,Anhui,China,CN,,,arXiv HTML first page,high,yes,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Jiayin Cai,3,Xiaohongshu Inc.,Xiaohongshu Inc.,,,,,,,arXiv HTML first page,high,yes,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Yanbin Hao,4,University of Science and Technology of China,University of Science and Technology of China,Hefei,Anhui,China,CN,,,arXiv HTML first page,high,yes,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Xiaolong Jiang,5,Xiaohongshu Inc.,Xiaohongshu Inc.,,,,,,,arXiv HTML first page,high,yes,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Yao Hu,6,Xiaohongshu Inc.,Xiaohongshu Inc.,,,,,,,arXiv HTML first page,high,yes,Location left empty because the paper page only gives Xiaohongshu Inc.
A Sanity Check for AI-generated Image Detection,2025,a sanity check for ai generated image detection,https://openalex.org/W4400222289,10.48550/arxiv.2406.19435,Weidi Xie,7,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai,Shanghai,China,CN,31.2,121.4242,arXiv HTML first page,high,no,Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 3. | Coordinates applied from key_paper_coordinate_candidates.csv; source=data/manual/institution_record_overrides.csv; detail=data/manual/institution_record_overrides.csv. Manual review completed for key-paper affiliation and confirmed local coordinates.
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Moyang Guo,1,Duke University,Duke University,Durham,North Carolina,United States,US,35.99403,-78.89862,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Duke University, Durham, United States affiliation."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Yuepeng Hu,2,Duke University,Duke University,Durham,North Carolina,United States,US,35.99403,-78.89862,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Duke University, Durham, United States affiliation."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Zhengyuan Jiang,3,Duke University,Duke University,Durham,North Carolina,United States,US,35.99403,-78.89862,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Duke University, Durham, United States affiliation."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Zeyu Li,4,Duke University,Duke University,Durham,North Carolina,United States,US,35.99403,-78.89862,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Duke University, Durham, United States affiliation."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Amir Sadovnik,5,Oak Ridge National Laboratory,Oak Ridge National Laboratory,Oak Ridge,Tennessee,United States,US,35.9313,-84.3104,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2. | Coordinates manually confirmed for explicit institution/city/country evidence: Oak Ridge National Laboratory, Oak Ridge, Tennessee, United States. Manual review completed for key-paper affiliation and coordinates."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Arka Daw,6,Oak Ridge National Laboratory,Oak Ridge National Laboratory,Oak Ridge,Tennessee,United States,US,35.9313,-84.3104,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 2. | Coordinates manually confirmed for explicit institution/city/country evidence: Oak Ridge National Laboratory, Oak Ridge, Tennessee, United States. Manual review completed for key-paper affiliation and coordinates."
AI-generated Image Detection: Passive or Watermark?,2024,ai generated image detection passive or watermark,https://openalex.org/W4404649743,10.48550/arxiv.2411.13553,Neil Zhenqiang Gong,7,Duke University,Duke University,Durham,North Carolina,United States,US,35.99403,-78.89862,arXiv HTML first page,high,no,"Author-affiliation mapping verified from arXiv HTML first page; affiliation marker 1. | Coordinates applied from local institution_resolution_cache.json; source=data/processed/institution_resolution_cache.json; detail=ROR. Manual review completed for explicit Duke University, Durham, United States affiliation."
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Mingjian Zhu,1,Huawei Noah's Ark Lab,Huawei Noah's Ark Lab,,,,,,,arXiv HTML first page,high,yes,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Hanting Chen,2,Huawei Noah's Ark Lab,Huawei Noah's Ark Lab,,,,,,,arXiv HTML first page,high,yes,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
Genimage: A million-scale benchmark for detecting ai-generated image,2023,genimage a million scale benchmark for detecting ai generated image,https://openalex.org/W4380993529,10.48550/arxiv.2306.08571,Qiangyu Yan,3,Huawei Noah's Ark Lab,Huawei Noah's Ark Lab,,,,,,,arXiv HTML first page,high,yes,Paper first page lists all authors under Huawei Noah's Ark Lab. Location left empty because the paper page does not specify city/country.
