title,year,recommended_action,manual_search_status,found_doi,found_arxiv_id,found_openalex_url,notes,scope_guess,scope_reason,review_decision,review_notes
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=source_attribution,include,Included under broad paper-level coverage; institution/location can be repaired later.
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,manual_or_openalex_title_import_review,todo,,,,,include_broad_scope,Broad coverage policy: include generated/synthetic image related work; domain=synthetic_image_detection,include,Included under broad paper-level coverage; institution/location can be repaired later.
