title,year,scope_guess,review_decision,best_match_title,best_match_year,similarity,openalex_id,openalex_url,doi,publication_venue,publication_type,is_accepted_match,notes
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,include_broad_scope,include,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,1.000,https://openalex.org/W7128586659,https://openalex.org/W7128586659,https://doi.org/10.3390/s26041172,Sensors,journal,yes,
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,include_broad_scope,include,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,1.000,https://openalex.org/W7164742316,https://openalex.org/W7164742316,https://doi.org/10.1016/j.fsisyn.2026.100704,Forensic Science International Synergy,journal,yes,
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,include_broad_scope,include,Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,1.000,https://openalex.org/W7164298589,https://openalex.org/W7164298589,https://doi.org/10.1109/qpain69676.2026.11546484,,journal,yes,
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,include_broad_scope,include,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,1.000,https://openalex.org/W7135092069,https://openalex.org/W7135092069,https://doi.org/10.48550/arxiv.2603.10598,arXiv (Cornell University),preprint,yes,
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,include_broad_scope,include,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,1.000,https://openalex.org/W7155245437,https://openalex.org/W7155245437,,ArXiv.org,journal,yes,
Model Synthesis for Zero-Shot Model Attribution,2025,include_broad_scope,include,Model Synthesis for Zero-Shot Model Attribution,2023,1.000,https://openalex.org/W4385473656,https://openalex.org/W4385473656,https://doi.org/10.48550/arxiv.2307.15977,arXiv (Cornell University),preprint,yes,
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,include_broad_scope,include,“ <i>They</i> Did It”: The Effects of Emotionalized Blame Attribution in Populist Communication,2016,0.377,https://openalex.org/W2419616447,https://openalex.org/W2419616447,https://doi.org/10.1177/0093650216644026,Communication Research,journal,weak_match,
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,include_broad_scope,include,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,1.000,https://openalex.org/W4414577086,https://openalex.org/W4414577086,https://doi.org/10.48550/arxiv.2503.08148,ArXiv.org,preprint,yes,
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,include_broad_scope,include,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,1.000,https://openalex.org/W4414827699,https://openalex.org/W4414827699,https://doi.org/10.48550/arxiv.2504.08149,ArXiv.org,preprint,yes,
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,include_broad_scope,include,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,1.000,https://openalex.org/W4408356108,https://openalex.org/W4408356108,https://doi.org/10.1109/icassp49660.2025.10890492,,journal,yes,
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,include_broad_scope,include,Autonomous self-healing organic crystals for nonlinear optics,2023,0.479,https://openalex.org/W4387764609,https://openalex.org/W4387764609,https://doi.org/10.1038/s41467-023-42131-7,Nature Communications,journal,weak_match,
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,include_broad_scope,include,,,,,,,,,no_match,No OpenAlex result
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,include_broad_scope,include,Transductive Zero-Shot Action Recognition by Word-Vector Embedding,2017,0.438,https://openalex.org/W2560129302,https://openalex.org/W2560129302,https://doi.org/10.1007/s11263-016-0983-5,International Journal of Computer Vision,journal,weak_match,
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,include_broad_scope,include,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,1.000,https://openalex.org/W4409367167,https://openalex.org/W4409367167,https://doi.org/10.1609/aaai.v39i7.32772,Proceedings of the AAAI Conference on Artificial Intelligence,conference,yes,
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,include_broad_scope,include,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2024,1.000,https://openalex.org/W4393213376,https://openalex.org/W4393213376,https://doi.org/10.48550/arxiv.2403.16513,arXiv (Cornell University),preprint,yes,
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,include_broad_scope,include,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2024,0.984,https://openalex.org/W4394653966,https://openalex.org/W4394653966,https://doi.org/10.48550/arxiv.2404.04584,arXiv (Cornell University),preprint,yes,
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,include_broad_scope,include,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,1.000,https://openalex.org/W4413145084,https://openalex.org/W4413145084,https://doi.org/10.1109/cvpr52734.2025.01197,,journal,yes,
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,include_broad_scope,include,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,1.000,https://openalex.org/W4413145584,https://openalex.org/W4413145584,https://doi.org/10.1109/cvpr52734.2025.00405,,journal,yes,
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,include_broad_scope,include,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,1.000,https://openalex.org/W4413146372,https://openalex.org/W4413146372,https://doi.org/10.1109/cvpr52734.2025.01255,,journal,yes,
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,include_broad_scope,include,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,1.000,https://openalex.org/W4413146055,https://openalex.org/W4413146055,https://doi.org/10.1109/cvpr52734.2025.01256,,journal,yes,
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,include_broad_scope,include,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,1.000,https://openalex.org/W4413156425,https://openalex.org/W4413156425,https://doi.org/10.1109/cvpr52734.2025.00400,,journal,yes,
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,include_broad_scope,include,,,,,,,,,query_failed,HTTP Error 400: Bad Request
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,include_broad_scope,include,A Survey on the Use of Large Language Models (LLMs) in Fake News,2024,0.410,https://openalex.org/W4401974878,https://openalex.org/W4401974878,https://doi.org/10.3390/fi16080298,Future Internet,journal,weak_match,
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,include_broad_scope,include,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,1.000,https://openalex.org/W4414789480,https://openalex.org/W4414789480,https://doi.org/10.48550/arxiv.2509.20890,ArXiv.org,preprint,yes,
