title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,import_batch,import_policy,notes
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,https://openalex.org/W4417166521,https://doi.org/10.1016/j.patrec.2025.12.001,E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,1.000,Pattern Recognition Letters,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,https://openalex.org/W7128586659,https://doi.org/10.3390/s26041172,IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,1.000,Sensors,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,https://openalex.org/W7164742316,https://doi.org/10.1016/j.fsisyn.2026.100704,"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,1.000,Forensic Science International Synergy,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,https://openalex.org/W7164298589,https://doi.org/10.1109/qpain69676.2026.11546484,Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford's Law and Topological Analysis with Machine Learning Ensembles,2026,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,https://openalex.org/W7135092069,https://doi.org/10.48550/arxiv.2603.10598,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,1.000,arXiv (Cornell University),preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,https://openalex.org/W7155245437,,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,1.000,ArXiv.org,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Model Synthesis for Zero-Shot Model Attribution,2025,https://openalex.org/W4385473656,https://doi.org/10.48550/arxiv.2307.15977,Model Synthesis for Zero-Shot Model Attribution,2023,1.000,arXiv (Cornell University),preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,https://openalex.org/W4414577086,https://doi.org/10.48550/arxiv.2503.08148,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,1.000,ArXiv.org,preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,https://openalex.org/W4414827699,https://doi.org/10.48550/arxiv.2504.08149,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,1.000,ArXiv.org,preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,https://openalex.org/W4408356108,https://doi.org/10.1109/icassp49660.2025.10890492,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,https://openalex.org/W4409367167,https://doi.org/10.1609/aaai.v39i7.32772,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,1.000,Proceedings of the AAAI Conference on Artificial Intelligence,conference,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,https://openalex.org/W4393213376,https://doi.org/10.48550/arxiv.2403.16513,Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2024,1.000,arXiv (Cornell University),preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,https://openalex.org/W4394653966,https://doi.org/10.48550/arxiv.2404.04584,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2024,0.984,arXiv (Cornell University),preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,https://openalex.org/W4413145084,https://doi.org/10.1109/cvpr52734.2025.01197,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,https://openalex.org/W4413145584,https://doi.org/10.1109/cvpr52734.2025.00405,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,https://openalex.org/W4413146372,https://doi.org/10.1109/cvpr52734.2025.01255,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://openalex.org/W4413146055,https://doi.org/10.1109/cvpr52734.2025.01256,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,https://openalex.org/W4413156425,https://doi.org/10.1109/cvpr52734.2025.00400,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,1.000,,journal,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,https://openalex.org/W4414789480,https://doi.org/10.48550/arxiv.2509.20890,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,1.000,ArXiv.org,preprint,top50_missing_key_papers_broad_scope,paper_level_preview_first_institution_repair_later,Strong OpenAlex title match imported under broad generated/synthetic image coverage policy.
