title,year,openalex_id,openalex_url,doi,is_key_paper,has_map_location,map_record_count,missing_affiliation,missing_coordinates,needs_review,coverage_status,affiliation_row_count,institution_count,coordinate_row_count,institutions,locations,coordinate_pairs,blocker_type,recommended_action
Beyond Generation: A Diffusion-based Low-level Feature Extractor for Detecting AI-generated Images,2025,W4413146215,https://openalex.org/W4413146215,10.1109/cvpr52734.2025.00773,yes,yes,2,no,no,yes,map_ready,5,2,5,City University of Hong Kong; Fudan University,"Hong Kong, HK; Shanghai, CN","22.278320,114.174690; 31.222220,121.458060",already_mapped,no_action
Bi‐ <scp>LORA</scp> : A Vision‐Language Approach for Synthetic Image Detection,2025,W4406160881,https://openalex.org/W4406160881,10.1111/exsy.13829,yes,yes,5,no,no,yes,map_ready,9,5,9,Institut d'électronique de microélectronique et de nanotechnologie; Khalifa University of Science and Technology; Sorbonne University Abu Dhabi; Universidad Politécnica de Madrid; Université Polytechnique Hauts-de-France,"Abu Dhabi, AE; Madrid, ES; Valenciennes, FR; Villeneuve-d'Ascq, FR","24.451180,54.396960; 40.416500,-3.702560; 50.359090,3.525060; 50.616690,3.166640",already_mapped,no_action
BOSC: A Backdoor-Based Framework for Open Set Synthetic Image Attribution,2025,W4412624408,https://openalex.org/W4412624408,10.1109/tifs.2025.3592531,yes,yes,1,no,no,yes,map_ready,3,1,3,University of Siena,"Siena, IT","43.318220,11.330640",already_mapped,no_action
Bridging the Gap Between Ideal and Real-World Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,W4417071442,https://openalex.org/W4417071442,10.1109/iccv51701.2025.01895,yes,yes,5,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,W4409367167,https://openalex.org/W4409367167,https://doi.org/10.1609/aaai.v39i7.32772,yes,yes,3,no,no,yes,map_ready,7,3,7,"Beijing Jiaotong University; Chinese University of Hong Kong, Shenzhen; Yanshan University","Beijing, CN; Qinhuangdao, CN; Shenzhen, CN","22.687845,114.209930; 39.907501,116.397232; 39.941040,119.589363",already_mapped,no_action
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,W4411378016,https://openalex.org/W4411378016,10.1145/3733102.3733138,yes,yes,2,no,no,yes,map_ready,8,2,8,Institute of Information Engineering; University of Chinese Academy of Sciences,"Beijing, China","39.907500,116.397230; 39.907501,116.397232",already_mapped,no_action
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,W7131117798,https://openalex.org/W7131117798,https://doi.org/10.1109/iccvw69036.2025.00166,yes,yes,3,no,no,yes,map_ready,9,3,9,"Chinese Academy of Sciences; Institute of Information Engineering; University at Buffalo, State University of New York","Beijing, CN; Buffalo, US","39.907500,116.397230; 39.907501,116.397232; 42.886450,-78.878370",already_mapped,no_action
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,W4413146055,https://openalex.org/W4413146055,https://doi.org/10.1109/cvpr52734.2025.01256,yes,yes,3,no,no,yes,map_ready,5,3,5,Purdue University West Lafayette; Rutgers Sexual and Reproductive Health and Rights; Sony Corporation (United States),"New York, US; Utrecht, NL; West Lafayette, US","40.425870,-86.908070; 40.717281,-74.005501; 52.082336,5.117863",already_mapped,no_action
Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,W4417529984,https://openalex.org/W4417529984,https://doi.org/10.48550/arxiv.2512.16300,yes,yes,1,no,no,yes,map_ready,13,0,0,,,,already_mapped,no_action
Combating Dataset Misalignment for Robust AI-Generated Image Detection in the Real World,2025,W4411979370,https://openalex.org/W4411979370,10.1145/3709022.3736541,yes,yes,1,no,no,yes,map_ready,3,1,3,Sungkyunkwan University,"Seoul, KR","37.566000,126.978400",already_mapped,no_action
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,W4413155783,https://openalex.org/W4413155783,10.1109/cvpr52734.2025.00772,yes,yes,1,no,no,yes,map_ready,2,1,2,University of Michigan,"Ann Arbor, United States","42.277560,-83.740880",already_mapped,no_action
Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,2025,W4407768917,https://openalex.org/W4407768917,10.1007/978-3-031-81308-5_6,no,yes,3,no,no,yes,map_ready,7,3,7,Al-Azhar University; Canadian International College; Scientific Research Group in Egypt,"Cairo, EG; Giza, EG","30.009440,31.208610; 30.062630,31.249670",already_mapped,no_action
Composite Data Augmentations for Synthetic Image Detection Against Real-World Perturbations,2025,W4417052422,https://openalex.org/W4417052422,https://doi.org/10.23919/eusipco63237.2025.11226549,yes,yes,2,no,no,yes,map_ready,4,2,4,Aristotle University of Thessaloniki; Centre for Research and Technology Hellas,"Thessaloniki, GR","40.643608,22.930861",already_mapped,no_action
D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2025,W4394653966,https://openalex.org/W4394653966,https://doi.org/10.48550/arxiv.2404.04584,yes,yes,2,no,no,no,map_ready,5,0,0,,,,already_mapped,no_action
Deepfake Image Detection Using Convolutional Neural Network,2025,W4410026772,https://openalex.org/W4410026772,10.1007/978-981-96-1981-8_5,no,yes,1,no,no,yes,map_ready,4,1,4,University of Engineering & Management,"Kolkata, IN","22.562630,88.363040",already_mapped,no_action
Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,2025,W4409586875,https://openalex.org/W4409586875,10.1007/978-3-031-84543-7_11,no,yes,1,no,no,yes,map_ready,5,1,5,Amrita Vishwa Vidyapeetham,"Coimbatore, IN","11.005550,76.966120",already_mapped,no_action
Deepfake Image Detection with Transfer Learning Models,2025,W4408853348,https://openalex.org/W4408853348,10.17798/bitlisfen.1610300,no,yes,1,no,no,yes,map_ready,2,1,2,Kahramanmaraş Sütçü İmam University,"Kahramanmaraş, TR","37.584700,36.926410",already_mapped,no_action
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,W4407408001,https://openalex.org/W4407408001,10.3390/electronics14040665,yes,yes,4,no,no,yes,map_ready,6,4,6,Paris-Est Sup; University Frères Mentouri Constantine 1; University of Portsmouth; Université Paris-Est Créteil,"Champs-sur-Marne, FR; Constantine, DZ; Créteil, FR; Portsmouth, GB","36.365000,6.614720; 48.792660,2.465690; 48.850000,2.600000; 50.798990,-1.091250",already_mapped,no_action
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,W4410253117,https://openalex.org/W4410253117,10.1016/j.procs.2025.04.313,no,yes,1,no,no,yes,map_ready,2,1,2,University of Kerala,"Thiruvananthapuram, IN","8.485500,76.949240",already_mapped,no_action
Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,2025,W4411926716,https://openalex.org/W4411926716,10.3390/app15137421,no,yes,2,no,no,yes,map_ready,3,2,3,Louisiana State University of Alexandria; Texas Tech University,"Alexandria, US; Lubbock, US","31.311290,-92.445140; 33.577860,-101.855170",already_mapped,no_action
Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,2025,W4411172248,https://openalex.org/W4411172248,10.1109/mitp.2025.3561143,no,yes,1,no,no,yes,map_ready,3,1,3,National Taiwan University of Science and Technology,"Taipei, TW","25.053060,121.526390",already_mapped,no_action
Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,2025,W4406443479,https://openalex.org/W4406443479,10.2139/ssrn.5029893,no,yes,1,no,no,yes,map_ready,2,1,2,New York University,"New York, US","40.714270,-74.005970",already_mapped,no_action
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,W4409262697,https://openalex.org/W4409262697,10.1109/wacv61041.2025.00850,yes,yes,2,no,no,yes,map_ready,3,2,3,Adobe Systems (United States); California University of Pennsylvania,"California, United States; San Jose, United States","37.330990,-121.893875; 40.065632,-79.891708",already_mapped,no_action
DFBench: Benchmarking Deepfake Image Detection Capability of Large Multimodal Models,2025,W4415539098,https://openalex.org/W4415539098,10.1145/3746027.3758204,yes,yes,1,no,no,yes,map_ready,11,1,11,Shanghai Jiao Tong University,"Shanghai, CN","31.222220,121.458060",already_mapped,no_action
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,W7160128830,https://openalex.org/W7160128830,https://doi.org/10.1109/iccv51701.2025.01588,yes,yes,3,no,no,yes,map_ready,5,3,5,Microsoft (United States); Microsoft Research (United Kingdom); Tencent (China),"Cambridge, GB; Redmond, US; Shenzhen, CN","22.545540,114.068300; 47.673990,-122.121510; 52.194920,0.134905",already_mapped,no_action
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,W4417166521,https://openalex.org/W4417166521,https://doi.org/10.1016/j.patrec.2025.12.001,yes,yes,2,no,no,yes,map_ready,6,2,6,Dongguan University of Technology; Shenzhen University,"Dongguan, CN; Shenzhen, CN","22.545540,114.068298; 23.017969,113.748657",already_mapped,no_action
Enhanced CNN Architecture with Residual Blocks and Regularization for AI-Generated Image Detection,2025,W4410228077,https://openalex.org/W4410228077,10.1109/iatmsi64286.2025.10985062,no,yes,1,no,no,yes,map_ready,2,1,2,Fakir Mohan University,"Balasore, IN","21.492660,86.933480",already_mapped,no_action
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,W4409917780,https://openalex.org/W4409917780,10.1109/wacvw65960.2025.00087,yes,yes,1,no,no,yes,map_ready,3,1,3,University of Siena,"Siena, Italy","43.318218,11.330640",already_mapped,no_action
Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,W4410888267,https://openalex.org/W4410888267,10.1007/978-3-031-92648-8_24,yes,yes,6,no,no,yes,map_ready,10,6,10,Agence France-Presse; Centre Borelli; Centre National de la Recherche Scientifique; Centre for Research and Technology Hellas; Information Technologies Institute; Université Paris-Saclay,"Gif-sur-Yvette, France; Paris, France; Thessaloniki, Greece","40.643608,22.930861; 48.683330,2.133330; 48.853410,2.348800; 48.868755,2.340547",already_mapped,no_action
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,W4415538223,https://openalex.org/W4415538223,https://doi.org/10.1145/3746027.3755434,yes,yes,1,no,no,yes,map_ready,5,1,5,Shanghai Jiao Tong University,"Shanghai, CN","31.222219,121.458061",already_mapped,no_action
FairAdapter: Detecting AI-generated Images with Improved Fairness,2025,W4408352289,https://openalex.org/W4408352289,10.1109/icassp49660.2025.10890705,yes,yes,1,no,no,yes,map_ready,4,1,4,Nanchang University,"Nanchang, CN","28.683960,115.853060",already_mapped,no_action
Fake or JPEG? Revealing Common Biases in Generated Image Detection Datasets,2025,W4410706528,https://openalex.org/W4410706528,10.1007/978-3-031-92089-9_6,yes,yes,4,no,no,yes,map_ready,10,4,10,Fraunhofer Institute for Industrial Mathematics; Offenburg University of Applied Sciences; Supply Chain Competence Center (Germany); University of Mannheim,"Kaiserslautern, DE; Mannheim, DE; Munich, DE; Offenburg, DE","48.137430,11.575490; 48.473770,7.944950; 49.443000,7.771610; 49.489100,8.466940",already_mapped,no_action
FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,W4417056138,https://openalex.org/W4417056138,https://doi.org/10.48550/arxiv.2503.24267,yes,yes,5,no,no,no,map_ready,7,0,0,,,,already_mapped,no_action
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,W4414789480,https://openalex.org/W4414789480,https://doi.org/10.48550/arxiv.2509.20890,yes,yes,1,no,no,no,map_ready,4,0,0,,,,already_mapped,no_action
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,W4414577086,https://openalex.org/W4414577086,https://doi.org/10.48550/arxiv.2503.08148,yes,yes,1,no,no,no,map_ready,2,0,0,,,,already_mapped,no_action
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,W4406484960,https://openalex.org/W4406484960,10.48550/arxiv.2501.08763,yes,yes,4,no,no,no,map_ready,0,0,0,,,,already_mapped,no_action
