title,year,recommended_action,manual_search_status,found_doi,found_arxiv_id,found_openalex_url,notes
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,manual_or_openalex_title_import_review,todo,,,,
Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,manual_or_openalex_title_import_review,todo,,,,
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,manual_or_openalex_title_import_review,todo,,,,
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,manual_or_openalex_title_import_review,todo,,,,
HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,manual_or_openalex_title_import_review,todo,,,,
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,manual_or_openalex_title_import_review,todo,,,,
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,manual_or_openalex_title_import_review,todo,,,,
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,manual_or_openalex_title_import_review,todo,,,,
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,manual_or_openalex_title_import_review,todo,,,,
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,manual_or_openalex_title_import_review,todo,,,,
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,manual_or_openalex_title_import_review,todo,,,,
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,manual_or_openalex_title_import_review,todo,,,,
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,manual_or_openalex_title_import_review,todo,,,,
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,manual_or_openalex_title_import_review,todo,,,,
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,manual_or_openalex_title_import_review,todo,,,,
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,manual_or_openalex_title_import_review,todo,,,,
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,manual_or_openalex_title_import_review,todo,,,,
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,manual_or_openalex_title_import_review,todo,,,,
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,manual_or_openalex_title_import_review,todo,,,,
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,manual_or_openalex_title_import_review,todo,,,,
"Self-supervised Bidirectional Synchronization Estimation for Multimodal Deepfake Detection with Short-term Dependency. ICMR, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
"LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains. PST, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,manual_or_openalex_title_import_review,todo,,,,
"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
"REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content. DFF, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
High‑resolution network‑based multi‑feature fusion for generalized forgery detection,2025,manual_or_openalex_title_import_review,todo,,,,
Optimized frequency collaborative strategy drives AI image detection,2025,manual_or_openalex_title_import_review,todo,,,,
"FLODA: Harnessing Vision-Language Models for Deepfake Assessment. ICCE, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
"Simple Detection of AI-Generated Images based on Noise Correlation. AMLDS, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,manual_or_openalex_title_import_review,todo,,,,
TextureCrop: Enhancing Synthetic Image Detection through Texture-based Cropping,2025,manual_or_openalex_title_import_review,todo,,,,
LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,manual_or_openalex_title_import_review,todo,,,,
Generalizable Deepfake Detection via Effective Local-Global Feature Extraction,2025,manual_or_openalex_title_import_review,todo,,,,
PDA: Generalizable Detection of AI-Generated Images via Post-hoc Distribution Alignment,2025,manual_or_openalex_title_import_review,todo,,,,
HRR: Hierarchical Retrospection Refinement for Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,manual_or_openalex_title_import_review,todo,,,,
"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,manual_or_openalex_title_import_review,todo,,,,
FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,manual_or_openalex_title_import_review,todo,,,,
Robust AI-Synthesized Image Detection via Multi-feature Frequency-aware Learning,2025,manual_or_openalex_title_import_review,todo,,,,
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,manual_or_openalex_title_import_review,todo,,,,
MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,2025,manual_or_openalex_title_import_review,todo,,,,
Composite Data Augmentations for Synthetic Image Detection against Real-World Perturbations,2025,manual_or_openalex_title_import_review,todo,,,,
Task-aligned prompting improves zero-shot detection of AI-generated images by Vision-Language Models,2025,manual_or_openalex_title_import_review,todo,,,,
Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,manual_or_openalex_title_import_review,todo,,,,
LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Explainable Synthetic Image Detection through Diffusion Timestep Ensembling,2025,manual_or_openalex_title_import_review,todo,,,,
Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,manual_or_openalex_title_import_review,todo,,,,
From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Generalized Design Choices for Deepfake Detectors,2025,manual_or_openalex_title_import_review,todo,,,,
Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,manual_or_openalex_title_import_review,todo,,,,
LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,manual_or_openalex_title_import_review,todo,,,,
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,manual_or_openalex_title_import_review,todo,,,,
A closer look at fourier spectrum discrepancies for cnn-generated images detection,2021,manual_or_openalex_title_import_review,todo,,,,
Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,manual_or_openalex_title_import_review,todo,,,,
An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,manual_or_openalex_title_import_review,todo,,,,
Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,manual_or_openalex_title_import_review,todo,,,,
Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,2024,manual_or_openalex_title_import_review,todo,,,,
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,manual_or_openalex_title_import_review,todo,,,,
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,manual_or_openalex_title_import_review,todo,,,,
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,manual_or_openalex_title_import_review,todo,,,,
Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,manual_or_openalex_title_import_review,todo,,,,
Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,manual_or_openalex_title_import_review,todo,,,,
Bridging the Gap Between Ideal and Real-world Evaluation: Benchmarking AI-Generated Image Detection in Challenging Scenarios,2025,manual_or_openalex_title_import_review,todo,,,,
No Detector to Rule Them All,2025,manual_or_openalex_title_import_review,todo,,,,
ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,manual_or_openalex_title_import_review,todo,,,,
UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,manual_or_openalex_title_import_review,todo,,,,
DBINDS - Can Initial Noise from Diffusion Model Inversion Help Reveal AI-Generated Videos?,2025,manual_or_openalex_title_import_review,todo,,,,
Benchmarking Deepart Detection,2023,manual_or_openalex_title_import_review,todo,,,,
DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,manual_or_openalex_title_import_review,todo,,,,
Seeing is not always believing: benchmarking human and model perception of AI-generated images,2024,manual_or_openalex_title_import_review,todo,,,,
TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter,2024,manual_or_openalex_title_import_review,todo,,,,
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,manual_or_openalex_title_import_review,todo,,,,
ImagiNet: A Multi-Content Dataset for Generalizable Synthetic Image Detection via Contrastive Learning,2024,manual_or_openalex_title_import_review,todo,,,,
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2025,manual_or_openalex_title_import_review,todo,,,,
FakeBench: Probing Explainable fake image detection via large multimodal models,2024,manual_or_openalex_title_import_review,todo,,,,
"Human vs. AI: A Novel Benchmark and a Comparative Study on the Detection of Generated Images and the Impact of Prompts. GenAIDetect, 2025",2025,manual_or_openalex_title_import_review,todo,,,,
Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,manual_or_openalex_title_import_review,todo,,,,
Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,manual_or_openalex_title_import_review,todo,,,,
FragFake: A Dataset for Fine-Grained Detection of Edited Images with Vision Language Models. 20250x0x,2025,manual_or_openalex_title_import_review,todo,,,,
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,manual_or_openalex_title_import_review,todo,,,,
Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,manual_or_openalex_title_import_review,todo,,,,
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,manual_or_openalex_title_import_review,todo,,,,
Is Artificial Intelligence Generated Image Detection a Solved Problem?,2025,manual_or_openalex_title_import_review,todo,,,,
"A Survey of Defenses against AI-generated Visual Media- Detection, Disruption, and Authentication",2024,manual_or_openalex_title_import_review,todo,,,,
AI-generated image detection algorithm based on classical-quantum hybrid neural network,2026,manual_or_openalex_title_import_review,todo,,,,
Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,manual_or_openalex_title_import_review,todo,,,,
"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,manual_or_openalex_title_import_review,todo,,,,
"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,manual_or_openalex_title_import_review,todo,,,,
FakeReasoning: Towards Generalizable Forgery Detection and Reasoning,2026,manual_or_openalex_title_import_review,todo,,,,
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,manual_or_openalex_title_import_review,todo,,,,
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
Adversarial Diffusion Model: Generating High-Quality and Undetectable Images From Scratch,2026,manual_or_openalex_title_import_review,todo,,,,
Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,manual_or_openalex_title_import_review,todo,,,,
General and Domain-Specific Zero-shot Detection of Generated Images via Conditional Likelihood,2026,manual_or_openalex_title_import_review,todo,,,,
Training-free Detection of Text-to-video Generations via Over-coherence,2026,manual_or_openalex_title_import_review,todo,,,,
The SAFE Image Authenticity Challenge: Detecting and Localizing Partial and Fully Synthetic Manipulations,2026,manual_or_openalex_title_import_review,todo,,,,
Forensic Detection of Generated MRI Imagery Using Autoregressive Modeling and Frequency Analysis,2026,manual_or_openalex_title_import_review,todo,,,,
CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
"Prompt-Engineered Detection of AI-Generated Images. New Trends in Intelligent Software Methodologies, Tools and Techniques, 2026",2026,manual_or_openalex_title_import_review,todo,,,,
Localizing Perceptual Artifacts in Synthetic Images for Image Quality Assessment via Deep-Learning-Based Anomaly Detection,2026,manual_or_openalex_title_import_review,todo,,,,
Transformer Based on Multi-Domain Feature Fusion for AI-Generated Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,manual_or_openalex_title_import_review,todo,,,,
FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection. MMM 2026,2026,manual_or_openalex_title_import_review,todo,,,,
Privacy-preserving and zero-shot detection strategies for multimodal AI-generated content,2026,manual_or_openalex_title_import_review,todo,,,,
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2026,manual_or_openalex_title_import_review,todo,,,,
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2026,manual_or_openalex_title_import_review,todo,,,,
Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,2026,manual_or_openalex_title_import_review,todo,,,,
IoT-Oriented Security for Small Sensor Systems Using DnCNN Denoising and Multimodal Feature Fusion for Image Forgery Detection,2026,manual_or_openalex_title_import_review,todo,,,,
"Interpol review of detection of AI-generated image and video deepfakes, 2022-2025",2026,manual_or_openalex_title_import_review,todo,,,,
Forensic Invariant Learning for Synthetic Image Detection: Bridging Benford’s Law and Topological Analysis with Machine Learning Ensembles,2026,manual_or_openalex_title_import_review,todo,,,,
Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,manual_or_openalex_title_import_review,todo,,,,
Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,manual_or_openalex_title_import_review,todo,,,,
