candidate_id,title,original_policy_cluster,exact_original_unresolved_question,primary_source,decisive_evidence,evidence_resolution_outcome,narrowed_scope_rationale,identity_reconciliation_outcome,added,paper_id,doi,arxiv_id,openalex_id,forensic_task,image_scope,research_type,verified_affiliations,unresolved_metadata,marker_count,final_review_status,next_action
audit:9089a0b84b74868b,Diffusion Models Meet Image Counter-Forensics,IMAGE,"Do the detectors attacked by diffusion purification detect AI-generated/generatively edited images, or only camera-pipeline disruption and classical tampering? Using diffusion as the attack tool is insufficient.",https://openaccess.thecvf.com/content/WACV2024/html/Tailanian_Diffusion_Models_Meet_Image_Counter-Forensics_WACV_2024_paper.html,"Section 4/Table 1 applies the diffusion counter-forensic transformation to Korus, FAU, and Coverage images and attacks ZERO, Noiseprint, Splicebuster, TruFor, and related camera-pipeline/classical-tampering forensic methods. It does not attack a passive synthetic-image detector or benchmark synthetic-image evidence.",EVIDENCE_EXCLUDES_SCOPE,"Diffusion is the counter-forensic reconstruction mechanism, while the protected forensic task is classical image manipulation/camera trace analysis.",,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:93f2de88b5a876c9,UnionFormer: Unified-Learning Transformer with Multi-View Representation for Image Manipulation Detection and Localization,IMAGE,"Which UnionFormer evaluation datasets contain generative editing or fully generated images, and are the corresponding detection/localization results substantive?",https://openaccess.thecvf.com/content/CVPR2024/html/Li_UnionFormer_Unified-Learning_Transformer_with_Multi-View_Representation_for_Image_Manipulation_Detection_CVPR_2024_paper.html,"Section 4.1 identifies CocoGlide and the new 512-image BDNIE set made with Blended Diffusion for text-driven natural-image editing. Tables 1-2 report per-dataset localization/detection results including CocoGlide, and the BDNIE results are discussed separately.",EVIDENCE_CONFIRMS_SCOPE,"Diffusion-based local edits are substantive, independently evaluated inputs alongside classical manipulations.",MISSING_ADD,yes,curated:a36f5ffcbe9ae454618f,10.1109/CVPR52733.2024.01190,,W4402727697,detection;localization,generative_editing;traditional_manipulation,method;dataset,"Beijing University of Technology [Shuaibo Li; Wei Ma; Benchong Li] | Institute of Automation, Chinese Academy of Sciences [Shuaibo Li; Jianwei Guo; Xiaopeng Zhang] | Beijing University of Posts and Telecommunications [Shibiao Xu]",None,3,reviewed,Integrated into the authoritative successor corpus.
audit:a06bf41dfd2ab933,Learnable Frequency Decomposition for Image Forgery Detection and Localization,IMAGE,"Does F2D-Net evaluate AI-generated regions or generative editing independently, rather than classical tampering alone? Identify the input manipulation types, not just frequency features.",https://www.ijcai.org/proceedings/2025/152,"Section 4/Table 1 evaluates CASIA, Coverage, Columbia, NIST16, and IMD2020 after pretraining on splicing, copy-move, and removal data; the detection experiment uses CASIA-D. No AI-generated region or modern generative-edit test set is independently evaluated.",EVIDENCE_EXCLUDES_SCOPE,"Learnable frequency decomposition is an architecture feature, not evidence of generatively produced test inputs.",,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:b5b43c8e6e91325d,ForgerySleuth: Empowering Multimodal Large Language Models for Image Manipulation Detection,IMAGE,"Does ForgeryAnalysis contain generatively edited or fully generated images with independently evaluated detection/localization results, beyond generic tamper segmentation and reasoning?",https://proceedings.neurips.cc/paper_files/paper/2025/hash/e0e25d425450b6fc8e34380de71b3aee-Abstract-Conference.html,"Sections 3 and 5/Table 8 identify AutoSplice as AIGC and COCOGlide as a 512-image diffusion-edit test set within the evaluation suite. Tables 1 and 9 report independent COCOGlide segmentation F1 results, including fixed-threshold and optimal-threshold scores; Table 6 includes it in ablation.",EVIDENCE_CONFIRMS_SCOPE,The method substantively localizes diffusion-generated edits with separate quantitative results.,MISSING_ADD,yes,curated:4324e2f866acc354acea,10.52202/085713-5121,2411.19466,W4405030341,detection;localization,generative_editing;traditional_manipulation,method;dataset,Fudan University [Zhihao Sun; Haoran Jiang; Haoran Chen; Yixin Cao; Xipeng Qiu; Zuxuan Wu; Yu-Gang Jiang] | Shanghai Collaborative Innovation Center of Intelligent Visual Computing [Zhihao Sun; Haoran Jiang; Haoran Chen; Yixin Cao; Xipeng Qiu; Zuxuan Wu; Yu-Gang Jiang],Coordinates pending for: Shanghai Collaborative Innovation Center of Intelligent Visual Computing.,1,reviewed,Integrated into the authoritative successor corpus.
audit:b666c0f0f497632a,THEMIS: Towards Holistic Evaluation of MLLMs for Scientific Paper Fraud Forensics,IMAGE,"Which THEMIS fraud types involve AI-generated scientific images or generative edits, and do standalone image-forensic results distinguish them from classical duplication/tampering and text reasoning?",https://proceedings.iclr.cc/paper_files/paper/2026/hash/54130c88f35967381cb25ae8aaad1ebe-Abstract-Conference.html,"Section 3 and Appendix A.3.4 define AI-Generated panels as whole-panel Image Inference Forgery or partial Targeted Region Editing, yielding 74 fully generated and 550 partially generated verified images. Appendix D.3/Table 14 separately reports accuracy, IoU, set F1, and exact-match results for the AI-Generated fraud type.",EVIDENCE_CONFIRMS_SCOPE,"Fully generated and partially synthesized scientific images form a distinct, independently scored forensic task.",MISSING_ADD,yes,curated:0494fc6bdd34299fc7f8,,2603.25089,W7141348801,detection;localization,fully_generated;generative_editing;traditional_manipulation,dataset;benchmark;analysis_study,Beijing University of Posts and Telecommunications [Tzu-Yen Ma; Bo Zhang; Zichen Tang; Junpeng Ding; Haolin Tian; Yuanze Li; Zhuodi Hao; Zixin Ding; Zirui Wang; Xinyu Yu; Shiyao Peng; Yizhuo Zhao; Ruomeng Jiang; Yiling Huang; Peizhi Zhao; Jiayuan Chen; Weisheng Tan; Haocheng Gao; Yang Liu; Jiacheng Liu; Zhongjun Yang; Jiayu Huang; Haihong E],None,1,reviewed,Integrated into the authoritative successor corpus.
audit:bcd4cedccc0c34eb,ForgDiffuser: General Image Forgery Localization with Diffusion Models,IMAGE,Do ForgDiffuser’s six benchmarks include generatively manipulated input images? Diffusion-generated segmentation masks do not establish that the tested forgeries are generative.,https://www.ijcai.org/proceedings/2025/218,"Section 4.1 defines six test sets and identifies Auto as DALL-E 2 AIGIF and BSN as 2,500 BrushNet diffusion edits; DID also spans ten inpainting methods. Table 1 reports F1/IoU separately for Auto and BSN, including ForgDiffuser scores of .9768/.9577 and .8358/.7527.",EVIDENCE_CONFIRMS_SCOPE,"The tested forgery inputs, independently of the diffusion decoder, include substantial diffusion-generated local edits.",MISSING_ADD,yes,curated:eaa5d0c666669a4e702c,10.24963/ijcai.2025/218,,W4414359990,localization,generative_editing;traditional_manipulation,method,Beijing University of Posts and Telecommunications [Mengxi Wang; Shaozhang Niu; Jiwei Zhang] | Southeast Digital Economy Development Institute [Shaozhang Niu],Coordinates pending for: Southeast Digital Economy Development Institute.,1,reviewed,Integrated into the authoritative successor corpus.
audit:ced0c9f8fe10fbb9,DiffForensics: Leveraging Diffusion Prior to Image Forgery Detection and Localization,IMAGE,Do DiffForensics evaluation sets contain substantive generative manipulation? A diffusion pretraining prior for the detector is not sufficient evidence about the input images.,https://openaccess.thecvf.com/content/CVPR2024/html/Yu_DiffForensics_Leveraging_Diffusion_Prior_to_Image_Forgery_Detection_and_Localization_CVPR_2024_paper.html,"Section 4.1 explicitly separates six traditional-editing datasets from AutoSplice and OpenForensics, which it identifies as deep-generative-model forgeries. Table 2 reports pixel F1/AUC on both DGM sets, and Table 3 separately reports AutoSplice image-level accuracy/AUC/EER.",EVIDENCE_CONFIRMS_SCOPE,"Deep-generative manipulations are substantive, independently scored detection/localization inputs beyond the detector's diffusion prior.",MISSING_ADD,yes,curated:02d97a81d39d3daa64c3,10.1109/CVPR52733.2024.01213,,W4402715936,detection;localization,generative_editing;deepfake;traditional_manipulation,method,Sun Yat-sen University [Zeqin Yu; Jiangqun Ni] | Peng Cheng Laboratory [Jiangqun Ni] | Shenzhen University [Yuzhen Lin; Haoyi Deng; Bin Li],None,3,reviewed,Integrated into the authoritative successor corpus.
audit:e094e552be6fbe85,Uncertainty-guided Learning for Improving Image Manipulation Detection,IMAGE,"Does UEN evaluate detection of AI-generated/generatively edited images independently, rather than only uncertainty on conventional image manipulation datasets?",https://openaccess.thecvf.com/content/ICCV2023/html/Ji_Uncertainty-guided_Learning_for_Improving_Image_Manipulation_Detection_ICCV_2023_paper.html,"Section 4.1 and Tables 1-3 train on CASIAv2 and evaluate CASIAv1, NIST16, Columbia, and Coverage. The experiments cover conventional splicing/copy-move/compositing; references to synthetic pretraining concern competitor weights, with no independently evaluated AI-generated or generatively edited set.",EVIDENCE_EXCLUDES_SCOPE,Uncertainty modeling is evaluated only on conventional manipulation benchmarks.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:fa8eef7eb10763d0,ADCD-Net: Robust Document Image Forgery Localization via Adaptive DCT Feature and Hierarchical Content Disentanglement,IMAGE,"Do ADCD-Net’s document tests include generative-AI edits with separate localization results, rather than only conventional document tampering and distortion robustness?",https://openaccess.thecvf.com/content/ICCV2025/html/Wong_ADCD-Net_Robust_Document_Image_Forgery_Localization_via_Adaptive_DCT_Feature_ICCV_2025_paper.html,"Section 4 and Table 1 train on DocTamper and test its Test split plus FCD and SCD, with recompression and distortion robustness. Deep inpainting appears only in motivation/related work; the paper provides no generative-AI document-edit subset or separate result.",EVIDENCE_EXCLUDES_SCOPE,The substantive experiments concern conventional document tampering and post-processing robustness.,,no,,,,,,,,,None; scope decision is final for this pass.,,reviewed,Retain the evidence-layer exclusion; do not add or persist it in the authoritative exclusion registry.
audit:fed41b0363b5f8c1,Towards Generic Image Manipulation Detection with Weakly-Supervised Self-Consistency Learning,IMAGE,Do WSCL’s in-/out-of-distribution tests include generatively edited or fully generated images? Multi-source and inter-patch consistency alone do not establish generative input provenance.,https://openaccess.thecvf.com/content/ICCV2023/html/Zhai_Towards_Generic_Image_Manipulation_Detection_with_Weakly-Supervised_Self-Consistency_Learning_ICCV_2023_paper.html,"Section 4 identifies GIER and IEdit as recent language-driven editing datasets whose manipulations are not constrained to copy-move, splicing, or inpainting. Table 3 independently reports image-level AUC/F1 on each set, both zero-shot and after image-label fine-tuning.",EVIDENCE_CONFIRMS_SCOPE,Language-guided generative edits receive a dedicated quantitative detection evaluation.,MISSING_ADD,yes,curated:ba6b96ed6f9b26f7235e,10.1109/ICCV51070.2023.02046,2309.01246,W4390872411,detection;localization,generative_editing;traditional_manipulation,method,University at Buffalo [Yuanhao Zhai; Tianyu Luan; David Doermann; Junsong Yuan],None,1,reviewed,Integrated into the authoritative successor corpus.
