title,year,expected_task,source_doc,section,notes,checklist_row,doi,arxiv_id,openalex_url,in_openalex_candidate_papers,in_candidate_map,in_public_preview,in_public_preview_paper_list,covered_as_map_marker,map_record_count,missing_affiliation,missing_coordinates,marker_diagnostics,missing_stage,coverage_status,recommended_action,match_method,matched_public_title,matched_public_paper_id,manual_review,identity_review,exclusion_evidence,reconciliation_classification,reconciliation_evidence,reconciliation_reason,resolved_title,resolved_year,best_openalex_title_match,best_openalex_title_score,best_public_preview_title_match,best_public_preview_title_score,best_public_preview_paper_title_match,best_public_preview_paper_title_score
Deepfake Network Architecture Attribution,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=AAAI 2022,11,,,,yes,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Deepfake Network Architecture Attribution,curated:3587b5b40ea4c5a8afa8,no,,,,,,Deepfake Network Architecture Attribution,2022,,0.000,,0.000,,0.000
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ECCV 2022,12,,,,yes,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,curated:625ba11125534aedd39d,no,,,,,,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,,0.000,,0.000,,0.000
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=IJCNN 2022,13,10.1109/ijcnn55064.2022.9892704,,https://openalex.org/W4312387978,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Did You Use My GAN to Generate Fake? Post-Hoc Attribution of GAN Generated Images via Latent Recovery,curated:853c7e2ae5f343438dd5,no,,,SAME_PAPER_TITLE_VARIANT,https://api.crossref.org/works/10.1109/ijcnn55064.2022.9892704,"IJCNN DOI, authors and year confirm title wording variant (GAN images / GAN Generated Images).",Did You Use My GAN to Generate Fake? Post-Hoc Attribution of GAN Generated Images via Latent Recovery,2022,,0.000,,0.000,,0.000
DE-FAKE- Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Literature summary | Detection,"source_suffix=CCS, 2023",14,10.1145/3576915.3616588,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,,no,,,,,,DE-FAKE- Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,,0.000,,0.000,,0.000
Progressive Open Space Expansion for Open-Set Model Attribution,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR 2023,15,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Progressive Open Space Expansion for Open-Set Model Attribution,curated:297bed46b62fdf89c9ab,no,,,,,,Progressive Open Space Expansion for Open-Set Model Attribution,2023,,0.000,,0.000,,0.000
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2023,16,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Open Set Classification of GAN-Based Image Manipulations via a ViT-Based Hybrid Architecture,,no,,,,,,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,,0.000,,0.000,,0.000
Open Set Synthetic Image Source Attribution,2023,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2023,17,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Open Set Synthetic Image Source Attribution,curated:5a91cc922c8a3c4c3d0c,no,,,,,,Open Set Synthetic Image Source Attribution,2023,,0.000,,0.000,,0.000
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=CVPR, 2024",18,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,curated:34fdf09ae334914a2723,no,,,,,,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,,0.000,,0.000,,0.000
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2024",19,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Tiny Autoencoders Are Effective Few-Shot Generative Model Detectors,curated:e058b4e851ac44180d82,no,,,,,,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,,0.000,,0.000,,0.000
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=ECCV Workshop, 2024",20,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,curated:8bc69db49ef4b9db3cd6,no,,,,,,Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,,0.000,,0.000,,0.000
BOSC: A Backdoor-based Framework for Open Set Synthetic Image Attribution,2025,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=TIFS, 2025",21,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,BOSC: A Backdoor-Based Framework for Open Set Synthetic Image Attribution,,no,,,,,,BOSC: A Backdoor-based Framework for Open Set Synthetic Image Attribution,2025,,0.000,,0.000,,0.000
Model Synthesis for Zero-Shot Model Attribution,2025,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=TMM, 2025",22,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Model Synthesis for Zero-Shot Model Attribution,curated:40ffd016e03ca4604fa8,no,,,,,,Model Synthesis for Zero-Shot Model Attribution,2025,,0.000,,0.000,,0.000
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,detection_and_source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WACV, 2025",23,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting Origin Attribution for Text-to-Image Diffusion Models,curated:161b6d5ca391d238f7e9,no,,,,,,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,,0.000,,0.000,,0.000
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250311; source_suffix=arXiv, 2025",24,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Few-Shot Class-Incremental Model Attribution Using Learnable Representation from CLIP-ViT Features,,no,,,,,,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,,0.000,,0.000,,0.000
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250410; source_suffix=arXiv, 2025",25,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,,no,,,,,,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,,0.000,,0.000,,0.000
"Detection, Attribution and Localization of GAN Generated Images",2021,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,source_suffix=arXiv 2021,26,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,"Detection, Attribution and Localization of GAN Generated Images",,no,"ambiguous exact title: Detection, Attribution and Localization of GAN Generated Images | Detection, Attribution and Localization of GAN Generated Images",,,,,"Detection, Attribution and Localization of GAN Generated Images",2021,,0.000,,0.000,,0.000
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=ICPR, 2024",27,10.1007/978-3-031-78305-0_11,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,curated:ce200a9a7aa3dee36fc7,no,,,,,,FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,,0.000,,0.000,,0.000
Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2025,detection_and_source_attribution,Z_Update_SIA.docx,To supplement,,28,10.1145/3643491.3660280,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,,no,,,,,,Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2025,,0.000,,0.000,,0.000
"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=CVPR,2025",29,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",,no,,,,,,"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",2025,,0.000,,0.000,,0.000
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Literature summary | Detection,"source_suffix=ICASSP, 2025",30,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,ReTD: Reconstruction-Based Traceability Detection for Generated Images,curated:1ec62a78a4e0372bc0d9,no,,,,,,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,,0.000,,0.000,,0.000
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=Electronics, 2025",31,,,,yes,yes,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,,no,,,,,,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,,0.000,,0.000,,0.000
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=arXiv, 20250404",32,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,curated:5f105b70c28ce5beeb0b,no,,,,,,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,,0.000,,0.000,,0.000
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=NeurIPS, 2023",33,,,,yes,yes,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Where Did I Come From? Origin Attribution of AI-Generated Images,,no,,,,,,Where Did I Come From? Origin Attribution of AI-Generated Images,2023,,0.000,,0.000,,0.000
Reverse engineering of generative models: Inferring model hyperparameters from generated images,2023,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,source_suffix=IEEE TPAMI 2023,34,10.1109/tpami.2023.3301451,,https://openalex.org/W4385486282,yes,no,no,no,no,0,no,no,,excluded,excluded,no_action,,,,no,,"[{""created_at"": ""2026-07-01T07:37:06Z"", ""created_by"": ""local_admin"", ""doi"": ""10.1109/tpami.2023.3301451"", ""excluded_from_map"": ""true"", ""excluded_from_public_preview"": ""true"", ""exclusion_id"": ""exclusion-7e31577d29a2427bac4e8985f6286cf4"", ""is_active"": ""true"", ""metadata_source"": """", ""openalex_url"": ""https://openalex.org/W4385486282"", ""paper_id"": """", ""reason"": ""out_of_scope"", ""restore_note"": """", ""restored_at"": """", ""review_note"": ""ML"", ""source_database"": ""OpenAlex"", ""title"": ""Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images"", ""year"": ""2023""}]",EXCLUDED_OUT_OF_SCOPE,https://arxiv.org/abs/2106.07873; https://doi.org/10.1109/TPAMI.2023.3301451,Existing local_admin out_of_scope exclusion (review note: ML) already applies to this TPAMI work. Scientific model-attribution relevance does not authorize silently undoing the recorded exclusion. Add checklist DOI to recognize the existing decision; retain registry unchanged.,Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images,2023,,0.000,,0.000,,0.000
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024",35,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,How to Trace Latent Generative Model Generated Images Without Artificial Watermark?,curated:b65aca5f04f1f41ad725,no,,,,,,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,,0.000,,0.000,,0.000
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024",36,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Single-Model Attribution of Generative Models Through Final-Layer Inversion,curated:62b0a9ae8be24d9f02e0,no,,,,,,Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,,0.000,,0.000,,0.000
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,detection_and_source_attribution,Z_Update_SIA.docx,Verification | Literature summary,,37,10.1109/spw50608.2020.00019,,https://openalex.org/W3117441857,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Attributing and Detecting Fake Images Generated by Known GANs,curated:af47c4b83dfd43175a4a,no,,,SAME_PAPER_TITLE_VARIANT,https://conferences.computer.org/sp/pdfs/spw/2020/934600a008.pdf,"Official SPW paper confirms Joslin and Hao, title and DOI. Remove appended citation from checklist matching only.",Attributing and Detecting Fake Images Generated by Known GANs,2020,,0.000,,0.000,,0.000
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ECCV, 2024",38,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,curated:98c0322e2f8dd41d3e9e,no,,,,,,Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,,0.000,,0.000,,0.000
A siamese-based verification system for open-set architecture attribution of synthetic images,2024,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=PRL, 2024",39,,,,no,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,A Siamese-Based Verification System for Open-Set Architecture Attribution of Synthetic Images,curated:34d0af5286cad283526f,no,ambiguous exact title: A siamese-based verification system for open-set architecture attribution of synthetic images | A Siamese-based Verification System for Open-set Architecture Attribution of Synthetic Images,,,,,A siamese-based verification system for open-set architecture attribution of synthetic images,2024,,0.000,,0.000,,0.000
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,source_attribution,Z_Update_SIA.docx,Verification,source_suffix=arXiv,40,10.48550/arxiv.2507.02995,2507.02995,https://openalex.org/W4415162360,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,curated:0849228c52c5759845c2,no,,,SAME_PAPER_TITLE_VARIANT,https://arxiv.org/abs/2507.02995,"arXiv identity and author confirm the title; checklist suffix 20250708 is a revision date, not part of title.",FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images,2025,,0.000,,0.000,,0.000
WILD: a new in-the-Wild Image Linkage Dataset for synthetic image attribution,2025,source_attribution,Z_Update_SIA.docx,Dataset,"auxiliary; dataset; source_suffix=IJCNN workshop, 2025",41,,,,yes,yes,yes,yes,yes,5,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,WILD: A New In-the-Wild Image Linkage Dataset for Synthetic Image Attribution,curated:90ac5206f85eaebc7203,no,,,,,,WILD: a new in-the-Wild Image Linkage Dataset for synthetic image attribution,2025,,0.000,,0.000,,0.000
Deepfake attribution: On the source identification of artificially generated images,2021,source_attribution,Z_Update_SIA.docx,Literature summary,"title_normalized=venue_suffix_removed; source_suffix=WIRES, 2021",42,10.1002/widm.1438,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,Deepfake attribution: On the source identification of artificially generated images,,no,,,,,,Deepfake attribution: On the source identification of artificially generated images,2021,,0.000,,0.000,,0.000
Detection of GAN-generated Fake Images over Social Networks,2018,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=MIPR, 2018",43,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detection of GAN-Generated Fake Images over Social Networks,,no,,,,,,Detection of GAN-generated Fake Images over Social Networks,2018,,0.000,,0.000,,0.000
Incremental learning for the detection and classification of GAN-generated images,2019,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=WIFS 2019,44,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Incremental learning for the detection and classification of GAN-generated images,,no,ambiguous exact title: Incremental learning for the detection and classification of GAN-generated images | Incremental learning for the detection and classification of GAN-generated images,,,,,Incremental learning for the detection and classification of GAN-generated images,2019,,0.000,,0.000,,0.000
Detecting and Simulating Artifacts in GAN Fake Images,2019,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=WIFS 2019,45,,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting and Simulating Artifacts in GAN Fake Images,,no,,,,,,Detecting and Simulating Artifacts in GAN Fake Images,2019,,0.000,,0.000,,0.000
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=Electronic Imaging, 2019",46,,,,yes,yes,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Detecting GAN Generated Fake Images Using Co-Occurrence Matrices,curated:60066ef08c2226131085,no,,,,,,Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,,0.000,,0.000,,0.000
CNN-generated images are surprisingly easy to spot...for now,2020,detection,Z_Update_SID-2018-2025.docx,Detection,,47,,,,no,no,yes,yes,yes,3,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,CNN-Generated Images Are Surprisingly Easy to Spot… for Now,curated:14ed0d4ac86e7938e5cb,no,,,,,,CNN-generated images are surprisingly easy to spot...for now,2020,,0.000,,0.000,,0.000
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,detection,Z_Update_SID-2018-2025.docx,Detection,,48,,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Watch Your Up-Convolution: CNN Based Generative Deep Neural Networks Are Failing to Reproduce Spectral Distributions,,no,,,,,,Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,,0.000,,0.000,,0.000
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,detection,Z_Update_SID-2018-2025.docx,Detection,,49,,,,no,no,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Fourier Spectrum Discrepancies in Deep Network Generated Images,,no,,,,,,Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,,0.000,,0.000,,0.000
T-GD: Transferable GAN-generated Images Detection Framework,2020,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICML 2020,50,10.5555/3524938.3525379,,,no,no,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,doi,T-GD: Transferable GAN-Generated Images Detection Framework,curated:830febb52786dbaebbb5,no,"Conflicting identifiers for T-GD: Transferable GAN-generated Images Detection Framework: checklist={""doi"": [""10.5555/3524938.3525379""]}; source={""arxiv"": [""2008.04115""], ""doi"": [""10.48550/arxiv.2008.04115""], ""openalex"": [""w3034547531""]}",,,,,T-GD: Transferable GAN-generated Images Detection Framework,2020,,0.000,,0.000,,0.000
On the use of Benford’s law to detect GAN-generated images,2020,detection,Z_Update_SID-2018-2025.docx,Detection,,51,,,,yes,yes,yes,yes,yes,2,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,On the use of Benford's law to detect GAN-generated images,,no,,,,,,On the use of Benford’s law to detect GAN-generated images,2020,,0.000,,0.000,,0.000
GAN-Generated Image Detection With Self-Attention Mechanism Against GAN Generator Defect,2020,detection,Z_Update_SID-2018-2025.docx,Detection,,52,,,,yes,yes,yes,yes,yes,1,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,GAN-Generated Image Detection With Self-Attention Mechanism Against GAN Generator Defect,,no,,,,,,GAN-Generated Image Detection With Self-Attention Mechanism Against GAN Generator Defect,2020,,0.000,,0.000,,0.000
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IJCAI, 2021",53,,,,no,no,yes,yes,yes,4,no,no,,covered_as_map_marker,covered_as_map_marker,no_action,title,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,curated:551ca154b757ec651c0e,no,,,,,,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,,0.000,,0.000,,0.000
