title,year,expected_task,source_doc,section,recommended_action,notes
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,source_suffix=ECCV 2024; auxiliary; dataset
Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ECCV Workshops, 2024"
Your diffusion model is an implicit synthetic image detector,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ECCV, 2024"
ZeroFake: Zero-Shot Detection of Fake Images Generated and Edited by Text-to-Image Generation Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=CCS 2024
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=WACV, 2024"
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Frequency Masking for Universal Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Detecting Computer-Generated Images by Using Only Real Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,source_suffix=TOMM. 2024; auxiliary; dataset
Unsupervised Generative Fake Image Detector,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TCSVT, 2024"
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=IEEE Access, 2024"
MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
"Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion Image Fusion, 2024",2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 20240528
Real-Time Deepfake Detection in the Real-World,2024,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20240613; auxiliary; dataset"
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20241015"
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20241113"
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20241128"
HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20241230"
Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICLR, 2025"
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=AAAI, 2025"
Transfer Learning of Real Image Features with Soft Contrastive Loss for Fake Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=AAAI, 2025"
D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025"
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025"
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025; auxiliary; dataset"
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025"
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025; auxiliary; dataset"
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"auxiliary; benchmark; source_suffix=CVPR, 2025"
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=CVPR, 2025"
Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=NeurIPS, 2025"
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=NeurIPS, 2025"
AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025"
D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection | Dataset,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025; auxiliary; dataset"
Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025"
LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025"
Semantic Discrepancy-aware Detector for Image Forgery Identification,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025"
ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV, 2025"
Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV-W, 2025"
CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICCV-W, 2025"
SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=TIFS, 2025"
Are High-Quality AI-Generated Images More Difficult for Models to Detect?,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2025"
Few-Shot Learner Generalizes Across AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2025"
PiD: Generalized AI-Generated Images Detection with Pixelwise Decomposition Residuals,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2025"
Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2025"
Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICML, 2025"
ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ACM MM, 2025"
"Self-supervised Bidirectional Synchronization Estimation for Multimodal Deepfake Detection with Short-term Dependency. ICMR, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
"LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains. PST, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=ICASSP, 2025"
GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=KBS, 2025"
"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
"REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content. DFF, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
High‑resolution network‑based multi‑feature fusion for generalized forgery detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=Multimedia Systems, 2025"
Optimized frequency collaborative strategy drives AI image detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=IEEE Internet of Things Journal, 2025"
"FLODA: Harnessing Vision-Language Models for Deepfake Assessment. ICCE, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
"Simple Detection of AI-Generated Images based on Noise Correlation. AMLDS, 2025",2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,
HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250110"
TextureCrop: Enhancing Synthetic Image Detection through Texture-based Cropping,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250116"
LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250123"
Generalizable Deepfake Detection via Effective Local-Global Feature Extraction,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250125"
PDA: Generalizable Detection of AI-Generated Images via Post-hoc Distribution Alignment,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250215"
HRR: Hierarchical Retrospection Refinement for Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250225"
Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 20250311
"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,detection_and_source_attribution,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250314"
FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 20250331
Robust AI-Synthesized Image Detection via Multi-feature Frequency-aware Learning,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250402"
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 20250416
MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250418"
Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,source_suffix=arXiv 20250419
Composite Data Augmentations for Synthetic Image Detection against Real-World Perturbations,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250613"
Task-aligned prompting improves zero-shot detection of AI-generated images by Vision-Language Models,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250616"
Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250625"
LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250703"
Explainable Synthetic Image Detection through Diffusion Timestep Ensembling,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20250728"
Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251007"
From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251031"
Generalized Design Choices for Deepfake Detectors,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251126"
Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251218"
Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251219"
AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251219"
LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251223"
Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,detection,Z_Update_SID-2018-2025.docx,Detection,manual_or_openalex_title_import_review,"source_suffix=arXiv, 20251225"
A closer look at fourier spectrum discrepancies for cnn-generated images detection,2021,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,"auxiliary; anti-forensics; source_suffix=CVPR, 2021"
Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,auxiliary; anti-forensics
An Adversarial Approach for Anti-Detection of AI Generated Images through Sample Generation,2025,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,"auxiliary; anti-forensics; source_suffix=IEEE, 2025"
Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,"auxiliary; anti-forensics; source_suffix=IEEE Access, 2025"
Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,2024,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,"auxiliary; anti-forensics; source_suffix=arXiv, 20241226"
Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,detection,Z_Update_SID-2018-2025.docx,Anti-forensics,manual_or_openalex_title_import_review,"auxiliary; anti-forensics; source_suffix=arXiv, 20250529"
Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark
Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,detection,Z_Update_SID-2018-2025.docx,Benchmark,manual_or_openalex_title_import_review,auxiliary; benchmark
