priority_rank,mapping_status,priority,triage_status,suggested_action,public_impact,current_mapping_state,known_canonical_institutions,existing_mapping_authors,suggested_author_matches,raw_affiliation_evidence,paper_id,title,year,venue,is_key_paper,is_curated_paper,total_authors,mapped_authors,missing_authors,missing_author_names,marker_count,doi,arxiv_id,openalex_id,url
11,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,"Scam AI | Duke University | University of California, Berkeley | University of North Carolina at Chapel Hill | Washington University in St. Louis",Simiao Ren; Kidus Zewde; Hatsanai Tiangratanakul; Tsang Ng | Yuchen Zhou; Xingyu Shen | Tommy Duong; George Huang | Jiayu Xue | En Wei,Hatsanai (Neo) Tiangratanakul → Hatsanai Tiangratanakul,Scam AI,curated:9637c6ae3ad013926898,How Well Are Open Sourced AI-Generated Image Detection Models Out-of-the-Box: A Comprehensive Benchmark Study,2026,arXiv,false,true,10,8,2,Hatsanai (Neo) Tiangratanakul; Tsang (Dennis) Ng,5,,2602.07814,W7128556178,https://openalex.org/W7128556178
12,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,"University of Liverpool | University of Exeter | The Chinese University of Hong Kong, Shenzhen | Nanyang Technological University",Tianxiao Li; Zhengqin Huang; Haiquan Wen; Yiwei He; Xinze Li; Bingyu Zhu; Wuhui Duan; Congang Chen; Yi Dong; Guangliang Cheng | Zeyu Fu | Baoyuan Wu | Xiangtai Li,Zhenglin Huang → Zhengqin Huang,"University of Liverpool | University of Exeter | The Chinese University of Hong Kong, Shenzhen | Nanyang Technological University",curated:fe42bad5f72f9f6858c5,Omni-Fake: Benchmarking Unified Multimodal Social Media Deepfake Detection,2026,IEEE/CVF Conference on Computer Vision and Pattern Recognition,false,true,13,11,2,Zhenglin Huang; Jason Li,4,,2605.01638,W7160245451,https://openalex.org/W7160245451
13,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4401325047,Evasion on general GAN-generated image detection by disentangled representation,2024,Information Sciences,false,false,6,4,2,Xiao Meng; Daniel Yeung,1,10.1016/j.ins.2024.121267,,W4401325047,https://doi.org/10.1016/j.ins.2024.121267
14,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4389633690,Deepfake Generation and Detection: Case Study and Challenges,2023,IEEE Access,false,false,8,6,2,Pronaya Bhattacharya; Srinivas Aluvala,3,10.1109/access.2023.3342107,,W4389633690,https://doi.org/10.1109/access.2023.3342107
15,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4384268537,Exposing the Fake: Effective Diffusion-Generated Images Detection,2023,arXiv,false,false,5,3,2,Jinhao Duan; Kaidi Xu,1,10.48550/arxiv.2307.06272,2307.06272,W4384268537,https://openalex.org/W4384268537
16,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,"City University of Hong Kong | Fudan University | The Chinese University of Hong Kong, Shenzhen",Nan Zhong; Mian Zou; Kede Ma | Yiran Xu; Zhenxing Qian; Xinpeng Zhang | Baoyuan Wu,Baoyuan Wu → Baoyuan Wu,"Nan Zhong and Mian Zou are with the Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong. Kede Ma is with the Department of Computer Science and the Shenzhen Research Institute, City University of Hong Kong, Kowloon, Hong Kong. | Yiran Xu, Zhenxing Qian, and Xinpeng Zhang are with the Department of Computer Science, Fudan University, Shanghai 200433, China. | School of Artificial Intelligence, Chinese University of Hong Kong, Shenzhen, Guangdong, China | Department of Computer Science and the Shenzhen Research Institute, City University of Hong Kong, Kowloon, Hong Kong",curated:29878fee09624b7d105d,Self-Supervised AI-Generated Image Detection: A Camera Metadata Perspective,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,true,true,7,6,1,Baoyuan Wu,2,10.1109/tpami.2026.3654274,2512.05651,W7124134169,https://doi.org/10.1109/tpami.2026.3654274
17,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,"University at Buffalo, State University of New York | Institute of Information Engineering, Chinese Academy of Sciences",Yu Cai; Siwei Lyu | Jiahe Tian; Xiaomeng Fu; Jiao Dai; Jizhong Han,,"Institute of Information Engineering, Chinese Academy of Sciences, China",curated:c6bfe8f5199d1d8beb29,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,2025,IEEE/CVF International Conference on Computer Vision,true,true,6,5,1,Xiaoqin Fu,2,10.1109/iccvw69036.2025.00165,,W7131078162,https://doi.org/10.1109/iccvw69036.2025.00165
18,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,Sichuan University | Ant Group | The Hong Kong University of Science and Technology | South China University of Technology | University of Macao,Bo Du; Xuekang Zhu; Kaiwen Feng; Zhe Yang | Xuekang Zhu; Chenfan Qu; Jian Liu; Jizhe Zhou | Xiaochen Ma | Chenfan Qu | Chi-Man Pun,Ji-Zhe Zhou → Jizhe Zhou,HKUST,curated:4c4e9ffacf08b5eb2355,ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,Advances in Neural Information Processing Systems,true,true,10,9,1,Ji-Zhe Zhou,5,10.52202/085713-2167,2505.11003,W4417093490,https://doi.org/10.52202/085713-2167
19,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4405945632,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,Indian Conference on Computer Vision Graphics and Image Processing,true,false,4,3,1,Chandra Sekhar Seelamantula,2,10.1145/3702250.3702296,,W4405945632,https://doi.org/10.1145/3702250.3702296
20,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,"Purdue University | Nanchang University | Amazon Prime Video | University at Albany, SUNY | University of Naples Federico II",Li Lin; Neeraj Gupta; Shu Hu | Yue Zhang; Feng Ding | Chun-Hao Liu | Xin Wang; Xin Li | Luisa Verdoliva,,"Department of Computer and Information Technology, Purdue University, West Lafayette, IN 47907, USA | School of Software, Nanchang University, Nanchang, Jiangxi, 330031, China | Amazon Prime Video, Sunnyvale, CA, 94089, USA | Department of Epidemiology and Biostatistics, School of Public Health, and Department of Computer Science, College of Nanotechnology, Science, and Engineering, University at Albany, SUNY, Albany, NY 12222, USA | Department of Electrical Engineering and Information Technology, University Federico II of Naples, Naples 80125, Italy",openalex:W4391563741,Detecting Multimedia Generated by Large AI Models: A Survey,2024,"Authorea, Inc.",true,false,10,9,1,Hainan Ren,5,10.36227/techrxiv.170723324.44685515/v1,2402.00045,W4391563741,https://doi.org/10.36227/techrxiv.170723324.44685515/v1
21,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,Polytechnic University of Hauts-de-France | Technology Innovation Institute | Sorbonne University Abu Dhabi,Mamadou Keita; Hassen Bougueffa; Abdelmalik Taleb-Ahmed | Wassim Hamidouche | Adenour Hadid,Abdenour Hadid → Adenour Hadid,"2 Technology Innovation Institute P.O.Box: 9639, Masdar City, Abu Dhabi, UAE | 3 Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, UAE",openalex:W4393968982,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,arXiv,true,false,5,4,1,Abdenour Hadid,3,10.48550/arxiv.2404.02726,2404.02726,W4393968982,https://openalex.org/W4393968982
22,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4308234128,Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,2022,IEEE International Conference on Image Processing,true,false,6,5,1,Koki Nagano,1,10.1109/icip46576.2022.9897820,2203.13964,W4308234128,https://doi.org/10.1109/icip46576.2022.9897820
23,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W3187526215,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,Thirtieth International Joint Conference on Artificial Intelligence,true,false,4,3,1,Ning Yu,2,10.24963/ijcai.2021/349,,W3187526215,https://doi.org/10.24963/ijcai.2021/349
24,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,Beijing University of Posts and Telecommunications | Beihang University | Huawei Technologies (China),Xiaotian Si; Linghui Li; Liwei Zhang; 郭子铎; Kaiguo Yuan | Bingyu Li | Qi Tian,Qi Tian → Qi Tian,"Key Laboratory of Trustworthy Distributed Computing and Service, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China | School of Cyber Science and Technology, Beihang University, Beijing, China | Huawei, Shenzhen, China",curated:4c6404676fc92cb9e8eb,Black-Box Adaptation for Deepfake Detection via Local Relation Guided AUC Optimization,2026,IEEE Internet of Things Journal,false,true,7,6,1,Qi Tian,2,10.1109/jiot.2026.3686234,,W7155048878,https://doi.org/10.1109/jiot.2026.3686234
25,partial,normal,needs_manual_review,Confirm pending curated mapping evidence,paper details; map markers blocked,pending,Xinjiang University | Incheon National University,Yi-Xiang Wang; Qian Luo | Jeon Gwanggil,,"Xinjiang University,School of Computer Science and Technology | Incheon National University,College of Information Technology,Incheon,Korea,22012",curated:8ebf01a335c20fdc902d,Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks,2026,2026 29th International Conference on Computer Supported Cooperative Work in Design (CSCWD),false,true,3,2,1,Jia Wang,0,10.1109/cscwd68734.2026.11582378,,W7167478990,https://doi.org/10.1109/cscwd68734.2026.11582378
26,partial,normal,needs_manual_review,Confirm pending curated mapping evidence,paper details; map markers blocked,pending,Chinese People's Armed Police Force Engineering University | PLA Information Engineering University,J C Li; Zhang Minqing; Siyuan Huang; Pei Feng; Lang Liu | Xin Li,,"College of Cryptography Engineering, Engineering University of the People’s Armed Police (PAP), Xi’an, China | College of Data and Target Engineering, Information Engineering University, Zhengzhou, 450001, China",curated:316fc03d348baa637bb4,Geometric-Semantic Dual-Adaptation for Generalizable AI-Generated Image Detection,2026,Neurocomputing,false,true,6,5,1,Jiaye Li,0,10.1016/j.neucom.2026.134418,,W7167700528,https://doi.org/10.1016/j.neucom.2026.134418
27,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,Beijing University of Posts and Telecommunications | Tsinghua University,Haotian Qin; Dongliang Chang; Yueying Gao; Zhanyu Ma | Lei Chen,,"School of Artificial Intelligence, Beijing University of Posts and Telecommunications, China | Tsinghua University, China",curated:246f07c81b9f91e527eb,IncreFA: Breaking the Static Wall of Generative Model Attribution,2026,IEEE/CVF Conference on Computer Vision and Pattern Recognition,false,true,6,5,1,Yuexuan Tan,2,,2604.17736,W7155451413,https://openaccess.thecvf.com/content/CVPR2026/papers/Qin_IncreFA_Breaking_the_Static_Wall_of_Generative_Model_Attribution_CVPR_2026_paper.pdf
28,partial,normal,likely_auto_fixable,Review existing mapping author names against paper authors,paper details; marker coverage may be incomplete,confirmed,"Institute of Automation, Chinese Academy of Sciences | Southwest University | Tsinghua University",R X Liu; Boyi Sun; Houxin He | Yi Han | Yuxuan Zhou; Yan Wang,Yi Han → Yi Han,"Institute of Automation, Chinese Academy of Sciences | Southwest University | Tsinghua University",curated:5ceb080eeeacfdf0cb8f,M <sup>2</sup> EA: Multi-VAE Manifold Envelope Alignment for Challenging AI-Generated Image Detection,2026,"IEEE International Conference on Acoustics, Speech and Signal Processing",false,true,6,5,1,Yi Han,2,10.1109/icassp55912.2026.11463215,,W7155065598,https://doi.org/10.1109/icassp55912.2026.11463215
29,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,curated:4b406d0cf578db643214,RIGID: A Training-Free and Model-Agnostic Framework for Robust AI-Generated Image Detection,2026,Transactions on Machine Learning Research,false,true,3,2,1,Pin‐Yu Chen,1,10.48550/arxiv.2405.20112,2405.20112,W4399252995,https://openreview.net/pdf?id=NBkBI2Zjlm
30,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,A*STAR | Xidian University,Muli Yang; Gabriel James Goenawan; Huaiyuan Qin; Fen Fang; Ying Sun; Joo-Hwee Lim; Hongyuan Zhu | Chenghao Xu; Yanhua Yang,,,curated:3110ea827546b2fd78ff,"Your AI-Generated Image Detector Can Secretly Achieve SOTA Accuracy, If Calibrated",2026,AAAI Conference on Artificial Intelligence,false,true,10,9,1,Henan Wang,2,10.1609/aaai.v40i14.38146,,W7138134961,https://doi.org/10.1609/aaai.v40i14.38146
31,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4409047068,A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,2025 22nd International Learning and Technology Conference (L&T),false,false,6,5,1,Aruna J. Chamatkar,5,10.1109/lt64002.2025.10940759,,W4409047068,https://doi.org/10.1109/lt64002.2025.10940759
32,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,Shandong University,Li Wang; Wenyu Chen; Xiangtao Meng; Zheng Li; Shanqing Guo,,"School of Cyber Science and Technology, Shandong University; State Key Laboratory of Cryptography and Digital Economy Security, Shandong University; Shandong Key Laboratory of Artificial Intelligence Security, Shandong University",curated:8bdbf72555619e7893d3,Beyond Known Fakes: Generalized Detection of AI-Generated Images via Post-Hoc Distribution Alignment,2025,arXiv,false,true,5,4,1,Li Ping Wang,1,10.48550/arxiv.2502.10803,2502.10803,W4407684102,https://openalex.org/W4407684102
33,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4408401076,Deepfake Image Detection Using ResNet50 Model,2024,2024 1st International Conference on Cyber Security and Computing (CyberComp),false,false,6,5,1,Chuah ChaiWen,2,10.1109/cybercomp60759.2024.10913843,,W4408401076,https://doi.org/10.1109/cybercomp60759.2024.10913843
34,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4393217303,Enhancing Deepfake Detection With Diversified Self-Blending Images and Residuals,2024,IEEE Access,false,false,4,3,1,Jing Liu,1,10.1109/access.2024.3382196,,W4393217303,https://doi.org/10.1109/access.2024.3382196
35,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4402322120,Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,Plasmonics,false,false,4,3,1,Digvijay Pandey,2,10.1007/s11468-024-02492-1,,W4402322120,https://doi.org/10.1007/s11468-024-02492-1
36,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,University of Chicago,Anna Yoo Jeong Ha; Josephine Passananti; Ronik Bhaskar; Shawn Shan; Haitao Zheng; Ben Y. Zhao,,"University of Chicago, Chicago, IL, USA",curated:0b2081f70faaf81278dc,Organic or Diffused: Can We Distinguish Human Art from AI-Generated Images?,2024,ACM SIGSAC Conference on Computer and Communications Security,false,true,7,6,1,Reid Southen,1,10.1145/3658644.3670306,,W4405181141,https://doi.org/10.1145/3658644.3670306
37,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4323022407,An Improved Dense CNN Architecture for Deepfake Image Detection,2023,IEEE Access,false,false,7,6,1,Pronaya Bhattacharya,4,10.1109/access.2023.3251417,,W4323022407,https://doi.org/10.1109/access.2023.3251417
38,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,University of Naples Federico II,Riccardo Corvi; Davide Cozzolino; Giovanni Poggi; Luisa Verdoliva,,University Federico II of Naples,openalex:W4385815563,Intriguing properties of synthetic images: from generative adversarial networks to diffusion models,2023,IEEE/CVF Conference on Computer Vision and Pattern Recognition,false,false,5,4,1,Koki Nagano,1,10.1109/cvprw59228.2023.00104,2304.06408,W4385815563,https://doi.org/10.1109/cvprw59228.2023.00104
39,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W4318559723,Revealing and Classification of Deepfakes Video's Images using a Customize Convolution Neural Network Model,2023,Procedia Computer Science,false,false,3,2,1,Usha Kosarkar,2,10.1016/j.procs.2023.01.237,,W4318559723,https://doi.org/10.1016/j.procs.2023.01.237
40,partial,normal,needs_manual_review,Verify missing authors against existing mappings or add evidence,paper details; marker coverage may be incomplete,confirmed,University of Toronto | Vector Institute | University of Cambridge,Baiwu Zhang; Jin Peng Zhou; Ilia Shumailov; Nicolas Papernot | Ilia Shumailov,,"University of Toronto and Vector Institute | University of Toronto and Vector Institute / University of Toronto, Vector Institute and University of Cambridge | University of Toronto, Vector Institute and University of Cambridge",openalex:W3134567460,On Attribution of Deepfakes,2020,arXiv,false,false,5,4,1,Jin Zhou,3,10.48550/arxiv.2008.09194,2008.09194,W3134567460,https://openalex.org/W3134567460
41,partial,normal,needs_manual_review,Find affiliation evidence and add a mapping,paper details; marker coverage may be incomplete,missing,,,,,openalex:W2979433881,Complement Face Forensic Detection and Localization with FacialLandmarks,2019,arXiv,false,false,2,1,1,Kritaphat Songsri-in,1,10.48550/arxiv.1910.05455,1910.05455,W2979433881,https://openalex.org/W2979433881
42,complete,,complete,No mapping action needed,none,confirmed,Zhejiang University | Alibaba Inc | Zhejiang University of Technology,Jiazhen Yang; Kejia Chen; Zunlei Feng; Bingde Hu; Yang Gao | Junjun Zheng; Xiangheng Kong | Jie Lei,,"Zhejiang University, Hangzhou, China | Alibaba Inc, Hangzhou, China | Zhejiang University of Technology, Hangzhou, China",openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,arXiv,true,false,9,9,0,,3,,2604.16879,W7155245437,https://openalex.org/W7155245437
43,complete,,complete,No mapping action needed,none,missing,,,,,openalex:W7125828141,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images from Scratch,2026,IEEE Transactions on Information Forensics and Security,true,false,4,4,0,,1,https://doi.org/10.1109/tifs.2026.3657841,,W7125828141,https://doi.org/10.1109/tifs.2026.3657841
44,complete,,complete,No mapping action needed,none,confirmed,"Anhui University | National University of Singapore | University of Science and Technology of China | Institute of Artificial Intelligence, Hefei Comprehensive National Science Center | Origin Quantum Computing Technology (Hefei) Co., Ltd.",Juncong Xu; Yang Yang; Lei Qu | Han Fang | Kejiang Chen; Weiming Zhang; Lei Qu; Guoping Guo | Juncong Xu; Yang Yang; Zhaoyun Chen | Menghan Dou,,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, Hefei, 230088, China | School of Electronic and Information Engineering, Anhui University, Hefei, 230039, China | Hefei National Laboratory, University of Science and Technology of China, Hefei, 230026, China | School of Computing, National University of Singapore, Singapore, 119077, Singapore | 4 Anhui Province Key Laboratory of Digital Security, University of Science and Technology of China, Hefei 230026, China 5 Laboratory of Quantum Information, School of Physics, University of Science and Technology of China, Hefei 230026, China 7 Hefei National Laboratory, University of Science and Technology of China, Hefei 230026, China | Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, Hefei, 230088, China | 6 Origin Quantum Computing Co., Ltd, Hefei 230026, China",curated:211ea83fa8d41c8ec810,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,2026,Science China Information Sciences,true,true,9,9,0,,5,10.1007/s11432-024-4475-4,,W7123358516,https://doi.org/10.1007/s11432-024-4475-4
45,complete,,complete,No mapping action needed,none,confirmed,"Zhejiang University | Tencent Youtu Lab | Peking University | WeChat Pay, Tencent",Zheng Yang; Xinghe Fu; Zequn Qin; Xi Li | Ruoxin Chen; Keyue Zhang; Shuang Wu; Taiping Yao; Shouhong Ding | Zhiyuan Yan | Xiujun Shu,,"College of Computer Science and Technology, Zhejiang University | Youtu Lab, Tencent | Peking University | WeChat Pay, Tencent | School of Software Technology, Zhejiang University",curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,International Conference on Learning Representations,true,true,11,11,0,,4,,2504.01396,,https://openreview.net/pdf?id=ob7PJs8kPU
