title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes,openalex_link_status,openalex_link_reason,search_strategy_used,candidate_source_query,title_similarity,candidate_title,candidate_year,candidate_openalex_url,candidate_doi,candidate_paper_url,enriched_openalex_url,enriched_doi,enriched_paper_url
Deepfake Network Architecture Attribution,2022,"Tianyun Yang, Ziyao Huang, Juan Cao, Lei Li, Xirong Li. Chinese Academy of Sciences",,,,https://cdn.aaai.org/ojs/20391/20391-13-24404-1-2-20220628.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=AAAI 2022,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Deepfake Network Architecture Attribution,1.000,Deepfake Network Architecture Attribution,2022,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,https://doi.org/10.1609/aaai.v36i4.20391,https://openalex.org/W4283811667,10.1609/aaai.v36i4.20391,https://doi.org/10.1609/aaai.v36i4.20391
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,"Tu Bui, Ning Yu, and John Collomosse. University of Surrey, UK",,,,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136740140.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=ECCV 2022,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,RepMix Representation Mixing for Robust Attribution of Synthesized Images,1.000,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,https://openalex.org/W4284702842,10.1007/978-3-031-19781-9_9,https://doi.org/10.1007/978-3-031-19781-9_9,https://openalex.org/W4284702842,10.1007/978-3-031-19781-9_9,https://doi.org/10.1007/978-3-031-19781-9_9
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,"Syou Hirofumi; Kazuto Fukuchi; Yohei Akimoto; Jun Sakuma. Univresity of Tskuba, Japan",,,,https://ieeexplore.ieee.org/document/9892704/,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=IJCNN 2022,possible_openalex_match,Best candidate is plausible but below automatic acceptance rules; similarity 0.947; year difference 0.,search,Did you use my GAN to generate fake post-hoc attribution of GAN images via latent recovery,0.947,Did You Use My GAN to Generate Fake? Post-hoc Attribution of GAN Generated Images via Latent Recovery,2022,https://openalex.org/W4312387978,10.1109/ijcnn55064.2022.9892704,https://doi.org/10.1109/ijcnn55064.2022.9892704,,,
DE-FAKE- Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,"Zeyang Sha, Zheng Li, Ning Yu, Yang Zhang. CISPA, Gernamy",10.1145/3576915.3616588,,,https://dl.acm.org/doi/10.1145/3576915.3616588,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Literature summary | Detection,"source_suffix=CCS, 2023",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,DE-FAKE- Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,1.000,DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,https://openalex.org/W4388858946,10.1145/3576915.3616588,https://doi.org/10.1145/3576915.3616588,https://openalex.org/W4388858946,10.1145/3576915.3616588,https://doi.org/10.1145/3576915.3616588
Progressive Open Space Expansion for Open-Set Model Attribution,2023,"Tianyun Yang, Danding Wang, Fan Tang, Xinying Zhao, Juan Cao, Sheng Tang. Chinese Academy of Sciences",,,,https://openaccess.thecvf.com/content/CVPR2023/papers/Yang_Progressive_Open_Space_Expansion_for_Open-Set_Model_Attribution_CVPR_2023_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR 2023,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Progressive Open Space Expansion for Open-Set Model Attribution,1.000,Progressive Open Space Expansion for Open-Set Model Attribution,2023,https://openalex.org/W4386075764,10.1109/cvpr52729.2023.01522,https://doi.org/10.1109/cvpr52729.2023.01522,https://openalex.org/W4386075764,10.1109/cvpr52729.2023.01522,https://doi.org/10.1109/cvpr52729.2023.01522
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,"Jun Wang, Omran Alamayreh, Benedetta Tondi, Mauro Barni. University of Siena, Italy",,,,https://openaccess.thecvf.com/content/CVPR2023W/WMF/papers/Wang_Open_Set_Classification_of_GAN-Based_Image_Manipulations_via_a_ViT-Based_CVPRW_2023_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2023,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,1.000,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,https://openalex.org/W4385800597,10.1109/cvprw59228.2023.00102,https://doi.org/10.1109/cvprw59228.2023.00102,https://openalex.org/W4385800597,10.1109/cvprw59228.2023.00102,https://doi.org/10.1109/cvprw59228.2023.00102
Open Set Synthetic Image Source Attribution,2023,"Shengbang Fang, Tai D. Nguyen, Matthew C. Stamm. Drexel University, USA",,,,https://papers.bmvc2023.org/0659.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2023,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search.title,Open Set Synthetic Image Source Attribution,1.000,Open Set Synthetic Image Source Attribution,2023,https://openalex.org/W4386114393,10.48550/arxiv.2308.11557,http://arxiv.org/abs/2308.11557,https://openalex.org/W4386114393,10.48550/arxiv.2308.11557,http://arxiv.org/abs/2308.11557
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,"Hae Jin Song, Mahyar Khayatkhoei, Wael AbdAlmageed",,,,https://openaccess.thecvf.com/content/CVPR2024/papers/Song_ManiFPT_Defining_and_Analyzing_Fingerprints_of_Generative_Models_CVPR_2024_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=CVPR, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,ManiFPT Defining and Analyzing Fingerprints of Generative Models,1.000,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,https://openalex.org/W4402702998,10.1109/cvpr52733.2024.01026,https://doi.org/10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,10.1109/cvpr52733.2024.01026,https://doi.org/10.1109/cvpr52733.2024.01026
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,"Luca Bindini, Giulia Bertazzini, Daniele Baracchi, Dasara Shullani, Paolo Frasconi, and Alessandro Piva. University of Florence, Italy",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10810686&tag=1,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WIFS, 2024",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,1.000,Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,https://openalex.org/W4405846636,10.1109/wifs61860.2024.10810686,https://doi.org/10.1109/wifs61860.2024.10810686,https://openalex.org/W4405846636,10.1109/wifs61860.2024.10810686,https://doi.org/10.1109/wifs61860.2024.10810686
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,"Dario Cioni, Christos Tzelepis, Lorenzo Seidenari, and Ioannis Patras. University of Florence",,,,,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=ECCV Workshop, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Are CLIP features all you need for Universal Synthetic Image Origin Attribution,1.000,Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,https://openalex.org/W4402510040,10.48550/arxiv.2408.09153,http://arxiv.org/abs/2408.09153,https://openalex.org/W4402510040,10.48550/arxiv.2408.09153,http://arxiv.org/abs/2408.09153
BOSC: A Backdoor-based Framework for Open Set Synthetic Image Attribution,2025,"Jun Wang, Benedetta Tondi, Mauro Barni. University of Siena, Italy",,,,,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=TIFS, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,BOSC A Backdoor-based Framework for Open Set Synthetic Image Attribution,1.000,BOSC: A Backdoor-Based Framework for Open Set Synthetic Image Attribution,2025,https://openalex.org/W4412624408,10.1109/tifs.2025.3592531,https://doi.org/10.1109/tifs.2025.3592531,https://openalex.org/W4412624408,10.1109/tifs.2025.3592531,https://doi.org/10.1109/tifs.2025.3592531
Model Synthesis for Zero-Shot Model Attribution,2025,"Tianyun Yang, Juan Cao, Danding Wang, Chang Xu. 中科院",,,,,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=TMM, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search.title,Model Synthesis for Zero-Shot Model Attribution,1.000,Model Synthesis for Zero-Shot Model Attribution,2025,https://openalex.org/W4414693448,10.1109/tmm.2025.3607778,https://doi.org/10.1109/tmm.2025.3607778,https://openalex.org/W4414693448,10.1109/tmm.2025.3607778,https://doi.org/10.1109/tmm.2025.3607778
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,"Katherine Xu, Lingzhi Zhang, Jianbo Shi. University of Pennsylvania, USA",,,,https://openaccess.thecvf.com/content/WACV2025/papers/Xu_Detecting_Origin_Attribution_for_Text-to-Image_Diffusion_Models_WACV_2025_paper.pdf,detection_and_source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=WACV, 2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Detecting Origin Attribution for Text-to-Image Diffusion Models,1.000,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,https://openalex.org/W4409262697,10.1109/wacv61041.2025.00850,https://doi.org/10.1109/wacv61041.2025.00850,https://openalex.org/W4409262697,10.1109/wacv61041.2025.00850,https://doi.org/10.1109/wacv61041.2025.00850
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,"Hanbyul Lee, Juneho Yi. Sungkyunkwan University",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250311; source_suffix=arXiv, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,1.000,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,https://openalex.org/W4414577086,10.48550/arxiv.2503.08148,http://arxiv.org/abs/2503.08148,https://openalex.org/W4414577086,10.48550/arxiv.2503.08148,http://arxiv.org/abs/2503.08148
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,"Danielle Sullivan-Pao, Nicole Tian, Pooya Khorrami. MIT Lincoln Laboratory & Yale University",,,,,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,"source_suffix=arXiv, 20250410; source_suffix=arXiv, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,LoRAX LoRA eXpandable Networks for Continual Synthetic Image Attribution,1.000,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,https://openalex.org/W4414827699,10.48550/arxiv.2504.08149,http://arxiv.org/abs/2504.08149,https://openalex.org/W4414827699,10.48550/arxiv.2504.08149,http://arxiv.org/abs/2504.08149
"Detection, Attribution and Localization of GAN Generated Images",2021,M Goebel，L Nataraj，T Nanjundaswamy，TM Mohammed，BS Manjunath,,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,source_suffix=arXiv 2021,linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Detection Attribution and Localization of GAN Generated Images,1.000,"Detection, Attribution and Localization of GAN Generated Images",2021,https://openalex.org/W3179128750,10.2352/issn.2470-1173.2021.4.mwsf-276,https://doi.org/10.2352/issn.2470-1173.2021.4.mwsf-276,https://openalex.org/W3179128750,10.2352/issn.2470-1173.2021.4.mwsf-276,https://doi.org/10.2352/issn.2470-1173.2021.4.mwsf-276
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,"Mamadou Keita, Wassim Hamidouche, Hessen Bougueffa Eutamene, Abdelmalik Taleb-Ahmed, Abdenour Hadid.",10.1007/978-3-031-78305-0_11,,,https://link.springer.com/content/pdf/10.1007/978-3-031-78305-0_11,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=ICPR, 2024",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,FIDAVL Fake Image Detection and Attribution using Vision-Language Model,1.000,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,https://openalex.org/W4404943083,10.1007/978-3-031-78305-0_11,https://doi.org/10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,10.1007/978-3-031-78305-0_11,https://doi.org/10.1007/978-3-031-78305-0_11
Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2025,"Alexander Wißmann, Steffen Zeiler, Robert M. Nickel, Dorothea Kolossa. MAD Workshop, 2024.",10.1145/3643491.3660280,,,https://dl.acm.org/doi/pdf/10.1145/3643491.3660280,detection_and_source_attribution,Z_Update_SIA.docx,To supplement,,linked_to_openalex,exact normalized title; similarity 1.000; year difference 1.,search,Whodunit Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,1.000,Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2024,https://openalex.org/W4399261595,10.1145/3643491.3660280,https://doi.org/10.1145/3643491.3660280,https://openalex.org/W4399261595,10.1145/3643491.3660280,https://doi.org/10.1145/3643491.3660280
"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",2025,"Tai D. Nguyen, Aref Azizpour, Matthew C. Stamm",,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=CVPR,2025",linked_to_openalex,"exact normalized title; similarity 1.000; year difference 0. 2 strong candidates were found; selected the best by title similarity, year distance, DOI, paper URL, citation count, then OpenAlex result order.",search,Forensic Self-Descriptions Are All You Need for Zero-Shot Detection Open-Set Source Attribution and Clustering of AI-generated Images,1.000,"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",2025,https://openalex.org/W4413145326,10.1109/cvpr52734.2025.00289,https://doi.org/10.1109/cvpr52734.2025.00289,https://openalex.org/W4413145326,10.1109/cvpr52734.2025.00289,https://doi.org/10.1109/cvpr52734.2025.00289
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,"Weizhuo Chen, Fangfang Yuan, Cong Cao, Kun Peng, Dakui Wang, Yanbing Liu. Chinese Academy of Sciences",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10890492,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Literature summary | Detection,"source_suffix=ICASSP, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,ReTD Reconstruction-Based Traceability Detection for Generated Images,1.000,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,https://openalex.org/W4408356108,10.1109/icassp49660.2025.10890492,https://doi.org/10.1109/icassp49660.2025.10890492,https://openalex.org/W4408356108,10.1109/icassp49660.2025.10890492,https://doi.org/10.1109/icassp49660.2025.10890492
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,"Yasmine Namani, Ikram Reghioua, Gueltoum Bendiab, Mohamed Aymen Labiod, Stavros Shiaeles",,,,https://www.mdpi.com/2079-9292/14/4/665,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=Electronics, 2025",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,DeepGuard Identification and Attribution of AI-Generated Synthetic Images,1.000,DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,https://openalex.org/W4407408001,10.3390/electronics14040665,https://doi.org/10.3390/electronics14040665,https://openalex.org/W4407408001,10.3390/electronics14040665,https://doi.org/10.3390/electronics14040665
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,"Aref Azizpour, Tai D. Nguyen, Matthew C. Stamm Drexel University",,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=arXiv, 20250404",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,1.000,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,https://openalex.org/W4415980694,10.48550/arxiv.2504.03615,http://arxiv.org/abs/2504.03615,https://openalex.org/W4415980694,10.48550/arxiv.2504.03615,http://arxiv.org/abs/2504.03615
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,"Zhenting Wang, Chen Chen, Yi Zeng, Lingjuan Lyu, Shiqing Ma. Rutgers University, USA",,,,https://proceedings.neurips.cc/paper_files/paper/2023/file/ebb4c188fafe7da089b41a9f615ad84d-Paper-Conference.pdf,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=NeurIPS, 2023",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Where Did I Come From Origin Attribution of AI-Generated Images,1.000,Where Did I Come From? Origin Attribution of AI-Generated Images,2023,https://openalex.org/W7133223677,10.52202/075280-3256,https://doi.org/10.52202/075280-3256,https://openalex.org/W7133223677,10.52202/075280-3256,https://doi.org/10.52202/075280-3256
Reverse engineering of generative models: Inferring model hyperparameters from generated images,2023,"Vishal Asnani, Xi Yin, Tal Hassner, Xiaoming Liu. Michigan State University, USA",,,,https://github.com/vishal3477/Reverse_Engineering_GMs,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,source_suffix=IEEE TPAMI 2023,linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,Reverse engineering of generative models Inferring model hyperparameters from generated images,1.000,Reverse Engineering of Generative Models: Inferring Model Hyperparameters From Generated Images,2023,https://openalex.org/W4385486282,10.1109/tpami.2023.3301451,https://doi.org/10.1109/tpami.2023.3301451,https://openalex.org/W4385486282,10.1109/tpami.2023.3301451,https://doi.org/10.1109/tpami.2023.3301451
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,"Zhenting Wang, Vikash Sehwag, Chen Chen, Lingjuan Lyu, Dimitris N. Metaxas, Shiqing Ma. Rutgers University, USA",,,,,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024",linked_to_openalex,exact normalized title; similarity 1.000; year difference 0.,search,How to Trace Latent Generative Model Generated Images without Artificial Watermark,1.000,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,https://openalex.org/W4398795245,10.48550/arxiv.2405.13360,http://arxiv.org/abs/2405.13360,https://openalex.org/W4398795245,10.48550/arxiv.2405.13360,http://arxiv.org/abs/2405.13360
