title,year,risk_score,risk_level,main_reasons,current_institutions,current_countries,current_institution_authors,raw_affiliation_evidence,review_action,notes
An Improved Dense CNN Architecture for Deepfake Image Detection,2023,35,medium,"Raw affiliation names an organization, but no institution is resolved",Nirma University | Najran University | Cape Peninsula University of Technology | Durban University of Technology,IN | SA | ZA,"Nirma University: Y. G. Patel, Sudeep Tanwar, Rajesh Gupta | Najran University: Turki Alsuwian | Cape Peninsula University of Technology: Innocent E. Davidson | Durban University of Technology: Thokozile Mazibuko","Y. G. Patel: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Sudeep Tanwar: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Pronaya Bhattacharya: Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Kolkata, India | Rajesh Gupta: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Turki Alsuwian: Electrical Engineering Department, College of Engineering, Najran University, Najran, Saudi Arabia | Electrical Engineering Department, College of Engineering, Najran University, Najran, Kingdom of Saudi Arabia | Innocent E. Davidson: Department of Electrical, Electronic and Computer Engineering, Cape Peninsula University of Technology, Bellville, South Africa | Thokozile Mazibuko: Department of Electrical Power Engineering, Durban University of Technology, Durban, South Africa",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Deepfake Generation and Detection: Case Study and Challenges,2023,35,medium,"Raw affiliation names an organization, but no institution is resolved",Nirma University | Cape Peninsula University of Technology | Graphic Era University,IN | ZA,"Nirma University: Y. G. Patel, Sudeep Tanwar, Rajesh Gupta | Cape Peninsula University of Technology: Innocent E. Davidson, Royi Nyameko | Graphic Era University: Vrince Vimal","Y. G. Patel: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Sudeep Tanwar: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Rajesh Gupta: Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India | Pronaya Bhattacharya: Department of Computer Science and Engineering, Amity School of Engineering and Technology, Amity University, Kolkata, India | Innocent E. Davidson: Department of Electrical, Electronic and Computer Engineering, African Space Innovation Center, Cape Peninsula University of Technology, Bellville, South Africa | Dept. of Electrical, Electronic and Computer Engineering, African Space Innovation Center / French-South African, Institute of Technology, Cape Peninsula University of Technology, Bellville, South Africa | Royi Nyameko: Department of Electrical, Electronic and Computer Engineering, African Space Innovation Center, Cape Peninsula University of Technology, Bellville, South Africa | Dept. of Electrical, Electronic and Computer Engineering, African Space Innovation Center / French-South African, Institute of Technology, Cape Peninsula University of Technology, Bellville, South Africa | Srinivas Aluvala: Department of Computer Science and Artificial Intelligence, SR University, Warangal, Telangana, India | Vrince Vimal: Department of Computer Science and Engineering, Graphic Era Hill University, Dehradun, India | Graphic Era Hill University Dehradun and Graphic Era Deemed to be University, Dehradun, Uttarakhand, India",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Deepfake Image Detection Using ResNet50 Model,2024,35,medium,"Raw affiliation names an organization, but no institution is resolved",Tun Hussein Onn University of Malaysia | Universiti Malaysia Sarawak,MY,"Tun Hussein Onn University of Malaysia: Lee Kar Yee, Isredza Rahmi A. Hamid, Zubaile Abdullah, Cik Feresa Mohd Foozy | Universiti Malaysia Sarawak: Kuryati Kipli","Lee Kar Yee: Universiti Tun Hussein Onn Malaysia,Department of Information Security &#x0026; Web Technology,Johor,Malaysia | Isredza Rahmi A. Hamid: Universiti Tun Hussein Onn Malaysia,Department of Information Security &#x0026; Web Technology,Johor,Malaysia | Chuah ChaiWen: Guangdong University of Science &#x0026; Technology,Dongguan,China | Zubaile Abdullah: Universiti Tun Hussein Onn Malaysia,Department of Information Security &#x0026; Web Technology,Johor,Malaysia | Kuryati Kipli: Universiti Malaysia Sarawak,Department of Electrical and Electronic Engineering,Sarawak,Malaysia | Cik Feresa Mohd Foozy: Universiti Tun Hussein Onn Malaysia,Department of Information Security &#x0026; Web Technology,Johor,Malaysia",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Detecting AI Generated Images Through Texture and Frequency Analysis of Patches,2024,35,medium,"Raw affiliation names an organization, but no institution is resolved",Georgetown University,US,Georgetown University: Maryam Yashtini,"Yuming Chen: Basis International School Naning,Nanjing,China | Maryam Yashtini: Georgetown University,Department of Mathematics and Statistics,Washington DC,USA",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Enhancing Deepfake Detection With Diversified Self-Blending Images and Residuals,2024,35,medium,"Raw affiliation names an organization, but no institution is resolved",Academy of Broadcasting Science,CN,"Academy of Broadcasting Science: Qingtong Liu, Ziyu Xue, Haitao Liu","Qingtong Liu: Academy of Broadcasting Science, NRTA, Beijing, China | Ziyu Xue: Academy of Broadcasting Science, NRTA, Beijing, China | Haitao Liu: Academy of Broadcasting Science, NRTA, Beijing, China | Jing Liu: Beijing IrisKing Company Ltd., Beijing, China",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
GAN Generated Fake Human Face Image Detection,2024,35,medium,"Raw affiliation names an organization, but no institution is resolved",,,,"Swati Shilaskar: Vishwakarma Institute of Technology,Department of Electronics and Telecommunication Engineering,Pune,India | Department of Electronics and Telecommunication Engineering, Vishwakarma Institute of Technology, Pune, India | Mayur Talewar: Vishwakarma Institute of Technology,Department of Electronics and Telecommunication Engineering,Pune,India | Department of Electronics and Telecommunication Engineering, Vishwakarma Institute of Technology, Pune, India | Soham Tak: Vishwakarma Institute of Technology,Department of Electronics and Telecommunication Engineering,Pune,India | Department of Electronics and Telecommunication Engineering, Vishwakarma Institute of Technology, Pune, India | Sidhesh Goud: Vishwakarma Institute of Technology,Department of Electronics and Telecommunication Engineering,Pune,India | Department of Electronics and Telecommunication Engineering, Vishwakarma Institute of Technology, Pune, India",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
RADAR: Reasoning AI-Generated Image Detection for Semantic Fakes,2025,35,medium,"Raw affiliation names an organization, but no institution is resolved | At least one affiliation has low-confidence or review-required resolution",Beihang University | Zhejiang Sci-Tech University | Beijing Jiaotong University,CN,"Beihang University: Xuhui Liu, Cilin Yan | Zhejiang Sci-Tech University: Ziqian Lu | Beijing Jiaotong University: Runqi Wang","Haochen Wang: Informatics Institute, University van Amsterdam, 1098 XH Amsterdam, The Netherlands | Xuhui Liu: School of Automation Science and Electrical Engineering, Beihang University, Beijing 100191, China | Ziqian Lu: School of Computer Science and Technology (School of Artificial Intelligence), Zhejiang Sci-Tech University, Hangzhou 310018, China | Cilin Yan: School of Automation Science and Electrical Engineering, Beihang University, Beijing 100191, China | Xiaolong Jiang: Xiaohongshu Inc., Beijing 100029, China | Runqi Wang: School of Computer Science & Technology, Beijing Jiaotong University, Beijing 100091, China | Efstratios Gavves: Informatics Institute, University van Amsterdam, 1098 XH Amsterdam, The Netherlands",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
A Sanity Check for AI-generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
A Siamese-based Verification System for Open-set Architecture Attribution of Synthetic Images,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
A Single Simple Patch is All You Need for AI-generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,25,medium,At least one affiliation has low-confidence or review-required resolution,University of Bologna | Ingegneria dei Trasporti (Italy) | University of Naples Federico II | Ingegneria dei Sistemi (Italy),IT,"University of Bologna: Lorenzo Pellegrini, Serafino Pandolfini, Davide Maltoni, Matteo Ferrara | Ingegneria dei Trasporti (Italy): Davide Cozzolino, Luisa Verdoliva | University of Naples Federico II: Davide Cozzolino, Luisa Verdoliva | Ingegneria dei Sistemi (Italy): Marco Prati, Marco Ramilli","Lorenzo Pellegrini: Universit&#x00E0; di Bologna,Dipartimento di Informatica - Scienza e Ingegneria (DISI),Cesena,Italy | Davide Cozzolino: Universit&#x00E0; Degli Studi di Napoli Federico II,Dipartimento di Ingegneria Elettrica e Delle Tecnologie Dell&#x2019;Informazione (DIETI),Naples,Italy | Serafino Pandolfini: Universit&#x00E0; di Bologna,Dipartimento di Informatica - Scienza e Ingegneria (DISI),Cesena,Italy | Davide Maltoni: Universit&#x00E0; di Bologna,Dipartimento di Informatica - Scienza e Ingegneria (DISI),Cesena,Italy | Matteo Ferrara: Universit&#x00E0; di Bologna,Dipartimento di Informatica - Scienza e Ingegneria (DISI),Cesena,Italy | Luisa Verdoliva: Universit&#x00E0; Degli Studi di Napoli Federico II,Dipartimento di Ingegneria Elettrica e Delle Tecnologie Dell&#x2019;Informazione (DIETI),Naples,Italy | Marco Prati: IdentifAI,Italy | Marco Ramilli: IdentifAI,Italy",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
AI-generated Image Detection: Passive or Watermark?,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,2023,25,medium,At least one affiliation has low-confidence or review-required resolution,Sun Yat-sen University,CN,"Sun Yat-sen University: Ziyi Xi, Wenmin Huang, Kangkang Wei, Weiqi Luo, Peijia Zheng","Ziyi Xi: Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China | Wenmin Huang: Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China | Kangkang Wei: Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China | Weiqi Luo: Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China | Peijia Zheng: Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,Virginia Tech,US,"Virginia Tech: Sifat Muhammad Abdullah, Aravind Cheruvu, Shravya Kanchi, Taejoong Chung, Peng Gao, Murtuza Jadliwala, Bimal Viswanath",Sifat Muhammad Abdullah: Virginia Tech | Aravind Cheruvu: Virginia Tech | Shravya Kanchi: Virginia Tech | Taejoong Chung: Virginia Tech | Peng Gao: Virginia Tech | Murtuza Jadliwala: Virginia Tech | Bimal Viswanath: Virginia Tech,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Breaking Semantic Artifacts for Generalized AI-generated Image Detection,2024,25,medium,At least one affiliation has low-confidence or review-required resolution,,,,,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
Complement Face Forensic Detection and Localization with FacialLandmarks,2019,25,medium,At least one affiliation has low-confidence or review-required resolution,Imperial College London,GB,Imperial College London: Stefanos Zafeiriou,Stefanos Zafeiriou: Imperial College London,Review raw affiliations and an authoritative source; promote only a confirmed correction.,Heuristic review priority; not a probability or correction
