batch,title,year,openalex_url,doi,best_match_title,best_match_year,similarity,publication_venue,publication_type,primary_url,preliminary_task,preliminary_subtask,import_status,notes
top50,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,https://openalex.org/W7135092069,https://doi.org/10.48550/arxiv.2603.10598,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2026,1.000,arXiv (Cornell University),preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Law,2026,https://openalex.org/W7160998329,https://doi.org/10.14722/ndss.2026.230923,Light2Lie: Detecting Deepfake Images Using Physical Reflectance Laws,2026,0.992,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,https://openalex.org/W7128818896,https://doi.org/10.1109/tpami.2026.3664388,Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,1.000,IEEE Transactions on Pattern Analysis and Machine Intelligence,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,https://openalex.org/W7131898118,https://doi.org/10.1109/tmm.2026.3668513,Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,1.000,IEEE Transactions on Multimedia,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,https://openalex.org/W7137976262,https://doi.org/10.1609/aaai.v40i8.37568,SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,1.000,Proceedings of the AAAI Conference on Artificial Intelligence,article,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,"""That’s another doom I haven’t thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation. CHI, 2026",2026,https://openalex.org/W4416604008,https://doi.org/10.1145/3772318.3791006,"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,0.964,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
final_uncovered_forced,Transferable Dual-Domain Feature Importance Attack against AI-Generated Image Detector,2026,https://openalex.org/W7125951995,https://doi.org/10.1109/lsp.2026.3658434,Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,2026,1.030,IEEE Signal Processing Letters,article,https://doi.org/10.1109/lsp.2026.3658434,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
part1_rerun,"What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery. CCWC, 2026",2026,https://openalex.org/W7131430408,https://doi.org/10.1109/ccwc67433.2026.11393845,What is Real Anymore? A Solution to Detect Hyper Realistic AI-Generated Imagery,2026,0.970,,article,https://doi.org/10.1109/ccwc67433.2026.11393845,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
next50,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,https://openalex.org/W7117078863,,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,1.030,ArXiv.org,article,http://arxiv.org/abs/2512.17730,ai_generated_image_detection,deepfake_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,https://openalex.org/W4415343382,https://doi.org/10.1109/iccv51701.2025.01742,Aigi-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,2025,1.030,,preprint,https://doi.org/10.1109/iccv51701.2025.01742,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
part1_rerun,Are GAN generated images easy to detect? A critical analysis of the state-of-the-art,2025,https://openalex.org/W3149674875,https://doi.org/10.1109/icme51207.2021.9428429,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-Of-The-Art,2021,1.000,,preprint,https://doi.org/10.1109/icme51207.2021.9428429,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
part1_rerun,"Art or Artifact? Segmenting AI-Generated Images for Deeper Detection. WDC, 2025",2025,https://openalex.org/W4411979039,https://doi.org/10.1145/3709022.3736544,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,2025,0.967,,article,https://doi.org/10.1145/3709022.3736544,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
final_uncovered_forced,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,https://openalex.org/W4415980694,https://doi.org/10.48550/arxiv.2504.03615,Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2504.03615,detection_and_source_attribution,detection_and_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,https://openalex.org/W4409367167,https://doi.org/10.1609/aaai.v39i7.32772,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,1.000,Proceedings of the AAAI Conference on Artificial Intelligence,article,,,,ready,Broad scope import candidate; institution repair can happen later.
part1_rerun,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,https://openalex.org/W4411378016,https://doi.org/10.1145/3733102.3733138,Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,1.030,,article,https://doi.org/10.1145/3733102.3733138,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
next50,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,https://openalex.org/W7131117798,https://doi.org/10.1109/iccvw69036.2025.00166,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,1.030,,article,https://doi.org/10.1109/iccvw69036.2025.00166,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://openalex.org/W4413146055,https://doi.org/10.1109/cvpr52734.2025.01256,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
next50,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,https://openalex.org/W4417529984,https://doi.org/10.48550/arxiv.2512.16300,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2512.16300,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
part1,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,https://openalex.org/W4413155783,https://doi.org/10.1109/cvpr52734.2025.00772,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,1.030,,article,https://doi.org/10.1109/cvpr52734.2025.00772,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
next50,Composite Data Augmentations for Synthetic Image Detection against Real-World Perturbations,2025,https://openalex.org/W4417052422,https://doi.org/10.23919/eusipco63237.2025.11226549,Composite Data Augmentations for Synthetic Image Detection Against Real-World Perturbations,2025,1.030,,article,https://doi.org/10.23919/eusipco63237.2025.11226549,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,D^3 Scaling Up Deepfake Detection by Learning from Discrepancy,2025,https://openalex.org/W4394653966,https://doi.org/10.48550/arxiv.2404.04584,D$^3$: Scaling Up Deepfake Detection by Learning from Discrepancy,2024,0.984,arXiv (Cornell University),preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
next50,D3QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,https://openalex.org/W4414979736,https://doi.org/10.48550/arxiv.2510.05891,$\bf{D^3}$QE: Learning Discrete Distribution Discrepancy-aware Quantization Error for Autoregressive-Generated Image Detection,2025,1.021,ArXiv.org,preprint,http://arxiv.org/abs/2510.05891,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
final_uncovered_forced,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,https://openalex.org/W4409262697,https://doi.org/10.1109/wacv61041.2025.00850,Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,1.030,,article,https://doi.org/10.1109/wacv61041.2025.00850,detection_and_source_attribution,detection_and_source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,https://openalex.org/W7160128830,https://doi.org/10.1109/iccv51701.2025.01588,Diffusion Epistemic Uncertainty with Asymmetric Learning for Diffusion-Generated Image Detection,2025,1.030,,article,https://doi.org/10.1109/iccv51701.2025.01588,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
part1,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,https://openalex.org/W4409917780,https://doi.org/10.1109/wacvw65960.2025.00087,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,1.030,,article,https://doi.org/10.1109/wacvw65960.2025.00087,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
part1,Evolution of Detection Performance throughout the Online Lifespan of Synthetic Images,2025,https://openalex.org/W4410888267,https://doi.org/10.1007/978-3-031-92648-8_24,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,1.030,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-3-031-92648-8_24,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
next50,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,https://openalex.org/W4415538223,https://doi.org/10.1145/3746027.3755434,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,1.030,,article,https://doi.org/10.1145/3746027.3755434,source_attribution,source_attribution,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,Explainable Synthetic Image Detection through Diffusion Timestep Ensembling,2025,https://openalex.org/W7138458380,https://doi.org/10.1609/aaai.v40i13.38060,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,2026,1.015,Proceedings of the AAAI Conference on Artificial Intelligence,article,https://doi.org/10.1609/aaai.v40i13.38060,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://openalex.org/W4417056138,https://doi.org/10.48550/arxiv.2503.24267,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/2503.24267,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,https://openalex.org/W4414789480,https://doi.org/10.48550/arxiv.2509.20890,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,1.000,ArXiv.org,preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,https://openalex.org/W4414577086,https://doi.org/10.48550/arxiv.2503.08148,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,1.000,ArXiv.org,preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,https://openalex.org/W4413145084,https://doi.org/10.1109/cvpr52734.2025.01197,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
part1,Fixed-Threshold Evaluation of a Hybrid CNN–ViT for AI-Generated Image Detection Across Photos and Art,2025,https://openalex.org/W7117537373,https://doi.org/10.48550/arxiv.2512.21512,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,2025,1.030,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2512.21512,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
part1,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,https://openalex.org/W4416610205,https://doi.org/10.48550/arxiv.2505.23192,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2505.23192,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
part1,ForensicHub: A Unified Benchmark & Codebase for All-Domain Fake Image Detection and Localization,2025,https://openalex.org/W4417093490,https://doi.org/10.48550/arxiv.2505.11003,ForensicHub: A Unified Benchmark &amp; Codebase for All-Domain Fake Image Detection and Localization,2025,1.009,ArXiv.org,preprint,http://arxiv.org/abs/2505.11003,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
top50,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,https://openalex.org/W4413156425,https://doi.org/10.1109/cvpr52734.2025.00400,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
next50,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,https://openalex.org/W7160017581,https://doi.org/10.1109/iccv51701.2025.01510,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,1.030,,article,https://doi.org/10.1109/iccv51701.2025.01510,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,https://openalex.org/W4415935817,https://doi.org/10.48550/arxiv.2511.00181,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,1.030,arXiv (Cornell University),preprint,http://arxiv.org/abs/2511.00181,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,https://openalex.org/W4410487490,https://doi.org/10.1016/j.knosys.2025.113806,GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,1.030,Knowledge-Based Systems,article,https://doi.org/10.1016/j.knosys.2025.113806,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,https://openalex.org/W4414578321,https://doi.org/10.48550/arxiv.2503.08484,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2503.08484,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,https://openalex.org/W4409917519,https://doi.org/10.1109/wacvw65960.2025.00082,HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,1.030,,article,https://doi.org/10.1109/wacvw65960.2025.00082,ai_generated_image_detection,deepfake_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,High‑resolution network‑based multi‑feature fusion for generalized forgery detection,2025,https://openalex.org/W4405895672,https://doi.org/10.1007/s00530-024-01626-z,High-resolution network-based multi-feature fusion for generalized forgery detection,2024,1.015,Multimedia Systems,article,https://doi.org/10.1007/s00530-024-01626-z,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,HRR: Hierarchical Retrospection Refinement for Generated Image Detection,2025,https://openalex.org/W4415187215,https://doi.org/10.1016/j.patrec.2026.04.016,HRR: Hierarchical retrospection refinement for generated image detection,2026,1.015,Pattern Recognition Letters,article,https://doi.org/10.1016/j.patrec.2026.04.016,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,https://openalex.org/W7117277228,,LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,1.030,ArXiv.org,article,http://arxiv.org/abs/2512.20257,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,https://openalex.org/W4415343792,https://doi.org/10.48550/arxiv.2507.03054,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2507.03054,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,https://openalex.org/W4406786190,https://doi.org/10.48550/arxiv.2501.13475,LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2501.13475,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,https://openalex.org/W4414903171,https://doi.org/10.1109/iccv51701.2025.01760,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,1.030,,preprint,https://doi.org/10.1109/iccv51701.2025.01760,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,https://openalex.org/W4414827699,https://doi.org/10.48550/arxiv.2504.08149,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,1.000,ArXiv.org,preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
final_uncovered_forced,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,https://openalex.org/W4414631013,https://doi.org/10.48550/arxiv.2504.15470,Manifold Induced Biases for Zero-shot and Few-shot Detection of Generated Images,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2504.15470,detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
part1,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,https://openalex.org/W4414970554,https://doi.org/10.48550/arxiv.2510.03840,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2510.03840,detection,ai_generated_image_detection,ready,Strong OpenAlex match recovered by conservative query-failure retry. Ready for manual paper import review.
next50,MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,https://openalex.org/W4415320094,https://doi.org/10.48550/arxiv.2504.13726,MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2504.13726,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,Model Synthesis for Zero-Shot Model Attribution,2025,https://openalex.org/W4385473656,https://doi.org/10.48550/arxiv.2307.15977,Model Synthesis for Zero-Shot Model Attribution,2023,1.000,arXiv (Cornell University),preprint,,,,ready,Broad scope import candidate; institution repair can happen later.
top50,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,https://openalex.org/W4413145584,https://doi.org/10.1109/cvpr52734.2025.00405,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
next50,Optimized frequency collaborative strategy drives AI image detection,2025,https://openalex.org/W4406657393,https://doi.org/10.1109/jiot.2025.3531053,Optimized Frequency Collaborative Strategy Drives AI Image Detection,2025,1.030,IEEE Internet of Things Journal,article,https://doi.org/10.1109/jiot.2025.3531053,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,https://openalex.org/W4414989730,https://doi.org/10.48550/arxiv.2506.20548,Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2506.20548,ai_generated_image_detection,deepfake_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,https://openalex.org/W4417284156,https://doi.org/10.48550/arxiv.2503.11195,"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2503.11195,image_provenance,watermark_or_provenance,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,https://openalex.org/W4414978765,https://doi.org/10.48550/arxiv.2510.05740,Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,1.030,ArXiv.org,preprint,http://arxiv.org/abs/2510.05740,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
top50,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,https://openalex.org/W4408356108,https://doi.org/10.1109/icassp49660.2025.10890492,ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,1.000,,article,,,,ready,Broad scope import candidate; institution repair can happen later.
next50,Robust AI-Synthesized Image Detection via Multi-feature Frequency-aware Learning,2025,https://openalex.org/W4416260579,https://doi.org/10.1007/978-981-95-3001-4_12,Robust AI-Synthesized Image Detection via Multi-feature Frequency-Aware Learning,2025,1.030,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-981-95-3001-4_12,ai_generated_image_detection,ai_generated_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
next50,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,https://openalex.org/W4411484192,https://doi.org/10.1109/tifs.2025.3581726,SAGNet: Decoupling Semantic-Agnostic Artifacts From Limited Training Data for Robust Generalization in Deepfake Detection,2025,1.030,IEEE Transactions on Information Forensics and Security,article,https://doi.org/10.1109/tifs.2025.3581726,ai_generated_image_detection,deepfake_image_detection,ready,Strong OpenAlex title match; ready for broad paper-level import. Marker depends on affiliation/coordinates.
