title,year,authors,doi,arxiv_id,openalex_url,paper_url,expected_task,source_doc,section,notes
DE-FAKE- Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models,2023,"Zeyang Sha, Zheng Li, Ning Yu, Yang Zhang. CISPA, Gernamy",10.1145/3576915.3616588,,,https://dl.acm.org/doi/10.1145/3576915.3616588,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,Identification | Literature summary | Detection,"source_suffix=CCS, 2023"
Progressive Open Space Expansion for Open-Set Model Attribution,2023,"Tianyun Yang, Danding Wang, Fan Tang, Xinying Zhao, Juan Cao, Sheng Tang. Chinese Academy of Sciences",,,,https://openaccess.thecvf.com/content/CVPR2023/papers/Yang_Progressive_Open_Space_Expansion_for_Open-Set_Model_Attribution_CVPR_2023_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR 2023
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,"Jun Wang, Omran Alamayreh, Benedetta Tondi, Mauro Barni. University of Siena, Italy",,,,https://openaccess.thecvf.com/content/CVPR2023W/WMF/papers/Wang_Open_Set_Classification_of_GAN-Based_Image_Manipulations_via_a_ViT-Based_CVPRW_2023_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=CVPR Workshops 2023
Open Set Synthetic Image Source Attribution,2023,"Shengbang Fang, Tai D. Nguyen, Matthew C. Stamm. Drexel University, USA",,,,https://papers.bmvc2023.org/0659.pdf,source_attribution,Z_Update_SIA.docx,Identification | Literature summary,source_suffix=BMVC 2023
ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,"Hae Jin Song, Mahyar Khayatkhoei, Wael AbdAlmageed",,,,https://openaccess.thecvf.com/content/CVPR2024/papers/Song_ManiFPT_Defining_and_Analyzing_Fingerprints_of_Generative_Models_CVPR_2024_paper.pdf,source_attribution,Z_Update_SIA.docx,Identification,"source_suffix=CVPR, 2024"
Tiny Autoencoders are Effective Few-Shot Generative Model Detectors,2024,"Luca Bindini, Giulia Bertazzini, Daniele Baracchi, Dasara Shullani, Paolo Frasconi, and Alessandro Piva. University of Florence, Italy",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10810686&tag=1,source_attribution,Z_Update_SIA.docx,Dataset | Literature summary,"auxiliary; dataset; source_suffix=WIFS, 2024"
Are CLIP features all you need for Universal,2024,"Dario Cioni, Christos Tzelepis, Lorenzo Seidenari, and Ioannis Patras. University of Florence",,,,,source_attribution,Z_Update_SIA.docx,Dataset,"auxiliary; dataset; source_suffix=Synthetic Image Origin Attribution? ECCV Workshop, 2024"
BOSC: A Backdoor-based Framework for Open Set Synthetic Image Attribution,2025,"Jun Wang, Benedetta Tondi, Mauro Barni. University of Siena, Italy",,,,,source_attribution,Z_Update_SIA.docx,Dataset,"auxiliary; dataset; source_suffix=TIFS, 2025"
Model Synthesis for Zero-Shot Model Attribution,2025,"Tianyun Yang, Juan Cao, Danding Wang, Chang Xu. 中科院",,,,,source_attribution,Z_Update_SIA.docx,Dataset,"auxiliary; dataset; source_suffix=TMM, 2025"
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,"Katherine Xu, Lingzhi Zhang, Jianbo Shi. University of Pennsylvania, USA",,,,https://openaccess.thecvf.com/content/WACV2025/papers/Xu_Detecting_Origin_Attribution_for_Text-to-Image_Diffusion_Models_WACV_2025_paper.pdf,detection_and_source_attribution,Z_Update_SIA.docx,Dataset | Literature summary,"auxiliary; dataset; source_suffix=WACV, 2025"
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,"Hanbyul Lee, Juneho Yi. Sungkyunkwan University",,,,,source_attribution,Z_Update_SIA.docx,Dataset | Literature summary,"auxiliary; dataset; source_suffix=arXiv, 20250311; source_suffix=arXiv, 2025"
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,"Danielle Sullivan-Pao, Nicole Tian, Pooya Khorrami. MIT Lincoln Laboratory & Yale University",,,,,source_attribution,Z_Update_SIA.docx,Dataset | Literature summary,"auxiliary; dataset; source_suffix=arXiv, 20250410; source_suffix=arXiv, 2025"
"Detection, Attribution and Localization of GAN Generated Images",2021,M Goebel，L Nataraj，T Nanjundaswamy，TM Mohammed，BS Manjunath,,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,source_suffix=arXiv 2021
FIDAVL: Fake Image Detection and Attribution using Vision-Language Model,2024,"Mamadou Keita, Wassim Hamidouche, Hessen Bougueffa Eutamene, Abdelmalik Taleb-Ahmed, Abdenour Hadid.",10.1007/978-3-031-78305-0_11,,,https://link.springer.com/content/pdf/10.1007/978-3-031-78305-0_11,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=ICPR, 2024"
Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2025,"Alexander Wißmann, Steffen Zeiler, Robert M. Nickel, Dorothea Kolossa. MAD Workshop, 2024.",10.1145/3643491.3660280,,,https://dl.acm.org/doi/pdf/10.1145/3643491.3660280,detection_and_source_attribution,Z_Update_SIA.docx,To supplement,
"Forensic Self-Descriptions Are All You Need for Zero-Shot Detection, Open-Set Source Attribution, and Clustering of AI-generated Images",2025,"Tai D. Nguyen, Aref Azizpour, Matthew C. Stamm",,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=CVPR,2025"
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,"Weizhuo Chen, Fangfang Yuan, Cong Cao, Kun Peng, Dakui Wang, Yanbing Liu. Chinese Academy of Sciences",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10890492,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Literature summary | Detection,"source_suffix=ICASSP, 2025"
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,"Yasmine Namani, Ikram Reghioua, Gueltoum Bendiab, Mohamed Aymen Labiod, Stavros Shiaeles",,,,https://www.mdpi.com/2079-9292/14/4/665,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=Electronics, 2025"
Autonomous and Self-Adapting System for Synthetic Media Detection and Attribution,2025,"Aref Azizpour, Tai D. Nguyen, Matthew C. Stamm Drexel University",,,,,detection_and_source_attribution,Z_Update_SIA.docx | Z_Update_SID-2018-2025.docx,To supplement | Detection,"source_suffix=arXiv, 20250404"
Where Did I Come From? Origin Attribution of AI-Generated Images,2023,"Zhenting Wang, Chen Chen, Yi Zeng, Lingjuan Lyu, Shiqing Ma. Rutgers University, USA",,,,https://proceedings.neurips.cc/paper_files/paper/2023/file/ebb4c188fafe7da089b41a9f615ad84d-Paper-Conference.pdf,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=NeurIPS, 2023"
Reverse engineering of generative models: Inferring model hyperparameters from generated images,2023,"Vishal Asnani, Xi Yin, Tal Hassner, Xiaoming Liu. Michigan State University, USA",,,,,source_attribution,Z_Update_SIA.docx,Verification,source_suffix=IEEE TPAMI 2023
How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,"Zhenting Wang, Vikash Sehwag, Chen Chen, Lingjuan Lyu, Dimitris N. Metaxas, Shiqing Ma. Rutgers University, USA",,,,,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024"
Single-Model Attribution of Generative Models Through Final-Layer Inversion,2024,"Mike Laszkiewicz, Jonas Ricker, Johannes Lederer, Asja Fischer. Ruhr University Bochum, Germany",,,,https://proceedings.mlr.press/v235/laszkiewicz24a.html,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ICML, 2024"
Attributing and Detecting Fake Images Generated by Known GANs,2020,"Matthew Joslin and Shuang Hao. University of Texas at Dallas, USA",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9283853,detection_and_source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=SPW, 2020"
Which Model Generated This Image? A Model-Agnostic Approach for Origin Attribution,2024,"Fengyuan Liu, Haochen Luo, Yiming Li, Philip Torr, and Jindong Gu. Oxford University",,,,,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=ECCV, 2024"
A siamese-based verification system for open-set architecture attribution of synthetic images,2024,"Lydia Abady, Jun Wang, Benedetta Tondi, Mauro Barni. University of Siena, Italy",,,,https://www.sciencedirect.com/science/article/pii/S0167865524000709,source_attribution,Z_Update_SIA.docx,Verification | Literature summary,"source_suffix=PRL, 2024"
FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images. 20250708,2025,Guang Yang. UC Berkley,,,,,source_attribution,Z_Update_SIA.docx,Verification,source_suffix=arXiv
WILD: a new in-the-Wild Image Linkage Dataset for synthetic image attribution,2025,"Pietro Bongini, et al.",,,,,source_attribution,Z_Update_SIA.docx,Dataset,"auxiliary; dataset; source_suffix=IJCNN workshop, 2025"
"Deepfake attribution: On the source identification of artificially generated images. Wires, 2021",2021,,10.1002/widm.1438,,,https://wires.onlinelibrary.wiley.com/doi/epdf/10.1002/widm.1438,source_attribution,Z_Update_SIA.docx,Literature summary,
Reverse engineering of generative models: Inferring model hyperparameters from generated images.IEEE,2023,,,,,https://github.com/vishal3477/Reverse_Engineering_GMs,source_attribution,Z_Update_SIA.docx,Literature summary,source_suffix=TPAMI 2023
Detection of GAN-generated Fake Images over Social Networks,2018,"Francesco Marra, Diego Gragnaniello, Davide Cozzolino, Luisa Verdoliva. Italy",,,,https://ieeexplore.ieee.org/document/8397040,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=MIPR, 2018"
Incremental learning for the detection and classification of GAN-generated images,2019,"Francesco Marra, Cristiano Saltori†, Giulia Boato and Luisa Verdoliva. Italy",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=WIFS 2019
Detecting and Simulating Artifacts in GAN Fake Images,2019,"Xu Zhang, Svebor Karaman, and Shih-Fu Chang. USA",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9035107,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=WIFS 2019
Detecting GAN generated Fake Images using Co-occurrence Matrices,2019,"Nataraj, Lakshmanan; Mohammed, Tajuddin Manhar; Manjunath, B. S.; Chandrasekaran, Shivkumar; Flenner, Arjuna; Bappy, Jawadul H.; Roy-Chowdhury, Amit K",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=Electronic Imaging, 2019"
CNN-generated images are surprisingly easy to spot...for now,2020,"Sheng-Yu Wang, Oliver Wang, Richard Zhang, Andrew Owens, Alexei A. Efros. CVPR, 2020.",,,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Wang_CNN-Generated_Images_Are_Surprisingly_Easy_to_Spot..._for_Now_CVPR_2020_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,"Ricard Durall, Margret Keuper, Janis Keuper. CVPR, 2020.",,,,https://openaccess.thecvf.com/content_CVPR_2020/papers/Durall_Watch_Your_Up-Convolution_CNN_Based_Generative_Deep_Neural_Networks_Are_CVPR_2020_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,"Tarik Dzanic, Karan Shah, Freddie Witherden. NeurIPS, 2020.",,,,https://proceedings.neurips.cc/paper_files/paper/2020/file/1f8d87e1161af68b81bace188a1ec624-Paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
T-GD: Transferable GAN-generated Images Detection Framework,2020,"Hyeonseong Jeon, Youngoh Bang, Junyaup Kim, Simon S. Woo.",10.5555/3524938.3525379,,,https://dl.acm.org/doi/pdf/10.5555/3524938.3525379,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICML 2020
On the use of Benford’s law to detect GAN-generated images,2020,"N. Bonettini, P. Bestagini, S. Milani, and S. Tubaro. ICPR, 2020.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
GAN-Generated Image Detection With Self-Attention Mechanism Against GAN Generator Defect,2020,"Zhongjie Mi, Xinghao Jiang, Tanfeng Sun, and Ke Xu. IEEE Journal of Selected Topics in Signal Processing, 2020. 上交",,,,https://ieeexplore.ieee.org/abstract/document/9093190,detection,Z_Update_SID-2018-2025.docx,Detection,
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,"Yang He, Ning Yu, Margret Keuper, Mario Fritz.",,,,https://www.ijcai.org/proceedings/2021/349,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=IJCAI, 2021"
Detection of GAN-Generated Images by Estimating Artifact Similarity,2021,"Weichuang Li, Peisong He, Haoliang Li, Hongxia Wang, Ruimei Zhang. SPL, 2021. 川大",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9626582,detection,Z_Update_SID-2018-2025.docx,Detection,
Detecting Generated Images by Real Images,2022,"Bo Liu, Fan Yang, Xiuli Bi, Bin Xiao, Weisheng Li, Xinbo Gao.",10.1007/978-3-031-19781-9.pdf,,,https://link.springer.com/content/pdf/10.1007/978-3-031-19781-9.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2022"
FingerprintNet: Synthesized Fingerprints for Generated Image Detection,2022,"Yonghyun Jeong, Doyeon Kim, Youngmin Ro, Pyounggeon Kim, and Jongwon Choi.",,,,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136740071.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2022"
Discovering Transferable Forensic Features for CNN-Generated Images Detection,2022,"Keshigeyan Chandrasegaran, Ngoc-Trung Tran, Alexander Binder, Ngai-Man Cheung. Singapore/Norway",10.1007/978-3-031-19784-0_39,,,https://link.springer.com/content/pdf/10.1007/978-3-031-19784-0_39,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ECCV 2022
BiHPF: bilateral high pass filters for robust deepfake detection,2022,"Jeong, Y., Kim, D., Min, S., Joe, S., Gwon, Y., Choi, J.",,,,https://openaccess.thecvf.com/content/WACV2022/papers/Jeong_BiHPF_Bilateral_High-Pass_Filters_for_Robust_Deepfake_Detection_WACV_2022_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=WACV, 2022"
Fusing Global and Local Features for Generalized AI-Synthesized Image Detection,2022,"Yan Ju, Shan Jia, Lipeng Ke, Hongfei Xue, Koki Nagano, Siwei Lyu. University at Buffalo",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9897820,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICIP 2022
GLFF: Global and Local Feature Fusion for AI-synthesized Image Detection,2023,"Yan Ju, Shan Jia, Jialing Cai, Haiying Guan, Siwei Lyu. IEEE Transactions on Multimedia, 2023.",,,,https://ieeexplore.ieee.org/abstract/document/10246417/,detection,Z_Update_SID-2018-2025.docx,Detection,
Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection,2023,"Chuangchuang Tan, Yao Zhao, Shikui Wei, Guanghua Gu, Yunchao Wei. CVPR, 2023.",,,,https://openaccess.thecvf.com/content/CVPR2023/papers/Tan_Learning_on_Gradients_Generalized_Artifacts_Representation_for_GAN-Generated_Images_Detection_CVPR_2023_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,"Utkarsh Ojha, Yuheng Li, Yong Jae Lee. CVPR, 2023. University of Wisconsin-Madison",,,,https://openaccess.thecvf.com/content/CVPR2023/papers/Ojha_Towards_Universal_Fake_Image_Detectors_That_Generalize_Across_Generative_Models_CVPR_2023_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
DIRE for Diffusion-Generated Image Detection,2023,"Zhendong Wang, Jianmin Bao, Wengang Zhou, Weilun Wang, Hezhen Hu, Hong Chen, Houqiang Li.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ICCV, 2023"
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,"Peter Lorenz, Ricard L. Durall, Janis Keuper. ICCV Workshop, 2023.",,,,https://openaccess.thecvf.com/content/ICCV2023W/DFAD/papers/Lorenz_Detecting_Images_Generated_by_Deep_Diffusion_Models_Using_Their_Local_ICCVW_2023_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Improving Synthetically Generated Image,2023,"Pantelis Dogoulis, Giorgos Kordopatis-Zilos, Ioannis Kompatsiaris, Symeon Papadopoulos",10.1145/3592572.3592846,,,https://dl.acm.org/doi/pdf/10.1145/3592572.3592846,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=Detection in Cross-Concept Settings MAD Workshop, 2023"
Exposing fake images generated by text-to-image diffusion models,2023,"Qiang Xu, Hao Wang, Laijin Meng, Zhongjie Mi, Jianye Yuan, Hong Yan. PRL, 2023.",,,,https://www.sciencedirect.com/science/article/abs/pii/S0167865523002933,detection,Z_Update_SID-2018-2025.docx,Detection,
Synthbuster: Towards Detection of Diffusion Model Generated Images,2023,"Quentin Bammey. IEEE Open Journal of Signal Processing, 2023.",,,,https://ieeexplore.ieee.org/document/10334046/,detection,Z_Update_SID-2018-2025.docx,Detection,
AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,2023,"Ziyi Xi, Wenmin Huang, Kangkang Wei, Weiqi Luo and Peijia Zheng.",,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10317126,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=APSIPA ASC, 2023"
Generalizable Synthetic Image Detection via Language-guided Contrastive Learning,2023,"Haiwei Wu, Jiantao Zhou, and Shile Zhang. arXiv, 2023.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,"You-Ming Chang, Chen Yeh, Wei-Chen Chiu, Ning Yu. arXiv 2023.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,"Yichi Zhang, Xiaogang Xu.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023
GenDet: Towards Good Generalizations for AI-Generated Image Detection,2023,"Mingjian Zhu, Hanting Chen, Mouxiao Huang, Wei Li, Hailin Hu, Jie Hu, Yunhe Wang.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023
Detecting Generated Images by Real Images Only,2023,"Xiuli Bi, Bo Liu, Fan Yang, Bin Xiao, Weisheng Li, Gao Huang, Pamela C. Cosman.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=arXiv 2023
LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,"Yunpeng Luo, Junlong Du, Ke Yan, Shouhong Ding. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,"Yewon Lim, Changyeon Lee, Aerin Kim, Oren Etzioni. ICML Workshop, 2024.",,,,https://github.com/miraflow/DistilDIRE,detection,Z_Update_SID-2018-2025.docx,Detection,
Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection,2024,"Chuangchuang Tan, Huan Liu, Yao Zhao, Shikui Wei, Guanghua Gu, Ping Liu, Yunchao Wei. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
Shadows Don't Lie and Lines Can't Bend! Generative Models don't know Projective Geometry...for now,2024,"Ayush Sarkar, Hanlin Mai, Amitabh Mahapatra, Svetlana Lazebnik, D.A. Forsyth, Anand Bhattad. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection,2024,"Huan Liu, Zichang Tan, Chuangchuang Tan, Yunchao Wei, Yao Zhao, Jingdong Wang. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,"George Cazenavette, Avneesh Sud, Thomas Leung Ben Usman. CVPR, 2024.",,,,https://openaccess.thecvf.com/content/CVPR2024/papers/Cazenavette_FakeInversion_Learning_to_Detect_Images_from_Unseen_Text-to-Image_Models_by_CVPR_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,"Jonas Ricker, Denis Lukovnikov, and Asja Fischer. CVPR, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
Raising the Bar of AI-generated Image Detection with CLIP,2024,"Davide Cozzolino, Giovanni Poggi, Riccardo Corvi, Matthias Nießner, Luisa Verdoliva. CVPR Workshop, 2024.",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,
MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,"Li et al. CVPR Workshops, 2024. France/Brazil/Hongkong",,,,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Li_MaskSim_Detection_of_Synthetic_Images_by_Masked_Spectrum_Similarity_Analysis_CVPRW_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,"Romeo Lanzino, Federico Fontana, Anxhelo Diko, Marco Raoul Marini, Luigi Cinque. CVPR Workshops, 2024.",,,,https://openaccess.thecvf.com/content/CVPR2024W/DFAD/papers/Lanzino_Faster_Than_Lies_Real-time_Deepfake_Detection_using_Binary_Neural_Networks_CVPRW_2024_paper.pdf,detection,Z_Update_SID-2018-2025.docx,Detection,
Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,"Chuangchuang Tan, Yao Zhao, Shikui Wei, Guanghua Gu, Ping Liu, Yunchao Wei",,2403.07240,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=AAAI, 2024; source_alias=(FreqNet)"
DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images,2024,Baoying Chen et al. 阿里巴巴 & 中山大学,,,,https://openreview.net/pdf?id=oRLwyayrh1,detection,Z_Update_SID-2018-2025.docx,Detection,source_suffix=ICML 2024
Exposing the Fake: Effective Diffusion-Generated Images Detection (SeDID),2024,"Ruipeng Ma, Jinhao Duan, Fei Kong, Xiaoshuang Shi, Kaidi Xu. ICML Workshops, 2024. 电子科大",,,,https://openreview.net/pdf?id=7R62e4Wgim,detection,Z_Update_SID-2018-2025.docx,Detection,
Zero-Shot Detection of AI-Generated Images,2024,"Davide Cozzolino, Giovanni Poggi, Matthias Nießner, and Luisa Verdoliva",10.1007/978-3-031-72649-1_4,,,https://link.springer.com/chapter/10.1007/978-3-031-72649-1_4,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(ZED)"
Leveraging Representations from Intermediate Encoder-Blocks for Synthetic Image Detection,2024,"Christos Koutlis, Symeon Papadopoulos. CERTH",,,,,detection,Z_Update_SID-2018-2025.docx,Detection,"source_suffix=ECCV, 2024; source_alias=(RINE)"
