title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
TextureCrop: Enhancing Synthetic Image Detection through Texture-based Cropping,2025,yes,TextureCrop: Enhancing Synthetic Image Detection Through Texture-Based Cropping,2025,1.030,https://openalex.org/W4409917584,https://doi.org/10.1109/wacvw65960.2025.00160,,article,https://doi.org/10.1109/wacvw65960.2025.00160,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,yes,LDR-Net: A Novel Framework for AI-generated Image Detection via Localized Discrepancy Representation,2025,1.030,https://openalex.org/W4406786190,https://doi.org/10.48550/arxiv.2501.13475,ArXiv.org,preprint,http://arxiv.org/abs/2501.13475,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Generalizable Deepfake Detection via Effective Local-Global Feature Extraction,2025,weak_match,Deep learning for deepfakes creation and detection: A survey,2022,0.412,https://openalex.org/W4288102863,https://doi.org/10.1016/j.cviu.2022.103525,Computer Vision and Image Understanding,article,https://doi.org/10.1016/j.cviu.2022.103525,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
PDA: Generalizable Detection of AI-Generated Images via Post-hoc Distribution Alignment,2025,weak_match,Multi-Sensor Fusion in Automated Driving: A Survey,2019,0.348,https://openalex.org/W2996945478,https://doi.org/10.1109/access.2019.2962554,IEEE Access,article,https://doi.org/10.1109/access.2019.2962554,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
HRR: Hierarchical Retrospection Refinement for Generated Image Detection,2025,yes,HRR: Hierarchical retrospection refinement for generated image detection,2026,1.015,https://openalex.org/W4415187215,https://doi.org/10.1016/j.patrec.2026.04.016,Pattern Recognition Letters,article,https://doi.org/10.1016/j.patrec.2026.04.016,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,yes,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,1.030,https://openalex.org/W4414578321,https://doi.org/10.48550/arxiv.2503.08484,ArXiv.org,preprint,http://arxiv.org/abs/2503.08484,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,yes,"Provenance Detection for AI-Generated Images: Combining Perceptual Hashing, Homomorphic Encryption, and AI Detection Models",2025,1.030,https://openalex.org/W4417284156,https://doi.org/10.48550/arxiv.2503.11195,ArXiv.org,preprint,http://arxiv.org/abs/2503.11195,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,yes,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,1.030,https://openalex.org/W4417056138,https://doi.org/10.48550/arxiv.2503.24267,arXiv (Cornell University),preprint,http://arxiv.org/abs/2503.24267,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Robust AI-Synthesized Image Detection via Multi-feature Frequency-aware Learning,2025,yes,Robust AI-Synthesized Image Detection via Multi-feature Frequency-Aware Learning,2025,1.030,https://openalex.org/W4416260579,https://doi.org/10.1007/978-981-95-3001-4_12,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-981-95-3001-4_12,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,query_failed,,,,,,,,,,OpenAlex query failed: HTTP Error 400: Bad Request
MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,yes,MLEP: Multi-granularity Local Entropy Patterns for Universal AI-generated Image Detection,2025,1.030,https://openalex.org/W4415320094,https://doi.org/10.48550/arxiv.2504.13726,ArXiv.org,preprint,http://arxiv.org/abs/2504.13726,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Towards Explainable Fake Image Detection with Multi-Modal Large Language Models,2025,weak_match,"Bad Actor, Good Advisor: Exploring the Role of Large Language Models in Fake News Detection",2024,0.458,https://openalex.org/W4393160654,https://doi.org/10.1609/aaai.v38i20.30214,Proceedings of the AAAI Conference on Artificial Intelligence,article,https://doi.org/10.1609/aaai.v38i20.30214,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Composite Data Augmentations for Synthetic Image Detection against Real-World Perturbations,2025,yes,Composite Data Augmentations for Synthetic Image Detection Against Real-World Perturbations,2025,1.030,https://openalex.org/W4417052422,https://doi.org/10.23919/eusipco63237.2025.11226549,,article,https://doi.org/10.23919/eusipco63237.2025.11226549,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Task-aligned prompting improves zero-shot detection of AI-generated images by Vision-Language Models,2025,weak_match,A Survey of Large Language Models,2026,0.449,https://openalex.org/W4362515116,https://doi.org/10.1007/s11704-026-60308-3,Frontiers of Computer Science,preprint,https://doi.org/10.1007/s11704-026-60308-3,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,yes,Pay Less Attention to Deceptive Artifacts: Robust Detection of Compressed Deepfakes on Online Social Networks,2025,1.030,https://openalex.org/W4414989730,https://doi.org/10.48550/arxiv.2506.20548,ArXiv.org,preprint,http://arxiv.org/abs/2506.20548,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,yes,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,1.030,https://openalex.org/W4415343792,https://doi.org/10.48550/arxiv.2507.03054,ArXiv.org,preprint,http://arxiv.org/abs/2507.03054,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Explainable Synthetic Image Detection through Diffusion Timestep Ensembling,2025,yes,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,2026,1.015,https://openalex.org/W7138458380,https://doi.org/10.1609/aaai.v40i13.38060,Proceedings of the AAAI Conference on Artificial Intelligence,article,https://doi.org/10.1609/aaai.v40i13.38060,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,yes,Redefining Generalization in Visual Domains: A Two-Axis Framework for Fake Image Detection with FusionDetect,2025,1.030,https://openalex.org/W4414978765,https://doi.org/10.48550/arxiv.2510.05740,ArXiv.org,preprint,http://arxiv.org/abs/2510.05740,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,yes,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,1.030,https://openalex.org/W4415935817,https://doi.org/10.48550/arxiv.2511.00181,arXiv (Cornell University),preprint,http://arxiv.org/abs/2511.00181,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Generalized Design Choices for Deepfake Detectors,2025,weak_match,A Robust Approach to Multimodal Deepfake Detection,2023,0.404,https://openalex.org/W4381140704,https://doi.org/10.3390/jimaging9060122,Journal of Imaging,article,https://doi.org/10.3390/jimaging9060122,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,yes,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,1.030,https://openalex.org/W4417529984,https://doi.org/10.48550/arxiv.2512.16300,ArXiv.org,preprint,http://arxiv.org/abs/2512.16300,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,2025,weak_match,On instabilities of deep learning in image reconstruction and the potential costs of AI,2020,0.379,https://openalex.org/W2911290743,https://doi.org/10.1073/pnas.1907377117,Proceedings of the National Academy of Sciences,article,https://doi.org/10.1073/pnas.1907377117,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,yes,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,1.030,https://openalex.org/W7117078863,,ArXiv.org,article,http://arxiv.org/abs/2512.17730,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,yes,LADLE-MM: Limited Annotation based Detector with Learned Ensembles for Multimodal Misinformation,2025,1.030,https://openalex.org/W7117277228,,ArXiv.org,article,http://arxiv.org/abs/2512.20257,false,OpenAlex title search result. Strong matches may be imported; review/weak/no_match require manual check.
