title,year,doi,openalex_url,venue,authors,arxiv_id,arxiv_url,arxiv_year,match_status,title_similarity,author_overlap,match_reason,source,manual_review
Lesion Image Generation Using Conditional GAN for Metastatic Liver Cancer Detection,2021,10.18178/joig.9.1.27-30,https://openalex.org/W3129747129,Journal of Image and Graphics,Yusuke Ikeda; Keisuke Doma; Yoshito Mekada; Shigeru Nawano,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
MADGAN: unsupervised medical anomaly detection GAN using multiple adjacent brain MRI slice reconstruction,2021,10.1186/s12859-020-03936-1,https://openalex.org/W3157328277,BMC Bioinformatics,Changhee Han; Leonardo Rundo; Kohei Murao; Tomoyuki Noguchi; Yuki Shimahara; Zoltán Á. Milacski; Saori Koshino; Evis Sala; Hideki Nakayama; Shin’ichi Satoh,2007.13559v2,https://arxiv.org/abs/2007.13559v2,2020,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2020 is diagnostic only.,arxiv_api,true
A GAN-Based Model of Deepfake Detection in Social Media,2023,10.1016/j.procs.2023.01.191,https://openalex.org/W4318570524,Procedia Computer Science,Preeti Preeti; Manoj Kumar; Hitesh Kumar Sharma,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Development and Validation of a Deep Learning System for Diabetic Retinopathy and Related Eye Diseases Using Retinal Images From Multiethnic Populations With Diabetes,2017,10.1001/jama.2017.18152,https://openalex.org/W2772246530,JAMA,Daniel Shu Wei Ting; Carol Y. Cheung; Gilbert Lim; Gavin Siew Wei Tan; Duc Quang Nguyen; Alfred Tau Liang Gan; Haslina Hamzah; Renata García-Franco; Ian Yeo; Shu Yen Lee; Edmund Yick Mun Wong; Charumathi Sabanayagam; Mani Baskaran; Farah Ibrahim; Ngiap Chuan Tan; Eric Finkelstein; Ecosse L. Lamoureux; Yhi Wong; Neil M. Bressler; Sobha Sivaprasad; Rohit Varma; Jost B. Jonas; Mingguang He; Ching‐Yu Cheng; Chui Ming Gemmy Cheung; Tin Aung; Wynne Hsu; Mong Li Lee; Tien Yin Wong,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Level Up the Deepfake Detection: A Method to Effectively Discriminate Images Generated by GAN Architectures and Diffusion Models,2024,10.1007/978-3-031-66431-1_43,https://openalex.org/W4401108337,Lecture notes in networks and systems,Luca Guarnera; Oliver Giudice; Sebastiano Battiato,2303.00608v1,https://arxiv.org/abs/2303.00608v1,2023,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2023 is diagnostic only.,arxiv_api,true
"GaN-based power devices: Physics, reliability, and perspectives",2021,10.1063/5.0061354,https://openalex.org/W3212391347,Journal of Applied Physics,Matteo Meneghini; Carlo De Santi; Idriss Abid; Matteo Buffolo; Marcello Cioni; Riyaz Abdul Khadar; Luca Nela; Nicolò Zagni; Alessandro Chini; Farid Medjdoub; Gaudenzio Meneghesso; G. Verzellesi; Enrico Zanoni; Elison Matioli,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Automated Breast Ultrasound Lesions Detection Using Convolutional Neural Networks,2017,10.1109/jbhi.2017.2731873,https://openalex.org/W2744692634,IEEE Journal of Biomedical and Health Informatics,Moi Hoon Yap; Gérard Pons; Robert Martí; Sergi Ganau; Melcior Sentís; Reyer Zwiggelaar; Adrian K. Davison; Robert Martí,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A Novel Neural Model based Framework for Detection of GAN Generated Fake Images,2021,10.1109/confluence51648.2021.9377150,https://openalex.org/W3139320333,"2021 11th International Conference on Cloud Computing, Data Science &amp; Engineering (Confluence)",Samaksh Agarwal; Nancy Girdhar; Himanshu Raghav,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Deep Industrial Image Anomaly Detection: A Survey,2024,10.1007/s11633-023-1459-z,https://openalex.org/W4390875033,Machine Intelligence Research,Jiaqi Liu; Guoyang Xie; Jinbao Wang; Shangnian Li; Chengjie Wang; Feng Zheng; Yaochu Jin,2301.11514v5,https://arxiv.org/abs/2301.11514v5,2023,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2023 is diagnostic only.,arxiv_api,true
A Comprehensive Survey of Generative Adversarial Networks (GANs) in Cybersecurity Intrusion Detection,2023,10.1109/access.2023.3296707,https://openalex.org/W4384917038,IEEE Access,Aeryn Dunmore; Julian Jang‐Jaccard; Fariza Sabrina; Jin Kwak,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
The Interface Region Imaging Spectrograph (IRIS),2014,10.1007/s11207-014-0485-y,https://openalex.org/W1973133885,Solar Physics,B. De Pontieu; A. M. Title; J. R. Lemen; G. Kushner; D. J. Akin; B. A. Allard; Thomas Berger; P. Boerner; Mark C. M. Cheung; Cathy Chou; J. F. Drake; D. Duncan; S. Freeland; Gary F. Heyman; C. R. Hoffman; N. E. Hurlburt; R. W. Lindgren; D. Mathur; R. Rehse; David Sabolish; R. Seguin; C. J. Schrijver; T. D. Tarbell; J. P. Wülser; C. J. Wolfson; Carl Yanari; Jason Mudge; N. Nguyen-Phuc; R. Timmons; R. Van Bezooijen; Isaac Weingrod; R. Brookner; Gillian Butcher; B. L. Dougherty; Josef Eder; Vincentz Knagenhjelm; S. S. Larsen; D. Mansir; Lam Huynh Phan; P. Boyle; Peter N. Cheimets; E. E. DeLuca; L. Golub; Richard Gates; Edward Hertz; S. McKillop; Sung‐Hong Park; Thomas A. Perry; William Podgorski; Katharine K. Reeves; Steven H. Saar; Paola Testa; Hui Tian; Mark Weber; Carol Anne Dunn; S. Eccles; Sarah A. Jaeggli; C. C. Kankelborg; K. Mashburn; Nathan J. Pust; L. Springer; Robert Carvalho; Lucia Kleint; John Marmie; Edward Mazmanian; Tiago M. D. Pereira; S. R. Sawyer; James M. Strong; S. P. Worden; M. Carlsson; V. H. Hansteen; J. Leenaarts; M. Wiesmann; J. Aloise; K. Chu; R. I. Bush; P. H. Scherrer; P. Brekke; Juan Martínez‐Sykora; B. W. Lites; Scott W. McIntosh; H. Uitenbroek; Takenori J. Okamoto; Mark A. Gummin; Gary Auker; Paul Jerram; Peter Pool; Nicholas R. Waltham,1401.2491,https://arxiv.org/abs/1401.2491,2014,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
WILD: a new in-the-Wild Image Linkage Dataset for synthetic image attribution,2025,10.1109/ijcnn64981.2025.11227289,https://openalex.org/W4416252268,2025 International Joint Conference on Neural Networks (IJCNN),Pietro Bongini; Sara Mandelli; Andrea Montibeller; Mirko Casu; Orazio Pontorno; Claudio Vittorio Ragaglia; Luca Zanchetta; Mattia Aquilina; Taiba Majid Wani; Luca Guarnera; Benedetta Tondi; Giulia Boato; Paolo Bestagini; Irene Amerini; Francesco G. B. De Natale; Sebastiano Battiato; Mauro Barni,2504.19595v2,https://arxiv.org/abs/2504.19595v2,2025,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2025 is diagnostic only.,arxiv_api,true
BOSC: A Backdoor-Based Framework for Open Set Synthetic Image Attribution,2025,10.1109/tifs.2025.3592531,https://openalex.org/W4412624408,IEEE Transactions on Information Forensics and Security,Jun Wang; Benedetta Tondi; Mauro Barni,2405.11491v2,https://arxiv.org/abs/2405.11491v2,2024,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2024 is diagnostic only.,arxiv_api,true
Synthetic apatite nanoparticles as a phosphorus fertilizer for soybean (Glycine max),2014,10.1038/srep05686,https://openalex.org/W2020826870,Scientific Reports,Ruiqiang Liu; Rattan Lal,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Whodunit: Detection and Attribution of Synthetic Images by Leveraging Model-specific Fingerprints,2024,10.1145/3643491.3660280,https://openalex.org/W4399261595,3rd ACM International Workshop on Multimedia AI against Disinformation,Alexander Wißmann; Steffen Zeiler; Robert M. Nickel; Dorothea Kolossa,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Synthetic glycolate metabolism pathways stimulate crop growth and productivity in the field,2019,10.1126/science.aat9077,https://openalex.org/W2907337795,Science,Paul F. South; Amanda P. Cavanagh; Helen Liu; Donald R. Ort,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Deciphering microbial interactions in synthetic human gut microbiome communities,2018,10.15252/msb.20178157,https://openalex.org/W2773368689,Molecular Systems Biology,Ophelia S. Venturelli; Alex V. Carr; Garth Fisher; Ryan H. Hsu; Rebecca Lau; Benjamin P. Bowen; Susan Hromada; Trent R. Northen; Adam P. Arkin,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
CLIPScore: A Reference-free Evaluation Metric for Image Captioning,2021,10.18653/v1/2021.emnlp-main.595,https://openalex.org/W3153469116,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Jack Hessel; Ari Holtzman; Maxwell Forbes; Ronan Le Bras; Yejin Choi,2104.08718v3,https://arxiv.org/abs/2104.08718v3,2021,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2021 is diagnostic only.,arxiv_api,true
Image Matching from Handcrafted to Deep Features: A Survey,2020,10.1007/s11263-020-01359-2,https://openalex.org/W3047057232,International Journal of Computer Vision,Jiayi Ma; Xingyu Jiang; Aoxiang Fan; Junjun Jiang; Junchi Yan,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
DeepGuard: Identification and Attribution of AI-Generated Synthetic Images,2025,10.3390/electronics14040665,https://openalex.org/W4407408001,Electronics,Yasmine Namani; Ikram Reghioua; Gueltoum Bendiab; Mohamed Aymen Labiod; Stavros Shiaeles,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A wearable cardiac ultrasound imager,2023,10.1038/s41586-022-05498-z,https://openalex.org/W4317951947,Nature,Hongjie Hu; Hao Huang; Mohan Li; Xiaoxiang Gao; Lu Yin; Ruixiang Qi; Ray S. Wu; Xiangjun Chen; Yuxiang Ma; Keren Shi; Chenghai Li; Timothy M. Maus; Brady K. Huang; Chengchangfeng Lu; Muyang Lin; Sai Zhou; Zhiyuan Lou; Yue Gu; Yimu Chen; Yusheng Lei; Xinyu Wang; Ruotao Wang; Wentong Yue; Xinyi Yang; Yizhou Bian; Jing Mu; Geonho Park; Xiang Shu; Shengqiang Cai; Paul W. Corey; Joseph Wang; Sheng Xu,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Medical image segmentation using deep learning: A survey,2022,10.1049/ipr2.12419,https://openalex.org/W4206693420,IET Image Processing,Risheng Wang; Tao Lei; Ruixia Cui; Bingtao Zhang; Hongying Meng; Asoke K. Nandi,2009.13120,https://arxiv.org/abs/2009.13120,2020,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl,2019,10.1038/s41592-019-0612-7,https://openalex.org/W2980998394,Nature Methods,Juan C. Caicedo; Allen Goodman; Kyle W. Karhohs; Beth A. Cimini; Jeanelle Ackerman; Marzieh Haghighi; Cher-Keng Heng; Tim Becker; Minh Doan; Claire McQuin; Mohammad Hossein Rohban; Shantanu Singh; Anne E. Carpenter,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Massively parallel digital transcriptional profiling of single cells,2017,10.1038/ncomms14049,https://openalex.org/W2951506174,Nature Communications,Grace Zheng; Jessica M. Terry; Phillip Belgrader; Paul Ryvkin; Zachary Bent; Ryan J. Wilson; Solongo B. Ziraldo; Tobias D. Wheeler; Geoff P. McDermott; Junjie Zhu; Mark Gregory; Joe Shuga; Luz Montesclaros; Jason G. Underwood; Donald A Masquelier; Stefanie Y. Nishimura; Michael Schnall-Levin; Paul W. Wyatt; Christopher M. Hindson; Rajiv Bharadwaj; Alexander Wong; Kevin D. Ness; Lan Beppu; H. Joachim Deeg; Christopher McFarland; Keith R. Loeb; William J. Valente; Nolan G. Ericson; Emily A. Stevens; Jerald P. Radich; Tarjei S. Mikkelsen; Benjamin J. Hindson; Jason H. Bielas,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Neural network attribution methods for problems in geoscience: A novel synthetic benchmark dataset,2022,10.1017/eds.2022.7,https://openalex.org/W3138147141,Environmental Data Science,Antonios Mamalakis; Imme Ebert‐Uphoff; Elizabeth A. Barnes,2103.10005,https://arxiv.org/abs/2103.10005,2021,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
Bio-based polycarbonate as synthetic toolbox,2016,10.1038/ncomms11862,https://openalex.org/W2437377606,Nature Communications,Oliver Hauenstein; Seema Agarwal; Andreas Greiner,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Genome‐scale engineering for systems and synthetic biology,2013,10.1038/msb.2012.66,https://openalex.org/W2167299815,Molecular Systems Biology,Kevin M. Esvelt; Harris H. Wang,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A synthetic sex ratio distortion system for the control of the human malaria mosquito,2014,10.1038/ncomms4977,https://openalex.org/W2122404497,Nature Communications,Roberto Galizi; Lindsey Doyle; Miriam Menichelli; Federica Bernardini; Anne Dérédec; Austin Burt; Barry Stoddard; Nikolai Windbichler; Andrea Crisanti,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Support Vector Machine Versus Random Forest for Remote Sensing Image Classification: A Meta-Analysis and Systematic Review,2020,10.1109/jstars.2020.3026724,https://openalex.org/W3088162569,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Mohammadreza Sheykhmousa; Masoud Mahdianpari; Hamid Ghanbari; Fariba Mohammadimanesh; Pedram Ghamisi; Saeid Homayouni,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
An Experimental-Based Review of Image Enhancement and Image Restoration Methods for Underwater Imaging,2019,10.1109/access.2019.2932130,https://openalex.org/W2966516593,IEEE Access,Yan Wang; Wei Song; Giancarlo Fortino; Lizhe Qi; Wenqiang Zhang; Antonio Liotta,1907.03246v1,https://arxiv.org/abs/1907.03246v1,2019,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2019 is diagnostic only.,arxiv_api,true
Accurate whole human genome sequencing using reversible terminator chemistry,2008,10.1038/nature07517,https://openalex.org/W2012016911,Nature,David Bentley; Shankar Balasubramanian; Harold Swerdlow; Geoff Smith; John Milton; Clive Brown; Kevin P. Hall; Dirk J. Evers; C.L. Barnes; Helen Bignell; Jonathan M. Boutell; Jason Bryant; Richard J. Carter; R. Keira Cheetham; Anthony J. Cox; Darren J. Ellis; Michael R. Flatbush; Niall Gormley; Sean Humphray; Leslie J. Irving; Mirian Karbelashvili; Scott Kirk; Heng Li; Xiaohai Liu; Klaus S. Maisinger; Lisa Murray; Bojan Obradović; Tobias W. B. Ost; Michael L. Parkinson; Mark Pratt; Isabelle Rasolonjatovo; Mark T. Reed; Roberto Rigatti; Chiara Rodighiero; Mark T. Ross; Andrea Sabot; S. V. Sankar; Aylwyn Scally; Gary P. Schroth; Mark E. B. Smith; Vincent P. Smith; Anastassia Spiridou; Peta E. Torrance; Svilen Tzonev; Eric H. Vermaas; Klaudia Walter; Xiaolin Wu; Lu Zhang; Mohammed D. Alam; Carole Anastasi; Ify C. Aniebo; David M. Bailey; Iain R. Bancarz; Saibal Banerjee; Selena G. Barbour; Primo Baybayan; Vincent A. Benoit; Kevin F. Benson; Claire Bevis; Phillip J. Black; Asha Boodhun; Joe S. Brennan; John A. Bridgham; Rob Brown; Andrew Brown; Dale H. Buermann; Abass A. Bundu; James C. Burrows; Nigel P. Carter; Néstor Castillo-Magallanes; Maria Chiara E. Catenazzi; Simon Chang; Rachel Cooley; Natasha R. Crake; Olubunmi O. Dada; Konstantinos D. Diakoumakos; Belen Dominguez‐Fernandez; David Earnshaw; Ugonna C. Egbujor; David W. Elmore; Sergey S. Etchin; Mark Ewan; Milan Fedurco; Louise Fraser; Karin V. Fuentes Fajardo; W. Scott Furey; David George; Kimberley J. Gietzen; C Goddard; George S. Golda; Philip A. Granieri; David E. Green; David Gustafson; Nancy F. Hansen; Kevin Harnish; Christian Haudenschild; Narinder I. Heyer; Matthew M. Hims; Johnny T. Ho; Adrian Horgan,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
The development and characterization of synthetic minimal yeast promoters,2015,10.1038/ncomms8810,https://openalex.org/W2270868854,Nature Communications,Heidi Redden; Hal S. Alper,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Targeting the alternative bile acid synthetic pathway for metabolic diseases,2020,10.1007/s13238-020-00804-9,https://openalex.org/W3109895489,Protein & Cell,Wei Jia; Meilin Wei; Cynthia Rajani; Xiaojiao Zheng,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
The Helioseismic and Magnetic Imager (HMI) Vector Magnetic Field Pipeline: Overview and Performance,2014,10.1007/s11207-014-0516-8,https://openalex.org/W1999016464,Solar Physics,J. T. Hoeksema; Yang Liu; Keiji Hayashi; Xudong Sun; J. Schou; Sébastien Couvidat; A. A. Norton; Monica Bobra; R. Centeno; K. D. Leka; G. Barnes; M. Turmon,1404.1881,https://arxiv.org/abs/1404.1881,2014,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
Generating Synthetic Data for Medical Imaging,2024,10.1148/radiol.232471,https://openalex.org/W4402392401,Radiology,Lennart R. Koetzier; Jie Wu; Domenico Mastrodicasa; Aline Lutz; Matthew Chung; Wojciech A. Koszek; Jayanth S. Pratap; Akshay Chaudhari; Pranav Rajpurkar; Matthew P. Lungren; Martin J. Willemink,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A synthetic route to ultralight hierarchically micro/mesoporous Al(III)-carboxylate metal-organic aerogels,2013,10.1038/ncomms2757,https://openalex.org/W2073188805,Nature Communications,Lei Li; Shenglin Xiang; Shuqi Cao; Jianyong Zhang; Gangfeng Ouyang; Liuping Chen; Cheng‐Yong Su,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Imaging quasiperiodic electronic states in a synthetic Penrose tiling,2017,10.1038/ncomms15961,https://openalex.org/W2652717287,Nature Communications,Laura C. Collins; Thomas G. Witte; Rochelle Silverman; David B. Green; Kenjiro K. Gomes,1707.06554,https://arxiv.org/abs/1707.06554,2017,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
Comparison of PET imaging with a 68Ga-labelled PSMA ligand and 18F-choline-based PET/CT for the diagnosis of recurrent prostate cancer,2013,10.1007/s00259-013-2525-5,https://openalex.org/W2080006760,European Journal of Nuclear Medicine and Molecular Imaging,Ali Afshar‐Oromieh; Christian M. Zechmann; A. Malcher; Matthias Eder; Michael Eisenhut; Heinz Linhart; Tim Holland‐Letz; Boris Hadaschik; Frederik L. Giesel; Jürgen Debus; Uwe Haberkorn,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A theoretical distribution analysis of synthetic minority oversampling technique (SMOTE) for imbalanced learning,2023,10.1007/s10994-022-06296-4,https://openalex.org/W4313555233,Machine Learning,Dina Elreedy; Amir F. Atiya; Firuz Kamalov,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Image Recovery via Nonlocal Operators,2009,10.1007/s10915-009-9320-2,https://openalex.org/W2112575052,Journal of Scientific Computing,Yifei Lou; Xiaoqun Zhang; Stanley Osher; Andrea L. Bertozzi,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
RepMix: Representation Mixing for Robust Attribution of Synthesized Images,2022,10.1007/978-3-031-19781-9_9,https://openalex.org/W4284702842,Lecture notes in computer science,Tu Bui; Ning Yu; John Collomosse,2207.02063v2,https://arxiv.org/abs/2207.02063v2,2022,linked_to_arxiv,1.000,1.000,Strong title match; arXiv year 2022 is diagnostic only.,arxiv_api,true
2D MXenes as Co-catalysts in Photocatalysis: Synthetic Methods,2019,10.1007/s40820-019-0309-6,https://openalex.org/W2973917971,Nano-Micro Letters,Yuliang Sun; Xing Meng; Yohan Dall’Agnese; Chunxiang Dall’Agnese; Shengnan Duan; Yu Gao; Gang Chen; Xiaofeng Wang,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Yolo V4 for Advanced Traffic Sign Recognition With Synthetic Training Data Generated by Various GAN,2021,10.1109/access.2021.3094201,https://openalex.org/W3180297163,IEEE Access,Christine Dewi; Rung-Ching Chen; Yanting Liu; Xiaoyi Jiang; Kristoko Dwi Hartomo,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Digital image forensics: a booklet for beginners,2010,10.1007/s11042-010-0620-1,https://openalex.org/W2093512257,Multimedia Tools and Applications,Judith Redi; Wiem Taktak; Jean‐Luc Dugelay,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A quantified study of segmentation techniques on synthetic geological XRM and FIB-SEM images,2018,10.1007/s10596-018-9768-y,https://openalex.org/W2889062232,Computational Geosciences,Matthew Andrew,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Synthetic data accelerates the development of generalizable learning-based algorithms for X-ray image analysis,2023,10.1038/s42256-023-00629-1,https://openalex.org/W4353029687,Nature Machine Intelligence,Cong Gao; Benjamin D. Killeen; Yicheng Hu; Robert B. Grupp; Russell H. Taylor; Mehran Armand; Mathias Unberath,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Cross-kingdom synthetic microbiota supports tomato suppression of Fusarium wilt disease,2022,10.1038/s41467-022-35452-6,https://openalex.org/W4312193035,Nature Communications,Xin Zhou; Jinting Wang; Fang Liu; Junmin Liang; Peng Zhao; Clement K. M. Tsui; Lei Cai,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Synthetic Peptides as Protein Mimics,2016,10.3389/fbioe.2015.00211,https://openalex.org/W2293277814,Frontiers in Bioengineering and Biotechnology,Andrea M. Gross; Chie Hashimoto; Heinrich Sticht; Jutta Eichler,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Epigenetic engineering shows H3K4me2 is required for HJURP targeting and CENP‐A assembly on a synthetic human kinetochore,2010,10.1038/emboj.2010.329,https://openalex.org/W1878784702,The EMBO Journal,Jan H. Bergmann; Mariluz Gómez Rodríguez; Nuno M. C. Martins; Hiroshi Kimurâ; David A. Kelly; Hiroshi Masumoto; Vladimir Larionov; Lars E.T. Jansen; William C. Earnshaw,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Synthetic optical holography for rapid nanoimaging,2014,10.1038/ncomms4499,https://openalex.org/W2037762581,Nature Communications,Martin Schnell; P. Scott Carney; Rainer Hillenbrand,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Intercropping of grain legumes and cereals improves the use of soil N resources and reduces the requirement for synthetic fertilizer N: A global-scale analysis,2020,10.1007/s13593-020-0607-x,https://openalex.org/W3005574176,Agronomy for Sustainable Development,Erik Steen Jensen; Georg Carlsson; Henrik Hauggaard‐Nielsen,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Evaluation of short synthetic antimicrobial peptides for treatment of drug-resistant and intracellular Staphylococcus aureus,2016,10.1038/srep29707,https://openalex.org/W2474255949,Scientific Reports,Mohamed F. Mohamed; Ahmed AbdelKhalek; Mohamed N. Seleem,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Post-synthetic modification of covalent organic frameworks for CO2 electroreduction,2023,10.1038/s41467-023-39544-9,https://openalex.org/W4382055114,Nature Communications,Minghao Liu; Shuai Yang; Xiubei Yang; Cheng‐Xing Cui; Guojuan Liu; Xuewen Li; Jun He; George Z. Chen; Qing Xu; Gaofeng Zeng,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A synthetic biochemistry platform for cell free production of monoterpenes from glucose,2017,10.1038/ncomms15526,https://openalex.org/W2618238633,Nature Communications,Tyler P. Korman; Paul H. Opgenorth; James U. Bowie,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Magnetic Resonance Imaging Versus Computed Tomography for Three‐Dimensional Bone Imaging of Musculoskeletal Pathologies: A Review,2022,10.1002/jmri.28067,https://openalex.org/W4206781950,Journal of Magnetic Resonance Imaging,Mateusz C. Florkow; Koen Willemsen; Vasco Mascarenhas; Edwin H. G. Oei; Marijn van Stralen; Peter R. Seevinck,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Photonic Weyl point in a two-dimensional resonator lattice with a synthetic frequency dimension,2016,10.1038/ncomms13731,https://openalex.org/W2562766738,Nature Communications,Qian Lin; Meng Xiao; Luqi Yuan; Shanhui Fan,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Advanced optoacoustic methods for multiscale imaging of in vivo dynamics,2017,10.1039/c6cs00765a,https://openalex.org/W2594189560,Chemical Society Reviews,Xosé Luís Deán‐Ben; Sven Gottschalk; Benedict Mc Larney; Shy Shoham; Daniel Razansky,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Cell microencapsulation with synthetic polymers,2014,10.1002/jbm.a.35205,https://openalex.org/W1539235508,Journal of Biomedical Materials Research Part A,Ronke M. Olabisi,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Methods for image denoising using convolutional neural network: a review,2021,10.1007/s40747-021-00428-4,https://openalex.org/W3169893408,Complex & Intelligent Systems,Ademola E. Ilesanmi; Taiwo Ilesanmi,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
A Siamese-based Verification System for Open-set Architecture Attribution of Synthetic Images,2023,10.48550/arxiv.2307.09822,https://openalex.org/W4384919490,arXiv (Cornell University),Lydia Abady; Jun Wang; Benedetta Tondi; Mauro Barni,2307.09822,https://arxiv.org/abs/2307.09822,2023,linked_to_arxiv,1.000,,Reused an existing valid arXiv identifier; publication year was preserved.,candidate_metadata,true
A dataset of clinically generated visual questions and answers about radiology images,2018,10.1038/sdata.2018.251,https://openalex.org/W2901466771,Scientific Data,Jason J. Lau; Soumya Gayen; Asma Ben Abacha; Dina Demner‐Fushman,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
COVID-19 Detection Through Transfer Learning Using Multimodal Imaging Data,2020,10.1109/access.2020.3016780,https://openalex.org/W3049131298,IEEE Access,Michael J. Horry; Subrata Chakraborty; Manoranjan Paul; Anwaar Ulhaq; Biswajeet Pradhan; Manas Saha; Nagesh Shukla,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
"Recent Advances of Graphitic Carbon Nitride-Based Structures and Applications in Catalyst, Sensing, Imaging, and LEDs",2017,10.1007/s40820-017-0148-2,https://openalex.org/W2623360109,Nano-Micro Letters,Aiwu Wang; Chundong Wang; Li Fu; W. Wong‐Ng; Yucheng Lan,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Strategies and progress in synthetic textile fiber biodegradability,2021,10.1007/s42452-021-04851-7,https://openalex.org/W4200486609,SN Applied Sciences,Jeannie Egan; Sonja Salmon,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
Uncertainty quantification in particle image velocimetry,2019,10.1088/1361-6501/ab1db8,https://openalex.org/W2943030959,Measurement Science and Technology,Andrea Sciacchitano,,,,not_found_in_arxiv,0.000,,No arXiv results were returned.,arxiv_api,true
