title,year,authors,venue,doi,openalex_url,arxiv_id,arxiv_url,missing_affiliation,missing_coordinates,needs_review,coverage_status,task,subtask,notes
Methods and trends in detecting AI-generated images: A comprehensive review,2026,"['Arpan Mahara', 'Naphtali Rishe']",Computer Science Review,10.1016/j.cosrev.2026.100908,https://openalex.org/W7125199518,2502.15176v2,https://arxiv.org/abs/2502.15176v2,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Penny-Wise and Pound-Foolish in AI-Generated Image Detection,2026,"['Yabin Wang', 'Zhiwu Huang', 'Zhou Su', 'Adam Prugel-Bennett', 'Xiaopeng Hong']",IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/tpami.2026.3664388,https://openalex.org/W7128818896,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Semantic Distribution and Authenticity Discrepancy Alignment for AI-Generated Image Detection,2026,"['Jiehua Zhang', 'Liang Li', 'Chenggang Yan', 'Wei Ke', 'Yihong Gong']",IEEE Transactions on Multimedia,https://doi.org/10.1109/tmm.2026.3668513,https://openalex.org/W7131898118,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
SynerDetect: Hierarchical Synergistic Learning for Generalizable AI-Generated Image Detection,2026,"['Shuaibo Li', 'Yijun Yang', 'Zhaohu Xing', 'Hongqiu Wang', 'Pengfei Hao', 'Xingyu Li', 'Zekai Liu', 'Qing Zhang', 'Lei Zhu']",Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i8.37568,https://openalex.org/W7137976262,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
"""That's another doom I haven't thought about"": A User Study on AI Labels as a Safeguard Against Image-Based Misinformation",2026,"['Sandra Höltervennhoff', 'Jonas Ricker', 'Maike M. Raphael', 'Charlotte Schwedes', 'Rebecca Weil', 'Asja Fischer', 'Thorsten Holz', 'Lea Schönherr', 'Sascha Fahl']",,https://doi.org/10.1145/3772318.3791006,https://openalex.org/W4416604008,2505.22845,https://arxiv.org/abs/2505.22845,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Toward Generalizable Forgery Detection and Reasoning,2026,"['Yueying Gao', 'Dongliang Chang', 'Bingyao Yu', 'Haotian Qin', 'Muxi Diao', 'Lei Chen', 'Kongming Liang', 'Zhanyu Ma']",IEEE Transactions on Image Processing,https://doi.org/10.1109/tip.2026.3673967,https://openalex.org/W7140634248,2503.21210,https://arxiv.org/abs/2503.21210,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Zooming In on Fakes: A Novel Dataset for Localized AI-Generated Image Detection with Forgery Amplification Approach,2026,"['Lvpan Cai', 'Haowei Wang', 'Jiayi Ji', 'Yanshu Zhoumen', 'Shen Chen', 'Taiping Yao', 'Xiaoshuai Sun']",Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i4.37240,https://openalex.org/W7138473655,2504.11922v4,https://arxiv.org/abs/2504.11922v4,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
A Novel Framework for Deepfake Image Detection Using Deep Learning Approach,2025,"['Ambika Jaiswal', 'Aruna J. Chamatkar', 'Akash Prakash Kharat', 'Bhisham Sharma', 'Imed Ben Dhaou', 'Suhashini Awadhesh Chaurasia']",2025 22nd International Learning and Technology Conference (L&amp;amp;T),10.1109/lt64002.2025.10940759,https://openalex.org/W4409047068,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
"A Review on Deepfake Image Detection Approaches, Techniques and Methods",2025,"['Jefferson Ng', 'Muhammed Basheer Jasser', 'Bayan Issa', 'Samuel-Soma M. Ajibade', 'Hui Na Chua']",2025 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),10.1109/i2cacis65476.2025.11100461,https://openalex.org/W4413255768,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
A robust ensemble model for Deepfake detection of GAN-generated images on social media,2025,"['Preeti Sharma', 'Manoj Kumar', 'Hitesh Kumar Sharma']",Discover Computing,10.1007/s10791-025-09538-w,https://openalex.org/W4409526923,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,"['Lorenzo Pellegrini', 'Davide Cozzolino', 'Serafino Pandolfini', 'Davide Maltoni', 'Matteo Ferrara', 'Luisa Verdoliva', 'Marco Prati', 'Marco Ramilli']",arXiv (Cornell University),10.48550/arxiv.2504.20865,https://openalex.org/W4417172205,2504.20865,https://arxiv.org/abs/2504.20865,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,"['Chuangchuang Tan', 'Renshuai Tao', 'Liu Huan', 'Guanghua Gu', 'Baoyuan Wu', 'Yao Zhao', 'Yunchao Wei']",Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i7.32772,https://openalex.org/W4409367167,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,"['Siyuan Cheng', 'Lingjuan Lyu', 'Zhenting Wang', 'Xiangyu Zhang', 'Vikash Sehwag']",,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Comparative Analysis of Custom CNN Architecture and MobileNet for Deepfake Image Detection,2025,"['Omar Khasro Akram', 'Abdelrahman Mohamed', 'Hager Magdy', 'Mariam M. Abdellatif', 'Sara Abdelghafar']",Lecture notes on data engineering and communications technologies,10.1007/978-3-031-81308-5_6,https://openalex.org/W4407768917,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Deepfake DEEPFAKE AND AI-GENERATED IMAGE DETECTION SYSTEM,2025,"['Iskand Wadhwa', 'Yash Choudhary', 'Prerna Chauhan', 'Anjali Singh', 'Sambit Sathua', 'Shaffy Bains']",International Journal For Multidisciplinary Research,10.36948/ijfmr.2025.v07i02.42245,https://openalex.org/W4409646637,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
"Deepfake Detection Using Deep Learning: A Unified Forensic Approach to Detect AI-Generated Images and Videos with Fusion of Eye, Nose, and Mouth Landmarks",2025,"['Saud Sohail', 'Syed Muhammad Sajjad', 'Adeel Zafar', 'Zafar Iqbal', 'Zia Muhammad', 'Muhammad Zafarullah Kazim']",Preprints.org,10.20944/preprints202502.0552.v1,https://openalex.org/W4407285822,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Deepfake Image Detection Using Convolutional Neural Network,2025,"['Gouri Morankar', 'Rahul Tripathi', 'Shaili Dhanore', 'Yash Tiwari']",Lecture notes in networks and systems,10.1007/978-981-96-1981-8_5,https://openalex.org/W4410026772,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Deepfake Image Detection Using Light-Weight Attention Integrated MobileNetV3 Model,2025,"['Talluri Harshitha', 'Tanya Simhadri', 'Thadakuluru Jaswanthi', 'N. Rayvanth', 'Rimjhim Padam Singh']",Lecture notes in computer science,10.1007/978-3-031-84543-7_11,https://openalex.org/W4409586875,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Deepfake Image Detection with Transfer Learning Models,2025,"['Lutfi Emre Demir', 'Yavuz Canbay']",Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,10.17798/bitlisfen.1610300,https://openalex.org/W4408853348,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,"['Arvanitis Theodoros N.', 'Philomina Simon']",Procedia Computer Science,10.1016/j.procs.2025.04.313,https://openalex.org/W4410253117,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Detecting AI-Generated Images Using a Hybrid ResNet-SE Attention Model,2025,"['Abhilash Reddy Gunukula', 'Himel Das Gupta', 'Victor S. Sheng']",Applied Sciences,10.3390/app15137421,https://openalex.org/W4411926716,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Detecting AI-Generated Images Using Facial Similarity and Feature Extraction for Digital Security,2025,"['Man-Ling Liao', 'Jiann-Liang Chen', 'Candra Ahmadi']",IT Professional,10.1109/mitp.2025.3561143,https://openalex.org/W4411172248,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Detecting AI-Generated Images Using Vision Transformers: A Robust Approach for Safeguarding Visual Media Integrity,2025,"['Nouar AlDahoul', 'Yasir Zaki']",SSRN Electronic Journal,10.2139/ssrn.5029893,https://openalex.org/W4406443479,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,"['Jian Zou', 'Jun Wang', 'Kezhong Lu', 'Yingxin Lai', 'Kaiwen Luo', 'Zitong Yu']",Pattern Recognition Letters,https://doi.org/10.1016/j.patrec.2025.12.001,https://openalex.org/W4417166521,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,"['Liang, Shuqiao', 'Jian Liu', 'Renzhang Chen', 'Quanlong Guan']",ArXiv.org,https://doi.org/10.48550/arxiv.2509.20890,https://openalex.org/W4414789480,2509.20890,https://arxiv.org/abs/2509.20890,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,"['Hanbyul Lee', 'Juneho Yi']",ArXiv.org,https://doi.org/10.48550/arxiv.2503.08148,https://openalex.org/W4414577086,2503.08148,https://arxiv.org/abs/2503.08148,True,False,True,missing_affiliation,source_attribution,source_attribution,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,"['Beilin Chu', 'Xuan Xu', 'Xin Wang', 'Yufei Zhang', 'Weike You', 'Linna Zhou']",,https://doi.org/10.1109/cvpr52734.2025.01197,https://openalex.org/W4413145084,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,"['Jin Wang', 'Chenghui Lv', 'Xian Li', 'Shichao Dong', 'H. Li', 'Kelu Yao', 'Chao Li', 'Wenqi Shao', 'Ping Luo']",,https://doi.org/10.1109/cvpr52734.2025.00400,https://openalex.org/W4413156425,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2025,"['Jiaqi Xu', 'Yanhui Du', 'Lei Lyu', 'Chenrui Yang']",Neurocomputing,https://doi.org/10.1016/j.neucom.2025.132482,https://openalex.org/W4417526972,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Harnessing The Power Of AI To Detect AI Generated Images,2025,"['Abhishek Pratap Singh', 'Ritesh Rastogi', 'M R Naveen Kumar']",SSRN Electronic Journal,10.2139/ssrn.5238890,https://openalex.org/W4410120556,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,"['Weinan Zhang', 'Sanshuai Cui', 'Qi Zhang', 'Biwei Chen', 'Hui Zeng', 'Qi Zhong']",Mathematics,10.3390/math13091372,https://openalex.org/W4409705469,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
InvisMark: Invisible and Robust Watermarking for AI-generated Image Provenance,2025,"['Rui Xu', 'Mengya Hu', 'Deren Lei', 'Yaxi Li', 'David Lowe', 'Alex Gorevski', 'Mingyu Wang', 'Emily S. C. Ching', 'Alex Deng']",2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/wacv61041.2025.00098,https://openalex.org/W4409262147,2411.07795v2,https://arxiv.org/abs/2411.07795v2,False,True,True,missing_coordinates,source_attribution,generated_image_source_attribution,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,"['Danielle Sullivan-Pao', 'Tian, Nicole', 'Pooya Khorrami']",ArXiv.org,https://doi.org/10.48550/arxiv.2504.08149,https://openalex.org/W4414827699,2504.08149,https://arxiv.org/abs/2504.08149,True,False,True,missing_affiliation,source_attribution,source_attribution,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
MSAFNet: multi-scale self-adaptive feature fusion network for AI-generated image detection,2025,"['Liwei Yao', 'Sen Niu', 'Kaili Liao', 'Guobing Zou', 'Kefeng Li', 'Tengbo Zhao']",Measurement Science and Technology,10.1088/1361-6501/ae005c,https://openalex.org/W4413783451,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Multi-modal texture fusion network for detecting AI-generated images,2025,"['Haozheng Yu', 'Bing Xu']",Frontiers in Artificial Intelligence,10.3389/frai.2025.1663292,https://openalex.org/W4415418960,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Multimodal Conditional Information Bottleneck for Generalizable AI-Generated Image Detection,2025,"['Haotian Qin', 'Dongliang Chang', 'Gao, Yueying', 'Bofu Yu', 'Lei Chen', 'Zhanyu Ma']",ArXiv.org,10.48550/arxiv.2505.15217,https://openalex.org/W4415025023,2505.15217,https://arxiv.org/abs/2505.15217,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Noise-Informed Diffusion-Generated Image Detection With Anomaly Attention,2025,"['Weinan Guan', 'Wei Wang', 'Bo Peng', 'Ziwen He', 'Jing Dong', 'Haonan Cheng']",IEEE Transactions on Information Forensics and Security,10.1109/tifs.2025.3573161,https://openalex.org/W4410853187,2506.16743v1,https://arxiv.org/abs/2506.16743v1,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,"['Yabin Wang', 'Zhiwu Huang', 'Xiaopeng Hong']",,https://doi.org/10.1109/cvpr52734.2025.00405,https://openalex.org/W4413145584,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
ReTD: Reconstruction-Based Traceability Detection for Generated Images,2025,"['Weizhuo Chen', 'Fangfang Yuan', 'Cong Cao', 'Kun Peng', 'Dakui Wang', 'Yanbing Liu']",,https://doi.org/10.1109/icassp49660.2025.10890492,https://openalex.org/W4408356108,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,"['Zexi Jia', 'Chuanwei Huang', 'Yeshuang Zhu', 'Hongyan Fei', 'Xiaoyue Duan', 'Zhiqiang Yuan', 'Ying Deng', 'Jiapei Zhang', 'Jinchao Zhang', 'Jie Zhou']",,https://doi.org/10.1109/cvpr52734.2025.01255,https://openalex.org/W4413146372,,,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Imported from key_papers missing-from-candidate-pool top50 strong OpenAlex match; broad paper-level preview eligible; affiliation/location repair can happen later.
Semantic-Aware Lightweight AI Model for Deepfake Image Detection in Online Retail Platforms,2025,"['Shin‐Hung Pan', 'Akshat Gaurav', 'Saoucène Mahfoudh', 'Turki Althaqafi', 'Wadee Alhalabi', 'Ramakrishnan Raman', 'Ching‐Hsien Hsu']",International Journal on Semantic Web and Information Systems,10.4018/ijswis.384517,https://openalex.org/W4412112598,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
SMNDNet for Multiple Types of Deepfake Image Detection,2025,"['Qin Wang', 'Xiaofeng Wang', 'Jianghua Li', 'Ruidong Han', 'Zinian Liu', 'Mingtao Guo']","Computers, materials & continua/Computers, materials & continua (Print)",10.32604/cmc.2025.063141,https://openalex.org/W4408874542,,,True,False,True,missing_affiliation,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
A Bias-Free Training Paradigm for More General AI-generated Image Detection,2024,"['Fabrizio Guillaro', 'Giada Zingarini', 'Ben Usman', 'Avneesh Sud', 'Davide Cozzolino', 'Luisa Verdoliva']",arXiv (Cornell University),10.48550/arxiv.2412.17671,https://openalex.org/W4405768297,2412.17671,https://arxiv.org/abs/2412.17671,True,False,True,missing_affiliation,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
A Hybrid CNN-LSTM Approach for Precision Deepfake Image Detection Based on Transfer Learning,2024,"['Omar Alfarouk Hadi Hasan Al-Dulaimi', 'Sefer Kurnaz']",Electronics,10.3390/electronics13091662,https://openalex.org/W4395673009,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,2024,"['Vinay Gautam', 'Mukesh Joshi', 'Raj Gaurang Tiwari', 'Ambuj Kumar Agarwal', 'Naresh Kumar Trivedi']",Lecture notes in networks and systems,10.1007/978-981-97-3594-5_3,https://openalex.org/W4400793389,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
Advanced Detection of AI-Generated Images Through Vision Transformers,2024,['Darshan Lamichhane'],IEEE Access,10.1109/access.2024.3522759,https://openalex.org/W4405778887,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,2024,"['Sifat Muhammad Abdullah', 'Aravind Cheruvu', 'Shravya Kanchi', 'Taejoong Chung', 'Peng Gao', 'Murtuza Jadliwala', 'Bimal Viswanath']",2024 IEEE Symposium on Security and Privacy (SP),10.1109/sp54263.2024.00194,https://openalex.org/W4402264364,2404.16212v1,https://arxiv.org/abs/2404.16212v1,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,2024,"['Sifat Muhammad Abdullah', 'Aravind Cheruvu', 'Shravya Kanchi', 'Taejoong Chung', 'Peng Gao', 'Murtuza Jadliwala', 'Bimal Viswanath']",arXiv (Cornell University),10.48550/arxiv.2404.16212,https://openalex.org/W4395686688,2404.16212,https://arxiv.org/abs/2404.16212,True,False,True,missing_affiliation,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,2024,"['Jordan J. Bird', 'Ahmad Lotfi']",IEEE Access,10.1109/access.2024.3356122,https://openalex.org/W4391019749,2303.14126v1,https://arxiv.org/abs/2303.14126v1,False,True,True,missing_coordinates,uncertain,unknown,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
CNN-LSTM Model for Deepfake Image Detection,2024,"['Reena S. Satpute', 'Chidozie Peter Onwe']","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)",10.1109/idicaiei61867.2024.10842840,https://openalex.org/W4406611495,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
"Comparative Analysis of Deepfake Image Detection Method Using VGG16, VGG19 and ResNet50",2024,['Zahra Nazemi Ashani'],Journal of Advanced Research in Applied Sciences and Engineering Technology,10.37934/araset.47.1.1628,https://openalex.org/W4399978626,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.
