title,year,authors,venue,doi,openalex_url,arxiv_id,arxiv_url,missing_affiliation,missing_coordinates,needs_review,coverage_status,task,subtask,notes,coordinate_review_status,candidate_institution,candidate_city,candidate_country,candidate_latitude,candidate_longitude,coordinate_source,review_notes
Deepfake Image Detection Using Yolov8,2024,"['Pranav Sathe', 'Varad Sabane', 'Chaitanya Undale', 'Atharva Uttarkar', 'Vaibhav Chavhan', 'Nilesh P. Sable', 'Anuradha Yenkikar']",2024 IEEE Pune Section International Conference (PuneCon),10.1109/punecon63413.2024.10895706,https://openalex.org/W4408018363,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
DeepSight: Enhancing Deepfake Image Detection and Classification through Ensemble and Deep Learning Techniques,2024,"['T. Manju', 'S. Kalarani']",2024 5th International Conference on Image Processing and Capsule Networks (ICIPCN),10.1109/icipcn63822.2024.00014,https://openalex.org/W4402353496,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Detecting AI-generated images with CNN and Interpretation using Explainable AI,2024,"['Bharathi Mohan G', 'R Prasanna Kumar', 'Akilesh rao S', 'Mandava Sukesh', 'D M Abinandhini', 'Y Jaikanth']",2024 IEEE International Conference on Contemporary Computing and Communications (InC4),10.1109/inc460750.2024.10649158,https://openalex.org/W4402170813,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Detection of real-time deep fakes and face forgery in video conferencing employing generative adversarial networks,2024,"['Sunil Kumar Sharma', 'Abdullah M. Al‐Enizi', 'Manoj Kumar', 'Osama Alfarraj', 'Majed Alowaidi']",Heliyon,10.1016/j.heliyon.2024.e37163,https://openalex.org/W4402013517,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Diffusion Models as a Representation Learner for Deepfake Image Detection,2024,"['Rajjeshwar Ganguly', 'Mamadou Dian Bah', 'Mohamed Dahmane']",Lecture notes in computer science,10.1007/978-3-031-78305-0_15,https://openalex.org/W4404943058,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Enhancing Deepfake Detection With Diversified Self-Blending Images and Residuals,2024,"['Qingtong Liu', 'Ziyu Xue', 'Haitao Liu', 'Jing Liu']",IEEE Access,10.1109/access.2024.3382196,https://openalex.org/W4393217303,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Enhancing Sensing and Imaging Capabilities Through Surface Plasmon Resonance for Deepfake Image Detection,2024,"['R Maheshwari', 'B. Paulchamy', 'Binay Kumar Pandey', 'Digvijay Pandey']",Plasmonics,10.1007/s11468-024-02492-1,https://openalex.org/W4402322120,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Evasion on general GAN-generated image detection by disentangled representation,2024,"['Patrick P. K. Chan', 'Chuanxin Zhang', 'Haitao Chen', 'Jingwen Deng', 'Xiao Meng', 'Daniel Yeung']",Information Sciences,10.1016/j.ins.2024.121267,https://openalex.org/W4401325047,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
From Provenance to Aberrations: Image Creator and Screen Reader User Perspectives on Alt Text for AI-Generated Images,2024,"['Maitraye Das', 'Alexander J. Fiannaca', 'Meredith Ringel Morris', 'Shaun K. Kane', 'Cynthia L. Bennett']",Proceedings of the CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642325,https://openalex.org/W4396832416,,,False,True,True,missing_coordinates,source_attribution,generated_image_source_attribution,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
GAN Generated Fake Human Face Image Detection,2024,"['Swati Shilaskar', 'Mayur Talewar', 'Soham Tak', 'Sidhesh Goud']","2024 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)",10.1109/iitcee59897.2024.10467257,https://openalex.org/W4392981221,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,"['T.J. Thomson', 'Ryan J. Thomas', 'Phoebe Matich']",Digital Journalism,10.1080/21670811.2024.2331769,https://openalex.org/W4394571198,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
How spammers and scammers leverage AI-generated images on Facebook for audience growth,2024,"['Renée DiResta', 'Josh A. Goldstein']",Harvard Kennedy School Misinformation Review,10.37016/mr-2020-151,https://openalex.org/W4401607051,2403.12838v1,https://arxiv.org/abs/2403.12838v1,False,True,True,missing_coordinates,source_attribution,generated_image_source_attribution,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
LaRE$^2$: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection,2024,"['Yunpeng Luo', 'Junlong Du', 'Ke Yan', 'Shouhong Ding']",arXiv (Cornell University),10.48550/arxiv.2403.17465,https://openalex.org/W4393284560,2403.17465,https://arxiv.org/abs/2403.17465,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Level Up the Deepfake Detection: A Method to Effectively Discriminate Images Generated by GAN Architectures and Diffusion Models,2024,"['Luca Guarnera', 'Oliver Giudice', 'Sebastiano Battiato']",Lecture notes in networks and systems,10.1007/978-3-031-66431-1_43,https://openalex.org/W4401108337,2303.00608v1,https://arxiv.org/abs/2303.00608v1,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Local frequency analysis for diffusion-generated image detection,2024,['Weng Jing'],International Conference on Image Processing and Artificial Intelligence (ICIPAl 2024),10.1117/12.3035198,https://openalex.org/W4400828592,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Multiclass AI-Generated Deepfake Face Detection Using Patch-Wise Deep Learning Model,2024,"['Muhammad Asad Arshed', 'Shahzad Mumtaz', 'Muhammad Ibrahim', 'Christine Dewi', 'Muhammad Tanveer', 'Saeed Ahmad']",Computers,10.3390/computers13010031,https://openalex.org/W4391110866,,,False,True,True,missing_coordinates,detection,deepfake_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Source Attribution for Images Generated by Diffusion-Based Text-to-Image Models: Exploring the Forensics Approach,2024,"['Xinqi Jiang', 'Jinyu Tian']",2024 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),10.1109/apsipaasc63619.2025.10849098,https://openalex.org/W4406858668,,,False,True,True,missing_coordinates,source_attribution,source_identification,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
Towards Generated Image Provenance Analysis via Conceptual-Similar-Guided-SLIP Retrieval,2024,"['Xiaojie Xia', 'Liuan Wang', 'Jun Sun', 'Akira Nakagawa']",IEEE Signal Processing Letters,10.1109/lsp.2024.3388958,https://openalex.org/W4394862914,,,False,True,True,missing_coordinates,source_attribution,generated_image_source_attribution,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A GAN-based Approach to Detect AI-Generated Images,2023,"['Galamo Monkam', 'Weifeng Xu', 'Jie Yan']","2023 26th ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",10.1109/snpd-winter57765.2023.10223798,https://openalex.org/W4386214843,,,False,True,True,missing_coordinates,detection,ai_generated_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
A Survey of Detection and Mitigation for Fake Images on Social Media Platforms,2023,"['Dilip Kumar Sharma', 'Bhuvanesh Singh', 'Saurabh Agarwal', 'Lalit Garg', 'Cheonshik Kim', 'Ki‐Hyun Jung']",Applied Sciences,10.3390/app131910980,https://openalex.org/W4387377174,,,False,True,True,missing_coordinates,detection,synthetic_image_detection,Automatically extracted OpenAlex candidate; all metadata and preliminary labels require manual review.,todo,,,,,,,
