title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
Unsupervised Generative Fake Image Detector,2024,yes,Unsupervised Generative Fake Image Detector,2024,1.030,https://openalex.org/W4393379633,https://doi.org/10.1109/tcsvt.2024.3383833,IEEE Transactions on Circuits and Systems for Video Technology,article,https://doi.org/10.1109/tcsvt.2024.3383833,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2024,yes,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2023,1.010,https://openalex.org/W4376461282,https://doi.org/10.1109/tcds.2023.3274450,IEEE Transactions on Cognitive and Developmental Systems,article,https://doi.org/10.1109/tcds.2023.3274450,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,yes,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,1.030,https://openalex.org/W4395447483,https://doi.org/10.1109/access.2024.3393842,IEEE Access,article,https://doi.org/10.1109/access.2024.3393842,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,yes,MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,1.030,https://openalex.org/W4391433395,https://doi.org/10.1016/j.eswa.2024.123368,Expert Systems with Applications,article,https://doi.org/10.1016/j.eswa.2024.123368,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,query_failed,,,,,,,,,,OpenAlex queries failed: 'Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics': Could not fetch https://api.openalex.org/works?search=Did+You+Note+My+Palette%3F+Unveiling+Synthetic+Images+Through+Color+Statistics&sort=relevance_score%3Adesc&per-page=10: HTTP 400
Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,yes,Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,1.030,https://openalex.org/W4394624427,https://doi.org/10.1109/mvip62238.2024.10491148,,article,https://doi.org/10.1109/mvip62238.2024.10491148,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,weak_match,VidGuard-R1: AI-Generated Video Detection and Explanation via Reasoning MLLMs and RL,2025,0.391,https://openalex.org/W4414928227,https://doi.org/10.48550/arxiv.2510.02282,ArXiv.org,preprint,http://arxiv.org/abs/2510.02282,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,yes,A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,1.030,https://openalex.org/W4393375171,https://doi.org/10.1016/j.patrec.2024.03.025,Pattern Recognition Letters,article,https://doi.org/10.1016/j.patrec.2024.03.025,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,yes,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,1.030,https://openalex.org/W4405945632,https://doi.org/10.1145/3702250.3702296,,article,https://doi.org/10.1145/3702250.3702296,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion Image Fusion, 2024",2024,yes,Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion,2024,0.956,https://openalex.org/W4400616829,https://doi.org/10.1016/j.inffus.2024.102578,Information Fusion,article,https://doi.org/10.1016/j.inffus.2024.102578,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,yes,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,1.030,https://openalex.org/W4392737360,https://doi.org/10.48550/arxiv.2403.06803,arXiv (Cornell University),preprint,http://arxiv.org/abs/2403.06803,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,yes,Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,1.030,https://openalex.org/W4393063559,https://doi.org/10.48550/arxiv.2403.13479,arXiv (Cornell University),preprint,http://arxiv.org/abs/2403.13479,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,yes,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,1.030,https://openalex.org/W4399911107,https://doi.org/10.48550/arxiv.2406.13688,arXiv (Cornell University),preprint,http://arxiv.org/abs/2406.13688,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,weak_match,A Comprehensive Survey of AI-Generated Content (AIGC): A History of Generative AI from GAN to ChatGPT,2023,0.373,https://openalex.org/W4323706279,https://doi.org/10.48550/arxiv.2303.04226,arXiv (Cornell University),preprint,http://arxiv.org/abs/2303.04226,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,yes,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,1.030,https://openalex.org/W4399151866,https://doi.org/10.48550/arxiv.2405.18071,arXiv (Cornell University),preprint,http://arxiv.org/abs/2405.18071,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Real-Time Deepfake Detection in the Real-World,2024,yes,Real-Time Deepfake Detection in the Real-World,2024,1.030,https://openalex.org/W4399695946,https://doi.org/10.48550/arxiv.2406.09398,arXiv (Cornell University),preprint,http://arxiv.org/abs/2406.09398,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,weak_match,Testing of detection tools for AI-generated text,2023,0.533,https://openalex.org/W4390175962,https://doi.org/10.1007/s40979-023-00146-z,International Journal for Educational Integrity,article,https://doi.org/10.1007/s40979-023-00146-z,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,yes,Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,1.030,https://openalex.org/W4402594796,https://doi.org/10.1109/avss61716.2024.10672612,,article,https://doi.org/10.1109/avss61716.2024.10672612,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,weak_match,Face Alignment in Full Pose Range: A 3D Total Solution,2017,0.437,https://openalex.org/W2265959009,https://doi.org/10.1109/tpami.2017.2778152,IEEE Transactions on Pattern Analysis and Machine Intelligence,article,https://doi.org/10.1109/tpami.2017.2778152,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,weak_match,DeepFake Detection for Human Face Images and Videos: A Survey,2022,0.426,https://openalex.org/W4211008685,https://doi.org/10.1109/access.2022.3151186,IEEE Access,article,https://doi.org/10.1109/access.2022.3151186,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,weak_match,Deep learning-enabled medical computer vision,2021,0.342,https://openalex.org/W3120894151,https://doi.org/10.1038/s41746-020-00376-2,npj Digital Medicine,review,https://doi.org/10.1038/s41746-020-00376-2,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,yes,HFI: A unified framework for training-free detection and implicit watermarking of latent diffusion model generated images,2024,1.030,https://openalex.org/W4405956571,https://doi.org/10.48550/arxiv.2412.20704,arXiv (Cornell University),preprint,http://arxiv.org/abs/2412.20704,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
A closer look at fourier spectrum discrepancies for cnn-generated images detection,2021,yes,A Closer Look at Fourier Spectrum Discrepancies for CNN-generated Images Detection,2021,1.030,https://openalex.org/W3147384726,https://doi.org/10.1109/cvpr46437.2021.00712,,preprint,https://doi.org/10.1109/cvpr46437.2021.00712,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,2024,yes,Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,2024,1.030,https://openalex.org/W4405254427,https://doi.org/10.48550/arxiv.2412.06727,arXiv (Cornell University),preprint,http://arxiv.org/abs/2412.06727,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Benchmarking Deepart Detection,2023,yes,Benchmarking Deepart Detection,2023,1.030,https://openalex.org/W4322760013,https://doi.org/10.48550/arxiv.2302.14475,arXiv (Cornell University),preprint,http://arxiv.org/abs/2302.14475,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,yes,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,1.030,https://openalex.org/W4389983109,https://doi.org/10.48550/arxiv.2312.10407,arXiv (Cornell University),preprint,http://arxiv.org/abs/2312.10407,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Seeing is not always believing: benchmarking human and model perception of AI-generated images,2024,yes,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,2023,1.010,https://openalex.org/W4367061162,https://doi.org/10.48550/arxiv.2304.13023,arXiv (Cornell University),preprint,http://arxiv.org/abs/2304.13023,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
