public_paper_id,title,doi,arxiv_id,publication_type,venue,current_public_source,candidate_match,curated_match,override_match,alternate_identity_match,status,root_cause,proposed_action,durable_evidence_path
,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,,2512.17730,preprint,arXiv,,,,data/manual/paper_arxiv_links.csv,data/manual/key_papers_enriched.csv,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_openalex_ready_all_batches.csv
,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,10.1145/3709022.3736544,,conference,Workshop on Security Implications of Deepfakes and Cheapfakes,,data/manual/key_papers.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,https://doi.org/10.1609/aaai.v39i7.32772,,conference,AAAI Conference on Artificial Intelligence,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Can GPT Tell Us Why These Images Are Synthesized? Empowering Multimodal Large Language Models for Forensics,10.1145/3733102.3733138,,conference,ACM Workshop on Information Hiding and Multimedia Security,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,https://doi.org/10.48550/arxiv.2512.16300,2512.16300,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,E2GenF: Universal AIGC Image Detection Based on Edge Enhanced Generalizable Features,https://doi.org/10.1016/j.patrec.2025.12.001,,journal,Pattern Recognition Letters,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Enhancing Synthetic Generated-Images Detection Through Post-Hoc Calibration,10.1109/wacvw65960.2025.00087,,conference,IEEE/CVF Winter Conference on Applications of Computer Vision,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,https://doi.org/10.48550/arxiv.2503.24267,2503.24267,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Few-Shot Class-Incremental Model Attribution Using Learnable Representation from CLIP-ViT Features,https://doi.org/10.48550/arxiv.2503.08148,2503.08148,preprint,arXiv,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,10.48550/arxiv.2512.21512,2512.21512,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,10.48550/arxiv.2505.23192,2505.23192,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,https://doi.org/10.48550/arxiv.2511.00181,2511.00181,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,GCS-Net: A Universal AI-Generated Visual Content Detection Method Based on CLIP,https://doi.org/10.1016/j.knosys.2025.113806,,journal,Knowledge-Based Systems,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,https://doi.org/10.48550/arxiv.2503.08484,2503.08484,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Harnessing Attention for Cropping and Fusion in CLIP-Based AIGC Detection,https://doi.org/10.1016/j.neucom.2025.132482,,journal,Neurocomputing,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,https://doi.org/10.48550/arxiv.2507.03054,2507.03054,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,https://doi.org/10.48550/arxiv.2504.08149,2504.08149,preprint,arXiv,,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_paper_openalex_manual_imports.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,10.48550/arxiv.2510.03840,2510.03840,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Optimized Frequency Collaborative Strategy Drives AI Image Detection,https://doi.org/10.1109/jiot.2025.3531053,,journal,IEEE Internet of Things Journal,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,SMNDNet for Multiple Types of Deepfake Image Detection,10.32604/cmc.2025.063141,,journal,"Computers, materials & continua/Computers, materials & continua (Print)",,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,A Guided-Based Approach for Deepfake Detection: RGB-Depth Integration via Features Fusion,10.1016/j.patrec.2024.03.025,,journal,Pattern Recognition Letters,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",10.48550/arxiv.2407.10575,2407.10575,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Advanced Detection of AI-Generated Images Through Vision Transformers,10.1109/access.2024.3522759,,journal,IEEE Access,,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv
,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,10.48550/arxiv.2403.06803,2403.06803,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Deepfake Detection Without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,10.48550/arxiv.2403.13479,2403.13479,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Detecting Artificial Intelligence-Generated Images via Deep Trace Representations and Interactive Feature Fusion,10.1016/j.inffus.2024.102578,,journal,Information Fusion,,,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_openalex_ready_all_batches.csv
,Detecting Multimedia Generated by Large AI Models: A Survey,10.36227/techrxiv.170723324.44685515/v1,2402.00045,preprint,"Authorea, Inc.",,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv
,Detecting the Undetectable: Combining Kolmogorov-Arnold Networks and MLP for AI-Generated Image Detection,10.48550/arxiv.2408.09371,2408.09371,preprint,arXiv,,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,10.48550/arxiv.2406.13688,2406.13688,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Enhancing the Generalization of Synthetic Image Detection Models Through the Exploration of Features in Deep Detection Models,10.1109/mvip62238.2024.10491148,,conference,2024 13th Iranian/3rd International Machine Vision and Image Processing Conference (MVIP),,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,GAN Generated Fake Human Face Image Detection,10.1109/iitcee59897.2024.10467257,,conference,"2024 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)",,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,10.48550/arxiv.2404.02726,2404.02726,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,High-Resolution Network-Based Multi-Feature Fusion for Generalized Forgery Detection,https://doi.org/10.1007/s00530-024-01626-z,,journal,Multimedia Systems,,data/manual/key_papers.csv | data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers.csv | data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,MDTL-NET: Computer-Generated Image Detection Based on Multi-Scale Deep Texture Learning,10.1016/j.eswa.2024.123368,,journal,Expert Systems with Applications,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,10.1109/access.2024.3393842,,journal,IEEE Access,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,10.1109/avss61716.2024.10672612,,conference,2024 IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,data/manual/key_papers.csv,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Take Fake as Real: Realistic-Like Robust Black-Box Adversarial Attack to Evade AIGC Detection,10.48550/arxiv.2412.06727,2412.06727,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-Based DeepFake,10.48550/arxiv.2405.18071,2405.18071,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Unsupervised Generative Fake Image Detector,10.1109/tcsvt.2024.3383833,,journal,IEEE Transactions on Circuits and Systems for Video Technology,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Benchmarking Deepart Detection,10.48550/arxiv.2302.14475,2302.14475,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,10.1109/tcds.2023.3274450,,journal,IEEE Transactions on Cognitive and Developmental Systems,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,DeepFake Detection Improvement for Images Based on a Proposed Method for Local Binary Pattern of the Multiple-Channel Color Space,10.22266/ijies2023.0630.07,,journal,International journal of intelligent engineering and systems,,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,Detecting GAN-generated synthetic images using semantic inconsistencies,10.2352/ei.2023.35.4.mwsf-380,,journal,Electronic Imaging,,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,10.1109/iccvw60793.2023.00051,,conference,IEEE/CVF International Conference on Computer Vision,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,10.48550/arxiv.2312.02625,2312.02625,preprint,arXiv,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Exposing Fake Images Generated by Text-to-Image Diffusion Models,10.1016/j.patrec.2023.10.021,,journal,Pattern Recognition Letters,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,GenDet: Towards Good Generalizations for AI-Generated Image Detection,10.48550/arxiv.2312.08880,2312.08880,preprint,arXiv,,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv
,Open Set Classification of GAN-Based Image Manipulations via a ViT-Based Hybrid Architecture,10.1109/cvprw59228.2023.00102,,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,10.1109/wacv51458.2022.00293,,conference,IEEE/CVF Winter Conference on Applications of Computer Vision,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Transferable Class-Modelling for Decentralized Source Attribution of GAN-Generated Images,10.48550/arxiv.2203.09777,2203.09777,preprint,arXiv,,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/processed/openalex_candidate_papers.csv | data/processed/openalex_candidate_papers_in_scope.csv
,A Closer Look at Fourier Spectrum Discrepancies for CNN-Generated Images Detection,10.1109/cvpr46437.2021.00712,2103.17195,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-of-the-Art,10.1109/icme51207.2021.9428429,2104.02617,conference,IEEE International Conference on Multimedia and Expo,,data/manual/key_papers_enriched.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Detection of GAN-Generated Images by Estimating Artifact Similarity,10.1109/lsp.2021.3130525,,journal,IEEE Signal Processing Letters,,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv,,data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/processed/openalex_candidate_papers.csv
,Watch Your Up-Convolution: CNN Based Generative Deep Neural Networks Are Failing to Reproduce Spectral Distributions,10.1109/cvpr42600.2020.00791,,journal,Opus-HSO (Offenburg University of Applied Sciences),,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
,Detecting and Simulating Artifacts in GAN Fake Images,10.1109/wifs47025.2019.9035107,,conference,IEEE International Workshop on Information Forensics and Security,,data/manual/key_papers_enriched.csv,,data/curated/paper_arxiv_links.csv | data/manual/paper_arxiv_links.csv,,restored_missing_source,completeness union previously omitted an authoritative exporter input,include matched authoritative input in completeness proof,data/manual/key_papers_enriched.csv | data/manual/key_papers_openalex_ready_all_batches.csv
