paper_id,display_id,title,doi,arxiv_id,year,publication_type,venue,venue_id,venue_name,venue_acronym,venue_type,venue_track,raw_venue,venue_review_required,venue_review_reason,source_fingerprint
,openalex:W3139320333,A Novel Neural Model based Framework for Detection of GAN Generated Fake Images,10.1109/confluence51648.2021.9377150,,2021,conference,"International Conference on Cloud Computing, Data Science & Engineering",venue:international-conference-on-cloud-computing-data-science-engineering,"International Conference on Cloud Computing, Data Science & Engineering",Confluence,conference,Main,"2021 11th International Conference on Cloud Computing, Data Science & Engineering (Confluence)",False,,7d6677c46b2ccc213996207e3d7ff2b4d5cbde3d5b156a64e3c6ecc502fbbb08
curated:517a2cc4ca3690f3fc44,openalex:W4400793389,A Performance Analysis to Detect Synthetic Images with Deep Learning-Based Image Classification,10.1007/978-981-97-3594-5_3,,2024,conference,International Conference on Cyber Intelligence and Information Retrieval,venue:international-conference-on-cyber-intelligence-and-information-retrieval,International Conference on Cyber Intelligence and Information Retrieval,CIIR,conference,Main,International Conference on Cyber Intelligence and Information Retrieval (CIIR),False,,e4decc70e936e9da9eb544b9d1ec9c2eade212712ef69c5e4dd8817534053d85
,openalex:W4413255768,"A Review on Deepfake Image Detection Approaches, Techniques and Methods",10.1109/i2cacis65476.2025.11100461,,2025,conference,IEEE International Conference on Automatic Control and Intelligent Systems,venue:ieee-international-conference-on-automatic-control-and-intelligent-systems,IEEE International Conference on Automatic Control and Intelligent Systems,I2CACIS,conference,Main,2025 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),False,,d58ddd64caaf898f88420a6fd3c06969ac370785fb89f79cf5f31894371ebc9a
,openalex:W4409526923,A robust ensemble model for Deepfake detection of GAN-generated images on social media,10.1007/s10791-025-09538-w,,2025,journal,Discover Computing,venue:discover-computing,Discover Computing,Discov Computing,journal,,Discover Computing,False,,bebbcb668383ff44f43a62b1446adb7ff8c783a8fa616e7cafebf81e31a2e181
curated:f9eac1aa13a606c6ec88,openalex:W4400222289,A Sanity Check for AI-Generated Image Detection,10.48550/arxiv.2406.19435,2406.19435,2025,conference,International Conference on Learning Representations,venue:iclr,International Conference on Learning Representations,ICLR,conference,Main,arXiv (Cornell University),False,,efafacb8ebfacf97c5025579c1aee50abba83c47bea91400d043cac7eb54d912
curated:34d0af5286cad283526f,openalex:W4392453284,A Siamese-Based Verification System for Open-Set Architecture Attribution of Synthetic Images,10.1016/j.patrec.2024.03.002,2307.09822v2,2024,journal,Pattern Recognition Letters,venue:pattern-recognition-letters,Pattern Recognition Letters,PRL,journal,,Pattern Recognition Letters,False,,007b44802669b9b4d6eb7f0df6a64e1266e13243b3fb71d84d0d31702866d369
,openalex:W4391555851,A Single Simple Patch is All You Need for AI-generated Image Detection,10.48550/arxiv.2402.01123,2402.01123,2024,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,e9d5340ae60c5c7f02a054ca9e90606cd769fe4d63176368df1890555f6197c6
,openalex:W3010352349,A Survey of Deep Learning-Based Source Image Forensics,10.3390/jimaging6030009,,2020,journal,Journal of Imaging,venue:journal-of-imaging,Journal of Imaging,J. Imaging,journal,,Journal of Imaging,False,,6d37ce390e574ae7d8f1af9d44dfe191fec59ca686b6006005ba0b5b6c2a3f49
,openalex:W4400716502,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",10.48550/arxiv.2407.10575,2407.10575,2025,journal,ACM Computing Surveys,venue:acm-computing-surveys,ACM Computing Surveys,ACM Comput. Surv.,journal,,arXiv (Cornell University),False,,1d281c1b3a3f7734c994c3d4691efac0bf132717ec2288b3b47025dd1419d478
,openalex:W4387377174,A Survey of Detection and Mitigation for Fake Images on Social Media Platforms,10.3390/app131910980,,2023,journal,Applied Sciences,venue:applied-sciences,Applied Sciences,Appl. Sci.,journal,,Applied Sciences,False,,7786de23b6aa956beecb211670e33f25490e6a7228cda1e028c82a8fda6fb049
curated:f3e1319a5e27319578cd,openalex:W7128592463,A Survey on Deep-Learning-Based Techniques for Detecting AI-Generated Synthetic Images,10.3390/engproc2026123032,,2026,conference,Summer School on Artificial Intelligence in Cybersecurity,venue:first-summer-school-on-artificial-intelligence-in-cybersecurity,Summer School on Artificial Intelligence in Cybersecurity,CYBER-AI,conference,Main,First Summer School on Artificial Intelligence in Cybersecurity,False,,4dbc08e933fa9ef47b960141457c9f6dc125869ec2006a023e8df94d55de3004
,openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,,2604.16879,2026,preprint,arXiv,venue:arxiv,arXiv,,preprint,,ArXiv.org,False,,5d757e8c37d762f5185b0d729aab2f2e90c6cd577e5a9bd4277e24d2c8fe170c
curated:c6bfe8f5199d1d8beb29,openalex:W7131078162,Adaptive Test-Time Semantic Debiasing for AI-Generated Image Detection,10.1109/iccvw69036.2025.00165,,2025,conference,IEEE/CVF International Conference on Computer Vision,venue:iccv,IEEE/CVF International Conference on Computer Vision,ICCV,conference,Workshop,IEEE/CVF International Conference on Computer Vision,False,,ff1b3686f8c729a0cbbc49f81f120c45dba4e33239643c6a570433e779a89445
,openalex:W7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,,2512.17730,2025,preprint,arXiv,venue:arxiv,arXiv,,preprint,,ArXiv.org,True,arXiv reports a formal publication/acceptance or forthcoming book chapter: Accepted at DFF ACM Multimedia 2026. Verify the final publisher record and venue before reclassifying.,b95952f7158a7917d4e139e9494087360869630a27a48ab7d6c65adc716adba7
curated:4a837e09b6b57f6f6d47,openalex:W4405945632,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,10.1145/3702250.3702296,,2024,conference,Indian Conference on Computer Vision Graphics and Image Processing,venue:indian-conference-on-computer-vision-graphics-and-image-processing,Indian Conference on Computer Vision Graphics and Image Processing,ICVGIP,conference,Main,Indian Conference on Computer Vision Graphics and Image Processing,False,,e35c0013360613eedd06c15384120d1c62649ad1eca414845328bc48172cda6c
curated:d1195175f50833c90a64,openalex:W7168285345,ADRD: Detecting Diffusion-Generated Images via Adversarial Perturbation Induced Reconstruction Discrepancy,10.1371/journal.pone.0350655,,2026,journal,PLOS One,venue:plos-one,PLOS One,,journal,,PLoS ONE,False,,dd9ee915a543cdec68fc2034cedc5a9b259dfe1e52ba6c95065060c5ec99c2b9
,openalex:W4405778887,Advanced Detection of AI-Generated Images Through Vision Transformers,10.1109/access.2024.3522759,,2024,journal,IEEE Access,venue:ieee-access,IEEE Access,,journal,,IEEE Access,False,,3f012988a0a520e749e716f79c8d9d365c0ebe4c72e917be1e1f2cde168a7a6f
,openalex:W4392209962,Advancing AI-Generated Image Detection: Enhanced Accuracy through CNN and Vision Transformer Models with Explainable AI Insights,10.1109/iccit60459.2023.10440990,,2023,conference,International Conference on Computer and Information Technology,venue:international-conference-on-computer-and-information-technology,International Conference on Computer and Information Technology,ICCIT,conference,Main,2023 26th International Conference on Computer and Information Technology (ICCIT),False,,de841cc79c26bd0b73396e2b63872f5d0531e9d23aa507a948d3d767452af962
curated:17c17b87dfcd355ab1ba,openalex:W7125828141,Adversarial Diffusion Model: Generating High-Quality and Undetectable Images from Scratch,https://doi.org/10.1109/tifs.2026.3657841,,2026,journal,IEEE Transactions on Information Forensics and Security,venue:ieee-transactions-on-information-forensics-and-security,IEEE Transactions on Information Forensics and Security,TIFS,journal,,IEEE Transactions on Information Forensics and Security,False,,963787924bfc919209380e3d2295b8def6591a278f15d61b910bd9e8f640d70b
curated:27b6ffdee837c7f997f5,openalex:W7138264983,AEDR: Training-Free AI-Generated Image Attribution via Autoencoder Double-Reconstruction,10.1609/aaai.v40i12.37930,2507.18988,2026,conference,AAAI Conference on Artificial Intelligence,venue:aaai,AAAI Conference on Artificial Intelligence,AAAI,conference,Main,Proceedings of the AAAI Conference on Artificial Intelligence,False,,54a306ed682c982aed5d7b27247bb0ccfb48d220106faab97a6f6e1b63e63362
curated:a0abee05e50398d03f2f,openalex:W4402716434,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,10.1109/cvpr52733.2024.00872,,2024,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Main,IEEE/CVF Conference on Computer Vision and Pattern Recognition,False,,add1027608b11937da08eb3f353ddde25af010a70b3272dfc27a7c734648c6f0
curated:cdbafbabadfbb462102a,openalex:W7137954683,Aggregating Diverse Cue Experts for AI-Generated Image Detection,10.1609/aaai.v40i11.37890,2601.08790,2026,conference,AAAI Conference on Artificial Intelligence,venue:aaai,AAAI Conference on Artificial Intelligence,AAAI,conference,Main,Proceedings of the AAAI Conference on Artificial Intelligence,False,,ed2c44e5d7962c4e4cdfe9bea2d3ebdcb702b028fc1124c64f432905d21b5f3f
,openalex:W4392457694,AI Generated Image Detection Using Neural Networks,10.55041/ijsrem29037,,2024,journal,International Journal of Scientific Research in Engineering and Management,venue:international-journal-of-scientific-research-in-engineering-and-management,International Journal of Scientific Research in Engineering and Management,IJSREM,journal,,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,False,,7ee4714d031dd9c40a5424af60ffc3b5979ee0ba5b1d24ff706f2c42ad3fc5fd
,openalex:W4284974950,AI-enabled image fraud in scientific publications,10.1016/j.patter.2022.100511,,2022,journal,Patterns,venue:patterns,Patterns,,journal,,Patterns,False,,475e15c93d53b9bf81f3100711416ca336b64de7c0836800fc529c43a52f2a59
curated:c9c2682178c0f22b648f,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,10.1109/ijcnn64981.2025.11228377,2504.20865,2025,conference,International Joint Conference on Neural Networks,venue:ijcnn,International Joint Conference on Neural Networks,IJCNN,conference,Workshop,2025 International Joint Conference on Neural Networks (IJCNN),False,,287ce0633ab13d7fd66dc8375d79e2c94d46a54336e9ea8239a459c45026d815
curated:211ea83fa8d41c8ec810,openalex:W7123358516,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,10.1007/s11432-024-4475-4,,2026,journal,Science China Information Sciences,venue:science-china-information-sciences,Science China Information Sciences,Sci China Inf Sci,journal,,Science China Information Sciences,False,,2eda6eb92209857acfabc0b54134e6ea9ca59a62a1f688198e12ada331aa5bcf
curated:b08c8cdd637cf7f65d18,openalex:W7165747150,AI-Generated Image Detection Based on the Most Suspicious Patch,10.1007/978-981-92-1947-6_34,,2026,conference,Pacific-Asia Conference on Knowledge Discovery and Data Mining,venue:pacific-asia-conference-on-knowledge-discovery-and-data-mining,Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,conference,Other,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),False,,bf63c683145c009ab9461f329d1f9a71ef47e692c196a155266302c869efc55a
,openalex:W4388820663,AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,10.1109/apsipaasc58517.2023.10317126,2306.07005,2023,conference,Asia Pacific Signal and Information Processing Association Annual Summit and Conference,venue:apsipa-asc,Asia Pacific Signal and Information Processing Association Annual Summit and Conference,APSIPA ASC,conference,Main,2023 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),False,,b449dc3053b0599184026949d6d852cf16dc456be950c3ee835a4e8d3f8a2b0c
,openalex:W4408954780,AI-Generated Image Detection Using Semantic Feature,10.23919/icact63878.2025.10936792,,2025,conference,International Conference on Advanced Communications Technology,venue:international-conference-on-advanced-communications-technology,International Conference on Advanced Communications Technology,ICACT,conference,Main,2025 27th International Conference on Advanced Communications Technology (ICACT),False,,5b03a84a3de152c461206e83d969887e89ec6e2cabfaf685e3b5c8037a817bf8
,openalex:W4402917177,AI-Generated Image Detection With Wasserstein Distance Compression and Dynamic Aggregation,10.1109/icip51287.2024.10648186,,2024,conference,IEEE International Conference on Image Processing,venue:ieee-international-conference-on-image-processing,IEEE International Conference on Image Processing,ICIP,conference,Main,2024 IEEE International Conference on Image Processing (ICIP),False,,1c8965286358bd76d929f02a58b3975027bf78b500c584e64c3e41fedd6f986b
curated:98bed92571e23d5df139,openalex:W7159927480,AI-Generated Image Detection: Challenges and Recent Advances,10.1007/978-3-032-11782-3_6,,2026,book,,,,,,,,False,,f667b9606fd822896cfee9c3a3483e29ec587a419215a50be82999d1b8536171
,openalex:W4404649743,AI-generated Image Detection: Passive or Watermark?,10.48550/arxiv.2411.13553,2411.13553,2024,preprint,arXiv,venue:arxiv,arXiv,,preprint,,arXiv (Cornell University),False,,e9d5340ae60c5c7f02a054ca9e90606cd769fe4d63176368df1890555f6197c6
curated:1a8e996ef9ce73efc0ef,openalex:W7168026910,AI-Generated Image Homology Detection,10.1007/978-981-92-2856-0_1,,2026,conference,"International Conference on Knowledge Science, Engineering and Management",venue:international-conference-on-knowledge-science-engineering-and-management,"International Conference on Knowledge Science, Engineering and Management",KSEM,conference,Main,"International Conference on Knowledge Science, Engineering and Management",False,,13b9ec9d2ecc712e48595e7e79c439517b06c5dfeb661d7c9ebc11fac5cfe058
,openalex:W4409362694,AI-Generated-Image Detection Using Deep Learning Techniques,10.48175/ijarsct-25140,,2025,journal,"International Journal of Advanced Research in Science, Communication and Technology",venue:international-journal-of-advanced-research-in-science-communication-and-technology,"International Journal of Advanced Research in Science, Communication and Technology",IJARSCT,journal,,International Journal of Advanced Research in Science Communication and Technology,False,,2c74cff4b8c663d285ae443e68578e13a52c5530386e5d2e4dbce8238dae6adf
curated:2465f28a94bb45bec499,openalex:W4415343382,AIGI-Holmes: Towards Explainable and Generalizable AI-Generated Image Detection via Multimodal Large Language Models,https://doi.org/10.1109/iccv51701.2025.01742,2507.02664,2025,conference,IEEE/CVF International Conference on Computer Vision,venue:iccv,IEEE/CVF International Conference on Computer Vision,ICCV,conference,Main,2025 IEEE/CVF International Conference on Computer Vision (ICCV),False,,c4893c1e3aed8505f941d144d520fd8730c8d9b79c384c39bb82e016fc0858f8
curated:0b34eeaa2b4f5b0a7b3b,openalex:W4403575374,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,10.48550/arxiv.2410.11835,2410.11835,2025,conference,International Conference on Learning Representations,venue:iclr,International Conference on Learning Representations,ICLR,conference,Main,International Conference on Learning Representations,False,,bbfa33493b60ec61daced3917d48460ba66be3067b74b0e73710530b569c66ab
curated:2b5013b99aa5e4de2621,openalex:W7168427015,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,10.1016/j.ipm.2026.105058,,2026,journal,Information Processing & Management,venue:information-processing-management,Information Processing & Management,IP&M,journal,,Information Processing & Management,False,,d295ff6ac101488d349e198039af7a61a2a21ad265f7066e48cec0e75ed91ae9
curated:386ccd052b812587c286,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",,2504.01396,2026,conference,International Conference on Learning Representations,venue:iclr,International Conference on Learning Representations,ICLR,conference,Main,International Conference on Learning Representations (ICLR),False,,a012edbdc8f930a962103e6c7b89c08c4858c3a18bef238059bda5972c8e9102
,openalex:W4402264364,An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape,10.1109/sp54263.2024.00194,2404.16212,2024,conference,IEEE Symposium on Security and Privacy,venue:ieee-symposium-on-security-and-privacy,IEEE Symposium on Security and Privacy,IEEE S&P,conference,Main,2024 IEEE Symposium on Security and Privacy (SP),False,,b74c294a6ddbbd3c5288998f63ee302f5128cb95d7e2edc2bd4dd37d22edc925
curated:1c590f67c931d712bb78,openalex:W4406857602,An Efficient Frequency Domain Based Attribution and Detection Network,10.1109/access.2025.3534829,,2025,journal,IEEE Access,venue:ieee-access,IEEE Access,,journal,,IEEE Access,False,,7e4397f3f13c16dc86791b8eaa45890cf99b6a3eb9eac67b9682a410185b1a35
,openalex:W2973074956,An Evaluation of Deep Learning-Based Computer Generated Image Detection Approaches,10.1109/access.2019.2940383,,2019,journal,IEEE Access,venue:ieee-access,IEEE Access,,journal,,IEEE Access,False,,0b759f942e7d45c15cb115605bd3e495586c6f2659c5247f4bac2bc4bd3abf2c
,openalex:W4284895444,An Eyes-Based Siamese Neural Network for the Detection of GAN-Generated Face Images,10.3389/frsip.2022.918725,,2022,journal,Frontiers in Signal Processing,venue:frontiers-in-signal-processing,Frontiers in Signal Processing,Front. Signal Process.,journal,,Frontiers in Signal Processing,False,,e7b1ae3895f824d6cf1c5200a23ea2b0c31d147eb331c9f11cdc25725794b42f
curated:80e6fc4ce64c001a2b3d,openalex:W4323022407,An Improved Dense CNN Architecture for Deepfake Image Detection,10.1109/access.2023.3251417,,2023,journal,IEEE Access,venue:ieee-access,IEEE Access,,journal,,IEEE Access,False,,3019aab3108e390ef0a80905c99989590726ed38d1f64e7274ab61d182c56180
,openalex:W4283712107,Analysis Survey on Deepfake detection and Recognition with Convolutional Neural Networks,10.1109/hora55278.2022.9799858,,2022,conference,"International Congress on Human-Computer Interaction, Optimization and Robotic Applications",venue:international-congress-on-human-computer-interaction-optimization-and-robotic-applications,"International Congress on Human-Computer Interaction, Optimization and Robotic Applications",HORA,conference,Main,"2022 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",False,,ff056c489407f95781bc8913223348dac2c4bf752f8f0fcb915fc6e04af05b1c
curated:718ce9e82d185c331bdf,openalex:W4387994353,AntifakePrompt: Prompt-Tuned Vision-Language Models Are Fake Image Detectors,10.48550/arxiv.2310.17419,2310.17419,2025,conference,International Conference on Learning Representations,venue:iclr,International Conference on Learning Representations,ICLR,conference,Main,arXiv (Cornell University),False,,d73f7ce6363b6ac9b936e6e896bb25eaefb5842632c0b8d5da2041878c02912d
,openalex:W4413144629,Any-Resolution AI-Generated Image Detection by Spectral Learning,10.1109/cvpr52734.2025.01743,2411.19417,2025,conference,IEEE/CVF Conference on Computer Vision and Pattern Recognition,venue:cvpr,IEEE/CVF Conference on Computer Vision and Pattern Recognition,CVPR,conference,Main,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),False,,67c4fce6107b7530f3099385cc54dcd86c827e7591ee6b603039071d025874cf
curated:074bb9a77ee85d50090c,openalex:W4417449415,Aperture: A Patch-Aware Framework for Joint Forgery Detection and Localization,10.1007/s44336-025-00027-8,,2025,journal,Vicinagearth,venue:vicinagearth,Vicinagearth,,journal,,Vicinagearth.,False,,7e2fd0e36c3169931c94c3096ee0dd6ba46b3faea637dcaa4ac2157492c220dc
curated:8bc69db49ef4b9db3cd6,openalex:W4410889859,Are CLIP Features All You Need for Universal Synthetic Image Origin Attribution?,10.1007/978-3-031-92648-8_22,2408.09153,2024,conference,European Conference on Computer Vision,venue:eccv,European Conference on Computer Vision,ECCV,conference,Workshop,2024 European Conference on Computer Vision (ECCV) Workshops,False,,9864c158f57f077bafb8cbd6a56da97e3b32c4f3a06cc30966860f2af527665c
,openalex:W3149674875,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-of-the-Art,10.1109/icme51207.2021.9428429,2104.02617,2021,conference,IEEE International Conference on Multimedia and Expo,venue:ieee-international-conference-on-multimedia-and-expo,IEEE International Conference on Multimedia and Expo,ICME,conference,Main,2021 IEEE International Conference on Multimedia and Expo (ICME),False,,1bcf9551e032c8abac2cadb31c5f5a651e63ecb5281b3b87a998fb530a9492f9
curated:1d944c47839b3890a623,openalex:W4403791664,Are Handcrafted Filters Helpful for Attributing AI-Generated Images?,10.1145/3664647.3680945,2407.14570,2024,conference,ACM International Conference on Multimedia,venue:acm-mm,ACM International Conference on Multimedia,ACM MM,conference,Main,Proceedings of the 32nd ACM International Conference on Multimedia,False,,24b409203e5fdff705b812e92a661f96a55aa5027f860cdb28564a87e30b5145
curated:7693a9c0107feaf90e10,curated:7693a9c0107feaf90e10,Are High-Quality AI-Generated Images More Difficult for Models to Detect?,,,2025,conference,International Conference on Machine Learning,venue:icml,International Conference on Machine Learning,ICML,conference,Main,International Conference on Machine Learning (ICML),False,,5b34ae4a90bed953337a7dc151941572f7ddfb73a2aa278c74110e1c852fd63f
,openalex:W4411979039,Art or Artifact? Segmenting AI-Generated Images for Deeper Detection,10.1145/3709022.3736544,,2025,conference,Workshop on Security Implications of Deepfakes and Cheapfakes,venue:workshop-on-security-implications-of-deepfakes-and-cheapfakes,Workshop on Security Implications of Deepfakes and Cheapfakes,WDC,conference,Workshop,Proceedings of the 4th Workshop on Security Implications of Deepfakes and Cheapfakes,True,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",a38f030a3c73c4d230a326543ed7e4f821ca359d6f67e27b65f7bc4471478800
curated:837a8a0ceb9d8f86d02a,openalex:W7161736397,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,10.1109/tmm.2026.3694528,,2026,journal,IEEE Transactions on Multimedia,venue:ieee-transactions-on-multimedia,IEEE Transactions on Multimedia,TMM,journal,,IEEE Transactions on Multimedia,False,,1f43520e08de12cec4d4476778374c2335da6accc28b13936cc73c2753a84df4
,openalex:W4400624794,Artifact feature purification for cross-domain detection of AI-generated images,10.1016/j.cviu.2024.104078,2403.11172,2024,journal,Computer Vision and Image Understanding,venue:computer-vision-and-image-understanding,Computer Vision and Image Understanding,CVIU,journal,,Computer Vision and Image Understanding,False,,50ccb281cfced3481226d28b6bc4a7b84a7ae4a644b9fae1b0b804912dd2fafd
curated:db62aa9b0b1aab0c9f7a,openalex:W7167698944,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,10.1109/ic2pct68894.2026.11584299,,2026,conference,"IEEE International Conference on Computing, Power, and Communication Technologies",venue:ieee-international-conference-on-computing-power-and-communication-technologies,"IEEE International Conference on Computing, Power, and Communication Technologies",IC2PCT,conference,Main,"International Conference on Computing, Power, and Communication Technologies (IC2PCT)",False,,cf1b9507851195989ff3c285b260c82508760989f75599390d9fdd9927c435b3
