institution_id,canonical_name,current_type,proposed_type,evidence,confidence,provenance,usage_paper_count,usage_map_record_count,review_required,applied_rule,curated_presence
institution:cdedd18207a1eeb2,Amrita Vishwa Vidyapeetham,other,other,unverified_names=Amrita Vishwa Vidyapeetham; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,2,8,yes,manual_review_required,public_only
institution:aa230e9d21cefa3b,Anhui Business College,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:479e5a2ad13993e2,APJ Abdul Kalam Technological University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:69d7dc38d11d5f80,Aristotle University of Thessaloniki,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:fbe1022dfe93b657,Asia University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:080a1da6ac4d04fd,Baidu (China),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:a273d5856c9d065c,Bangladesh University of Engineering and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:4e0158a865182393,Bank of Italy,other,other,unverified_names=Bank of Italy; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,3,26,yes,manual_review_required,public_only
institution:13600b8b1a017cee,Bar-Ilan University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:04c73587b47761ee,BASIS International School Nanjing,other,other,curated institution_type=other,reviewed,curated;public_preview_map_data;public_preview_papers;policy=curated,1,6,no,explicit_reviewed_other,curated
institution:a8472ecf227d6190,Beijing Electronic Science and Technology Institute,other,other,unverified_names=Beijing Electronic Science and Technology Institute; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:ea6661ca99f0c1aa,Beijing Information Science & Technology University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:8448eafa665a5096,Berkeley College,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:86acee6f855e6b06,Bowie State University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:685d63d32831e960,Brandman University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:dd9f67a9f83f9649,Bucknell University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d0cac2bc9207e50f,California University of Pennsylvania,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:008fc27550d4153d,Canadian International College,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d04d3d98b14dcbc7,Cape Peninsula University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:572758623152e66d,Carnegie Institution for Science,other,other,unverified_names=Carnegie Institution for Science; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:6398f2ea80ac2393,Center for Security and Emerging Technology,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:995961c53e221f07,Centre Borelli,other,other,unverified_names=Centre Borelli; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:1633fd8e927f7e3e,Chaoyang University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:636b930e320fc074,Chengdu University of Information Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b3e3a87d3fc950c5,China People's Public Security University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d31a9474efa16c6c,"Chinese University of Hong Kong, Shenzhen",university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b98073e3070abd17,Chitkara University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:2f4b9adadf7f5004,Chongqing University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:1e0dd88726fb992c,Chonnam National University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:8ee530c781dde9f8,Chung-Ang University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:17bf653107a56b33,Columbia University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:7182b5831d4ba8a2,Comilla University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:35f84ec19dab5880,Computer Research Institute of Montreal,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:65b7ef80da803b27,Consorzio Nazionale Interuniversitario per le Telecomunicazioni,other,other,unverified_names=Consorzio Nazionale Interuniversitario per le Telecomunicazioni; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,2,22,yes,manual_review_required,public_only
institution:94858a011d31ef75,CT Group Of Institutions,other,other,unverified_names=CT Group Of Institutions; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:ec338d817ec6cd01,Dar Al-Hekma University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:30e93da233b7eeef,Deakin University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b77cc69e117a29dc,Dehradun Institute of Technology University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:c6b6c8d24f8e66aa,Dominican University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f34946305c17c505,Dongguan University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:cc8345310a2617a6,Durban University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:3cef1f53ea25d8c9,East Tennessee State University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:bb266f47a5ceef81,Edinburgh Napier University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:141dbbea6bba3a37,Everest English Boarding Secondary School,other,other,curated institution_type=other,reviewed,curated;public_preview_map_data;public_preview_papers;policy=curated,1,4,no,explicit_reviewed_other,curated
institution:4057e1737c20bdb9,Fakir Mohan University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:2f6dd59c6afca61d,First Affiliated Hospital of GuangXi Medical University,other,other,unverified_names=First Affiliated Hospital of GuangXi Medical University; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,12,yes,manual_review_required,public_only
institution:42c60ebb24e9f839,Fraunhofer Institute for Industrial Mathematics,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:a8edc55c3baa29af,Fraunhofer-Gesellschaft,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:213a2f107c1f76df,Fujitsu (China),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:33d54ba20fb76125,Fujitsu (Japan),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:c2dab080fa856716,Georgia Institute of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:4423bec9199a5d47,GLA University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f647b4b37bf4515d,Global University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:823a09a4580fb39e,Government Sadiq College Women University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:ef894bd5e789abd7,Govind Ballabh Pant University of Agriculture and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:128d207ba007d9d7,Graphic Era University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d1de2b99104f99ed,Guangxi Medical University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:1b91d0993efc3a95,Gyeongguk National University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:34b03d8b7abfc1c7,Haemonetics (United States),other,other,unverified_names=Haemonetics (United States); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:bb302a0231577b3c,Haliç University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:2b9a45614734dda3,Hand and Upper Limb Clinic,other,other,curated institution_type=other,reviewed,curated;public_preview_papers;policy=curated,1,0,no,explicit_reviewed_other,curated
institution:07d62a903f84afcd,Hangzhou Dianzi University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:aeb3cd858bb22d74,Hannover Re (Germany),other,other,unverified_names=Hannover Re (Germany); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,12,yes,manual_review_required,public_only
institution:f904c5dbc038c1df,Heidelberg University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:6f14a665aa77ba34,Helmholtz Center for Information Security,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:312f5a2a85c73aa0,Henan University of Engineering,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:9862b50bf0eb12f0,Hindustan Institute of Technology and Science,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:834e8b5e7fb040b9,Honeywell (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:a7d5cec59e029db5,Hong Kong Polytechnic University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:ed58576681c8c7e7,Huazhong Agricultural University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:bbc6ae7ed9b4bd38,Humboldt University of Berlin,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:1ba4ddc6758a80c0,Imperial College London,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:44f01b033a0b3ac2,Indian Institute of Science Bangalore,other,other,unverified_names=Indian Institute of Science Bangalore; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:a4e0e93fcd90b1c0,Indian Institute of Technology Patna,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:7c73c5ea3377e7f2,Indiana Hand to Shoulder Center,other,other,curated institution_type=other,reviewed,curated;public_preview_papers;policy=curated,1,0,no,explicit_reviewed_other,curated
institution:9f34c1df7f0034c6,Ingegneria dei Sistemi (Italy),other,other,unverified_names=Ingegneria dei Sistemi (Italy); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:e0fe9ef8b64ffef3,Ingegneria dei Trasporti (Italy),other,other,unverified_names=Ingegneria dei Trasporti (Italy); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:b8150f32ccd21738,Innovation Team (China),other,other,unverified_names=Innovation Team (China); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,8,yes,manual_review_required,public_only
institution:871c652a6d6c8673,Institut d'électronique de microélectronique et de nanotechnologie,other,other,unverified_names=Institut d'électronique de microélectronique et de nanotechnologie; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,2,22,yes,manual_review_required,public_only
institution:aa2116bd30768879,Institut national de recherche en sciences et technologies du numérique,other,other,unverified_names=Institut national de recherche en sciences et technologies du numérique; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:abb12d6634e39767,Institute for Advanced Study,other,other,unverified_names=Institute for Advanced Study; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:23824a2aff1dfd72,Institute for Research in Fundamental Sciences,other,other,unverified_names=Institute for Research in Fundamental Sciences; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:f8a9691bb5291a8e,Institute of Engineering,other,other,unverified_names=Institute of Engineering; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,4,yes,manual_review_required,public_only
institution:4275f5190441c4cc,Institute of Informatics and Telematics,other,other,unverified_names=Institute of Informatics and Telematics; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:95b70aa867c1a6a0,Intelligent Health (United Kingdom),other,other,unverified_names=Intelligent Health (United Kingdom); previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:27cf878705a6b15a,Islamia University of Bahawalpur,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:63687b087de658bd,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",other,other,"unverified_names=Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""; previous_type=other",low,public_preview_map_data;public_preview_papers;policy=fallback,2,22,yes,manual_review_required,public_only
institution:cf2e81e79ecee1b8,İstanbul Nişantaşı Üniversitesi,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:7375490cb489bcfd,Jacksonville University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b6af627e10ca7fed,Jahangirnagar University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:557b8ad811254ad6,Jianghan University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f88815962e62ced1,Kadir Has University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:5919d60e453e2459,Kahramanmaraş Sütçü İmam University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:f4c98270ae3164c6,Karabük University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:9d4cf3c6e95e06c5,Karnatak University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:81c7128fd371f65f,Khalifa University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:8fac1f5c8936e362,Khwaja Fareed University of Engineering and Information Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:206ade2edf5e4762,King Abdulaziz University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:36c5630e014fb5d7,King Saud University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:7ec2cd070cc14278,King's College London,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:148a0feafd311a0a,Korea Advanced Institute of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:7095dc4de406754b,Korea Aerospace University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:eceea91f3973f1b1,Korea University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:bec45b93a867958c,Lamar University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b71e4506b75fcb88,Leeds Beckett University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:ac9dc63b4bd4669a,Leibniz University Hannover,other,other,unverified_names=Leibniz University Hannover; previous_type=other,low,public_preview_map_data;policy=fallback,0,1,yes,manual_review_required,public_only
institution:228c9ed379a96dd8,Liaoning University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:85d468a61a1936c6,Louisiana State University of Alexandria,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:fb406af2053fceb0,Lund University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d8d45546142be201,Macau University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:85b5522dac5ab1d7,Majmaah University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:720565e77c6f2c38,Marmara University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:068512c1b695fe0b,Max Planck Institute for Security and Privacy,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:bcd3d53e57c31275,Mayachitra (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:5e1b887e28ecec3a,Megvii (China),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:9c00a74b22580c81,Menlo School,other,other,unverified_names=Menlo School; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:8dd670c7d0f431d4,Mercatorum University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:9e1ab9137907fdce,Microsoft (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:330ddee32a318616,Microsoft Research (United Kingdom),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:b771bab570cca255,Microsoft Research Asia (China),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:125af76b30759ac2,Middle East University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:c72155b537fbbff3,Middle Technical University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:acd72ce2b88b89b4,Military University Nueva Granada,other,other,unverified_names=Military University Nueva Granada; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,4,yes,manual_review_required,public_only
institution:8b4ead1dd8198300,Ministry of Education,other,other,unverified_names=Ministry of Education; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:79bdedc4507c21a5,Najran University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:b097d001d1031333,Nanfang Hospital,other,other,unverified_names=Nanfang Hospital; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,8,yes,manual_review_required,public_only
institution:71438ca10017bba5,National Institute of Standards and Technology,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:12fe4f34c1ed5053,National Institute of Technology Karnataka,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:cb66d06bbab6753c,National Pingtung University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:4a297c8ff1c10795,National Research Council,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:72e33b377a422ec3,National Taiwan University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:dac00bcd54a7c18f,National United University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:18a199cf02e2dc6e,National University of Computer and Emerging Sciences,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:81eaae945d27f11c,National University of Ireland,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:221eb2f9c9da3e19,National Yunlin University of Science and Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:e07792f5cf49ebda,Naval Air Warfare Center Weapons Division,other,other,unverified_names=Naval Air Warfare Center Weapons Division; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,8,yes,manual_review_required,public_only
institution:d60d6f53bb737f8f,Naver (South Korea),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:af28dc8d805f8918,Nirma University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:2c4c8a70b915edac,North South University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:13d54640e2e7ec6c,Northeast Agricultural University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:fe8410750f429b37,Nvidia (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:5de5568dbc559111,Oak Ridge National Laboratory,research_unit,research_unit,curated institution_type=research_unit,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_research_unit,curated
institution:1ffa1eeecc9396a4,Paris-Est Sup,other,other,unverified_names=Paris-Est Sup; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,10,yes,manual_review_required,public_only
institution:567dcc53fa2f6dd3,Prince Mohammad bin Fahd University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:39fe5b3a0cd3dd7c,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:77fb2ba62b721cd6,Qilu University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:41f10ac519a66555,Queensland University of Technology,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:ec09c7ffc10bc18c,Raisoni Group of Institutions,other,other,unverified_names=Raisoni Group of Institutions; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,6,yes,manual_review_required,public_only
institution:afc7ba5b733248b6,Rashtrasant Tukadoji Maharaj Nagpur University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:6b773370c41b47b5,RMIT University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:5f79f83ab8fc51d6,Rutgers Sexual and Reproductive Health and Rights,other,other,unverified_names=Rutgers Sexual and Reproductive Health and Rights; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,8,yes,manual_review_required,public_only
institution:81b3058b204793ac,Salesforce (United States),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:457423605fa485bc,Samsung (South Korea),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:d86afa08c5895ca3,Samsung Pharm (South Korea),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:49700da520d8842b,Samsung SDS (South Korea),company,company,curated institution_type=company,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_company,curated
institution:d407d447fe02673c,Sant Gadge Baba Amravati University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:d4be1d78be422425,Saraswati Dental College and Hospital,other,other,unverified_names=Saraswati Dental College and Hospital; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,12,yes,manual_review_required,public_only
institution:6dc785b2ccdf142c,Satya Wacana Christian University,university,university,curated institution_type=university,reviewed,curated;policy=curated,0,0,no,explicit_reviewed_university,curated
institution:78c149de84a6c7d7,Scientific Research Group in Egypt,other,other,unverified_names=Scientific Research Group in Egypt; previous_type=other,low,public_preview_map_data;public_preview_papers;policy=fallback,1,8,yes,manual_review_required,public_only
