audit_id,review_group_id,mapping_id,paper_id,paper_title,year,doi,openalex_url,author,current_institution,current_institution_id,raw_affiliation,suggested_canonical_institution,suggested_institution_id,provenance,severity,issue_type,classification,is_blocking,reason,recommended_action,resolution_status
institution-consistency:38087d40de781fc7314a,institution-review-group:c9b7c07fe4f975803b6b,mapping:3ac937fe727eb34f0b2c,openalex:W4393021531,A COMPARATIVE REVIEW OF AI-GENERATED IMAGE DETECTION ACROSS SOCIAL MEDIA PLATFORMS,2024,10.62304/jieet.v3i01.77,https://openalex.org/W4393021531,Md Sajadul Alam,Lamar University,institution:bec45b93a867958c,"College of Business, Beaumont, Texas, USA.",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:aae1930aead56da1bd77,institution-review-group:38c608fa216529c5c2be,mapping:500b21a30c88b9c79858,openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,https://openalex.org/W7155245437,Junjun Zheng,Alibaba Inc,institution:6faf58b52bec4e39,"Alibaba Inc, Hangzhou, China",Alibaba Group,institution:73f449eb6a3c05d3,curated_import,low,parent_child_inconsistency,parent-child issue,false,Why flagged: affiliation evidence names a confirmed child institution while the mapping points to its parent; the relationship is compatible and is not a conflict.,Review whether the mapping should use the more specific child institution.,unresolved
institution-consistency:d9fb23baee1f974f9576,institution-review-group:2b0f418eb96b2ae63973,mapping:500b21a30c88b9c79858,openalex:W7155245437,Adaptive Forensic Feature Refinement via Intrinsic Importance Perception,2026,,https://openalex.org/W7155245437,Xiangheng Kong,Alibaba Inc,institution:6faf58b52bec4e39,"Alibaba Inc, Hangzhou, China",Alibaba Group,institution:73f449eb6a3c05d3,curated_import,low,parent_child_inconsistency,parent-child issue,false,Why flagged: affiliation evidence names a confirmed child institution while the mapping points to its parent; the relationship is compatible and is not a conflict.,Review whether the mapping should use the more specific child institution.,unresolved
institution-consistency:2d0b18d399fd5ca7f049,institution-review-group:601719065df710b388bb,mapping:37226513ee9bb670e2a9,openalex:W7117078863,AdaptPrompt: Parameter-Efficient Adaptation of VLMs for Generalizable Deepfake Detection,2025,,https://openalex.org/W7117078863,Mohammed Talha Alam,Mohamed bin Zayed University of Artificial Intelligence,institution:f04b96a9716ab2f4,"MBZUAI, UAE",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:ea03a8a41079e2cce708,institution-review-group:bc3bdafcbdf2a7ad18c7,mapping:59fdda701b76db9535d9,curated:d1195175f50833c90a64,ADRD: Detecting diffusion-generated images via adversarial perturbation induced reconstruction discrepancy,2026,10.1371/journal.pone.0350655,https://openalex.org/W7168285345,Mei Sun,Jiaxing Vocational Technical College,institution:d9bedf96789f3033,"School of Internet, Jiaxing Vocational and Technical College, Jiaxing, Zhejiang, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:53125f3f65997f8ecc1b,institution-review-group:167866d249def1530e03,mapping:59fdda701b76db9535d9,curated:d1195175f50833c90a64,ADRD: Detecting diffusion-generated images via adversarial perturbation induced reconstruction discrepancy,2026,10.1371/journal.pone.0350655,https://openalex.org/W7168285345,Shuangxi Chen,Jiaxing Vocational Technical College,institution:d9bedf96789f3033,"School of Internet, Jiaxing Vocational and Technical College, Jiaxing, Zhejiang, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:25b9d571e580e437d340,institution-review-group:8d6e19c010fe046a97d8,mapping:59fdda701b76db9535d9,curated:d1195175f50833c90a64,ADRD: Detecting diffusion-generated images via adversarial perturbation induced reconstruction discrepancy,2026,10.1371/journal.pone.0350655,https://openalex.org/W7168285345,Xiangwei Hu,Jiaxing Vocational Technical College,institution:d9bedf96789f3033,"School of Internet, Jiaxing Vocational and Technical College, Jiaxing, Zhejiang, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:e76e353ca69a896ecdd1,institution-review-group:632845a17c4d0e4b9fc8,mapping:59fdda701b76db9535d9,curated:d1195175f50833c90a64,ADRD: Detecting diffusion-generated images via adversarial perturbation induced reconstruction discrepancy,2026,10.1371/journal.pone.0350655,https://openalex.org/W7168285345,Yi Zhou,Jiaxing Vocational Technical College,institution:d9bedf96789f3033,"School of Internet, Jiaxing Vocational and Technical College, Jiaxing, Zhejiang, China",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:a397ebfbf13059118d5f,institution-review-group:5ff119c95f0504d37213,mapping:013b9bf833b95ce281ad,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Davide Cozzolino,University of Naples Federico II,institution:d046d2c57bb3a863,"Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione (DIETI) Universita degli Studi di Napoli Federico II, Naples, Italy",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:2d8fcc1463d7db33467e,institution-review-group:b79c184d0e6be3b37ac3,mapping:445b5f89cab4cdddba31,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Davide Maltoni,University of Bologna,institution:e73ae6a6d6ff3735,"Dipartimento di Informatica - Scienza e Ingegneria (DISI) Universita di Bologna, Cesena, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:9a405e78c74c988efb89,institution-review-group:1a20807ef26ca8296185,mapping:445b5f89cab4cdddba31,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Lorenzo Pellegrini,University of Bologna,institution:e73ae6a6d6ff3735,"Dipartimento di Informatica - Scienza e Ingegneria (DISI) Universita di Bologna, Cesena, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:7cbb81192ab6bd5400a9,institution-review-group:7ddf0d19a5db3649d3ea,mapping:013b9bf833b95ce281ad,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Luisa Verdoliva,University of Naples Federico II,institution:d046d2c57bb3a863,"Dipartimento di Ingegneria Elettrica e delle Tecnologie dell’Informazione (DIETI) Universita degli Studi di Napoli Federico II, Naples, Italy",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:6bb627aeba385547d3cf,institution-review-group:24ef79890f503eb2d8ef,mapping:445b5f89cab4cdddba31,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Matteo Ferrara,University of Bologna,institution:e73ae6a6d6ff3735,"Dipartimento di Informatica - Scienza e Ingegneria (DISI) Universita di Bologna, Cesena, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:ba1ec1c4fb44aed32f4c,institution-review-group:6508c4fe2381a0d09991,mapping:445b5f89cab4cdddba31,openalex:W4416252067,AI-GenBench: A New Ongoing Benchmark for AI-Generated Image Detection,2025,10.1109/ijcnn64981.2025.11228377,https://openalex.org/W4416252067,Serafino Pandolfini,University of Bologna,institution:e73ae6a6d6ff3735,"Dipartimento di Informatica - Scienza e Ingegneria (DISI) Universita di Bologna, Cesena, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:ea1e35f58dd4645f90db,institution-review-group:6015ae2143f85c4bb76b,mapping:b23b637b1e1894f67386,curated:211ea83fa8d41c8ec810,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,2026,10.1007/s11432-024-4475-4,https://openalex.org/W7123358516,Menghan Dou,"Origin Quantum Computing Technology (Hefei) Co., Ltd.",institution:502b0f4ec4bc4546,"6 Origin Quantum Computing Co., Ltd, Hefei 230026, China",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:394e768d5f80ed50a18a,institution-review-group:f8da44c91c58fa70b726,mapping:f4284edd4695718e3905,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,,Keyue Zhang,Tencent Youtu Lab,institution:3e78e883c14f8bb8,"Youtu Lab, Tencent",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:904f43c9a4f409b0326e,institution-review-group:0777075cdbd20352e1df,mapping:f4284edd4695718e3905,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,,Ruoxin Chen,Tencent Youtu Lab,institution:3e78e883c14f8bb8,"Youtu Lab, Tencent",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:f567ff056d8d268e144f,institution-review-group:05f16ade967979dcfa01,mapping:f4284edd4695718e3905,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,,Shouhong Ding,Tencent Youtu Lab,institution:3e78e883c14f8bb8,"Youtu Lab, Tencent",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:729c8fc217e1a38810cf,institution-review-group:75c3481f5b8c10425bbf,mapping:f4284edd4695718e3905,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,,Shuang Wu,Tencent Youtu Lab,institution:3e78e883c14f8bb8,"Youtu Lab, Tencent",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:37eefa3ee9207c725fb2,institution-review-group:c4abebd8857d33b076bb,mapping:f4284edd4695718e3905,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,,Taiping Yao,Tencent Youtu Lab,institution:3e78e883c14f8bb8,"Youtu Lab, Tencent",,,manually_confirmed,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:d680d979d178cc721f36,institution-review-group:e67259c8bbe9d7e9bfd9,mapping:60885b2524f55089d4f9,curated:1d944c47839b3890a623,Are handcrafted filters helpful for attributing AI-generated images?,2024,10.1145/3664647.3680945,https://openalex.org/W4403791664,Athanasios V. Vasilakos,University of Agder,institution:51bbeb5bfb404721,"University of Adger, Grimstad, Norway",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:aea44680e9b05d81282d,institution-review-group:a25498ac4a4617a208c2,mapping:32a17d59bc8b60d6ee82,openalex:W4386590429,Artifact: A Large-Scale Dataset With Artificial And Factual Images For Generalizable And Robust Synthetic Image Detection,2023,10.1109/icip49359.2023.10222083,https://openalex.org/W4386590429,Bishmoy Paul,Bangladesh University of Engineering and Technology,institution:a273d5856c9d065c,"Dept. of EEE, BUET, Bangladesh",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:e1d01130d3b463d58f80,institution-review-group:c7f5b00150b8866cfbac,mapping:32a17d59bc8b60d6ee82,openalex:W4386590429,Artifact: A Large-Scale Dataset With Artificial And Factual Images For Generalizable And Robust Synthetic Image Detection,2023,10.1109/icip49359.2023.10222083,https://openalex.org/W4386590429,Md Awsafur Rahman,Bangladesh University of Engineering and Technology,institution:a273d5856c9d065c,"Dept. of EEE, BUET, Bangladesh",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:3ad029eff4c585450d64,institution-review-group:43b1fc8f85defbeda5db,mapping:32a17d59bc8b60d6ee82,openalex:W4386590429,Artifact: A Large-Scale Dataset With Artificial And Factual Images For Generalizable And Robust Synthetic Image Detection,2023,10.1109/icip49359.2023.10222083,https://openalex.org/W4386590429,Najibul Haque Sarker,Bangladesh University of Engineering and Technology,institution:a273d5856c9d065c,"Dept. of EEE, BUET, Bangladesh",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:f8c1238e962a58126cf4,institution-review-group:d1f9545ed6d83d63be57,mapping:32a17d59bc8b60d6ee82,openalex:W4386590429,Artifact: A Large-Scale Dataset With Artificial And Factual Images For Generalizable And Robust Synthetic Image Detection,2023,10.1109/icip49359.2023.10222083,https://openalex.org/W4386590429,Shaikh Anowarul Fattah,Bangladesh University of Engineering and Technology,institution:a273d5856c9d065c,"Dept. of EEE, BUET, Bangladesh",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:f38f71a19c9856ad94af,institution-review-group:4ca16bd67f2f7d679f0b,mapping:32a17d59bc8b60d6ee82,openalex:W4386590429,Artifact: A Large-Scale Dataset With Artificial And Factual Images For Generalizable And Robust Synthetic Image Detection,2023,10.1109/icip49359.2023.10222083,https://openalex.org/W4386590429,Zaber Ibn Abdul Hakim,Bangladesh University of Engineering and Technology,institution:a273d5856c9d065c,"Dept. of EEE, BUET, Bangladesh",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:59fc04d3fecd69663931,institution-review-group:1172ed4dc4f856c3c6b1,mapping:b8f33d38c88db04b2267,curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,2025,10.1007/978-3-032-11381-8_32,https://openalex.org/W7122619085,Giuseppe Mazzola,University of Palermo,institution:a407f4c649ba4c6a,"Dipartimento di Ingegneria, Università degli Studi di Palermo, 90128, Palermo, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:5aaeb277c91e713fc240,institution-review-group:3b8db8b83aab659804ae,mapping:b8f33d38c88db04b2267,curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,2025,10.1007/978-3-032-11381-8_32,https://openalex.org/W7122619085,Liliana Lo Presti,University of Palermo,institution:a407f4c649ba4c6a,"Dipartimento di Ingegneria, Università degli Studi di Palermo, 90128, Palermo, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:59b31093310b7653726d,institution-review-group:fffab7fe2eac2e0d0823,mapping:b8f33d38c88db04b2267,curated:78e64e4829587c072681,Attribution of AI-Generated Images Across Multiple Models: a Benchmark,2025,10.1007/978-3-032-11381-8_32,https://openalex.org/W7122619085,Marco La Cascia,University of Palermo,institution:a407f4c649ba4c6a,"Dipartimento di Ingegneria, Università degli Studi di Palermo, 90128, Palermo, Italy",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:cad810b8860069714181,institution-review-group:7a7e502ad442df311297,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,Christos Koutlis,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:96a2a0b81c85cbba1751,institution-review-group:7984d1dc0df14153bcf2,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,Dimitrios Karageorgiou,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:4ad5629fdd5454d04898,institution-review-group:fe286200b450ec01fc4c,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,George Karantaidis,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:13dcc7efbb1b294f0202,institution-review-group:a6a30937c4f15e2afe50,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,Olga Papadopoulou,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:6195db6749c4cc94a0f0,institution-review-group:0d43dd2a67a9e3708204,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,Symeon Papadopoulos,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:7c63bc38d46ca622d7dd,institution-review-group:792304d37f6e9f8a1606,mapping:42a739965bf6e61d1fd9,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,https://openalex.org/W7160429386,Thanasis Pantsios,Centre for Research and Technology Hellas,institution:f841aa8a7a0d29aa,"Information Technology Institute, CERTH, Thessaloniki, Greece",,,manually_confirmed,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
institution-consistency:45ac3509b2e61e24a3ce,institution-review-group:d153eba62f495519eda6,mapping:55815a90e2ffc1cc0467,curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,2026,10.1109/lsp.2026.3678476,https://openalex.org/W7143319968,Deyu Meng,Xi'an Jiaotong University,institution:afc29be68ac419be,"School of Mathematics and Statistics and Ministry of Education Key Laboratory of Intelligent Networks and Network Security, Xi&#x2019;an Jiaotong University, Xi&#x2019;an, China",,,automatic_import,low,alias_missing,alias issue,false,Why flagged: mapping differs only by an institution-name variant; the names are semantically compatible but the alias is not registered.,Review and add alias if this wording recurs.,unresolved
institution-consistency:818e3c315dced4ac5b2b,institution-review-group:2af7a9cf9a5bb00740dc,mapping:1e003b31bfa0064fa505,openalex:W4322760013,Benchmarking Deepart Detection,2023,10.48550/arxiv.2302.14475,https://openalex.org/W4322760013,Xiaopeng Hong,Peng Cheng Laboratory,institution:aee00ab2f1fd8132,"Pengcheng Laboratory, P. R. China",,,curated_import,low,author_institution_conflict,possible multiple affiliation,false,"Why flagged: current institution has weak compatibility with the preserved affiliation evidence, but no strong contradictory institution was identified.",Verify affiliation evidence and canonical institution.,unresolved
