institution_id,canonical_name,aliases_considered,previous_type,proposed_type,applied_rule,evidence,affected_unique_paper_count
institution:b83f47152ad1ec29,Hebei University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:dfb7666cf1c6e052,Hefei Comprehensive National Science Center,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:f6342fd457763517,Hefei University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:9dd7b58a09f6962c,"HKISI, Chinese Academy of Sciences",[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:e1fcb46488c800ef,Hong Kong Metropolitan University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:1f9be0c6a5d4aa0b,Hong Kong University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:95daf5606b8bd80c,HSE University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2e62680df0fed751,Huawei Noah’s Ark Lab,"[""Huawei Noah's Ark Lab""]",company,company,preserve_confirmed_company,previous_type=company,2
institution:570cf7f2e9869b63,Huawei Technologies (China),[],company,company,preserve_confirmed_company,previous_type=company,1
institution:e540a2485c3e954f,Huazhong University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:be8fe6da68f67876,Hunan University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:42d2e85e0328361b,Hunan University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:f5c8a9b792d3b901,IBM Thomas J. Watson Research Center,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:fe7a819f82113c79,IdentifAI,[],research_unit,company,clear_commercial_entity,canonical_name=IdentifAI,1
institution:b91c4ceb2690766e,IIIT Delhi,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:9958d7ee1cfec4aa,IMT School for Advanced Studies Lucca,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:c49f954847b969c5,Incheon National University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:4269181ef8bd7d6e,"Indian Institute of Engineering Science and Technology, Shibpur",[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:f0c3da144873207a,Indian Institute of Technology Kharagpur,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:d0b09c4ef698e8de,Indian Institute of Technology Roorkee,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:7c73c5ea3377e7f2,Indiana Hand to Shoulder Center,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:df7499422b3e4d82,Indraprastha Institute of Information Technology Delhi,[],institute,research_unit,legacy_institute,previous_type=institute,0
institution:04b81a56c7eb1a69,Informatics Institute for Postgraduate Studies,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:ce9788da3b7b6137,Inner Mongolia University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:507c5724052f23eb,"INSAIT, Sofia University ""St. Kliment Ohridski""",[],university,university,preserve_confirmed_university,previous_type=university,1
institution:475fa3f7d32d5d27,Institut polytechnique de Grenoble,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:e4ca3896941052d9,Institute for Scientific Interchange,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:a1ff6f7123083db9,"Institute of Artificial Intelligence (TeleAI), China Telecom",[],institute,research_unit,legacy_institute,previous_type=institute,2
institution:966ff12833f90bb0,"Institute of Automation, Chinese Academy of Sciences","[""Institute of Automation, Chinese Academy of Sciences""]",institute,research_unit,legacy_institute,previous_type=institute,10
institution:dfb3cc816a4476d7,"Institute of Computing Technology, Chinese Academy of Sciences","[""Institute of Computing Technology, Chinese Academy of Sciences"", ""Institute of Computing Technology""]",institute,research_unit,merged_id_resolution_then_legacy_institute,merged_to=institution:e278f75918ccf8a7; previous_type=institute,6
institution:e278f75918ccf8a7,"Institute of Computing Technology, Chinese Academy of Sciences","[""Institute of Computing Technology, Chinese Academy of Sciences"", ""Institute of Computing Technology""]",institute,research_unit,legacy_institute,previous_type=institute,6
institution:cee70184073782c7,"Institute of Information Engineering, Chinese Academy of Sciences","[""Institute of Information Engineering, Chinese Academy of Sciences""]",institute,research_unit,legacy_institute,previous_type=institute,1
institution:0aed8b5908ebcd25,Instituto de Matemática Pura e Aplicada,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:260c0fc69149bb41,Intel Corporation,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:33f2056ddfd46aaa,International Institute of Information Technology,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:118c2f047da4525d,"International Institute of Information Technology, Naya Raipur",[],institute,research_unit,legacy_institute,previous_type=institute,0
institution:541450f1f663948c,ISTI-CNR,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:bc52939c5da8ad98,Jaume I University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:45d2a7ca48493f42,Jilin Vocational College of Industry and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:8632718a2c1444c6,Jinan University,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:81f79a387128ccac,Khalifa University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:24b3cd33acdc095d,Kochi University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:696e90c102571ea3,Korea AI Safety Institute (AISI),[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:a28e1611e5e6b8b6,Lanzhou University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:8ca93bff11a3be9e,Leonardo S.p.A.,[],research_unit,company,clear_commercial_entity,canonical_name=Leonardo S.p.A.,1
institution:ab1c5fd351e72f37,Link Campus University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:d30e2f168f8ccc03,Loyola University Chicago,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:1a36f9f1487a39da,Manipal University Jaipur,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:366058c27e343874,Massachusetts Institute of Technology,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:bef37c90751e824e,Max Planck Institute for Informatics,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:ea3bd73e2b506e00,Meta,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:357dc1b545173dd5,Meta (United States),"[""Meta""]",company,company,preserve_confirmed_company,previous_type=company,0
institution:a1b609b0fc5c2e23,Miraflow,[],research_unit,company,clear_commercial_entity,canonical_name=Miraflow,1
institution:39fbdba5585bb3c4,MIT Lincoln Laboratory,[],laboratory,research_unit,legacy_laboratory,previous_type=laboratory,1
institution:f04b96a9716ab2f4,Mohamed bin Zayed University of Artificial Intelligence,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:02e0cb0a82c051ec,Monash University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:ae914839cab3ba03,Monash University Malaysia,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:74eb5a7db0242865,Nanchang University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:0af8b0b3be8e7963,Nanjing University of Information Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,4
institution:70f74652d14cacde,Nankai University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:c111feb812f1a7ed,Nanyang Technological University,"[""Nanyang Technological University""]",university,university,preserve_confirmed_university,previous_type=university,6
institution:db8874f9983a5ffd,National Institute of Informatics,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:d4f85059258439dc,National Institute of Technology Silchar,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:69a779f3b8d566f6,National Taiwan University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:70ccb485197bbb6c,National University of Singapore,[],university,university,preserve_confirmed_university,previous_type=university,4
institution:b99e56fd55395250,National Yang Ming Chiao Tung University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2b91b5917e5279ea,NEC Laboratories America,[],research_unit,company,clear_commercial_entity,canonical_name=NEC Laboratories America,1
institution:fbc0802be3266f6f,Netflix Eyeline Studios,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:bda289c20f284717,Netherlands Forensic Institute,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:c83aeae887827902,New York University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:d1f71b03766ee0a2,Noeon Research,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:0008285766dcabc7,Northeastern University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:bc1d8b5fba4bc5ff,Northwestern Polytechnical University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:c055ca96e505b797,Nottingham Trent University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:26db9b197bbb7634,NSFOCUS,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:0b1cc69a0a28e0c1,NVIDIA AI Technology Center Italy,[],company,company,preserve_confirmed_company,previous_type=company,1
institution:2e732c4601154ff1,Origin Quantum Computing Technology Company (China),[],research_unit,company,clear_commercial_entity,canonical_name=Origin Quantum Computing Technology Company (China),1
institution:4f596f4cb1eacc17,Pegaso Telematic University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:e7cbd84466f9202b,Pegaso University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:46e4866d3b2954ab,Peking University,[],university,university,preserve_confirmed_university,previous_type=university,4
institution:6346b1a9c3b5ccd7,Peking University Shenzhen Graduate School,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:1ce921cf3475aa52,Pengcheng Laboratory,[],laboratory,research_unit,legacy_laboratory,previous_type=laboratory,1
institution:64f282fa6abe9403,Peptidream (Japan),[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:4ceaa6cde1782dfd,PLA Information Engineering University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:1ee9da20656fd88b,Politecnico di Milano,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:35caf31d5104b996,"Polytechnic Institute of Turin, Turin, Italy",[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:1e2fe2432a089705,Polytechnic University of Hauts-de-France,"[""Université Polytechnique Hauts-de-France""]",university,university,preserve_confirmed_university,previous_type=university,2
institution:6f4241a7694672b8,Princeton University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:90b589325857dff0,Purdue University,"[""Purdue University""]",university,university,preserve_confirmed_university,previous_type=university,2
institution:312d37d9636306c2,Purdue University West Lafayette,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:a4cdf5c9d1038c90,Purple Mountain Laboratories,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:c5eade35ea50a856,Queen Mary University of London,"[""Queen Mary University of London""]",university,university,preserve_confirmed_university,previous_type=university,2
institution:2469c3505064216c,Queen's University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:5fbb6e2cbdd4ea21,Renmin University of China,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:ccbfeb66fb71797e,RIKEN Center for Advanced Intelligence Project,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:8f8dd64c6339c8ff,Ruhr University Bochum,"[""Ruhr University Bochum""]",university,university,preserve_confirmed_university,previous_type=university,4
institution:33a58a66974db112,Rutgers University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:41db7d042136daef,Salesforce Research,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:a86e3c911036d069,Sangfor Technologies Inc.,[],research_unit,company,clear_commercial_entity,canonical_name=Sangfor Technologies Inc.,1
institution:977430a4473aa4b0,Sapienza University of Rome,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:39263f3dbe1e47f9,Shandong Normal University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:b3d626f58155d650,Shandong University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:0e65844051a659b1,Shandong University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:c107a95b6cb53ac5,Shanghai Artificial Intelligence Laboratory,[],laboratory,research_unit,legacy_laboratory,previous_type=laboratory,3
institution:9a0d85eff850f04a,Shanghai Innovation Institute,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:fccd5d0ac9cc52f9,Shanghai Jiao Tong University,"[""Shanghai Jiao Tong University""]",university,university,preserve_confirmed_university,previous_type=university,7
institution:07ba242d76aafb0e,Shanghai University of Engineering Science,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:11d4e5b507bbbada,Shenzhen MSU-BIT University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:ad9c8964d01f80d8,Shenzhen University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:498778a17add497f,Shenzhen University of Advanced Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:9ab7959736f7be0d,Shenzhen Campus of Sun Yat-sen University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:4c1e9439f241e5ec,Sichuan University,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:eefb779b4c760808,Singapore Management University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:6dd3ce9e0d5fd1ab,Singapore University of Technology and Design,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:387a46732b927ccd,Sino-Russian Research Center for Digital Economy,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:91d1003beb3bcb91,Skolkovo Institute of Science and Technology,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:cf2639c8e56f6453,Sony AI,[],company,company,preserve_confirmed_company,previous_type=company,2
institution:6688d0d34a3ee58b,Sorbonne University,[],university,university,preserve_confirmed_university,previous_type=university,0
institution:271362b3e1310a1c,Sorbonne University Abu Dhabi,[],university,university,preserve_confirmed_university,previous_type=university,3
institution:3e9b289ae248f660,South China University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:592f613084a7ca9d,Southeast University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:d473cbf12de5fb53,Southwest University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:a202a16ef9383442,St. Petersburg Department of the Steklov Institute of Mathematics,[],department,research_unit,legacy_department,previous_type=department,1
institution:ed72534d79b73fac,Stanford University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:d4c79ca44c5dbbbc,Stuttgart Media University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:5c85faa51cc57a24,Sun Yat-sen University,[],university,university,preserve_confirmed_university,previous_type=university,4
institution:e80b94c605da24ce,Sungkyunkwan University,"[""Sungkyunkwan University""]",university,university,preserve_confirmed_university,previous_type=university,4
institution:3ac6dbcc618a5a6f,Swinburne University of Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:6d607bd40551e45f,Tamkang University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:f42de06978b10eb5,Technical University of Munich,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:9e5e300bb52918ca,Technion – Israel Institute of Technology,[],institute,research_unit,legacy_institute,previous_type=institute,2
institution:96dc1764e1512d0a,Technology Innovation Institute,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:3e78e883c14f8bb8,Tencent Youtu Lab,[],company,company,preserve_confirmed_company,previous_type=company,4
institution:4e140b5268efc364,Texas A&M University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:5dbb9ac6a407e079,"The Chinese University of Hong Kong, Shenzhen","[""The Chinese University of Hong Kong, Shenzhen""]",university,university,preserve_confirmed_university,previous_type=university,4
institution:31f980eaa403801a,The Hong Kong Polytechnic University,[],university,university,preserve_confirmed_university,previous_type=university,2
institution:fa80d3c071c298e1,The Hong Kong University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:942667142da716c5,The Hong Kong University of Science and Technology (Guangzhou),[],university,university,preserve_confirmed_university,previous_type=university,1
institution:404cfa1ef241f359,The University of Hong Kong,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:1984e5f97afb62d8,The University of Sydney,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:8c45f60c84082063,The University of Tokyo,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2bec96b8d2c54388,Tianjin University of Science and Technology,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:b0b93bb53a8b88c1,Tongji University,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:386b7a411f4a3220,Toyota Technological Institute at Chicago,[],institute,research_unit,legacy_institute,previous_type=institute,1
institution:4bff7ae080547794,TrueMedia,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,0
institution:2592e804f95fa542,TrueMedia.org,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:230f59b4fb28c236,Tsinghua Shenzhen International Graduate School,"[""Tsinghua Shenzhen International Graduate School""]",research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:4ae45b121fe12e9c,Tsinghua University,"[""Tsinghua University""]",university,university,preserve_confirmed_university,previous_type=university,5
institution:b370a10db2a1f294,Trinity College Dublin,[],university,university,preserve_confirmed_university,previous_type=university,1
institution:2e73bb336e7ad920,Universidad Complutense de Madrid,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:14daf7f722d7d91d,Universidade Estadual de Campinas (UNICAMP),[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:1afce89cd4f3571f,Universitas Mercatorum,[],research_unit,research_unit,preserve_research_unit,previous_type=research_unit,1
institution:7506c126bc077e9b,"University at Albany, SUNY","[""University at Albany, SUNY""]",university,university,preserve_confirmed_university,previous_type=university,1
