institution_id,current_canonical_name,proposed_english_name,country,city,institution_type,existing_aliases,source_or_evidence,decision,decision_reason,affected_paper_count,affected_relationship_count,collision_status,review_required
institution:3be1ce40ea53f6d2,Data61,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:30e93da233b7eeef,Deakin University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:b77cc69e117a29dc,Dehradun Institute of Technology University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:c6b6c8d24f8e66aa,Dominican University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:f34946305c17c505,Dongguan University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:cc8345310a2617a6,Durban University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:3cef1f53ea25d8c9,East Tennessee State University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:bb266f47a5ceef81,Edinburgh Napier University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a2c9ccf9659160de,Electronics and Telecommunications Research Institute (ETRI),,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4057e1737c20bdb9,Fakir Mohan University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:42c60ebb24e9f839,Fraunhofer Institute for Industrial Mathematics,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a8edc55c3baa29af,Fraunhofer-Gesellschaft,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:c3227ed71ef6fcd8,Fujian University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:213a2f107c1f76df,Fujitsu (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:33d54ba20fb76125,Fujitsu (Japan),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ab37cf6fbc2c38dd,GIPSA-Lab,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4423bec9199a5d47,GLA University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:c2dab080fa856716,Georgia Institute of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:f647b4b37bf4515d,Global University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ef894bd5e789abd7,Govind Ballabh Pant University of Agriculture and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:128d207ba007d9d7,Graphic Era University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:475fa3f7d32d5d27,Grenoble INP,,,,university,Institut polytechnique de Grenoble,,keep,No local-language or alias-promotion candidate signal. Same-name canonical IDs: institution:a76d3c97c5824bc9.,0,0,existing_canonical_collision,false
institution:d1de2b99104f99ed,Guangxi Medical University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a1e1ec8b780e67c8,Guizhou Normal University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1b91d0993efc3a95,Gyeongguk National University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:bb302a0231577b3c,Haliç University,,,,university,,https://halic.edu.tr/en,keep,Official English brand retains Haliç.,0,0,none,false
institution:2b9a45614734dda3,Hand and Upper Limb Clinic,,,,other,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:07d62a903f84afcd,Hangzhou Dianzi University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:dfb7666cf1c6e052,Hefei Comprehensive National Science Center,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:f904c5dbc038c1df,Heidelberg University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6f14a665aa77ba34,Helmholtz Center for Information Security,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:312f5a2a85c73aa0,Henan University of Engineering,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2d606ab01d8cb4a4,Hengyang Academy of Agricultural Sciences,,,,other,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:9862b50bf0eb12f0,Hindustan Institute of Technology and Science,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:329f39cda413f721,Ho Chi Minh City University of Science,,,,university,"University of Science, VNU-HCMC",repository confirmed aliases,keep,Current canonical name is already English; VNU-HCMC is a useful organizational alias.,0,0,none,false
institution:834e8b5e7fb040b9,Honeywell (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a7d5cec59e029db5,Hong Kong Polytechnic University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:570cf7f2e9869b63,Huawei Technologies (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ed58576681c8c7e7,Huazhong Agricultural University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:e540a2485c3e954f,Huazhong University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:bbc6ae7ed9b4bd38,Humboldt University of Berlin,,,,university,Humboldt-Universität zu Berlin,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:be8fe6da68f67876,Hunan University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:42d2e85e0328361b,Hunan University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1ba4ddc6758a80c0,Imperial College London,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:c49f954847b969c5,Incheon National University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4269181ef8bd7d6e,"Indian Institute of Engineering Science and Technology, Shibpur",,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a4e0e93fcd90b1c0,Indian Institute of Technology Patna,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7c73c5ea3377e7f2,Indiana Hand to Shoulder Center,,,,other,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ce9788da3b7b6137,Inner Mongolia University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:e4ca3896941052d9,Institute for Scientific Interchange,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:707f47de3ba40880,Institute of Automation,,,,other,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:33f2056ddfd46aaa,International Institute of Information Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:27cf878705a6b15a,Islamia University of Bahawalpur,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7375490cb489bcfd,Jacksonville University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:b6af627e10ca7fed,Jahangirnagar University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:557b8ad811254ad6,Jianghan University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:198d7d8f4558c225,Jiaxing University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:45d2a7ca48493f42,Jilin Vocational College of Industry and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:f88815962e62ced1,Kadir Has University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:5919d60e453e2459,Kahramanmaraş Sütçü İmam University,,,,university,,https://www.ksu.edu.tr/Default.aspx?SId=1,keep,Official English-facing name retains the Turkish personal and place names.,0,0,none,false
institution:f4c98270ae3164c6,Karabük University,,,,university,,https://www.karabuk.edu.tr/en,keep,Official English brand retains Karabük.,0,0,none,false
institution:9d4cf3c6e95e06c5,Karnatak University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:81c7128fd371f65f,Khalifa University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:8fac1f5c8936e362,Khwaja Fareed University of Engineering and Information Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:206ade2edf5e4762,King Abdulaziz University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:36c5630e014fb5d7,King Saud University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7ec2cd070cc14278,King's College London,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:24b3cd33acdc095d,Kochi University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:148a0feafd311a0a,Korea Advanced Institute of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:7095dc4de406754b,Korea Aerospace University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:eceea91f3973f1b1,Korea University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:bec45b93a867958c,Lamar University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:b71e4506b75fcb88,Leeds Beckett University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:228c9ed379a96dd8,Liaoning University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ab1c5fd351e72f37,Link Campus University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:85d468a61a1936c6,Louisiana State University of Alexandria,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d30e2f168f8ccc03,Loyola University Chicago,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:fb406af2053fceb0,Lund University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:85b5522dac5ab1d7,Majmaah University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:720565e77c6f2c38,Marmara University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:068512c1b695fe0b,Max Planck Institute for Security and Privacy,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:bcd3d53e57c31275,Mayachitra (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:5e1b887e28ecec3a,Megvii (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:8dd670c7d0f431d4,Mercatorum University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:ea3bd73e2b506e00,Meta,,,,company,,,keep,No local-language or alias-promotion candidate signal.,1,1,none,false
institution:9e1ab9137907fdce,Microsoft (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:330ddee32a318616,Microsoft Research (United Kingdom),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:b771bab570cca255,Microsoft Research Asia (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:125af76b30759ac2,Middle East University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:c72155b537fbbff3,Middle Technical University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:79bdedc4507c21a5,Najran University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:70f74652d14cacde,Nankai University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:71438ca10017bba5,National Institute of Standards and Technology,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:12fe4f34c1ed5053,National Institute of Technology Karnataka,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:cb66d06bbab6753c,National Pingtung University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4a297c8ff1c10795,National Research Council,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:72e33b377a422ec3,National Taiwan University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:dac00bcd54a7c18f,National United University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:18a199cf02e2dc6e,National University of Computer and Emerging Sciences,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:81eaae945d27f11c,National University of Ireland,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:221eb2f9c9da3e19,National Yunlin University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d60d6f53bb737f8f,Naver (South Korea),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:af28dc8d805f8918,Nirma University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2c4c8a70b915edac,North South University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:13d54640e2e7ec6c,Northeast Agricultural University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:fe8410750f429b37,Nvidia (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:5de5568dbc559111,Oak Ridge National Laboratory,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2e732c4601154ff1,Origin Quantum Computing Technology Company (China),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4ceaa6cde1782dfd,PLA Information Engineering University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:39fe5b3a0cd3dd7c,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:4f596f4cb1eacc17,Pegaso Telematic University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:e7cbd84466f9202b,Pegaso University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:64f282fa6abe9403,Peptidream (Japan),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:1ee9da20656fd88b,Politecnico di Milano,,,,university,,https://www.polimi.it/en,keep,Official English site retains Politecnico di Milano.,0,0,none,false
institution:35caf31d5104b996,"Polytechnic Institute of Turin, Turin, Italy",,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:567dcc53fa2f6dd3,Prince Mohammad bin Fahd University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:312d37d9636306c2,Purdue University West Lafayette,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:77fb2ba62b721cd6,Qilu University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:41f10ac519a66555,Queensland University of Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6b773370c41b47b5,RMIT University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:afc7ba5b733248b6,Rashtrasant Tukadoji Maharaj Nagpur University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:87c744673e7e4d05,SRM Institute of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:81b3058b204793ac,Salesforce (United States),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:457423605fa485bc,Samsung (South Korea),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d86afa08c5895ca3,Samsung Pharm (South Korea),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:49700da520d8842b,Samsung SDS (South Korea),,,,company,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d407d447fe02673c,Sant Gadge Baba Amravati University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:6dc785b2ccdf142c,Satya Wacana Christian University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:9191a7d5e3a9fc0c,Sejong University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2e47d59ad1e8d5a4,Shahid Beheshti University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:932fb42ad74deeea,Shandong Academy of Sciences,,,,research_unit,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:39263f3dbe1e47f9,Shandong Normal University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:a8aa4fcbf3d06d56,Shandong University of Political Science and Law,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:0e65844051a659b1,Shandong University of Science and Technology,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:2c6a3e642dd40a03,Shanghai Public Security Bureau,,,,other,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:07ba242d76aafb0e,Shanghai University of Engineering Science,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
institution:d6f57909282596fe,Shaqra University,,,,university,,,keep,No local-language or alias-promotion candidate signal.,0,0,none,false
