paper_id,display_id,actionable_id,title,year,doi,openalex_url,current_type,current_venue,current_abbreviation,current_track,current_venue_id,proposed_type,proposed_name,proposed_abbreviation,proposed_venue_id,proposed_track,reason,review_type,recommended_action,evidence_url,manual_review,source_fingerprint
,openalex:W4312518338,venue:b91d046704374ec9c3ce:openalex:W4312518338,Deep Learning applied to Road Accident Detection with Transfer Learning and Synthetic Images,2022,10.1016/j.trpro.2022.09.012,https://openalex.org/W4312518338,journal,Transportation research procedia,,,,journal,Transportation Research Procedia,,,,"Procedia is a proceedings series. The deposited journal-article type does not identify the underlying conference; verify the publisher volume, event name, year and track before assigning a canonical venue.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1016%2Fj.trpro.2022.09.012,True,b91d046704374ec9c3ce47011c76a8cf96c304a554879c3a2a8456658653956c
,openalex:W4408853348,venue:d4f89717f10c8075dcfd:openalex:W4408853348,Deepfake Image Detection with Transfer Learning Models,2025,10.17798/bitlisfen.1610300,https://openalex.org/W4408853348,journal,Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,,,venue:bitlis-eren-universitesi-fen-bilimleri-dergisi,journal,Bitlis Eren Üniversitesi Fen Bilimleri Dergisi,,venue:bitlis-eren-universitesi-fen-bilimleri-dergisi,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.17798%2Fbitlisfen.1610300,True,d4f89717f10c8075dcfd3030027813605b7945e0f011c858bd5803c604f299c8
,openalex:W4410253117,venue:06a596d70db33c7331bc:openalex:W4410253117,DeepGuardNet: A Novel CNN Architecture for DeepFake Image Detection,2025,10.1016/j.procs.2025.04.313,https://openalex.org/W4410253117,journal,Procedia Computer Science,,,,journal,Procedia Computer Science,,,,"Procedia is a proceedings series. The deposited journal-article type does not identify the underlying conference; verify the publisher volume, event name, year and track before assigning a canonical venue.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1016%2Fj.procs.2025.04.313,True,06a596d70db33c7331bc415f103a3fd3bc61bd4f6eab05d1e5c6b16ce0b4c813
,openalex:W3012472557,venue:fb3b93af96d2f2ddcc02:openalex:W3012472557,Detecting and Simulating Artifacts in GAN Fake Images,2019,10.1109/wifs47025.2019.9035107,https://openalex.org/W3012472557,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://wifs2024.uniroma3.it/?page_id=12,True,fb3b93af96d2f2ddcc021669368e8c8c2ffd52191b6aa9e4abe2b40b691edbd0
curated:60066ef08c2226131085,openalex:W2975558816,venue:6bdb62ae2034b12a3ce2:curated:60066ef08c2226131085,Detecting GAN Generated Fake Images Using Co-Occurrence Matrices,2019,10.2352/issn.2470-1173.2019.5.mwsf-532,https://openalex.org/W2975558816,journal,Electronic Imaging,,,,conference,Electronic Imaging,,,,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.2352%2Fissn.2470-1173.2019.5.mwsf-532,True,6bdb62ae2034b12a3ce2ab45453449f8958aeaf4117e5891364702b699209db9
,openalex:W4362684513,venue:95627604327e345a9d51:openalex:W4362684513,Detecting GAN-generated synthetic images using semantic inconsistencies,2023,10.2352/ei.2023.35.4.mwsf-380,https://openalex.org/W4362684513,journal,Electronic Imaging,,,,conference,Electronic Imaging,,,,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.2352%2Fei.2023.35.4.mwsf-380,True,95627604327e345a9d511d92cc237f646803e54375c82118ff656bed5ea5bdd7
,openalex:W4402240806,venue:561649d7087e8a9bde0e:openalex:W4402240806,Detection of AI-Generated Synthetic Images with a Lightweight CNN,2024,10.3390/ai5030076,https://openalex.org/W4402240806,journal,AI,,,venue:ai,journal,AI,,venue:ai,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.mdpi.com/subject/computer-math,True,561649d7087e8a9bde0e665dfe54787956c0ab88c719fc5dea942ff3185f96f2
,openalex:W3179128750,venue:25c030630bbe45a5904c:openalex:W3179128750,"Detection, Attribution and Localization of GAN Generated Images",2021,10.2352/issn.2470-1173.2021.4.mwsf-276,https://openalex.org/W3179128750,journal,Electronic Imaging,,,,conference,Electronic Imaging,,,,"Electronic Imaging is deposited as journal-article metadata but also names symposium proceedings. Confirm the paper-level scholarly event (Electronic Imaging or its MWSF conference), publication type and track from the primary proceedings. Electronic Imaging may denote symposium proceedings rather than a journal. Verify this paper's publication container and type.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.2352%2Fissn.2470-1173.2021.4.mwsf-276,True,25c030630bbe45a5904c8f222acfb6bd5ec9d0f58f7fb8cb557c08248bd93f98
curated:2117831292318de4cf18,openalex:W4405845437,venue:8d8a9e89b0a71e7d2bf9:curated:2117831292318de4cf18,Explainable Artifacts for Synthetic Western Blot Source Attribution,2024,10.1109/wifs61860.2024.10810680,https://openalex.org/W4405845437,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://wifs2024.uniroma3.it/?page_id=12,True,8d8a9e89b0a71e7d2bf91b19175e8a9e8fc84a0bf81a161fa7fcfd9506f46f4b
,openalex:W7117537373,venue:d84a8fb82f3e598419f7:openalex:W7117537373,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,2025,10.48550/arxiv.2512.21512,https://openalex.org/W7117537373,preprint,arXiv,,,venue:arxiv,preprint,arXiv,,venue:arxiv,,"arXiv reports a formal publication/acceptance or forthcoming book chapter: Accepted at the 2025 28th International Conference on Computer and Information Technology (ICCIT). 6 pages, 5 figures. Verify the final publisher record and venue before reclassifying.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",http://arxiv.org/abs/2512.21512v1,True,d84a8fb82f3e598419f70cef411ae5c68e695664c5d73d401f3891b5b851c4ce
,openalex:W4394571198,venue:8b0eff3658537c8410dc:openalex:W4394571198,"Generative Visual AI in News Organizations: Challenges, Opportunities, Perceptions, and Policies",2024,10.1080/21670811.2024.2331769,https://openalex.org/W4394571198,journal,Digital Journalism,,,venue:digital-journalism,journal,Digital Journalism,,venue:digital-journalism,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1080%2F21670811.2024.2331769,True,8b0eff3658537c8410dc41c65ba3c7585aa75be0baa95bac6a267489ca858bc1
,openalex:W4409705469,venue:2ad0e1639ef51b71e37d:openalex:W4409705469,Hierarchical Feature Fusion and Enhanced Attention Mechanism for Robust GAN-Generated Image Detection,2025,10.3390/math13091372,https://openalex.org/W4409705469,journal,Mathematics,,,venue:mathematics,journal,Mathematics,,venue:mathematics,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.mdpi.com/subject/computer-math,True,2ad0e1639ef51b71e37d782f5c409f43da01f44348a7255276ede56139ac7db4
,openalex:W4367000238,venue:ec7d5d31817b707a6cc3:openalex:W4367000238,Improving Synthetically Generated Image Detection in Cross-Concept Settings,2023,10.1145/3592572.3592846,https://openalex.org/W4367000238,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,Workshop,venue:mad,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,ec7d5d31817b707a6cc3655eebe6de269d083edb6b448b9782d4746f7678ffb2
,openalex:W2978778164,venue:fb3b93af96d2f2ddcc02:openalex:W2978778164,Incremental learning for the detection and classification of GAN-generated images,2019,10.1109/wifs47025.2019.9035099,https://openalex.org/W2978778164,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1109%2Fwifs47025.2019.9035099,True,fb3b93af96d2f2ddcc021669368e8c8c2ffd52191b6aa9e4abe2b40b691edbd0
,openalex:W7164742316,venue:a15ad1e42aa1dff4e60e:openalex:W7164742316,"Interpol Review of Detection of AI-Generated Image and Video Deepfakes, 2022-2025",2026,10.1016/j.fsisyn.2026.100704,https://openalex.org/W7164742316,journal,Forensic Science International: Synergy,,,venue:forensic-science-international-synergy,journal,Forensic Science International: Synergy,,venue:forensic-science-international-synergy,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1016%2Fj.fsisyn.2026.100704,True,a15ad1e42aa1dff4e60ed6c2493be6aa1a6004f9873966a70fc65c2e30ad89b6
,openalex:W7125199518,venue:af77d4671699b0f395c5:openalex:W7125199518,Methods and trends in detecting AI-generated images: A comprehensive review,2026,10.1016/j.cosrev.2026.100908,https://openalex.org/W7125199518,journal,Computer Science Review,,,venue:computer-science-review,journal,Computer Science Review,,venue:computer-science-review,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1016%2Fj.cosrev.2026.100908,True,af77d4671699b0f395c582c257ea7154c4cec391696999e8e38a94775c8b36ab
,openalex:W4391110866,venue:4f987f3b37c4afe00597:openalex:W4391110866,Multiclass AI-Generated Deepfake Face Detection Using Patch-Wise Deep Learning Model,2024,10.3390/computers13010031,https://openalex.org/W4391110866,journal,Computers,,,venue:computers,journal,Computers,,venue:computers,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.mdpi.com/topics?journal=mathematics&page_no=2,True,4f987f3b37c4afe005978e4767f08c998a1136b7269af64e8e7866dd7759853a
,openalex:W4414739373,venue:fe00bb421f870ca4dc9e:openalex:W4414739373,Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?,2026,10.1145/3810988.3812665,https://openalex.org/W4414739373,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,Workshop,venue:mad,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,fe00bb421f870ca4dc9edc5fc297d22bcaa6649730d69125eacd473f10e2a4cb
curated:56cb44d373ab183b7df9,openalex:W4405846649,venue:528f84de3ba993fb292c:curated:56cb44d373ab183b7df9,On the Use of Mixup Augmentation for Synthetic Image Attribution in the Wild,2024,10.1109/wifs61860.2024.10810696,https://openalex.org/W4405846649,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://wifs2024.uniroma3.it/?page_id=12,True,528f84de3ba993fb292cbd0548e7e161bbeec72fa198b83ba130aada1a570c9b
,openalex:W4318559723,venue:362d09551ceb2402332a:openalex:W4318559723,Revealing and Classification of Deepfakes Video's Images using a Customize Convolution Neural Network Model,2023,10.1016/j.procs.2023.01.237,https://openalex.org/W4318559723,journal,Procedia Computer Science,,,,journal,Procedia Computer Science,,,,"Procedia is a proceedings series. The deposited journal-article type does not identify the underlying conference; verify the publisher volume, event name, year and track before assigning a canonical venue.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1016%2Fj.procs.2023.01.237,True,362d09551ceb2402332a87ede50a5a6f7b5e76251e150b6ec8786fec98099ce3
curated:91645e26cfd2c499fbcc,openalex:W7171930512,venue:e6f8a0e608c0753188f8:curated:91645e26cfd2c499fbcc,Robustness of AI-Art Detectors Under Generator Shift,2026,10.31979/etd.tyr2-z2ce,https://openalex.org/W7171930512,preprint,arXiv,,,venue:arxiv,preprint,arXiv,,venue:arxiv,,"arXiv reports a formal publication/acceptance or forthcoming book chapter: To appear as a chapter in the book ""Artificial Intelligence for Cyber Defense in Emerging Threats"", to be published by Springer by early 2027. Verify the final publisher record and venue before reclassifying. The DOI identifies a dissertation, not one of the four supported publication types; review scope and publication version.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.31979%2Fetd.tyr2-z2ce,True,e6f8a0e608c0753188f8dc3f54ef32704f44599e19c5c09b7fe6556bf2411601
curated:960c6a53879767054f0c,openalex:W4399261681,venue:56416d870a8e62e63106:curated:960c6a53879767054f0c,SIDBench: A Python Framework for Reliably Assessing Synthetic Image Detection Methods,2024,10.1145/3643491.3660277,https://openalex.org/W4399261681,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,Workshop,venue:mad,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,56416d870a8e62e631063cc6e09a8c4b390d8b509f8174752077c2b39721aae4
,openalex:W4381851764,venue:300e97499eca44419ad0:openalex:W4381851764,Testing human ability to detect ‘deepfake’ images of human faces,2023,10.1093/cybsec/tyad011,https://openalex.org/W4381851764,journal,Journal of Cybersecurity,,,venue:journal-of-cybersecurity,journal,Journal of Cybersecurity,,venue:journal-of-cybersecurity,,"Journal abbreviation has not been verified; confirm its established short name from the publisher or a bibliographic authority, or explicitly document that the full name is the standard short form.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1093%2Fcybsec%2Ftyad011,True,300e97499eca44419ad03c6f6e28459a1f451a949df21d57b99e8c1927035e8e
curated:e058b4e851ac44180d82,openalex:W4405846636,venue:6fffda80b77dd9f4255c:curated:e058b4e851ac44180d82,Tiny Autoencoders Are Effective Few-Shot Generative Model Detectors,2024,10.1109/wifs61860.2024.10810686,https://openalex.org/W4405846636,journal,Florence Research (University of Florence),WIFS,Workshop,,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1109%2Fwifs61860.2024.10810686,True,6fffda80b77dd9f4255c568b000f324611579630873f2943b0d199c9ec76209d
curated:e9594b5466110ca009aa,openalex:W7167505904,venue:5e29bb7a61872a9130cb:curated:e9594b5466110ca009aa,Toward Generalizable AI-Generated Image Detection with a New Realistic Dataset: Performance Evaluation and Improvement,2026,10.1109/mmul.2026.3710370,https://openalex.org/W7167505904,journal,IEEE Multimedia,,,,journal,IEEE MultiMedia,MM,venue:ieee-multimedia,,The source-backed journal abbreviation conflicts with another registry identity or alias; confirm a disambiguated standard short name before adding it.,publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://api.crossref.org/works/10.1109%2Fmmul.2026.3710370,True,5e29bb7a61872a9130cb032e32a64c6e747e86f4e9f5447832ac1f49912586cd
curated:3e707a16418405139945,openalex:W4415330533,venue:e5d1e777de674e5bce59:curated:3e707a16418405139945,Towards Generalizable AI-Generated Image Detection via Image-Adaptive Prompt Learning,2025,10.48550/arxiv.2508.01603,https://openalex.org/W4415330533,conference,Computer Vision and Pattern Recognition,,,,,,,,,Venue identity/type/standard abbreviation is not verified in the registry; check the publisher or proceedings and select/create a canonical venue.,publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",,True,e5d1e777de674e5bce59fadbae7b8480c91202b32337f54ea431882863b7a2e6
curated:ee47e898ad64ec14b709,openalex:W7148430317,venue:2554ad4924f842b3fb29:curated:ee47e898ad64ec14b709,Training-Free Source Attribution of AI-Generated Images via Resynthesis,2025,10.1109/wifs66636.2025.00028,https://openalex.org/W7148430317,conference,IEEE International Workshop on Information Forensics and Security,WIFS,Workshop,venue:wifs,conference,IEEE International Workshop on Information Forensics and Security,WIFS,venue:wifs,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://wifs2024.uniroma3.it/?page_id=12,True,2554ad4924f842b3fb29dd972527f4f11c043dccbd16ae32045c1c8c364d2bb8
curated:0d918782407e05ade5bd,openalex:W7164758918,venue:f80227a049f4746a47bb:curated:0d918782407e05ade5bd,Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion,2026,10.1145/3810988.3812660,https://openalex.org/W7164758918,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,Workshop,venue:mad,conference,ACM International Workshop on Multimedia AI against Disinformation,MAD,venue:mad,Main,"This is a standalone scholarly workshop venue. Its name alone does not establish a Workshop subtrack; confirm Main versus an actual nested workshop track from the paper/program, preserving the venue identity.",publication_venue,"Verify source, then Open / Edit and save the confirmed venue/type.",https://www.sigmm.org/opentoc/MAD2022-TOC,True,f80227a049f4746a47bb64b20c6c7a400e8c23a8b5becfe9c1e43a6dc10e99b9
