canonical_paper_identity,title,year,doi,openalex_url,in_scope,review_status,needs_review,publication_type,venue_type,venue_id,venue_label,ambiguity_status,map_record_count,trace_result
openalex:https://openalex.org/w7131117798,CatAID: Category-Guided AI-Generated Image Detection via Vision-Language Model Adaptation,2025,https://doi.org/10.1109/iccvw69036.2025.00166,https://openalex.org/W7131117798,True,,True,journal,journal,,,unresolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413146055,CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,True,,True,journal,journal,,,unresolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417529984,Code-in-the-Loop Forensics: Agentic Tool Use for Image Forgery Detection,2025,https://doi.org/10.48550/arxiv.2512.16300,https://openalex.org/W4417529984,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413155783,Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,10.1109/cvpr52734.2025.00772,https://openalex.org/W4413155783,True,,True,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417052422,Composite Data Augmentations for Synthetic Image Detection Against Real-World Perturbations,2025,https://doi.org/10.23919/eusipco63237.2025.11226549,https://openalex.org/W4417052422,True,,True,journal,journal,,,unresolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417166521,E2GenF: Universal AIGC image detection based on edge enhanced generalizable features,2025,https://doi.org/10.1016/j.patrec.2025.12.001,https://openalex.org/W4417166521,True,,True,journal,journal,venue:pattern-recognition-letters:main,Journal · Pattern Recognition Letters,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4409917780,Enhancing Synthetic Generated-Images Detection through Post-Hoc Calibration,2025,10.1109/wacvw65960.2025.00087,https://openalex.org/W4409917780,True,,True,conference,conference,venue:ieee-cvf-winter-conference-on-applications-of-computer-vision:main,Conference · IEEE/CVF Winter Conference on Applications of Computer Vision (WACVW),unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4410888267,Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,10.1007/978-3-031-92648-8_24,https://openalex.org/W4410888267,True,,True,book,book,venue:lncs:main,Book · Lecture Notes in Computer Science (LNCS),resolved,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4415538223,ExDA: Towards Universal Detection and Plug-and-Play Attribution of AI-Generated Ex-Regulatory Images,2025,https://doi.org/10.1145/3746027.3755434,https://openalex.org/W4415538223,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417056138,FakeScope: Large Multimodal Expert Model for Transparent AI-Generated Image Forensics,2025,https://doi.org/10.48550/arxiv.2503.24267,https://openalex.org/W4417056138,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414789480,FerretNet: Efficient Synthetic Image Detection via Local Pixel Dependencies,2025,https://doi.org/10.48550/arxiv.2509.20890,https://openalex.org/W4414789480,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414577086,Few-Shot Class-Incremental Model Attribution Using Learnable Representation From CLIP-ViT Features,2025,https://doi.org/10.48550/arxiv.2503.08148,https://openalex.org/W4414577086,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413145084,FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,https://doi.org/10.1109/cvpr52734.2025.01197,https://openalex.org/W4413145084,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7117537373,Fixed-Threshold Evaluation of a Hybrid CNN-ViT for AI-Generated Image Detection Across Photos and Art,2025,10.48550/arxiv.2512.21512,https://openalex.org/W7117537373,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4416610205,Fooling the Watchers: Breaking AIGC Detectors via Semantic Prompt Attacks,2025,10.48550/arxiv.2505.23192,https://openalex.org/W4416610205,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417093490,ForensicHub: A Unified Benchmark &amp; Codebase for All-Domain Fake Image Detection and Localization,2025,10.48550/arxiv.2505.11003,https://openalex.org/W4417093490,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413156425,Forensics-Bench: A Comprehensive Forgery Detection Benchmark Suite for Large Vision Language Models,2025,https://doi.org/10.1109/cvpr52734.2025.00400,https://openalex.org/W4413156425,True,,True,journal,journal,,,unresolved,9,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w7160017581,ForgeLens: Data-Efficient Forgery Focus for Generalizable Forgery Image Detection,2025,https://doi.org/10.1109/iccv51701.2025.01510,https://openalex.org/W7160017581,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4415935817,From Evidence to Verdict: An Agent-Based Forensic Framework for AI-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2511.00181,https://openalex.org/W4415935817,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4410487490,GCS-Net: A universal AI-generated visual content detection method based on CLIP,2025,https://doi.org/10.1016/j.knosys.2025.113806,https://openalex.org/W4410487490,True,,True,journal,journal,venue:knowledge-based-systems:main,Journal · Knowledge-Based Systems,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414578321,Generalizable AI-Generated Image Detection Based on Fractal Self-Similarity in the Spectrum,2025,https://doi.org/10.48550/arxiv.2503.08484,https://openalex.org/W4414578321,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4417526972,Harnessing attention for cropping and fusion in CLIP-based AIGC detection,2025,https://doi.org/10.1016/j.neucom.2025.132482,https://openalex.org/W4417526972,True,,True,journal,journal,venue:neurocomputing:main,Journal · Neurocomputing,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4409917519,HFMF: Hierarchical Fusion Meets Multi-Stream Models for Deepfake Detection,2025,https://doi.org/10.1109/wacvw65960.2025.00082,https://openalex.org/W4409917519,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4415343792,LATTE: Latent Trajectory Embedding for Diffusion-Generated Image Detection,2025,https://doi.org/10.48550/arxiv.2507.03054,https://openalex.org/W4415343792,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414903171,LEGION: Learning to Ground and Explain for Synthetic Image Detection,2025,https://doi.org/10.1109/iccv51701.2025.01760,https://openalex.org/W4414903171,True,,True,preprint,preprint,,,unresolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414827699,LoRAX: LoRA eXpandable Networks for Continual Synthetic Image Attribution,2025,https://doi.org/10.48550/arxiv.2504.08149,https://openalex.org/W4414827699,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414970554,Mirage: Unveiling Hidden Artifacts in Synthetic Images with Large Vision-Language Models,2025,10.48550/arxiv.2510.03840,https://openalex.org/W4414970554,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413145584,OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,https://doi.org/10.1109/cvpr52734.2025.00405,https://openalex.org/W4413145584,True,,True,journal,journal,,,unresolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4406657393,Optimized Frequency Collaborative Strategy Drives AI Image Detection,2025,https://doi.org/10.1109/jiot.2025.3531053,https://openalex.org/W4406657393,True,,True,journal,journal,venue:ieee-internet-of-things-journal:main,Journal · IEEE Internet of Things Journal,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4416260579,Robust AI-Synthesized Image Detection via Multi-feature Frequency-Aware Learning,2025,https://doi.org/10.1007/978-981-95-3001-4_12,https://openalex.org/W4416260579,True,,True,book,book,venue:lncs:main,Book · Lecture Notes in Computer Science (LNCS),resolved,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4413146372,Secret Lies in Color: Enhancing AI-Generated Images Detection with Color Distribution Analysis,2025,https://doi.org/10.1109/cvpr52734.2025.01255,https://openalex.org/W4413146372,True,,True,journal,journal,,,unresolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4414487140,Semantic Discrepancy-Aware Detector for Image Forgery Identification,2025,https://doi.org/10.1109/iccv51701.2025.01709,https://openalex.org/W4414487140,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4408355373,Spatial-Temporal Reconstruction Error for AIGC-based Forgery Image Detection,2025,https://doi.org/10.1109/icassp49660.2025.10890455,https://openalex.org/W4408355373,True,,True,journal,journal,,,unresolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4409917584,TextureCrop: Enhancing Synthetic Image Detection Through Texture-Based Cropping,2025,https://doi.org/10.1109/wacvw65960.2025.00160,https://openalex.org/W4409917584,True,,True,journal,journal,,,unresolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4393375171,A guided-based approach for deepfake detection: RGB-depth integration via features fusion,2024,10.1016/j.patrec.2024.03.025,https://openalex.org/W4393375171,True,,True,journal,journal,venue:pattern-recognition-letters:main,Journal · Pattern Recognition Letters,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4400716502,"A Survey of Defenses Against AI-Generated Visual Media: Detection,Disruption, and Authentication",2024,10.48550/arxiv.2407.10575,https://openalex.org/W4400716502,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4405945632,Addressing Diffusion Model Based Counter-Forensic Image Manipulation for Synthetic Image Detection,2024,10.1145/3702250.3702296,https://openalex.org/W4405945632,True,,True,conference,conference,venue:indian-conference-on-computer-vision-graphics-and-image-processing:main,Conference · Indian Conference on Computer Vision Graphics and Image Processing,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4392737360,Data-Independent Operator: A Training-Free Artifact Representation Extractor for Generalizable Deepfake Detection,2024,10.48550/arxiv.2403.06803,https://openalex.org/W4392737360,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4393063559,Deepfake Detection without Deepfakes: Generalization via Synthetic Frequency Patterns Injection,2024,10.48550/arxiv.2403.13479,https://openalex.org/W4393063559,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4400616829,Detecting Artificial Intelligence-Generated images via deep trace representations and interactive feature fusion,2024,10.1016/j.inffus.2024.102578,https://openalex.org/W4400616829,True,,True,journal,journal,venue:information-fusion:main,Journal · Information Fusion,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4399911107,Development of a Dual-Input Neural Model for Detecting AI-Generated Imagery,2024,10.48550/arxiv.2406.13688,https://openalex.org/W4399911107,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4394624427,Enhancing the Generalization of Synthetic Image Detection Models through the Exploration of Features in Deep Detection Models,2024,10.1109/mvip62238.2024.10491148,https://openalex.org/W4394624427,True,,True,conference,conference,venue:iranian-3rd-international-machine-vision-and-image-processing-conference:main,Conference · Iranian/3rd International Machine Vision and Image Processing Conference (MVIP),unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4395064829,FakeBench: Probing Explainable Fake Image Detection via Large Multimodal Models,2024,10.48550/arxiv.2404.13306,https://openalex.org/W4395064829,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4393968982,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,10.48550/arxiv.2404.02726,https://openalex.org/W4393968982,True,,True,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4405895672,High-resolution network-based multi-feature fusion for generalized forgery detection,2024,https://doi.org/10.1007/s00530-024-01626-z,https://openalex.org/W4405895672,True,,True,journal,journal,venue:multimedia-systems:main,Journal · Multimedia Systems,unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4391433395,MDTL-NET: Computer-generated image detection based on multi-scale deep texture learning,2024,10.1016/j.eswa.2024.123368,https://openalex.org/W4391433395,True,,True,journal,journal,venue:expert-systems-with-applications:main,Journal · Expert Systems with Applications,unmapped,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4395447483,MMGANGuard: A Robust Approach for Detecting Fake Images Generated by GANs Using Multi-Model Techniques,2024,10.1109/access.2024.3393842,https://openalex.org/W4395447483,True,,True,journal,journal,venue:ieee-access:main,Journal · IEEE Access,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4398184526,Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,10.1145/3665497,https://openalex.org/W4398184526,True,,True,journal,journal,venue:acm-transactions-on-multimedia-computing-communications-and-applications:main,Journal · ACM Transactions on Multimedia Computing Communications and Applications,unmapped,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4402594796,Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,10.1109/avss61716.2024.10672612,https://openalex.org/W4402594796,True,,True,conference,conference,venue:ieee-international-conference-on-advanced-video-and-signal-based-surveillance:main,Conference · IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),unmapped,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4405254427,Take Fake as Real: Realistic-like Robust Black-box Adversarial Attack to Evade AIGC Detection,2024,10.48550/arxiv.2412.06727,https://openalex.org/W4405254427,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4399151866,Text Modality Oriented Image Feature Extraction for Detecting Diffusion-based DeepFake,2024,10.48550/arxiv.2405.18071,https://openalex.org/W4399151866,True,,True,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4393610334,TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter,2024,10.5281/zenodo.8031784,https://openalex.org/W4393610334,True,,True,preprint,preprint,venue:zenodo:main,Preprint · Zenodo,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4393379633,Unsupervised Generative Fake Image Detector,2024,10.1109/tcsvt.2024.3383833,https://openalex.org/W4393379633,True,,True,journal,journal,venue:ieee-transactions-on-circuits-and-systems-for-video-technology:main,Journal · IEEE Transactions on Circuits and Systems for Video Technology,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4387994353,AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors,2023,10.48550/arxiv.2310.17419,https://openalex.org/W4387994353,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4322760013,Benchmarking Deepart Detection,2023,10.48550/arxiv.2302.14475,https://openalex.org/W4322760013,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,5,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4376461282,CSC-Net: Cross-Color Spatial Co-Occurrence Matrix Network for Detecting Synthesized Fake Images,2023,10.1109/tcds.2023.3274450,https://openalex.org/W4376461282,True,,True,journal,journal,venue:ieee-transactions-on-cognitive-and-developmental-systems:main,Journal · IEEE Transactions on Cognitive and Developmental Systems,unmapped,6,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4389983109,DeepArt: A Benchmark to Advance Fidelity Research in AI-Generated Content,2023,10.48550/arxiv.2312.10407,https://openalex.org/W4389983109,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4390191016,Detecting Images Generated by Deep Diffusion Models using their Local Intrinsic Dimensionality,2023,10.1109/iccvw60793.2023.00051,https://openalex.org/W4390191016,True,,True,conference,conference,venue:ieee-cvf-international-conference-on-computer-vision:main,Conference · IEEE/CVF International Conference on Computer Vision (ICCVW),unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4389421609,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,10.48550/arxiv.2312.02625,https://openalex.org/W4389421609,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4388002730,Exposing fake images generated by text-to-image diffusion models,2023,10.1016/j.patrec.2023.10.021,https://openalex.org/W4388002730,True,,True,journal,journal,venue:pattern-recognition-letters:main,Journal · Pattern Recognition Letters,unmapped,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4385473656,Model Synthesis for Zero-Shot Model Attribution,2023,https://doi.org/10.48550/arxiv.2307.15977,https://openalex.org/W4385473656,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4385800597,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,10.1109/cvprw59228.2023.00102,https://openalex.org/W4385800597,True,,True,conference,conference,venue:ieee-cvf-conference-on-computer-vision-and-pattern-recognition:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPRW),unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4386075764,Progressive Open Space Expansion for Open-Set Model Attribution,2023,10.1109/cvpr52729.2023.01522,https://openalex.org/W4386075764,True,,False,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3196551054,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,2022,10.1109/wacv51458.2022.00293,https://openalex.org/W3196551054,True,,True,conference,conference,venue:wacv:main,Conference · IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),resolved,3,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w4313189772,Detecting Generated Images by Real Images,2022,10.1007/978-3-031-19781-9_6,https://openalex.org/W4313189772,True,,True,book,book,venue:lncs:main,Book · Lecture Notes in Computer Science (LNCS),resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3147384726,A Closer Look at Fourier Spectrum Discrepancies for CNN-generated Images Detection,2021,10.1109/cvpr46437.2021.00712,https://openalex.org/W3147384726,True,,True,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),resolved,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3149674875,Are GAN Generated Images Easy to Detect? A Critical Analysis of the State-Of-The-Art,2021,10.1109/icme51207.2021.9428429,https://openalex.org/W3149674875,True,,False,conference,conference,venue:ieee-international-conference-on-multimedia-and-expo:main,Conference · IEEE International Conference on Multimedia and Expo (ICME),unmapped,1,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3187526215,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,10.24963/ijcai.2021/349,https://openalex.org/W3187526215,True,,True,conference,conference,venue:thirtieth-international-joint-conference-on-artificial-intelligence:main,Conference · Thirtieth International Joint Conference on Artificial Intelligence,unmapped,2,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3034577585,CNN-Generated Images Are Surprisingly Easy to Spot… for Now,2020,10.1109/cvpr42600.2020.00872,https://openalex.org/W3034577585,True,,True,conference,conference,venue:cvpr:main,Conference · IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),resolved,4,valid baseline-only record absent from current partial source snapshot
openalex:https://openalex.org/w3134567460,On Attribution of Deepfakes,2020,10.48550/arxiv.2008.09194,https://openalex.org/W3134567460,True,,False,preprint,preprint,venue:arxiv:main,Preprint · arXiv,resolved,3,valid baseline-only record absent from current partial source snapshot
