paper_id,title,field,authoritative_source,canonical_normalization_rule,expected_public_representation,blank_allowed,intentional_display_transformation,source_value,admin_value,public_papers_value,public_map_values,classification,pipeline_layer,details
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,affiliations,active curated mappings or source fallback when unreviewed,"ordered institution IDs, names, and attributed authors",author_institution_affiliations/affiliations,true,institution names and locations are formatted only,,"[[""institution:e808c43481f24251"",""novosibirsk state technical university"",[""egor antonyants"",""anna aletdinova"",""alexander leontiev"",""vitalii zaozernov""]]]","[[""institution:e808c43481f24251"",""novosibirsk state technical university"",[""egor antonyants"",""anna aletdinova"",""alexander leontiev"",""vitalii zaozernov""]]]","[""[[\""institution:e808c43481f24251\"",\""novosibirsk state technical university\"",[\""egor antonyants\"",\""anna aletdinova\"",\""alexander leontiev\"",\""vitalii zaozernov\""]]]""]",CONSISTENT,,
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,author_institution_attribution,active paper–institution mappings,ordered author to institution-ID assignments,author_institution_indices,true,superscript indices are derived from exported ordering,,"[[""alexander leontiev"",[""institution:e808c43481f24251""]],[""anna aletdinova"",[""institution:e808c43481f24251""]],[""egor antonyants"",[""institution:e808c43481f24251""]],[""vitalii zaozernov"",[""institution:e808c43481f24251""]]]","[[""alexander leontiev"",[""institution:e808c43481f24251""]],[""anna aletdinova"",[""institution:e808c43481f24251""]],[""egor antonyants"",[""institution:e808c43481f24251""]],[""vitalii zaozernov"",[""institution:e808c43481f24251""]]]","[""[[\""alexander leontiev\"",[\""institution:e808c43481f24251\""]],[\""anna aletdinova\"",[\""institution:e808c43481f24251\""]],[\""egor antonyants\"",[\""institution:e808c43481f24251\""]],[\""vitalii zaozernov\"",[\""institution:e808c43481f24251\""]]]""]",DISPLAY_ONLY,public→frontend/CSV,superscript indices are derived from exported ordering
curated:2e30b7cfd7b0c6f427f1,A Comparative Study of Classification Methods for Real and AI-Generated Images with Frequency Feature Analysis,location_ids,confirmed institution locations for map-eligible relationships,ordered unique location IDs,map location_id; paper summaries intentionally omit IDs,true,location labels are display transformations,,"[""location:0a0d27aa74b6df9808a3""]","[""location:0a0d27aa74b6df9808a3""]","[""[\""location:0a0d27aa74b6df9808a3\""]""]",DISPLAY_ONLY,confirmed locations→map/frontend,Location IDs remain on map records; Paper Details displays labels.
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,paper_id,data/curated/papers.csv + normalized exporter overlays,trim; exact stable ID,paper_id when locally curated; external identity otherwise,true,not reconstructed for display,curated:1eb949d2e1adca5bb6cf,curated:1eb949d2e1adca5bb6cf,curated:1eb949d2e1adca5bb6cf,"[""curated:1eb949d2e1adca5bb6cf""]",CONSISTENT,,
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,title,data/curated/papers.csv + normalized exporter overlays,Unicode NFKC; collapse whitespace,canonical title string,false,typographic markup only,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,a debiased reconstruction-based framework for training-free detection of ai-generated images,a debiased reconstruction-based framework for training-free detection of ai-generated images,"[""a debiased reconstruction-based framework for training-free detection of ai-generated images""]",DISPLAY_ONLY,public→frontend/CSV,typographic markup only
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,authors,data/curated/papers.csv + normalized exporter overlays,ordered Unicode-normalized names,ordered author objects/names,false,joined with punctuation and affiliation superscripts,Sungik Choi; Hankook Lee; Jaehoon Lee; Robin Kim; Stanley Jungkyu Choi; Moontae Lee,"[""sungik choi"",""hankook lee"",""jaehoon lee"",""robin kim"",""stanley jungkyu choi"",""moontae lee""]","[""sungik choi"",""hankook lee"",""jaehoon lee"",""robin kim"",""stanley jungkyu choi"",""moontae lee""]","[""[\""sungik choi\"",\""hankook lee\"",\""jaehoon lee\"",\""robin kim\"",\""stanley jungkyu choi\"",\""moontae lee\""]""]",DISPLAY_ONLY,public→frontend/CSV,joined with punctuation and affiliation superscripts
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,publication_year,data/curated/papers.csv + normalized exporter overlays,integer year,publication_year and year agree,false,decimal year label,2026,2026,2026,"[""2026""]",DISPLAY_ONLY,public→frontend/CSV,decimal year label
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,publication_date,data/curated/papers.csv + normalized exporter overlays,ISO date string,publication_date,true,display may omit missing date,,,,[],MISSING_OPTIONAL,authoritative/public,Optional metadata is not available; no value was inferred.
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,venue,data/curated/papers.csv + normalized exporter overlays,canonical venue name; blank for books,venue_name/venue,true,venue_label may add acronym/track,IEEE/CVF Conference on Computer Vision and Pattern Recognition,ieee/cvf conference on computer vision and pattern recognition,ieee/cvf conference on computer vision and pattern recognition,"[""ieee/cvf conference on computer vision and pattern recognition""]",DISPLAY_ONLY,public→frontend/CSV,venue_label may add acronym/track
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,publication_type,data/curated/papers.csv + normalized exporter overlays,conference|journal|preprint|book,publication_type,false,title-cased label,conference,conference,conference,"[""conference""]",CONSISTENT,,
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,doi,data/curated/papers.csv + normalized exporter overlays,canonical lowercase DOI without URL prefix,doi,true,link is rendered as https://doi.org/<doi>,,,,[],MISSING_OPTIONAL,authoritative/public,Optional metadata is not available; no value was inferred.
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,arxiv_id,data/curated/papers.csv + normalized exporter overlays,base arXiv ID without URL/version suffix,arxiv_id,true,link is rendered as https://arxiv.org/abs/<id>,,,,[],MISSING_OPTIONAL,authoritative/public,Optional metadata is not available; no value was inferred.
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,task,data/curated/papers.csv + normalized exporter overlays,canonical task enum,task,false,human-readable label,detection,detection,detection,"[""detection""]",DISPLAY_ONLY,public→frontend/CSV,human-readable label
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,paper_categories,data/curated/papers.csv + normalized exporter overlays,ordered canonical category enum,paper_categories,true,human-readable badges,"[""method""]","[""method""]","[""method""]","[""[\""method\""]""]",DISPLAY_ONLY,public→frontend/CSV,human-readable badges
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,source_database,data/curated/papers.csv + normalized exporter overlays,case-insensitive source label,source_database,true,not used to replace factual metadata,manual,manual,manual,"[""curated""]",DISPLAY_ONLY,public→frontend/CSV,not used to replace factual metadata
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,metadata_source,data/curated/papers.csv + normalized exporter overlays,case-insensitive public source label,metadata_source,true,may be summarized as public provenance,manual,manual,manual,"[""manual""]",DISPLAY_ONLY,public→frontend/CSV,may be summarized as public provenance
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,review_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,review_status,true,normalized only for metadata status,reviewed,reviewed,reviewed,[],DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,curation_status,data/curated/papers.csv + normalized exporter overlays,scope-aware public status mapping,curation_status,true,normalized only for metadata status,confirmed,confirmed,confirmed,"[""confirmed""]",DISPLAY_ONLY,public→frontend/CSV,normalized only for metadata status
curated:1eb949d2e1adca5bb6cf,A Debiased Reconstruction-Based Framework for Training-Free Detection of AI-Generated Images,affiliations,active curated mappings or source fallback when unreviewed,"ordered institution IDs, names, and attributed authors",author_institution_affiliations/affiliations,true,institution names and locations are formatted only,,"[[""institution:3103fb7db9011c4c"",""lg ai research"",[""sungik choi"",""jaehoon lee"",""stanley jungkyu choi"",""moontae lee""]],[""institution:e80b94c605da24ce"",""sungkyunkwan university"",[""hankook lee""]],[""institution:304707b21fcfbd4d"",""university of massachusetts amherst"",[""robin kim""]]]","[[""institution:3103fb7db9011c4c"",""lg ai research"",[""sungik choi"",""jaehoon lee"",""stanley jungkyu choi"",""moontae lee""]],[""institution:e80b94c605da24ce"",""sungkyunkwan university"",[""hankook lee""]],[""institution:304707b21fcfbd4d"",""university of massachusetts amherst"",[""robin kim""]]]","[""[[\""institution:3103fb7db9011c4c\"",\""lg ai research\"",[\""sungik choi\"",\""jaehoon lee\"",\""stanley jungkyu choi\"",\""moontae lee\""]],[\""institution:e80b94c605da24ce\"",\""sungkyunkwan university\"",[\""hankook lee\""]],[\""institution:304707b21fcfbd4d\"",\""university of massachusetts amherst\"",[\""robin kim\""]]]""]",CONSISTENT,,
