institution,canonical_institution_name,institution_id,detected_language,related_paper_id,title,year,doi,openalex_url,institution_authors,raw_affiliation,evidence_source,evidence_url,suggested_city,suggested_country,matched_institution,suggested_canonical_institution,match_method,similarity_score,confidence,openalex_institution_id,ror_id,wikidata_id,review_status,location_status,coordinate_status,created_at,updated_at
"Yonsei University, Sinchon Campus","Yonsei University, Sinchon Campus",institution:42992b97b8e05dd4,,curated:1332f5c35b9ac943f349,FLODA: Harnessing Vision-Language Models for Deepfake Assessment,2025,10.1109/icce63647.2025.10929816,https://openalex.org/W4408861326,Gunhui Han,"Department of Mechanical Engineering, Yonsei University, Seoul, Republic of Korea",PDF,https://ieeexplore.ieee.org/document/10929816,,,,,,,,,,,confirmed,known,known,2026-06-29T20:14:29Z,2026-07-01T14:03:36Z
Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security,institution:91e76fe32279c58d,,curated:47b576be1ed7e2a6bfed,"Fully AI-Generated Image Detection: Definition, Recent Advances and Challenges",2025,10.48550/arxiv.2502.19716,https://openalex.org/W4416149370,Qijie Xu; Can Wang; Jiawei Chen,"Hangzhou High-Tech Zone (Binjiang) Institute of Blockchain and Data Security, Hangzhou, China",PDF,https://arxiv.org/pdf/2502.19716,,,,,,,,,,,confirmed,known,known,2026-06-29T20:23:05Z,2026-07-01T14:03:36Z
Queen's University,Queen's University,institution:2469c3505064216c,,curated:e688194977fa7bbf7db3,LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,2025,10.1109/pst65910.2025.11268874,https://openalex.org/W4416961862,Nicholas Chivaran; Jianbing Ni,"Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada",PDF,https://ieeexplore.ieee.org/document/11268874,,,,,,,,,,,confirmed,known,known,2026-06-29T20:25:16Z,2026-07-01T14:03:36Z
Polytechnic University of Hauts-de-France,Polytechnic University of Hauts-de-France,institution:1e2fe2432a089705,,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Mamadou Keita; Hessen B. Eutamene; Abdelmalik Taleb-Ahmed,"Laboratory of IEMN, Polytechnic University of Hauts-de-France, Valenciennes, France",PDF,https://dl.acm.org/doi/pdf/10.1145/3746265.3759667,,,,,,,,,,,confirmed,known,known,2026-06-29T20:32:46Z,2026-07-01T14:03:36Z
Khalifa University,Khalifa University,institution:81f79a387128ccac,,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Wassim Hamidouche,"Khalifa University, Abu Dhabi, UAE",PDF,https://dl.acm.org/doi/pdf/10.1145/3746265.3759667,,,,,,,,,,,confirmed,known,known,2026-06-29T20:33:16Z,2026-07-01T14:03:36Z
Sorbonne University,Sorbonne University Abu Dhabi,institution:271362b3e1310a1c,,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Abdenour Hadid,"Sorbonne Center for Artificial Intelligence, Sorbonne University, Abu Dhabi, UAE",PDF,https://dl.acm.org/doi/pdf/10.1145/3746265.3759667,,,,,,,,,,,confirmed,known,known,2026-06-29T20:34:15Z,2026-07-01T03:56:35Z
Tamkang University,Tamkang University,institution:6d607bd40551e45f,,curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,10.1109/access.2025.3597641,https://openalex.org/W4413213177,Meng-Luen Wu; Cheng-Pin Cheng,"Department of Computer Science and Information Engineering, Tamkang University, New Taipei City 251301, Taiwan",PDF,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11122535,,,,,,,,,,,confirmed,known,known,2026-06-29T20:35:58Z,2026-07-01T14:03:36Z
University of Technology of Troyes,University of Technology of Troyes,institution:bf0065cf4529e953,,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,Antoine Mallet; Arthur Méreur; Rémi Cogranne,"Computer Science and Digital Society Lab, University of Technology of Troyes, Troyes, France; University of Technology of Troyes, Troyes, France",PDF,https://ieeexplore.ieee.org/document/11159445,,,,,,,,,,,confirmed,known,known,2026-06-29T20:39:47Z,2026-07-01T14:03:36Z
"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan","Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",institution:060062d7bc15b07c,,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,Minoru Kuribayashi,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",PDF,https://ieeexplore.ieee.org/document/11159445,,,,,,,,,,,confirmed,known,known,2026-06-29T20:40:27Z,2026-07-01T14:03:36Z
Université de Lille,University of Lille,institution:c76018a960d2cd12,,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,Patrick Bas,"UMR 9189 CRIStAL, Univ. Lille, CNRS, Centrale Lille, Lille, France",PDF,https://ieeexplore.ieee.org/document/11159445,,,,,,,,,,,confirmed,known,known,2026-06-29T20:41:01Z,2026-07-01T14:03:36Z
University of Wisconsin-Madison,University of Wisconsin-Madison,institution:3e2e527953176c93,,curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,10.48550/arxiv.2502.07778,https://openalex.org/W4407425880,Anirudh Sundara Rajan; Yong Jae Lee,,PDF,https://arxiv.org/pdf/2502.07778,,,,,,,,,,,confirmed,known,known,2026-06-29T20:41:51Z,2026-07-01T14:03:36Z
NEC Laboratories America,NEC Laboratories America,institution:2b91b5917e5279ea,,curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,10.48550/arxiv.2505.01008,https://openalex.org/W4414769856,Wei Cheng; Haifeng Chen,NEC Laboratories America,PDF,https://arxiv.org/pdf/2505.01008,,,,,,,,,,,confirmed,known,known,2026-06-29T20:44:24Z,2026-07-01T14:03:36Z
École Polytechnique,École Polytechnique,institution:678fbbc18157fd45,,curated:a6f370defb21b2e07381,Your Diffusion Model is an Implicit Synthetic Image Detector,2025,10.1007/978-3-031-92648-8_25,https://openalex.org/W4403147633,Xi Wang; Vicky Kalogeiton,"LIX, CNRS, École Polytechnique, IP Paris, Paris, France",PDF,https://link.springer.com/chapter/10.1007/978-3-031-92648-8_25,,,,,,,,,,,confirmed,known,known,2026-06-29T20:46:02Z,2026-07-01T14:03:36Z
University of Bergen,University of Bergen,institution:b978b6dfc7b3baa0,,curated:253c210194ac9348f9e6,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,10.1145/3652583.3658035,https://openalex.org/W4399418483,Sohail Ahmed Khan; Duc-Tien Dang-Nguyen,,PDF,https://dl.acm.org/doi/10.1145/3652583.3658035,,,,,,,,,,,confirmed,known,known,2026-06-29T20:48:34Z,2026-07-01T14:03:36Z
Leonardo S.p.A.,Leonardo S.p.A.,institution:8ca93bff11a3be9e,,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,Alessandro Nicolosi,"Leonardo S.p.A., Rome, Italy",PDF,https://link.springer.com/chapter/10.1007/978-3-031-73036-8_12,,,,,,,,,,,confirmed,known,known,2026-06-29T20:50:58Z,2026-07-01T14:03:36Z
Purdue University,Purdue University,institution:90b589325857dff0,,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Yewon Lim; Changyeon Lee,"Computer and Information Technology, Purdue University, West Lafayette, IN, United States",PDF,https://arxiv.org/pdf/2406.00856,,,Purdue University,,,,,,,,confirmed,known,known,2026-06-29T21:01:30Z,2026-07-01T14:03:36Z
Miraflow,Miraflow,institution:a1b609b0fc5c2e23,,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Yewon Lim; Changyeon Lee; Aerin Kim,"Miraflow, Kirkland, WA, United States",PDF,https://arxiv.org/pdf/2406.00856,,,,,,,,,,,confirmed,known,known,2026-06-29T21:01:59Z,2026-07-01T14:03:36Z
TrueMedia,TrueMedia,institution:4bff7ae080547794,,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Aerin Kim; Oren Etzioni,"TrueMedia.org, Seattle, WA, United States",PDF,https://arxiv.org/pdf/2406.00856,,,,,,,,,,,excluded,missing,missing,2026-06-29T21:02:30Z,2026-07-01T05:44:13Z
TrueMedia.org,TrueMedia.org,institution:2592e804f95fa542,,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Aerin Kim; Oren Etzioni,"TrueMedia.org, Seattle, WA, United States",PDF,https://arxiv.org/pdf/2406.00856,,,,,,,,,,,confirmed,known,known,2026-06-29T21:03:25Z,2026-07-01T14:03:36Z
Massachusetts Institute of Technology,Massachusetts Institute of Technology,institution:366058c27e343874,,curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,10.1109/cvpr52733.2024.01023,https://openalex.org/W4402726899,George Cazenavette,Massachusetts Institute of Technology,PDF,https://ieeexplore.ieee.org/document/10655308/,,,,,,,,,,,confirmed,known,known,2026-06-29T21:06:37Z,2026-07-01T14:03:36Z
Google Research,Google Research,institution:35e36dc1a5213fa3,,curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,10.1109/cvpr52733.2024.01023,https://openalex.org/W4402726899,Avneesh Sud; Thomas Leung; Ben Usman,Google Research,PDF,https://ieeexplore.ieee.org/document/10655308/,,,,,,,,,,,confirmed,known,known,2026-06-29T21:07:01Z,2026-07-01T14:03:36Z
Polytechnic University of Hauts-de-France,Polytechnic University of Hauts-de-France,institution:1e2fe2432a089705,,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,Mamadou Keita; Hessen Bougueffa Eutamene; Abdelmalik Taleb-Ahmed,"Laboratory of IEMN, Univ. Polytechnique Hauts-de-France, Valenciennes, France",PDF,https://link.springer.com/chapter/10.1007/978-3-031-78305-0_11,,,,,,,,,,,confirmed,known,known,2026-06-29T21:11:05Z,2026-07-01T14:03:36Z
Université de Rennes,University of Rennes,institution:6c246ba350e11d5f,,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,Wassim Hamidouche,"Univ. Rennes, INSA Rennes, CNRS, IETR - UMR 6164, Rennes, France",PDF,https://link.springer.com/chapter/10.1007/978-3-031-78305-0_11,,,,,,,,,,,confirmed,known,known,2026-06-29T21:11:34Z,2026-07-01T14:03:36Z
Sorbonne University,Sorbonne University,institution:6688d0d34a3ee58b,,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,Abdenour Hadid,"Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, Abu Dhabi, UAE",PDF,https://link.springer.com/chapter/10.1007/978-3-031-78305-0_11,,,,,,,,,,,ignore,missing,missing,2026-06-29T21:11:57Z,2026-07-01T04:10:51Z
"Agency for Science, Technology and Research (A*STAR)","Agency for Science, Technology and Research",institution:e81a0314e783d8a4,,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,Ping Liu,"Center for Frontier AI Research, Institute of High Performance Computing (IHPC), A*STAR, Singapore",PDF,https://ojs.aaai.org/index.php/AAAI/article/view/28310,,,"Agency for Science, Technology and Research (A*STAR)",,,,,,,,alias_of_confirmed,missing,missing,2026-06-29T21:23:23Z,2026-07-01T05:44:31Z
Singapore University of Technology and Design,Singapore University of Technology and Design,institution:6dd3ce9e0d5fd1ab,,curated:c9485f4d5346304272f2,Frequency Masking for Universal Deepfake Detection,2024,10.1109/icassp48485.2024.10446290,https://openalex.org/W4392904043,Chandler Timm Doloriel; Ngai-Man Cheung,,PDF,https://ieeexplore.ieee.org/document/10446290,,,,,,,,,,,confirmed,known,known,2026-06-29T21:23:46Z,2026-07-01T14:03:36Z
Beijing Jiaotong University,Beijing Jiaotong University,institution:bf6195b78f6dc951,,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,Chuangchuang Tan; Yao Zhao; Shikui Wei; Yunchao Wei,"Institute of Information Science, Beijing Jiaotong University, China; Beijing Key Laboratory of Advanced Information Science and Network Technology",PDF,https://ojs.aaai.org/index.php/AAAI/article/view/28310,,,,,,,,,,,confirmed,known,known,2026-06-29T21:23:46Z,2026-07-01T14:03:36Z
Yanshan University,Yanshan University,institution:c5810afc25d178a5,,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,Guanghua Gu,"School of Information Science and Engineering, Yanshan University, China; Hebei Key Laboratory of Information Transmission and Signal Processing",PDF,https://ojs.aaai.org/index.php/AAAI/article/view/28310,,,,,,,,,,,confirmed,known,known,2026-06-29T21:23:46Z,2026-07-01T14:03:36Z
Sony AI,Sony AI,institution:cf2639c8e56f6453,,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,Vikash Sehwag; Chen Chen; Lingjuan Lyu,Sony Ai,PDF,https://arxiv.org/pdf/2405.13360,San Mateo,United States,,,,,,,,,confirmed,known,known,2026-06-29T21:25:35Z,2026-08-07T17:07:26Z
University of Massachusetts Amherst,University of Massachusetts Amherst,institution:304707b21fcfbd4d,,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,Shiqing Ma,University of Massachusetts at Amherst,PDF,https://arxiv.org/pdf/2405.13360,,,,,,,,,,,confirmed,known,known,2026-06-29T21:26:12Z,2026-07-01T14:03:36Z
University of Southern California,University of Southern California,institution:6432056cdf12bb16,,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,Hae Jin Song; Mahyar Khayatkhoei,University of Southern California,PDF,https://ieeexplore.ieee.org/document/10656447,,,,,,,,,,,confirmed,known,known,2026-06-29T21:28:44Z,2026-07-01T14:03:36Z
USC Information Sciences Institute,USC Information Sciences Institute,institution:c3babd97b5b38ea6,,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,Hae Jin Song; Mahyar Khayatkhoei,,PDF,https://ieeexplore.ieee.org/document/10656447,,,,,,,,,,,confirmed,known,known,2026-06-29T21:29:08Z,2026-07-01T14:03:36Z
Clemson University,Clemson University,institution:fa6adc95226df542,,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,Wael AbdAlmageed,,PDF,https://ieeexplore.ieee.org/document/10656447,,,,,,,,,,,confirmed,known,known,2026-06-29T21:29:28Z,2026-07-01T14:03:36Z
Instituto de Matemática Pura e Aplicada,Institute for Pure and Applied Mathematics,institution:0aed8b5908ebcd25,,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,Marina Gardella,"Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Brazil (IMPA)",PDF,https://ieeexplore.ieee.org/document/10678228,,,,,,,,,,,confirmed,known,known,2026-06-29T21:32:31Z,2026-07-01T14:03:36Z
University of Chicago,University of Chicago,institution:7d7f56dced000a09,,curated:0b2081f70faaf81278dc,Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2024,10.1145/3658644.3670306,https://openalex.org/W4405181141,Anna Yoo Jeong Ha; Josephine Passananti; Ronik Bhaskar; Shawn Shan; Haitao Zheng; Ben Y. Zhao,"University of Chicago, Chicago, IL, USA",PDF,https://dl.acm.org/doi/10.1145/3658644.3670306,,,,,,,,,,,confirmed,known,known,2026-06-29T21:35:51Z,2026-07-01T14:03:36Z
Peking University Shenzhen Graduate School,Peking University Shenzhen Graduate School,institution:6346b1a9c3b5ccd7,,curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2024,10.48550/arxiv.2411.15633,https://openalex.org/W4404986693,Zhiyuan Yan; Peng Jin; Chengchun Liu; Li Yuan,Peking University Shenzhen Graduate School,PDF,https://arxiv.org/pdf/2411.15633,,,,,,,,,,,confirmed,known,known,2026-06-29T21:38:29Z,2026-07-01T14:03:36Z
Tencent Youtu Lab,Tencent Youtu Lab,institution:3e78e883c14f8bb8,,curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2024,10.48550/arxiv.2411.15633,https://openalex.org/W4404986693,Zhiyuan Yan; Jiangming Wang; Ke-Yue Zhang; Shen Chen; Taiping Yao; Shouhong Ding,,PDF,https://arxiv.org/pdf/2411.15633,,,,,,,,,,,confirmed,known,known,2026-06-29T21:38:55Z,2026-07-01T14:03:36Z
"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",institution:5dbb9ac6a407e079,,curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2024,10.48550/arxiv.2411.15633,https://openalex.org/W4404986693,Baoyuan Wu,,PDF,https://arxiv.org/pdf/2411.15633,,,,,,,,,,,confirmed,known,known,2026-06-29T21:39:12Z,2026-07-01T14:03:36Z
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,institution:bf3ddd5552577ff0,,curated:b286f4a33839eed35258,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,2024,10.1109/cvpr52733.2024.02658,https://openalex.org/W4402754249,Ayush Sarkar; Hanlin Mai; Amitabh Mahapatra; Svetlana Lazebnik; D.A. Forsyth,,PDF,https://ieeexplore.ieee.org/document/10658385,,,,,,,,,,,confirmed,known,known,2026-06-29T21:42:18Z,2026-07-01T14:03:36Z
Toyota Technological Institute at Chicago,Toyota Technological Institute at Chicago,institution:386b7a411f4a3220,,curated:b286f4a33839eed35258,Shadows Don't Lie and Lines Can't Bend! Generative Models Don't know Projective Geometry…for Now,2024,10.1109/cvpr52733.2024.02658,https://openalex.org/W4402754249,Anand Bhattad,,PDF,https://ieeexplore.ieee.org/document/10658385,,,,,,,,,,,confirmed,known,known,2026-06-29T21:42:38Z,2026-07-01T14:03:36Z
