taxonomy_id,paper_id,title,year,doi,arxiv_id,openalex_url,tasks,image_scopes,research_types,tasks_status,tasks_review_reason,tasks_evidence_tier,tasks_evidence_source,tasks_evidence_excerpt,image_scopes_status,image_scopes_review_reason,image_scopes_evidence_tier,image_scopes_evidence_source,image_scopes_evidence_excerpt,research_types_status,research_types_review_reason,research_types_evidence_tier,research_types_evidence_source,research_types_evidence_excerpt,taxonomy_status,audited_at
paper_id:curated:b4cb4110cc81eb9be1d7,curated:b4cb4110cc81eb9be1d7,AEGIS: A Holistic Benchmark for Evaluating Forensic Analysis of AI-Generated Academic Images,2026,,2604.28177,https://openalex.org/W7159651702,detection;localization,fully_generated;generative_editing,benchmark;analysis_study,reviewed,,authoritative_abstract,https://arxiv.org/abs/2604.28177,"We introduce AEGIS, A holistic benchmark for Evaluating forensic analysis of AI-Generated academic ImageS. Compared to existing benchmarks, AEGIS features three key advances: (1) Domain-Specific Complexity: covering seven academic categories with 39 fine-grained subtypes, exposing intrinsic forensic difficulty, where even GPT-5.1 reaches 48.80% overall performance and expert models achieve only limited localization accuracy (IoU 30.09%); (2) Diverse Forgery Simulations: modeling four prevalent academic forgery strategies across 25 generative models, with 11 yielding average forensic accuracy below 50%, showing that forensics lag behind generative advances; and (3) Multi-Dimensional Forensic Evaluation: jointly assessing detection, reasoning, and localization, revealing complementary strengths between model families, with multimodal large language models (MLLMs) at 84.74% accuracy in textual artifact recognition and expert detectors peaking at 79.54% accuracy in binary authenticity detection. By evaluating 25 leading MLLMs, nine expert models, and one unified multimodal understanding and generation model, AEGIS serves as a diagnostic testbed exposing fundamental limitations in academic image forensics. PDF figure evidence: Manipulation Classification, Tampering Pinpointing, and Targeted Region Editing are evaluated forensic perspectives.",reviewed,,authoritative_abstract+pdf,https://arxiv.org/abs/2604.28177,"We introduce AEGIS, A holistic benchmark for Evaluating forensic analysis of AI-Generated academic ImageS. Compared to existing benchmarks, AEGIS features three key advances: (1) Domain-Specific Complexity: covering seven academic categories with 39 fine-grained subtypes, exposing intrinsic forensic difficulty, where even GPT-5.1 reaches 48.80% overall performance and expert models achieve only limited localization accuracy (IoU 30.09%); (2) Diverse Forgery Simulations: modeling four prevalent academic forgery strategies across 25 generative models, with 11 yielding average forensic accuracy below 50%, showing that forensics lag behind generative advances; and (3) Multi-Dimensional Forensic Evaluation: jointly assessing detection, reasoning, and localization, revealing complementary strengths between model families, with multimodal large language models (MLLMs) at 84.74% accuracy in textual artifact recognition and expert detectors peaking at 79.54% accuracy in binary authenticity detection. By evaluating 25 leading MLLMs, nine expert models, and one unified multimodal understanding and generation model, AEGIS serves as a diagnostic testbed exposing fundamental limitations in academic image forensics. PDF figure evidence: Manipulation Classification, Tampering Pinpointing, and Targeted Region Editing are evaluated forensic perspectives.",reviewed,,authoritative_abstract,https://arxiv.org/abs/2604.28177,"We introduce AEGIS, A holistic benchmark for Evaluating forensic analysis of AI-Generated academic ImageS. Compared to existing benchmarks, AEGIS features three key advances: (1) Domain-Specific Complexity: covering seven academic categories with 39 fine-grained subtypes, exposing intrinsic forensic difficulty, where even GPT-5.1 reaches 48.80% overall performance and expert models achieve only limited localization accuracy (IoU 30.09%); (2) Diverse Forgery Simulations: modeling four prevalent academic forgery strategies across 25 generative models, with 11 yielding average forensic accuracy below 50%, showing that forensics lag behind generative advances; and (3) Multi-Dimensional Forensic Evaluation: jointly assessing detection, reasoning, and localization, revealing complementary strengths between model families, with multimodal large language models (MLLMs) at 84.74% accuracy in textual artifact recognition and expert detectors peaking at 79.54% accuracy in binary authenticity detection. By evaluating 25 leading MLLMs, nine expert models, and one unified multimodal understanding and generation model, AEGIS serves as a diagnostic testbed exposing fundamental limitations in academic image forensics. PDF figure evidence: Manipulation Classification, Tampering Pinpointing, and Targeted Region Editing are evaluated forensic perspectives.",reviewed,2026-09-05
paper_id:curated:77504e19116765d4b160,curated:77504e19116765d4b160,AgentFoX: LLM-Driven Agentic Multi-Expert Fusion with Explainability for AI-Generated Image Detection,2026,,2603.23115,https://openalex.org/W7140286693,detection,fully_generated,method,reviewed,,authoritative_abstract,https://arxiv.org/abs/2603.23115,"The realism of AI-generated images (AIGI) poses increasing challenges for reliable forensic detection, where heterogeneous expert detectors may produce conflicting predictions across diverse generative sources and post-processing conditions. Existing multi-expert fusion methods rely on fixed rules or learned fusion strategies, offering limited ability to assess sample-specific reliability, execute rigorous adjudication of conflicts, and provide evidence-grounded explanations. We propose AgentFoX, an LLM-driven agentic multi-expert framework for AIGI detection that employs a command-and-reasoning core to perform evidence fusion. Following predefined guidelines, the core coordinates designated subtasks to collect semantic and signal-level evidence, reason over structured contexts to determine authenticity, and generate an auditable report for explainability. During this process, Expert Profiles are constructed for model-centric reliability assessment, while Clustering Profiles are built for data-centric contextual analysis, jointly establishing evidence contexts for conflict resolution. Extensive evaluations across diverse benchmarks demonstrate the robustness and generalizability of AgentFoX under complex conditions.",reviewed,,authoritative_abstract+pdf,https://arxiv.org/abs/2603.23115,"The realism of AI-generated images (AIGI) poses increasing challenges for reliable forensic detection, where heterogeneous expert detectors may produce conflicting predictions across diverse generative sources and post-processing conditions. Existing multi-expert fusion methods rely on fixed rules or learned fusion strategies, offering limited ability to assess sample-specific reliability, execute rigorous adjudication of conflicts, and provide evidence-grounded explanations. We propose AgentFoX, an LLM-driven agentic multi-expert framework for AIGI detection that employs a command-and-reasoning core to perform evidence fusion. Following predefined guidelines, the core coordinates designated subtasks to collect semantic and signal-level evidence, reason over structured contexts to determine authenticity, and generate an auditable report for explainability. During this process, Expert Profiles are constructed for model-centric reliability assessment, while Clustering Profiles are built for data-centric contextual analysis, jointly establishing evidence contexts for conflict resolution. Extensive evaluations across diverse benchmarks demonstrate the robustness and generalizability of AgentFoX under complex conditions.",reviewed,,authoritative_abstract,https://arxiv.org/abs/2603.23115,"The realism of AI-generated images (AIGI) poses increasing challenges for reliable forensic detection, where heterogeneous expert detectors may produce conflicting predictions across diverse generative sources and post-processing conditions. Existing multi-expert fusion methods rely on fixed rules or learned fusion strategies, offering limited ability to assess sample-specific reliability, execute rigorous adjudication of conflicts, and provide evidence-grounded explanations. We propose AgentFoX, an LLM-driven agentic multi-expert framework for AIGI detection that employs a command-and-reasoning core to perform evidence fusion. Following predefined guidelines, the core coordinates designated subtasks to collect semantic and signal-level evidence, reason over structured contexts to determine authenticity, and generate an auditable report for explainability. During this process, Expert Profiles are constructed for model-centric reliability assessment, while Clustering Profiles are built for data-centric contextual analysis, jointly establishing evidence contexts for conflict resolution. Extensive evaluations across diverse benchmarks demonstrate the robustness and generalizability of AgentFoX under complex conditions.",reviewed,2026-09-05
paper_id:curated:cdbafbabadfbb462102a,curated:cdbafbabadfbb462102a,Aggregating Diverse Cue Experts for AI-Generated Image Detection,2026,10.1609/aaai.v40i11.37890,2601.08790,https://openalex.org/W7137954683,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Aggregating Diverse Cue Experts for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Aggregating Diverse Cue Experts for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"In this paper, we introduce the Multi-Cue Aggregation Network (MCAN), a novel framework that integrates different yet complementary cues as input.",reviewed,2026-09-04
paper_id:curated:211ea83fa8d41c8ec810,curated:211ea83fa8d41c8ec810,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,2026,10.1007/s11432-024-4475-4,,https://openalex.org/W7123358516,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection Algorithm Based on Classical-Quantum Hybrid Neural Network,reviewed,,reused_audit+abstract,openalex,"In addition, we verified the feasibility of a hybrid neural network on the “Wukong” 72-qubit superconducting quantum computer provided by OriginQ, showing similar accuracy to classical computer simulations, demonstrating that our model is feasible and effective in actual quantum computing systems.",reviewed,2026-09-04
paper_id:curated:b08c8cdd637cf7f65d18,curated:b08c8cdd637cf7f65d18,AI-Generated Image Detection Based on the Most Suspicious Patch,2026,10.1007/978-981-92-1947-6_34,,https://openalex.org/W7165747150,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection Based on the Most Suspicious Patch,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection Based on the Most Suspicious Patch,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection Based on the Most Suspicious Patch,reviewed,2026-09-04
paper_id:curated:98bed92571e23d5df139,curated:98bed92571e23d5df139,AI-Generated Image Detection: Challenges and Recent Advances,2026,10.1007/978-3-032-11782-3_6,,https://openalex.org/W7159927480,detection,fully_generated,survey,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection: Challenges and Recent Advances,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Detection: Challenges and Recent Advances,reviewed,,reused_audit+abstract,openalex,"Recent advances in the field of AI-based content generation in combination with the easy and widespread access to such tools can enhance disinformation campaigns with respect to plausibility and scale. This poses a significant threat to online information integrity, social trust, and even democratic processes. The rapid evolution of generative models demands robust and adaptable detection mechanisms. In this chapter, we outline the progress in the field of AI-Generated Image Detection (AIGID) in",reviewed,2026-09-04
paper_id:curated:1a8e996ef9ce73efc0ef,curated:1a8e996ef9ce73efc0ef,AI-Generated Image Homology Detection,2026,10.1007/978-981-92-2856-0_1,,https://openalex.org/W7168026910,detection;source_attribution,fully_generated,method,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Homology Detection,reviewed,,reused_audit+abstract,openalex,AI-Generated Image Homology Detection,reviewed,,reused_audit+abstract,openalex,We present the first systematic study of this task.,reviewed,2026-09-04
paper_id:curated:2b5013b99aa5e4de2621,curated:2b5013b99aa5e4de2621,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,2026,10.1016/j.ipm.2026.105058,,https://openalex.org/W7168427015,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"With the rapid advancement of generative models, AI-generated images have become highly photorealistic, rendering authenticity detection challenging. Existing detection methods handle all image patches uniformly, overlooking that low-texture regions exhibit more pronounced artifact signals than complex-textured areas, where high-frequency information of complex texture inherent to the complex content interferes with artifact detection. To address this limitation, we proposed a single exposed pat",reviewed,2026-09-04
paper_id:curated:386ccd052b812587c286,curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",2026,,2504.01396,,detection,fully_generated,method,reviewed,,reused_audit+abstract,manual,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",reviewed,,reused_audit+abstract,manual,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",reviewed,,reused_audit+abstract,manual,"To address this, we propose Panoptic Patch Learning framework, which integrates: (1) Randomized Patch Reconstruction, injecting synthetic cues into randomly selected patches to diversify artifact recognition; (2) Patch-wise Contrastive Learning, enforcing consistent discriminative capability across patches to ensure their uniform utilization.",reviewed,2026-09-04
paper_id:curated:d6f1c90d69e8b0e68e4f,curated:d6f1c90d69e8b0e68e4f,All-Around Forgery Clues for Generalizable AI-Generated Image Detection,2026,10.1016/j.patcog.2026.114661,,https://openalex.org/W7203819382,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,All-Around Forgery Clues for Generalizable AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,All-Around Forgery Clues for Generalizable AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"The rapid advancement of generative models poses significant challenges to reliable forgery detection, as existing methods often lack generalization by overfitting to a single type of artifact. The paper proposes a forensic-semantic framework combining residual analysis of up-sampling artifacts with vision-language model features.",reviewed,2026-09-04
paper_id:curated:92fe1dfd435209b21ff4,curated:92fe1dfd435209b21ff4,Anchor-Regularized Adaptation for Generalizable AI-Generated Image Detection with DINOv3,2026,,2608.15196,https://openalex.org/W7203688524,detection,fully_generated,method,reviewed,,reused_audit+abstract,arxiv,Anchor-Regularized Adaptation for Generalizable AI-Generated Image Detection with DINOv3,reviewed,,reused_audit+abstract,arxiv,Anchor-Regularized Adaptation for Generalizable AI-Generated Image Detection with DINOv3,reviewed,,reused_audit+abstract,arxiv,"Our method achieves state-of-the-art performance on nine diverse and challenging benchmarks, indicating that ARA enables complementary supervision from misaligned and aligned data for more effective detection.",reviewed,2026-09-04
paper_id:curated:837a8a0ceb9d8f86d02a,curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,2026,10.1109/tmm.2026.3694528,,https://openalex.org/W7161736397,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"To address this robustness limitation, we propose ArtGate, a novel AI-generated image detector that integrates a CLIP-ViT backbone with a frequency-domain artifact branch, and carefully design a confidence-aware gating mechanism to modulate the artifact branch.",reviewed,2026-09-04
paper_id:curated:db62aa9b0b1aab0c9f7a,curated:db62aa9b0b1aab0c9f7a,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,2026,10.1109/ic2pct68894.2026.11584299,,https://openalex.org/W7167698944,detection,deepfake,method,reviewed,,reused_audit+abstract,openalex,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,reviewed,,reused_audit+abstract,openalex,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,reviewed,,reused_audit+abstract,openalex,"Although current deepfake detection models achieve near perfect accuracy, but that does not entirely indicate that it attends high-frequency forensic artifacts.",reviewed,2026-09-04
paper_id:curated:d3e19d8cb61eb0e7d620,curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,2026,10.48550/arxiv.2603.10583,2603.10583,https://openalex.org/W7135031331,detection;source_attribution,fully_generated;deepfake,method,reviewed,,reused_audit+abstract,openalex,"To facilitate the identification of AI-generated images and the attribution of their source models, generative image watermarking and AI-generated image attribution have emerged as key research focuses in recent years.",reviewed,,reused_audit+abstract,openalex,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,reviewed,,reused_audit+abstract,openalex,"We propose an efficient model-agnostic framework, called Low-bIt-plane-based Deepfake Attribution (LIDA).",reviewed,2026-09-04
paper_id:curated:1bf124f8f57f00dddd01,curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,2026,10.1145/3810988.3812662,2605.02567,https://openalex.org/W7160429386,detection,fully_generated,method;dataset,reviewed,,reused_audit+abstract,OpenAlex local raw cache,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,reviewed,,reused_audit+abstract,OpenAlex local raw cache,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,reviewed,,reused_audit+abstract,OpenAlex local raw cache,"In this work, we propose a data-centric continual adaptation framework for updating detectors in evolving environments.",reviewed,2026-09-04
paper_id:curated:0526c3529dda4446a0d7,curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,2026,10.1109/lsp.2026.3678476,,https://openalex.org/W7143319968,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Background-Noise-Driven Detection of Diffusion-Generated Images,reviewed,,reused_audit+abstract,openalex,Background-Noise-Driven Detection of Diffusion-Generated Images,reviewed,,reused_audit+abstract,openalex,"We propose a background-noise-driven detector motivated by the observation that real camera images preserve physical noise traces, whereas model-generated images tend to exhibit algorithm-induced residual statistics.",reviewed,2026-09-04
paper_id:curated:aa7dceb70828cdd6ad39,curated:aa7dceb70828cdd6ad39,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,2026,,2512.20937,https://openalex.org/W7117340004,detection,fully_generated,method;dataset,reviewed,,reused_audit+abstract,openalex,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"We further build RealChain, a comprehensive benchmark covering both open-source and commercial generators with simulated real-world degradation.",reviewed,2026-09-04
paper_id:curated:ce21a7aa219b08d1b81a,curated:ce21a7aa219b08d1b81a,Beyond Backbones: Degradation-Aware Prototype Fusion for Robust Deepfake Detection,2026,,,,detection,deepfake,method,reviewed,,reused_audit+abstract,manual,Beyond Backbones: Degradation-Aware Prototype Fusion for Robust Deepfake Detection,reviewed,,reused_audit+abstract,manual,Beyond Backbones: Degradation-Aware Prototype Fusion for Robust Deepfake Detection,reviewed,,reused_audit+abstract,manual,"Our method trains fewer than 3M parameters on frozen backbones and attains 84.3 AUC on the NTIRE 2026 face forgery benchmark, demonstrating strong performance under realistic degradations.",reviewed,2026-09-04
paper_id:curated:49cc18f090b2488dda2d,curated:49cc18f090b2488dda2d,Beyond Binary Classification: A Semi-Supervised Approach to Generalized AI-Generated Image Detection,2026,10.1609/aaai.v40i42.40886,2511.19499,https://openalex.org/W7138418035,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Beyond Binary Classification: A Semi-Supervised Approach to Generalized AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Beyond Binary Classification: A Semi-Supervised Approach to Generalized AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"Motivated by this analysis, we propose the Triarchy Detect or (TriDetect), a semi-supervised approach that enhances binary classification by discovering latent architectural patterns within the ""fake"" class.",reviewed,2026-09-04
paper_id:curated:672e9600fc8b6ead6ab1,curated:672e9600fc8b6ead6ab1,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,2026,10.1109/lsp.2026.3714736,,https://openalex.org/W7169604787,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"In this work, we propose Multi-scale Linear Local Attention (MLLA), a unified framework for AIGC detection that combines local artifact modeling with efficient global context reasoning.",reviewed,2026-09-04
paper_id:curated:9d722dfb4a3418d86063,curated:9d722dfb4a3418d86063,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,2026,10.1007/978-981-92-3420-2_35,,https://openalex.org/W7168408228,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"To address this limitation without compromising forensic integrity, we propose a novel distribution-aligned detection network DAD-Net operating at native resolutions to preserve fine-grained generative features.",reviewed,2026-09-04
paper_id:curated:29642e43aa51fece46f7,curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-Level Mapping for Generalized AI-Generated Image Detection,2026,10.1609/aaai.v40i42.40927,,https://openalex.org/W7139104673,detection,fully_generated,method,reviewed,,reused_audit+abstract,openalex,Beyond Semantic Features: Pixel-Level Mapping for Generalized AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,Beyond Semantic Features: Pixel-Level Mapping for Generalized AI-Generated Image Detection,reviewed,,reused_audit+abstract,openalex,"Through comprehensive experiments on GAN and diffusion-based generators, we show that our approach significantly boosts the cross-generator performance of state-of-the-art detectors.",reviewed,2026-09-04
