mapping_id,paper_id,title,year,doi,openalex_url,institution,institution_id,location_id,institution_authors,author_order,affiliation_order,raw_affiliation,openalex_institution_id,institution_city,institution_country,institution_latitude,institution_longitude,provenance_source,mapping_status,created_at,updated_at
mapping:fc921e5a7fca36d1ca33,curated:e688194977fa7bbf7db3,LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,2025,10.1109/pst65910.2025.11268874,https://openalex.org/W4416961862,Queen's University,institution:2469c3505064216c,,Nicholas Chivaran; Jianbing Ni,,1,"Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada",,,,,,,active,2026-06-29T20:25:16Z,2026-06-29T20:25:16Z
mapping:787aed63dafd65a04cd1,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Polytechnic University of Hauts-de-France,institution:1e2fe2432a089705,,Mamadou Keita; Hessen B. Eutamene; Abdelmalik Taleb-Ahmed,,1,"Laboratory of IEMN, Polytechnic University of Hauts-de-France, Valenciennes, France",,,,,,,active,2026-06-29T20:32:46Z,2026-06-29T20:32:46Z
mapping:7b72705012900093b23d,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Khalifa University,institution:81f79a387128ccac,,Wassim Hamidouche,,2,"Khalifa University, Abu Dhabi, UAE",,,,,,,active,2026-06-29T20:33:16Z,2026-06-29T20:33:16Z
mapping:6b77085855b2caf2c2ef,curated:6ca781a0d606a5d5db64,REVEAL: A Retrieval-Augmented Generation Approach for Contextual Identification of Synthetic Visual Content,2025,10.1145/3746265.3759667,https://openalex.org/W4414945274,Sorbonne University Abu Dhabi,institution:271362b3e1310a1c,,Abdenour Hadid,,3,"Sorbonne Center for Artificial Intelligence, Sorbonne University, Abu Dhabi, UAE",,,,,,,active,2026-06-29T20:34:15Z,2026-07-01T03:58:28Z
mapping:081954b930890b3f1327,curated:82a6421311c4d39076d9,Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,10.1109/access.2025.3597641,https://openalex.org/W4413213177,Tamkang University,institution:6d607bd40551e45f,,Meng-Luen Wu; Cheng-Pin Cheng,,1,"Department of Computer Science and Information Engineering, Tamkang University, New Taipei City 251301, Taiwan",,,,,,,excluded,2026-06-29T20:35:58Z,2026-06-29T22:05:29Z
mapping:9cbd1ac85b1fc238705e,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,University of Technology of Troyes,institution:bf0065cf4529e953,,Antoine Mallet; Arthur Méreur; Rémi Cogranne,,1,"Computer Science and Digital Society Lab, University of Technology of Troyes, Troyes, France; University of Technology of Troyes, Troyes, France",,,,,,,active,2026-06-29T20:39:47Z,2026-06-29T20:39:47Z
mapping:53d1106780c2d1a3230f,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",institution:060062d7bc15b07c,,Minoru Kuribayashi,,2,"Center for Data-Driven Science and AI, Tohoku University, Sendai, Japan",,,,,,,active,2026-06-29T20:40:27Z,2026-06-29T20:40:27Z
mapping:73f5f4bc08a766777b35,curated:fe98b5f37967f5a51b86,Simple Detection of AI-Generated Images based on Noise Correlation,2025,10.1109/amlds63918.2025.11159445,https://openalex.org/W4414231579,University of Lille,institution:c76018a960d2cd12,,Patrick Bas,,3,"UMR 9189 CRIStAL, Univ. Lille, CNRS, Centrale Lille, Lille, France",,,,,,,active,2026-06-29T20:41:01Z,2026-07-22T00:39:23Z
mapping:d89310ea5f0e690b29ba,curated:d040be3d1fb83a51311e,Stay-Positive: A Case for Ignoring Real Image Features in Fake Image Detection,2025,10.48550/arxiv.2502.07778,https://openalex.org/W4407425880,University of Wisconsin-Madison,institution:3e2e527953176c93,,Anirudh Sundara Rajan; Yong Jae Lee,,1,,,,,,,,active,2026-06-29T20:41:51Z,2026-06-29T20:41:51Z
mapping:3e0d5122cf1c497d01b4,curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,10.48550/arxiv.2505.01008,https://openalex.org/W4414769856,University of Wisconsin–Madison,institution:3e2e527953176c93,,Haoyue Bai,,1,University of Wisconsin–Madison,,,,,,,active,2026-06-29T20:43:26Z,2026-06-29T20:43:26Z
mapping:7d635bd99b2b49102ac1,curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,10.48550/arxiv.2505.01008,https://openalex.org/W4414769856,"University of California, Berkeley",institution:be74dcf5d0cb77ea,,Yiyou Sun,,2,"University of California, Berkeley",,,,,,,active,2026-06-29T20:43:55Z,2026-06-29T20:43:55Z
mapping:e6112ebcb46f36e2ef20,curated:ef5f9b419eef35c5c255,Where's the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,10.48550/arxiv.2505.01008,https://openalex.org/W4414769856,NEC Laboratories America,institution:2b91b5917e5279ea,,Wei Cheng; Haifeng Chen,,3,NEC Laboratories America,,,,,,,active,2026-06-29T20:44:24Z,2026-06-29T20:44:24Z
mapping:1e4c026170af23ededc8,curated:a6f370defb21b2e07381,Your Diffusion Model is an Implicit Synthetic Image Detector,2025,10.1007/978-3-031-92648-8_25,https://openalex.org/W4403147633,École Polytechnique,institution:678fbbc18157fd45,,Xi Wang; Vicky Kalogeiton,,1,"LIX, CNRS, École Polytechnique, IP Paris, Paris, France",,,,,,,active,2026-06-29T20:46:02Z,2026-06-29T20:46:02Z
mapping:cfd9b2e40fb2d934d815,curated:a0abee05e50398d03f2f,AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,10.1109/cvpr52733.2024.00872,https://openalex.org/W4402716434,Ruhr University Bochum,institution:8f8dd64c6339c8ff,,Jonas Ricker; Denis Lukovnikov; Asja Fischer,,1,,,,,,,,active,2026-06-29T20:47:33Z,2026-06-29T20:47:33Z
mapping:b9b40660d6c086cd9466,curated:253c210194ac9348f9e6,CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,10.1145/3652583.3658035,https://openalex.org/W4399418483,University of Bergen,institution:b978b6dfc7b3baa0,,Sohail Ahmed Khan; Duc-Tien Dang-Nguyen,,1,,,,,,,,active,2026-06-29T20:48:34Z,2026-06-29T20:48:34Z
mapping:7e65c1091ced1db089d8,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,University of Modena and Reggio Emilia,institution:117fcda9a6399108,,Federico Cocchi; Marcella Cornia; Lorenzo Baraldi; Rita Cucchiara,,1,"University of Modena and Reggio Emilia, Modena, Italy",,,,,,,active,2026-06-29T20:50:12Z,2026-06-29T20:50:12Z
mapping:3f1bfe2e63699893ef3f,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,University of Pisa,institution:3ec8d9fa829f5777,,Lorenzo Baraldi; Federico Cocchi,,2,"University of Pisa, Pisa, Italy",,,,,,,active,2026-06-29T20:50:33Z,2026-06-29T20:50:33Z
mapping:9f4c95817963018924fe,curated:096573f365e37679c445,Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,10.1007/978-3-031-73036-8_12,https://openalex.org/W4404545428,Leonardo S.p.A.,institution:8ca93bff11a3be9e,,Alessandro Nicolosi,,3,"Leonardo S.p.A., Rome, Italy",,,,,,,active,2026-06-29T20:50:58Z,2026-06-29T20:50:58Z
mapping:7aba3b011bb8da4e6188,curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,10.1109/wacv57701.2024.00377,https://openalex.org/W4394592995,University of Wisconsin–Madison,institution:3e2e527953176c93,,Ashish Hooda; Kassem Fawaz; Somesh Jha,,1,,,,,,,,active,2026-06-29T20:53:24Z,2026-06-29T20:53:24Z
mapping:731023df404517f7f540,curated:d740749676417c725798,D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,10.1109/wacv57701.2024.00377,https://openalex.org/W4394592995,University of Michigan,institution:89b9b3962b3327c8,,Neal Mangaokar; Ryan Feng; Atul Prakash,,2,,,,,,,,active,2026-06-29T20:53:41Z,2026-06-29T20:53:41Z
mapping:39e1c5f4447a54c62df0,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,Friedrich-Alexander-Universität Erlangen-Nürnberg,institution:73bb0fe265f6e090,,Lea Uhlenbrock; Denise Moussa; Christian Rieß,,1,"Friedrich-Alexander University Erlangen-Nürnberg, Erlangen, Germany",,,,,,manually_confirmed,active,2026-06-29T20:56:44Z,2026-08-08T10:39:50Z
mapping:45e9778ff31af0a2c84c,curated:19c7b91816312d2877c9,Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,10.1145/3658664.3659652,https://openalex.org/W4399556631,University of Naples Federico II,institution:d046d2c57bb3a863,,Davide Cozzolino; Luisa Verdoliva,,2,"Università degli Studi di Napoli Federico II, Naples, Italy",,,,,,,active,2026-06-29T20:57:25Z,2026-06-29T20:57:25Z
mapping:855eb69331e5d5ba100b,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,"Yonsei University, Sinchon Campus",institution:42992b97b8e05dd4,,Yewon Lim; Changyeon Lee,,1,"Department of Computer Science and Engineering, Yonsei University, Seoul, Republic of Korea",,,,,,,active,2026-06-29T21:00:59Z,2026-06-29T21:00:59Z
mapping:124455beaf0fbdac0e07,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Purdue University,institution:90b589325857dff0,,Yewon Lim; Changyeon Lee,,2,"Computer and Information Technology, Purdue University, West Lafayette, IN, United States",,,,,,,active,2026-06-29T21:01:30Z,2026-06-29T21:01:30Z
mapping:f88d9b9e08a4c4013c79,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,Miraflow,institution:a1b609b0fc5c2e23,,Yewon Lim; Changyeon Lee; Aerin Kim,,3,"Miraflow, Kirkland, WA, United States",,,,,,,active,2026-06-29T21:01:59Z,2026-06-29T21:01:59Z
mapping:03a2b8e6e1145307f9d0,curated:87ef976b546206fde199,"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,10.48550/arxiv.2406.00856,https://openalex.org/W4399399328,TrueMedia,institution:4bff7ae080547794,,Aerin Kim; Oren Etzioni,,4,"TrueMedia.org, Seattle, WA, United States",,,,,,,active,2026-06-29T21:02:30Z,2026-08-30T21:08:46Z
mapping:c904ac3984d8d031b10f,curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,10.1109/cvpr52733.2024.01023,https://openalex.org/W4402726899,Massachusetts Institute of Technology,institution:366058c27e343874,,George Cazenavette,,1,Massachusetts Institute of Technology,,,,,,,active,2026-06-29T21:06:37Z,2026-06-29T21:06:37Z
mapping:8747af9bd85d317390cb,curated:1eef07ebb6bd7e596f61,FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,2024,10.1109/cvpr52733.2024.01023,https://openalex.org/W4402726899,Google Research,institution:35e36dc1a5213fa3,,Avneesh Sud; Thomas Leung; Ben Usman,,2,Google Research,,,,,,,active,2026-06-29T21:07:01Z,2026-06-29T21:07:01Z
mapping:60d97730a9ea38878965,curated:25c76f83f95efc6207a4,Faster Than Lies: Real-time Deepfake Detection using Binary Neural Networks,2024,10.1109/cvprw63382.2024.00381,https://openalex.org/W4402916679,Sapienza University of Rome,institution:977430a4473aa4b0,,Romeo Lanzino; Federico Fontana; Anxhelo Diko; Marco Raoul Marini; Luigi Cinque,,1,"Department of Computer Science, Sapienza University of Rome, Via Salaria 113, 00198 Rome, Italy",,,,,,,active,2026-06-29T21:08:49Z,2026-06-29T21:08:49Z
mapping:fb2466ad12541d376579,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,Polytechnic University of Hauts-de-France,institution:1e2fe2432a089705,,Mamadou Keita; Hessen Bougueffa Eutamene; Abdelmalik Taleb-Ahmed,,1,"Laboratory of IEMN, Univ. Polytechnique Hauts-de-France, Valenciennes, France",,,,,,,active,2026-06-29T21:11:05Z,2026-06-29T21:11:05Z
mapping:1235057b0615e536ee23,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,University of Rennes,institution:6c246ba350e11d5f,,Wassim Hamidouche,,2,"Univ. Rennes, INSA Rennes, CNRS, IETR - UMR 6164, Rennes, France",,,,,,,active,2026-06-29T21:11:34Z,2026-07-22T00:39:23Z
mapping:170d0c521bf80696d9ea,curated:ce200a9a7aa3dee36fc7,FIDAVL: Fake Image Detection and Attribution Using Vision-Language Model,2024,10.1007/978-3-031-78305-0_11,https://openalex.org/W4404943083,Sorbonne University Abu Dhabi,institution:271362b3e1310a1c,,Abdenour Hadid,,3,"Sorbonne Center for Artificial Intelligence, Sorbonne University Abu Dhabi, Abu Dhabi, UAE",,,,,,,active,2026-06-29T21:11:57Z,2026-07-01T03:57:26Z
mapping:9462d205eb6c763daa0d,curated:c9485f4d5346304272f2,Frequency Masking for Universal Deepfake Detection,2024,10.1109/icassp48485.2024.10446290,https://openalex.org/W4392904043,Singapore University of Technology and Design,institution:6dd3ce9e0d5fd1ab,,Chandler Timm Doloriel; Ngai-Man Cheung,,1,,,,,,,,active,2026-06-29T21:21:02Z,2026-06-29T21:21:02Z
mapping:cf1ea12e612ea7e06557,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,Beijing Jiaotong University,institution:bf6195b78f6dc951,,Chuangchuang Tan; Yao Zhao; Shikui Wei; Yunchao Wei,,1,"Institute of Information Science, Beijing Jiaotong University, China; Beijing Key Laboratory of Advanced Information Science and Network Technology",,,,,,,active,2026-06-29T21:22:20Z,2026-06-29T21:22:20Z
mapping:7c35ed6e5a365d36b059,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,Yanshan University,institution:c5810afc25d178a5,,Guanghua Gu,,2,"School of Information Science and Engineering, Yanshan University, China; Hebei Key Laboratory of Information Transmission and Signal Processing",,,,,,,active,2026-06-29T21:22:43Z,2026-06-29T21:22:43Z
mapping:77d2e9c4a9e138d170ca,curated:f7cba2387b8a4131cc7b,Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Domain Learning,2024,10.1609/aaai.v38i5.28310,https://openalex.org/W4393154086,"Agency for Science, Technology and Research",institution:e81a0314e783d8a4,,Ping Liu,,3,"Center for Frontier AI Research, Institute of High Performance Computing (IHPC), A*STAR, Singapore",,,,,,,active,2026-06-29T21:23:23Z,2026-08-24T16:41:48Z
mapping:f9b6e4056969839d6594,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,Rutgers University,institution:33a58a66974db112,,Zhenting Wang; Dimitris N. Metaxas,,1,Rutgers University,,,,,,,active,2026-06-29T21:25:10Z,2026-06-29T21:25:10Z
mapping:fe9cf3377aafb37400d2,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,Sony AI,institution:cf2639c8e56f6453,location:d99adc768886c63d2401,Vikash Sehwag; Chen Chen; Lingjuan Lyu,,2,Sony Ai,,San Mateo,United States,,,,active,2026-06-29T21:25:35Z,2026-08-08T10:39:50Z
mapping:4cd809dd4913fd558a6e,curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2024,10.48550/arxiv.2405.13360,https://openalex.org/W4398795245,University of Massachusetts Amherst,institution:304707b21fcfbd4d,,Shiqing Ma,,3,University of Massachusetts at Amherst,,,,,,,active,2026-06-29T21:26:12Z,2026-06-29T21:26:12Z
mapping:3518bfe7c1e8199080fa,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,University of Southern California,institution:6432056cdf12bb16,,Hae Jin Song; Mahyar Khayatkhoei,,1,University of Southern California,,,,,,,active,2026-06-29T21:28:44Z,2026-06-29T21:28:44Z
mapping:3872e222c499f932d4f3,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,USC Information Sciences Institute,institution:c3babd97b5b38ea6,,Hae Jin Song; Mahyar Khayatkhoei,,2,,,,,,,,active,2026-06-29T21:29:08Z,2026-06-29T21:29:08Z
mapping:4487e16e4ddda3c83318,curated:34fdf09ae334914a2723,ManiFPT: Defining and Analyzing Fingerprints of Generative Models,2024,10.1109/cvpr52733.2024.01026,https://openalex.org/W4402702998,Clemson University,institution:fa6adc95226df542,,Wael AbdAlmageed,,3,,,,,,,,active,2026-06-29T21:29:28Z,2026-06-29T21:29:28Z
mapping:5501406fa8ddf10f530f,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,Paris-Saclay University,institution:0c5e25ec47ce33fe,,Yanhao Li; Quentin Bammey; Tina Nikoukhah; Miguel Colom; Rafael Grompone von Gioi,,1,"Université Paris-Saclay, ENS Paris-Saclay, CNRS, Centre Borelli, Gif-sur-Yvette, 91190 France",,,,,,,active,2026-06-29T21:32:05Z,2026-07-22T00:39:23Z
mapping:b8edffece3c03a00d394,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,Institute for Pure and Applied Mathematics (IMPA),institution:0aed8b5908ebcd25,,Marina Gardella,,2,"Instituto de Matemática Pura e Aplicada, Rio de Janeiro, Brazil (IMPA)",,,,,,,active,2026-06-29T21:32:31Z,2026-07-22T00:39:23Z
mapping:b443adf5518c1b6477f8,curated:f523af1f7fe7b16fda75,MaskSim: Detection of synthetic images by masked spectrum similarity analysis,2024,10.1109/cvprw63382.2024.00390,https://openalex.org/W4402916521,City University of Hong Kong,institution:ec71dc4340659fd9,,Jean-Michel Morel,,3,"City University of Hong Kong, Department of Mathematics, Kowloon, Hong Kong",,,,,,,active,2026-06-29T21:32:57Z,2026-06-29T21:32:57Z
mapping:1e6c5f6603baf2853073,curated:8603d8942c241dd876ed,On the Exploitation of DCT-Traces in the Generative-AI Domain,2024,10.1109/icip51287.2024.10648013,https://openalex.org/W4402915445,University of Catania,institution:fd8ba2b56bf5212d,,Orazio Pontorno; Luca Guarnera; Sebastiano Battiato,,1,,,,,,,,active,2026-06-29T21:34:14Z,2026-06-29T21:34:14Z
