candidate_id,title,year,venue,cluster,exact_unresolved_question,evidence_already_available,exact_additional_evidence_needed,likely_outcome_if_confirmed,likely_outcome_if_not_confirmed,evidence_review_priority,saved_primary_evidence_url
audit:5485e42ab03970ce,IMDL-BenCo: A Comprehensive Benchmark and Codebase for Image Manipulation Detection & Localization,2024,Advances in Neural Information Processing Systems,IMAGE,Do IMDL-BenCo’s two evaluation protocols substantively cover generative-image forensics? Identify the generative datasets/results; general-purpose code reuse alone is insufficient.,"A comprehensive benchmark is yet to be established in the Image Manipulation Detection &amp; Localization (IMDL) field. The absence of such a benchmark leads to insufficient and misleading model evaluations, severely undermining the development of this field. However, the scarcity of open-sourced baseline models and inconsistent training and evaluation protocols make conducting rigorous experiments and faithful comparisons among IMDL models challenging. To address these challenges, we introduce IMDL-BenCo, the first comprehensive IMDL benchmark and modular codebase. IMDL-BenCo: i) decomposes the IMDL framework into standardized, reusable components and revises the model construction pipeline, improving coding efficiency and customization flexibility; ii) fully implements or incorporates training code for state-of-the-art models to establish a comprehensive IMDL benchmark; and iii) conducts deep analysis based on the established benchmark and codebase, offering new insights into IMDL model architecture, dataset characteristics, and evaluation standards.Specifically, IMDL-BenCo includes common processing algorithms, 8 state-of-the-art IMDL models (1 of which are reproduced from scratch), 2 sets of standard training and evaluation protocols, 15 GPU-accelerated evaluation metrics, and 3 kinds of robustness evaluation. This benchmark and codebase represent a significant leap forward in calibrating the current progress in the IMDL field and inspiring future breakthroughs.Code is available at: https://github.com/scu-zjz/IMDLBenCo","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do IMDL-BenCo’s two evaluation protocols substantively cover generative-image forensics? Identify the generative datasets/results; general-purpose code reuse alone is insufficient.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://papers.nips.cc/paper_files/paper/2024/hash/f280a398c243b5fdaa09f57ece880fc9-Abstract-Datasets_and_Benchmarks_Track.html
audit:6338fbc2cd19a1bf,Towards Modern Image Manipulation Localization: A Large-Scale Dataset and Novel Methods,2024,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,IMAGE,"Do the 123,150 manually forged images or evaluation sets include substantive generative inpainting/editing, or only human-made classical edits? Identify the manipulation provenance and separate results.",In recent years image manipulation localization has attracted increasing attention due to its pivotal role in ensuring social media security. However effectively identifying forged regions remains an open challenge. The high acquisition cost and the severe scarcity of high-quality data are major factors hindering the performance improvement of modern image manipulation localization systems. To address this issue we propose a novel paradigm termed as CAAA to automatically and accurately annotate the manually forged images from the web at the pixel-level. We further propose a novel metric termed as QES to assist in filtering out unreliable annotations. With CAAA and QES we construct a large-scale diverse and high-quality dataset comprising 123150 manually forged images with mask annotations. Furthermore we develop a new model termed as APSC-Net for accurate image manipulation localization. According to extensive experiments our methods outperforms previous state-of-the-art methods our dataset significantly improves the performance of various models on the widely-used benchmarks. The dataset and codes are publicly available at https://github.com/qcf-568/MIML.,"Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do the 123,150 manually forged images or evaluation sets include substantive generative inpainting/editing, or only human-made classical edits? Identify the manipulation provenance and separate results.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/CVPR2024/html/Qu_Towards_Modern_Image_Manipulation_Localization_A_Large-Scale_Dataset_and_Novel_CVPR_2024_paper.html
audit:67fabc63d5da6e37,Pre-Training-Free Image Manipulation Localization through Non-Mutually Exclusive Contrastive Learning,2023,Proceedings of the IEEE/CVF International Conference on Computer Vision,IMAGE,Which of NCL-IML’s five benchmarks evaluate generatively produced manipulations? Real/tampered/contour patch labels alone do not identify how a manipulation was made.,"Deep Image Manipulation Localization (IML) models suffer from training data insufficiency and thus heavily rely on pre-training. We argue that contrastive learning is more suitable to tackle the data insufficiency problem for IML. Crafting mutually exclusive positives and negatives is the prerequisite for contrastive learning. However, when adopting contrastive learning in IML, we encounter three categories of image patches: tampered, authentic, and contour patches. Tampered and authentic patches are naturally mutually exclusive, but contour patches containing both tampered and authentic pixels are non-mutually exclusive to them. Simply abnegating these contour patches results in a drastic performance loss since contour patches are decisive to the learning outcomes. Hence, we propose the Non-mutually exclusive Contrastive Learning (NCL) framework to rescue conventional contrastive learning from the above dilemma. In NCL, to cope with the non-mutually exclusivity, we first establish a pivot structure with dual branches to constantly switch the role of contour patches between positives and negatives while training. Then, we devise a pivot-consistent loss to avoid spatial corruption caused by the role-switching process. In this manner, NCL both inherits the self-supervised merits to address the data insufficiency and retains a high manipulation localization accuracy. Extensive experiments verify that our NCL achieves state-of-the-art performance on all five benchmarks without any pre-training and is more robust on unseen real-life samples. https://github.com/Knightzjz/NCL-IML","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Which of NCL-IML’s five benchmarks evaluate generatively produced manipulations? Real/tampered/contour patch labels alone do not identify how a manipulation was made.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/ICCV2023/html/Zhou_Pre-Training-Free_Image_Manipulation_Localization_through_Non-Mutually_Exclusive_Contrastive_Learning_ICCV_2023_paper.html
audit:6880617d9c9040d4,Generating Attribution Reports for Manipulated Facial Images: A Dataset and Baseline,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),IMAGE,"Does Generating Attribution Reports evaluate a broader synthetic-image forensic contribution beyond facial manipulation, and what source is attributed? Only an ACL bibliographic citation is saved.","Jingchun Lian, Lingyu Liu, Yaxiong Wang, Yujiao Wu, Lianwei Wu, Li Zhu, Zhedong Zheng. Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2026.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does Generating Attribution Reports evaluate a broader synthetic-image forensic contribution beyond facial manipulation, and what source is attributed? Only an ACL bibliographic citation is saved.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",HIGH,https://doi.org/10.18653/v1/2026.acl-long.1405
audit:6de8f49b49f65330,Noise-assisted Prompt Learning for Image Forgery Detection and Localization,2024,ECCV 2024 and earlier proceedings,IMAGE,"Do CLIP-IFDL’s tests include substantive fully generated or generatively edited images with separate forensic metrics, rather than classical forgery only?","""We present CLIP-IFDL, a novel image forgery detection and localization (IFDL) model that harnesses the power of Contrastive Language Image Pre-Training (CLIP). However, directly incorporating CLIP in forgery detection poses challenges, given its lack of specific prompts and forgery consciousness. To overcome these challenges, we tailor the CLIP model for forgery detection and localization leveraging a noise-assisted prompt learning framework. This framework comprises instance-aware dual-stream prompt learning and a forgery-enhanced noise adapter. We initially create a pair of learnable prompts as negative-positive samples in place of discrete prompts, then fine-tune these prompts based on each image’s features and categories. Additionally, we constrain the text-image similarity between the prompts and their corresponding images to update the prompts. Moreover, We design a forgery-enhanced noise adapter that augments the image encoder’s forgery perceptual ability via multi-domain fusion and zero linear layers. By doing so, our method not only extracts pertinent features but also benefits from the generalizability of the open-world CLIP prior. Comprehensive tests indicate that our method outperforms existing ones in terms of accuracy and generalizability while effectively reducing false alarms.""","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do CLIP-IFDL’s tests include substantive fully generated or generatively edited images with separate forensic metrics, rather than classical forgery only?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/1688_ECCV_2024_paper.php
audit:7aba8c4410d51d0a,SAFL-Net: Semantic-Agnostic Feature Learning Network with Auxiliary Plugins for Image Manipulation Detection,2023,Proceedings of the IEEE/CVF International Conference on Computer Vision,IMAGE,"Does SAFL-Net independently evaluate generative-image manipulations, rather than only conventional editing? Identify the generative test data and results.","Since image editing methods in real world scenarios cannot be exhausted, generalization is a core challenge for image manipulation detection, which could be severely weakened by semantically related features. In this paper we propose SAFL-Net, which constrains a feature extractor to learn semantic-agnostic features by designing specific modules with corresponding auxiliary tasks. Applying constraints directly to the features extracted by the encoder helps it learn semantic-agnostic manipulation trace features, which prevents the biases related to semantic information within the limited training data and improves generalization capabilities. The consistency of auxiliary boundary prediction task and original region prediction task is guaranteed by a feature transformation structure. Experiments on various public datasets and comparisons in multiple dimensions demonstrate that SAFL-Net is effective for image manipulation detection.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does SAFL-Net independently evaluate generative-image manipulations, rather than only conventional editing? Identify the generative test data and results.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/ICCV2023/html/Sun_SAFL-Net_Semantic-Agnostic_Feature_Learning_Network_with_Auxiliary_Plugins_for_Image_ICCV_2023_paper.html
audit:854cc239481946ba,Detecting violent deepfakes: dataset and a compact attention network with multi-scale supervision,2026,Machine Vision and Applications,FACE,"Does the violent-deepfake dataset test general generated scenes/images or only face/identity manipulation, and is its image-forensics component independently evaluated?",Violent deepfake images could be used in propaganda campaigns that aim to mislead the public and cause harm in the real world. Safeguarding information in,"Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does the violent-deepfake dataset test general generated scenes/images or only face/identity manipulation, and is its image-forensics component independently evaluated?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / PURE_DEEPFAKE_FACE_ONLY,HIGH,https://doi.org/10.1007/s00138-026-01836-7
audit:9089a0b84b74868b,Diffusion Models Meet Image Counter-Forensics,2024,Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision,IMAGE,"Do the detectors attacked by diffusion purification detect AI-generated/generatively edited images, or only camera-pipeline disruption and classical tampering? Using diffusion as the attack tool is insufficient.","From its acquisition in the camera sensors to its storage, different operations are performed to generate the final image. This pipeline imprints specific traces into the image to form a natural watermark. Tampering with an image disturbs these traces; these disruptions are clues that are used by most methods to detect and locate forgeries. In this article, we assess the capabilities of diffusion models to erase the traces left by forgers and, therefore, deceive forensics methods. Such an approach has been recently introduced for adversarial purification, achieving significant performance. We show that diffusion purification methods are well suited for counter-forensics tasks. Such approaches outperform already existing counter-forensics techniques both in deceiving forensics methods, and in preserving the natural look of the purified images. The source code will be provided upon acceptance.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do the detectors attacked by diffusion purification detect AI-generated/generatively edited images, or only camera-pipeline disruption and classical tampering? Using diffusion as the attack tool is insufficient.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/WACV2024/html/Tailanian_Diffusion_Models_Meet_Image_Counter-Forensics_WACV_2024_paper.html
audit:93f2de88b5a876c9,UnionFormer: Unified-Learning Transformer with Multi-View Representation for Image Manipulation Detection and Localization,2024,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,IMAGE,"Which UnionFormer evaluation datasets contain generative editing or fully generated images, and are the corresponding detection/localization results substantive?",We present UnionFormer a novel framework that integrates tampering clues across three views by unified learning for image manipulation detection and localization. Specifically we construct a BSFI-Net to extract tampering features from RGB and noise views achieving enhanced responsiveness to boundary artifacts while modulating spatial consistency at different scales. Additionally to explore the inconsistency between objects as a new view of clues we combine object consistency modeling with tampering detection and localization into a three-task unified learning process allowing them to promote and improve mutually. Therefore we acquire a unified manipulation discriminative representation under multi-scale supervision that consolidates information from three views. This integration facilitates highly effective concurrent detection and localization of tampering. We perform extensive experiments on diverse datasets and the results show that the proposed approach outperforms state-of-the-art methods in tampering detection and localization.,"Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Which UnionFormer evaluation datasets contain generative editing or fully generated images, and are the corresponding detection/localization results substantive?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/CVPR2024/html/Li_UnionFormer_Unified-Learning_Transformer_with_Multi-View_Representation_for_Image_Manipulation_Detection_CVPR_2024_paper.html
audit:a06bf41dfd2ab933,Learnable Frequency Decomposition for Image Forgery Detection and Localization,2025,Thirty-Fourth International Joint Conference on Artificial Intelligence,IMAGE,"Does F2D-Net evaluate AI-generated regions or generative editing independently, rather than classical tampering alone? Identify the input manipulation types, not just frequency features.","Concern for image authenticity spurs research in image forgery detection and localization (IFDL). Most deep learning-based methods focus primarily on spatial domain modeling and have not fully explored frequency domain strategies. In this paper, we observe and analyze the frequency characteristic changes caused by image tampering. Observations indicate that manipulation traces are especially prominent in phase components and span both low and high-frequency bands. Based on these findings, we propose a forensic frequency decomposition network (F2D-Net), which incorporates deep Fourier transforms and leverages both phase information and high and low-frequency components to enhance IFDL. Specifically, F2D-Net consists of the Spectral Decomposition Subnetwork (SDSN) and the Frequency Separation Subnetwork (FSSN). The former decomposes the image into amplitude and phase, focusing on learning the semantic content in the phase spectrum to identify forged objects, thus improving forgery detection accuracy. The latter further adaptively decomposes the output of the SDSN to obtain corresponding high and low frequencies, and applies a divide-and-conquer strategy to refine each frequency band, mitigating the optimization difficulties caused by coupled forgery traces across different frequencies, thereby better capturing the pixels belonging to the forged object to improve localization accuracy. Experiments on multiple datasets demonstrate that our method outperforms state-of-the-art image forgery detection and localization techniques both qualitatively and quantitatively.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does F2D-Net evaluate AI-generated regions or generative editing independently, rather than classical tampering alone? Identify the input manipulation types, not just frequency features.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://www.ijcai.org/proceedings/2025/152
audit:b5b43c8e6e91325d,ForgerySleuth: Empowering Multimodal Large Language Models for Image Manipulation Detection,2026,Advances in Neural Information Processing Systems,IMAGE,"Does ForgeryAnalysis contain generatively edited or fully generated images with independently evaluated detection/localization results, beyond generic tamper segmentation and reasoning?","Multimodal large language models have unlocked new possibilities for various multimodal tasks. However, their potential in image manipulation detection remains unexplored. When directly applied to the IMD task, M-LLMs often produce reasoning texts that suffer from hallucinations and overthinking. To address this, we propose ForgerySleuth, which leverages M-LLMs to perform comprehensive clue fusion and generate segmentation outputs indicating specific regions that are tampered with. Moreover, we construct the ForgeryAnalysis dataset through the Chain-of-Clues prompt, which includes analysis and reasoning text to upgrade the image manipulation detection task. A data engine is also introduced to build a larger-scale dataset for the pre-training phase. Our extensive experiments demonstrate the effectiveness of ForgeryAnalysis and show that ForgerySleuth significantly outperforms existing methods in generalization, robustness, and explainability.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does ForgeryAnalysis contain generatively edited or fully generated images with independently evaluated detection/localization results, beyond generic tamper segmentation and reasoning?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://proceedings.neurips.cc/paper_files/paper/2025/hash/e0e25d425450b6fc8e34380de71b3aee-Abstract-Conference.html
audit:b666c0f0f497632a,THEMIS: Towards Holistic Evaluation of MLLMs for Scientific Paper Fraud Forensics,2026,International Conference on Learning Representations,IMAGE,"Which THEMIS fraud types involve AI-generated scientific images or generative edits, and do standalone image-forensic results distinguish them from classical duplication/tampering and text reasoning?","We present THEMIS , a novel multi-task benchmark designed to comprehensively evaluate multimodal large language models (MLLMs) on visual fraud reasoning within real-world academic scenarios. Compared to existing benchmarks, THEMIS introduces three major advances. (1) Real-World Scenarios and Complexity : Our benchmark comprises over 4,000 questions spanning seven scenarios, derived from authentic retracted-paper cases and carefully curated multimodal synthetic data. With 60.47\% complex-texture images, THEMIS bridges the critical gap between existing benchmarks and the complexity of real-world academic fraud. (2) Fraud-Type Diversity and Granularity : THEMIS systematically covers five challenging fraud types and introduces 16 fine-grained manipulation operations. On average, each sample undergoes multiple stacked manipulation operations, with the diversity and difficulty of these manipulations demanding a high level of visual fraud reasoning from the models. (3) Multi-Dimensional Capability Evaluation : We establish a mapping from fraud types to five core visual fraud reasoning capabilities, thereby enabling an evaluation that reveals the distinct strengths and specific weaknesses of different models across these core capabilities. Experiments on 16 leading MLLMs show that even the best-performing model, GPT-5, achieves an overall performance of only 56.15\%, demonstrating that our benchmark presents a stringent test. We expect THEMIS to advance the development of MLLMs for complex, real-world fraud reasoning tasks.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Which THEMIS fraud types involve AI-generated scientific images or generative edits, and do standalone image-forensic results distinguish them from classical duplication/tampering and text reasoning?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://proceedings.iclr.cc/paper_files/paper/2026/hash/54130c88f35967381cb25ae8aaad1ebe-Abstract-Conference.html
audit:bcd4cedccc0c34eb,ForgDiffuser: General Image Forgery Localization with Diffusion Models,2025,Thirty-Fourth International Joint Conference on Artificial Intelligence,IMAGE,Do ForgDiffuser’s six benchmarks include generatively manipulated input images? Diffusion-generated segmentation masks do not establish that the tested forgeries are generative.,"Current general image forgery localization (GIFL) methods confront two main challenges: decoder overconffdence causing misidentiffcation of the authentic regions or incomplete predicted masks, and limited accuracy in localizing forgery details. Recently, diffusion models have excelled as dominant approach for generative models, particularly effective in capturing complex scene details. However, their potential for GIFL remains underexplored. Therefore, we propose a GIFL framework named ForgDiffuser with diffusion models. The core of ForgDiffuser lies in leveraging diffusion models conditioned on the forgery image to efffciently generate the segmentation mask for tampered regions. Speciffcally, we introduce the attentionguided module (AGM) to aggregate and enhance image feature representations. Meanwhile, we design the boundary-driven module (BDM) with edge supervision to improve the localization accuracy of boundary details. Additionally, the probabilistic modeling and stochastic sampling mechanisms of diffusion models effectively alleviate the overconffdence issue commonly observed in traditional decoders. Experiments on six benchmark datasets demonstrate that ForgDiffuser outperforms existing mainstream GIFL methods in both localization accuracy and robustness, especially under challenging manipulation conditions.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do ForgDiffuser’s six benchmarks include generatively manipulated input images? Diffusion-generated segmentation masks do not establish that the tested forgeries are generative.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://www.ijcai.org/proceedings/2025/218
audit:ced0c9f8fe10fbb9,DiffForensics: Leveraging Diffusion Prior to Image Forgery Detection and Localization,2024,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,IMAGE,Do DiffForensics evaluation sets contain substantive generative manipulation? A diffusion pretraining prior for the detector is not sufficient evidence about the input images.,As manipulating images may lead to misinterpretation of the visual content addressing the image forgery detection and localization (IFDL) problem has drawn serious public concerns. In this work we propose a simple assumption that the effective forensic method should focus on the mesoscopic properties of images. Based on the assumption a novel two-stage self-supervised framework leveraging the diffusion model for IFDL task i.e. DiffForensics is proposed in this paper. The DiffForensics begins with self-supervised denoising diffusion paradigm equipped with the module of encoder-decoder structure by freezing the pre-trained encoder (e.g. in ADE-20K) to inherit macroscopic features for general image characteristics while encouraging the decoder to learn microscopic feature representation of images enforcing the whole model to focus the mesoscopic representations. The pre-trained model as a prior is then further fine-tuned for IFDL task with the customized Edge Cue Enhancement Module (ECEM) which progressively highlights the boundary features within the manipulated regions thereby refining tampered area localization with better precision. Extensive experiments on several public challenging datasets demonstrate the effectiveness of the proposed method compared with other state-of-the-art methods. The proposed DiffForensics could significantly improve the model's capabilities for both accurate tamper detection and precise tamper localization while concurrently elevating its generalization and robustness.,"Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do DiffForensics evaluation sets contain substantive generative manipulation? A diffusion pretraining prior for the detector is not sufficient evidence about the input images.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/CVPR2024/html/Yu_DiffForensics_Leveraging_Diffusion_Prior_to_Image_Forgery_Detection_and_Localization_CVPR_2024_paper.html
audit:cf16307ced603a1d,Abductive Corroboration of Probabilistic AI Models for Forensic Synthetic Media Detection,2026,arXiv (Cornell University),VERIFY,"Is there a separable, independently evaluated passive synthetic-image forensic method or passive-detector analysis that remains valid without SynthID or any watermark recovery? Identify the watermark-free results.","Abstract: Artificial Intelligence (AI) models, at their core, apply general learnings from broad datasets to individual circumstances using probabilistic behaviour. This inductive approach stands in contrast to deductive reasoning approaches which seek to prove conclusions from their premises. However, research has shown that deductive reasoning with AI models is a challenging problem and in the real-world it may not always be feasible. An alternative way forward is to leverage abductive reasoning, seeking to corroborate the output of multiple approaches to identify the most likely conclusion from the factual matrix. We apply this to synthetic media detection in forensic settings, and find we are able to disproportionately lower the risk of false positives to true positive recall. We also provide the first empirical evaluation of OpenAI's rollout of SynthID on synthetic images and evaluate how complementary different synthetic media detection approaches are.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Is there a separable, independently evaluated passive synthetic-image forensic method or passive-detector analysis that remains valid without SynthID or any watermark recovery? Identify the watermark-free results.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation",POLICY_EXCLUDE / WATERMARK_ACTIVE_PROVENANCE,HIGH,https://arxiv.org/abs/2607.05434
audit:e094e552be6fbe85,Uncertainty-guided Learning for Improving Image Manipulation Detection,2023,Proceedings of the IEEE/CVF International Conference on Computer Vision,IMAGE,"Does UEN evaluate detection of AI-generated/generatively edited images independently, rather than only uncertainty on conventional image manipulation datasets?","Image manipulation detection (IMD) is of vital importance as faking images and spreading misinformation can be malicious and harm our daily life. IMD is the core technique to solve these issues and poses challenges in two main aspects: (1) Data Uncertainty, i.e., the manipulated artifacts are often hard for humans to discern and lead to noisy labels, which may disturb model training; (2) Model Uncertainty, i.e., the same object may hold different categories (tampered or not) due to manipulation operations, which could potentially confuse the model training and result in unreliable outcomes. Previous works mainly focus on solving the model uncertainty issue by designing meticulous features and networks, however, the data uncertainty problem is rarely considered. In this paper, we address both problems by introducing an uncertainty-guided learning framework, which measures data and model uncertainty by a novel Uncertainty Estimation Network (UEN). UEN is trained under dynamic supervision, and outputs estimated uncertainty maps to refine manipulation detection results, which significantly alleviates the learning difficulties. To our knowledge, this is the first work to embed uncertainty modeling into IMD. Extensive experiments on various datasets demonstrate state-of-the-art performance, validating the effectiveness and generalizability of our method.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does UEN evaluate detection of AI-generated/generatively edited images independently, rather than only uncertainty on conventional image manipulation datasets?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",NORMAL,https://openaccess.thecvf.com/content/ICCV2023/html/Ji_Uncertainty-guided_Learning_for_Improving_Image_Manipulation_Detection_ICCV_2023_paper.html
audit:ea0d7f9972aa1b1c,SPARK-IL: Spectral Retrieval-Augmented RAG for Knowledge-Driven Deepfake Detection via Incremental Learning,2027,International Conference on Pattern Recognition,IMAGE,"Does SPARK-IL evaluate broader passive AI-generated-image detection beyond face/video deepfakes, and which generator datasets establish that component?","Detecting AI-generated images remains challenging, as detectors trained on specific generators often fail to generalize to unseen models. While pixel-level artifacts vary across models, frequency-domain signatures exhibit greater consistency, providing a promising...","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does SPARK-IL evaluate broader passive AI-generated-image detection beyond face/video deepfakes, and which generator datasets establish that component?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",HIGH,https://doi.org/10.1007/978-3-032-31927-2_7
audit:f12e2be8d1320201,Deep learning for CGI and visual forgery detection: a comprehensive survey,2026,International Journal of Data Science and Analytics,IMAGE,"Does this CGI/visual-forgery survey substantively cover passive AI-generated-image detection, attribution or generative-edit localization, rather than mainly classical CGI/rendering or traditional manipulation?",The exponential advancement in generative artificial intelligence (AI) and physically based rendering has severely blurred the perceptual boundary between,"Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does this CGI/visual-forgery survey substantively cover passive AI-generated-image detection, attribution or generative-edit localization, rather than mainly classical CGI/rendering or traditional manipulation?","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",HIGH,https://doi.org/10.1007/s41060-026-01192-9
audit:f293e205186b3f59,Learning Counterfactually Decoupled Attention for Open-World Model Attribution,2025,Proceedings of the IEEE/CVF International Conference on Computer Vision,ATTRIBUTION,"Do CDAL’s open-world attribution benchmarks use naturally occurring image-generation traces to identify source generators beyond pure facial-manipulation attribution? Verify inputs, source labels and absence of injected signatures.","In this paper, we propose a Counterfactually Decoupled Attention Learning (CDAL) method for open-world model attribution. Existing methods rely on handcrafted design of region partitioning or feature space, which could be confounded by the spurious statistical correlations and struggle with novel attacks in open-world scenarios. To address this, CDAL explicitly models the causal relationships between the attentional visual traces and source model attribution, and counterfactually decouples the discriminative model-specific artifacts from confounding source biases for comparison. In this way, the resulting causal effect provides a quantification on the quality of learned attention maps, thus encouraging the network to capture essential generation patterns that generalize to unseen source models by maximizing the effect. Extensive experiments on existing open-world model attribution benchmarks show that with minimal computational overhead, our method consistently improves state-of-the-art models by large margins, particularly for unseen novel attacks.","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Do CDAL’s open-world attribution benchmarks use naturally occurring image-generation traces to identify source generators beyond pure facial-manipulation attribution? Verify inputs, source labels and absence of injected signatures.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / WATERMARK_ACTIVE_PROVENANCE or PURE_DEEPFAKE_FACE_ONLY, as the source shows",HIGH,https://openaccess.thecvf.com/content/ICCV2025/html/Zheng_Learning_Counterfactually_Decoupled_Attention_for_Open-World_Model_Attribution_ICCV_2025_paper.html
audit:f55fbb498b42444f,Language-Guided Hierarchical Fine-Grained Image Forgery Detection and Localization,2025,International Journal of Computer Vision,IMAGE,Does the proposed unified detector independently evaluate the CNN-synthesized image domain as a substantive AI-image forensic task? The saved abstract stops before its method and evaluation.,"Differences in forgery attributes of images generated in CNN-synthesized and image-editing domains are large, and such differences make a unified image for","Primary-paper method, dataset, and per-subset evaluation evidence that directly answers: Does the proposed unified detector independently evaluate the CNN-synthesized image domain as a substantive AI-image forensic task? The saved abstract stops before its method and evaluation.","POLICY_INCLUDE, followed by identity/exclusion reconciliation and primary-source curation","POLICY_EXCLUDE / CLASSICAL_MANIPULATION or OTHER, as the source shows",HIGH,https://doi.org/10.1007/s11263-024-02255-9
