paper_id,title,normalized_title,year,publication_status,venue,tasks,image_scopes,research_types,doi,arxiv_id,openalex_id,method_name_candidate,method_name_evidence
curated:1a8e996ef9ce73efc0ef,AI-Generated Image Homology Detection,ai generated image homology detection,2026,published,"International Conference on Knowledge Science, Engineering and Management (KSEM)",detection;source_attribution,fully_generated,method,10.1007/978-981-92-2856-0_1,,w7168026910,,
curated:2b5013b99aa5e4de2621,All Patches Are Not Equal: Focusing on a Single Exposed Patch for AI-Generated Image Detection,all patches are not equal focusing on a single exposed patch for ai generated image detection,2026,published,Information Processing & Management (IP&M),detection,fully_generated,method,10.1016/j.ipm.2026.105058,,w7168427015,All Patches Are Not Equal,title prefix heuristic; discovery only
curated:386ccd052b812587c286,"All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning",all patches matter more patches better enhance ai generated image detection via panoptic patch learning,2026,published,International Conference on Learning Representations (ICLR),detection,fully_generated,method,,2504.01396,,"All Patches Matter, More Patches Better",title prefix heuristic; discovery only
curated:d6f1c90d69e8b0e68e4f,All-Around Forgery Clues for Generalizable AI-Generated Image Detection,all around forgery clues for generalizable ai generated image detection,2026,published,Pattern Recognition (PR),detection,fully_generated,method,10.1016/j.patcog.2026.114661,,w7203819382,,
curated:92fe1dfd435209b21ff4,Anchor-Regularized Adaptation for Generalizable AI-Generated Image Detection with DINOv3,anchor regularized adaptation for generalizable ai generated image detection with dinov3,2026,published,ACM International Conference on Multimedia (ACM MM),detection,fully_generated,method,,2608.15196,w7203688524,,
curated:837a8a0ceb9d8f86d02a,ArtGate: Injecting Fake Artifact Features Into CLIP for AI-Generated Image Detection,artgate injecting fake artifact features into clip for ai generated image detection,2026,published,IEEE Transactions on Multimedia (TMM),detection,fully_generated,method,10.1109/tmm.2026.3694528,,w7161736397,ArtGate,title prefix heuristic; discovery only
curated:db62aa9b0b1aab0c9f7a,Artifact-Aware Explainable Deepfake Detection via Fake-Only High-Frequency Alignment Supervision,artifact aware explainable deepfake detection via fake only high frequency alignment supervision,2026,published,"IEEE International Conference on Computing, Power, and Communication Technologies (IC2PCT)",detection,deepfake,method,10.1109/ic2pct68894.2026.11584299,,w7167698944,,
curated:d3e19d8cb61eb0e7d620,Attribution as Retrieval: Model-Agnostic AI-Generated Image Attribution,attribution as retrieval model agnostic ai generated image attribution,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection;source_attribution,fully_generated;deepfake,method,10.48550/arxiv.2603.10583,2603.10583,w7135031331,Attribution as Retrieval,title prefix heuristic; discovery only
curated:1bf124f8f57f00dddd01,Automated In-the-Wild Data Collection for Continual AI Generated Image Detection,automated in the wild data collection for continual ai generated image detection,2026,published,ACM International Workshop on Multimedia AI against Disinformation (MAD),detection,fully_generated,method;dataset,10.1145/3810988.3812662,2605.02567,w7160429386,,
curated:0526c3529dda4446a0d7,Background-Noise-Driven Detection of Diffusion-Generated Images,background noise driven detection of diffusion generated images,2026,published,IEEE Signal Processing Letters (SPL),detection,fully_generated,method,10.1109/lsp.2026.3678476,,w7143319968,,
curated:aa7dceb70828cdd6ad39,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,beyond artifacts real centric envelope modeling for reliable ai generated image detection,2026,published,European Conference on Computer Vision (ECCV),detection,fully_generated,method;dataset,,2512.20937,w7117340004,Beyond Artifacts,title prefix heuristic; discovery only
curated:ce21a7aa219b08d1b81a,Beyond Backbones: Degradation-Aware Prototype Fusion for Robust Deepfake Detection,beyond backbones degradation aware prototype fusion for robust deepfake detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) · Workshop,detection,deepfake,method,,,,Beyond Backbones,title prefix heuristic; discovery only
curated:49cc18f090b2488dda2d,Beyond Binary Classification: A Semi-Supervised Approach to Generalized AI-Generated Image Detection,beyond binary classification a semi supervised approach to generalized ai generated image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i42.40886,2511.19499,w7138418035,Beyond Binary Classification,title prefix heuristic; discovery only
curated:672e9600fc8b6ead6ab1,Beyond Causal Models: Multi-Scale Linear Local Attention for AI-Generated Image Detection,beyond causal models multi scale linear local attention for ai generated image detection,2026,published,IEEE Signal Processing Letters (SPL),detection,fully_generated,method,10.1109/lsp.2026.3714736,,w7169604787,Beyond Causal Models,title prefix heuristic; discovery only
curated:9d722dfb4a3418d86063,Beyond Resizing: A Distribution-Aligned Framework for Robust AI-Generated Image Detection,beyond resizing a distribution aligned framework for robust ai generated image detection,2026,published,International Conference on Intelligent Computing (ICIC),detection,fully_generated,method,10.1007/978-981-92-3420-2_35,,w7168408228,Beyond Resizing,title prefix heuristic; discovery only
curated:29642e43aa51fece46f7,Beyond Semantic Features: Pixel-Level Mapping for Generalized AI-Generated Image Detection,beyond semantic features pixel level mapping for generalized ai generated image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i42.40927,,w7139104673,Beyond Semantic Features,title prefix heuristic; discovery only
curated:f7906cb987975444e893,Boosting Robust AIGI Detection with LoRA-Based Pairwise Training,boosting robust aigi detection with lora based pairwise training,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) · Workshop,detection,fully_generated,method,10.48550/arxiv.2604.12307,2604.12307,w7154447485,,
curated:7287cadbc4b8408fd16b,Breaking Manifold Continuity: Vector Quantized Modeling for Real-Centric Deepfake Detection,breaking manifold continuity vector quantized modeling for real centric deepfake detection,2026,published,International Conference on Machine Learning (ICML),detection,deepfake,method,,,,Breaking Manifold Continuity,title prefix heuristic; discovery only
curated:31c548f5aa68f9075659,CausalCLIP: Causally-Informed Feature Disentanglement and Filtering for Generalizable Detection of Generated Images,causalclip causally informed feature disentanglement and filtering for generalizable detection of generated images,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i9.37642,2512.13285,w7138324636,CausalCLIP,title prefix heuristic; discovery only
curated:dd5b85612778b9021f4e,CCMA-CLIP: Concept-Guided Cross-Modal Adaptation for Robust AI-Generated Image Detection,ccma clip concept guided cross modal adaptation for robust ai generated image detection,2026,published,International Conference on Intelligent Computing (ICIC),detection,fully_generated,method,10.1007/978-981-92-3531-5_9,,w7169669595,CCMA-CLIP,title prefix heuristic; discovery only
curated:885c512e1e964d2ec61f,CLIP-ADA: CLIP-Guided Artifact-Invariant Generalizable Synthetic Image Detection,clip ada clip guided artifact invariant generalizable synthetic image detection,2026,published,IEEE Transactions on Information Forensics and Security (TIFS),detection,fully_generated,method,10.1109/tifs.2026.3676657,,w7140133167,CLIP-ADA,title prefix heuristic; discovery only
curated:9b7e6c57a9f75e06fddf,CLIP-SegFusion: An Attention-Guided Feature Fusion Framework for Multi-Level Detection on AI-Generated Artworks,clip segfusion an attention guided feature fusion framework for multi level detection on ai generated artworks,2026,published,ACM International Conference on Multimedia Retrieval (ICMR),detection,fully_generated,method,10.1145/3805622.3810639,,w7164834461,CLIP-SegFusion,title prefix heuristic; discovery only
curated:e29203ef9599b73d8733,CoDA: Color Distribution Probing for Efficient and Generalizable AI-Generated Image Detection,coda color distribution probing for efficient and generalizable ai generated image detection,2026,published,IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),detection,fully_generated,method;dataset;benchmark,10.1109/tpami.2026.3696399,2605.24306,,CoDA,title prefix heuristic; discovery only
curated:ba0669dd843c9defd483,Comparative Study of Adversarial Training and Randomized Smoothing for Robust AI-Generated Image Attribution,comparative study of adversarial training and randomized smoothing for robust ai generated image attribution,2026,published,ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec),source_attribution,fully_generated,analysis_study,10.1145/3785353.3815073,,w7164888959,,
curated:0895eb11a7610f3973da,Cover-Source Mismatch in Deepfake Detection: A Systematic Study,cover source mismatch in deepfake detection a systematic study,2026,published,ACM Workshop on Information Hiding and Multimedia Security (IH&MMSec),detection,fully_generated;deepfake,analysis_study,10.1145/3785353.3815097,,w7164884130,,
curated:b4940a39cbd4a3117473,Cross-Domain Synthetic Image Detection via Few-Shot Adaptation,cross domain synthetic image detection via few shot adaptation,2026,published,International Conference on Pattern Recognition (ICPR),detection,fully_generated;deepfake,method,10.1007/978-3-032-31933-3_5,,w7172102928,,
curated:1d3010a3086b0a08317d,Cross-Modal Representation Learning for Diffusion-Generated Image Detection,cross modal representation learning for diffusion generated image detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,,,,
curated:a05de778283ed84d3f90,CTForensics: A Comprehensive Dataset and Method for AI-Generated CT Image Detection,ctforensics a comprehensive dataset and method for ai generated ct image detection,2026,preprint_or_other,arXiv,detection,fully_generated,method;dataset,,2603.01878,w7133363592,CTForensics,title prefix heuristic; discovery only
curated:5888bece56862fbbfc43,DADP: A Discrepancy-Aware Dual-Path Network for AI-Generated Image Detection,dadp a discrepancy aware dual path network for ai generated image detection,2026,published,Multimedia Systems (MULTIMEDIA SYST),detection,fully_generated,method,10.1007/s00530-026-02435-2,,w7167913394,DADP,title prefix heuristic; discovery only
,DCNet: Learning Similarity and Spatial Complementary Features for Generalized AI-Generated Image Detection,dcnet learning similarity and spatial complementary features for generalized ai generated image detection,2026,published,IEEE Transactions on Circuits and Systems for Video Technology (IEEE Trans. Circuits Syst. Video Technol.),detection,fully_generated,method,10.1109/tcsvt.2026.3656696,,w7125581744,DCNet,title prefix heuristic; discovery only
curated:45cb3642fd138c136139,Decision-Driven Orthogonal Learning with Complementary Feature Mining for Robust Synthetic Image Detection,decision driven orthogonal learning with complementary feature mining for robust synthetic image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection;source_attribution,fully_generated,method,10.1609/aaai.v40i8.37553,,w7137819524,,
curated:239572598dfae08d563b,DeeCLIP: A Robust and Generalizable Transformer-Based Framework for Detecting AI-Generated Images,deeclip a robust and generalizable transformer based framework for detecting ai generated images,2026,published,International Conference on Advanced Concepts for Intelligent Vision Systems (ACIVS),detection,fully_generated,method,10.1007/978-3-032-07343-3_12,2504.19876,w7118010096,DeeCLIP,title prefix heuristic; discovery only
curated:86507b243a7d58c76b2c,Deep-Synthesized Image Detection via Multi-Domain Feature Fusion and Explainable AI Guided Color Model Selection,deep synthesized image detection via multi domain feature fusion and explainable ai guided color model selection,2026,published,Computer Vision and Image Understanding (CVIU),detection,fully_generated,method,10.1016/j.cviu.2026.104881,,w7170425343,,
curated:1398fe67015092fb543d,Deepfake Detection on Low-Resolution Images Using Optimized Ensemble Learning,deepfake detection on low resolution images using optimized ensemble learning,2026,published,Neural Computing and Applications (Neural Comput & Applic),detection,fully_generated;deepfake,method,10.1007/s00521-026-12359-7,,w7172437004,,
curated:d973c571c1fafe6fb25f,Deepfake-Agent: Aggregating Semantic Forgery Clues for Generalizable Detection,deepfake agent aggregating semantic forgery clues for generalizable detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) · Findings,detection,fully_generated;deepfake,method,,,,Deepfake-Agent,title prefix heuristic; discovery only
curated:54a373c86043477d3b68,Defake-O3: From Speculative Rationales to Verifiable Evidence for Explainable AIGI Detection,defake o3 from speculative rationales to verifiable evidence for explainable aigi detection,2026,preprint_or_other,arXiv,detection;localization,fully_generated,method;dataset,,2608.16259,w7203680892,Defake-O3,title prefix heuristic; discovery only
curated:d4a9b3a3cef9bfbd0e32,Detecting AI-Generated Content on Social Media with Multi-Modal Language Models,detecting ai generated content on social media with multi modal language models,2026,published,Annual Meeting of the Association for Computational Linguistics (ACL) · Industry,detection,fully_generated,method,10.18653/v1/2026.acl-industry.15,2606.11200,w7166864343,,
,Detecting AI-Generated Images via Diffusion Snap-Back Reconstruction: A Forensic Approach,detecting ai generated images via diffusion snap back reconstruction a forensic approach,2026,published,"IEEE International Conference on Quantum Photonics, Artificial Intelligence & Networking (QPAIN)",detection,fully_generated;deepfake,method;dataset,10.1109/qpain69676.2026.11545865,2511.00352,w4415936841,,
curated:417b1f4f681de2a47dbf,Detecting Compressed AI-Generated Images via Phase Spectrum Robustness,detecting compressed ai generated images via phase spectrum robustness,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,,,,
curated:7ed4e932c4dac57d0136,DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection,dgs net distillation guided gradient surgery for clip fine tuning in ai generated image detection,2026,published,International Conference on Machine Learning (ICML),detection,fully_generated,method,10.48550/arxiv.2511.13108,2511.13108,w4416361369,DGS-Net,title prefix heuristic; discovery only
curated:d0eec7c4fce8929c295a,Diffusion-Driven Forgery Detection: Distilling Latent Features for Generalized Image Forensics,diffusion driven forgery detection distilling latent features for generalized image forensics,2026,published,IEEE Signal Processing Letters (SPL),detection,fully_generated,method,10.1109/lsp.2026.3687792,,w7155779262,Diffusion-Driven Forgery Detection,title prefix heuristic; discovery only
curated:c87f234ea256991903e1,Dissect and Prune: Enhancing Robustness in AI-Generated Image Detection,dissect and prune enhancing robustness in ai generated image detection,2026,published,International Conference on Machine Learning (ICML),detection,fully_generated,method,10.48550/arxiv.2606.10309,2606.10309,w7164168158,Dissect and Prune,title prefix heuristic; discovery only
curated:a1926ecb09e1e945bbad,Diversity over Uniformity: Rethinking Representation in Generated Image Detection,diversity over uniformity rethinking representation in generated image detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,2603.00717,,Diversity over Uniformity,title prefix heuristic; discovery only
curated:0b6c1b00c1b39838db42,DNA: Dual-Stage Native Attribution for Generated Image Source Tracing,dna dual stage native attribution for generated image source tracing,2026,preprint_or_other,arXiv,source_attribution,fully_generated,method;dataset,,2607.13685,w7168591575,DNA,title prefix heuristic; discovery only
curated:66ace53ae822cee4c24c,DocShield: Towards AI Document Safety via Evidence-Grounded Agentic Reasoning,docshield towards ai document safety via evidence grounded agentic reasoning,2026,preprint_or_other,arXiv,detection;localization,generative_editing;traditional_manipulation,method;dataset;benchmark,,2604.02694,w7150836396,DocShield,title prefix heuristic; discovery only
curated:6f55b599c4d1588c62f7,DTBF: Combining Local Statistical Artifacts and Concept Alignment for Synthetic Image Detection,dtbf combining local statistical artifacts and concept alignment for synthetic image detection,2026,published,IEEE Signal Processing Letters (SPL),detection,fully_generated,method,10.1109/lsp.2026.3710437,,w7167493723,DTBF,title prefix heuristic; discovery only
curated:ab6b43e21ae47dadafe0,Dual Frequency Branch Framework with Reconstructed Sliding Windows Attention for AI-Generated Image Detection,dual frequency branch framework with reconstructed sliding windows attention for ai generated image detection,2026,published,IEEE Transactions on Information Forensics and Security (TIFS),detection,fully_generated,method,10.1109/tifs.2026.3664000,2501.15253,w7128716584,,
curated:983a33a1268421bbfc71,Dual-Branch AIGC Image Detection Leveraging Integrated Semantic and Frequency-Domain Features,dual branch aigc image detection leveraging integrated semantic and frequency domain features,2026,published,Computer Vision and Image Understanding (CVIU),detection,fully_generated,method,10.1016/j.cviu.2026.104893,,w7172206884,,
curated:aeb3a6e4747e1a1b3181,Dual-Stream Framework for Real/Fake Classification and Source Attribution of AI-Generated Images Using Spatial and Frequency Features,dual stream framework for real fake classification and source attribution of ai generated images using spatial and frequency features,2026,published,Pattern Analysis and Applications (Pattern Anal Applic),detection;source_attribution,fully_generated,method,10.1007/s10044-026-01719-7,,w7168264311,,
curated:52edb9369ffaae37bd81,Dual-Tree Complex Wavelet Driven Hierarchical Spatial-Frequency Fusion Learning for Robust Deepfake Detection,dual tree complex wavelet driven hierarchical spatial frequency fusion learning for robust deepfake detection,2026,published,IEEE Transactions on Dependable and Secure Computing (TDSC),detection,fully_generated;deepfake,method,10.1109/tdsc.2026.3712721,,w7168127486,,
curated:20975a1b80c227684804,DualSight: Learning to Disentangle Artifact and Semantic Features for Detection of Diffusion-Generated Images,dualsight learning to disentangle artifact and semantic features for detection of diffusion generated images,2026,published,International Conference on Pattern Recognition (ICPR),detection,fully_generated,method,10.1007/978-3-032-31335-5_18,,w7172283793,DualSight,title prefix heuristic; discovery only
curated:980afddea0a156b5020b,Dynamic Ensemble of Deepfake Detectors Conditioned on CLIP Features,dynamic ensemble of deepfake detectors conditioned on clip features,2026,published,Computer Vision Winter Workshop (CVWW),detection,fully_generated;deepfake,method;dataset;benchmark,,,,,
curated:6a5bef99dcdc1ad4ba28,DySy-Det: A Synergistic Framework with Dynamic Reconstruction-Path Consistency for AI-Generated Image Detection,dysy det a synergistic framework with dynamic reconstruction path consistency for ai generated image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i42.40868,,w7139090785,DySy-Det,title prefix heuristic; discovery only
curated:69dbedc9fd032cbd190b,Editprint: General Digital Image Forensics via Editing Fingerprint with Self-Augmentation Training,editprint general digital image forensics via editing fingerprint with self augmentation training,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,,,,
curated:634d12d4ee0e1b3d8064,Efficient AI-Generated Image Detection via Confidence-Aware Cascading,efficient ai generated image detection via confidence aware cascading,2026,published,International Conference on Big Data Science and Engineering (ICBDSE),detection,fully_generated,method,10.1109/icbdse70225.2026.11635577,,w7202124844,,
curated:adf8025bbe37e5e601cd,Enabling Supervised Learning of Generative Signatures for Generalized AI-Generated Images Detection,enabling supervised learning of generative signatures for generalized ai generated images detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),detection,fully_generated,method,,,,,
curated:8705551f18f94daa53d4,ERASE: Bypassing Collaborative Detection of AI Counterfeit via Comprehensive Artifacts Elimination,erase bypassing collaborative detection of ai counterfeit via comprehensive artifacts elimination,2026,published,IEEE Transactions on Dependable and Secure Computing (TDSC),detection,fully_generated;deepfake,method,10.1109/tdsc.2026.3677794,,w7140557520,ERASE,title prefix heuristic; discovery only
curated:8116d19627b92530b580,EvoGuard: An Extensible Agentic RL-Based Framework for Practical and Evolving AI-Generated Image Detection,evoguard an extensible agentic rl based framework for practical and evolving ai generated image detection,2026,preprint_or_other,arXiv,detection,fully_generated,method,,2603.17343,w7139144211,EvoGuard,title prefix heuristic; discovery only
curated:41a934ce12ecfd2f17e9,EXACT: An Explainable Adaptive SemantiC-Trace Framework for AI-Generated Image Forensics,exact an explainable adaptive semantic trace framework for ai generated image forensics,2026,published,Computer Vision and Image Understanding (CVIU),detection;source_attribution,fully_generated,method,10.1016/j.cviu.2026.104871,,w7169504023,EXACT,title prefix heuristic; discovery only
curated:46773aac10dade5fbd50,Explainability-Driven Analysis of AI-Generated Image Detectors: Insights Into Generalization and Failure Modes,explainability driven analysis of ai generated image detectors insights into generalization and failure modes,2026,published,International Conference on Advanced Information Networking and Applications (AINA),detection,fully_generated,method,10.1007/978-3-032-23347-9_28,,w7166838909,,
,Explainable Synthetic Image Detection Through Diffusion Timestep Ensembling,explainable synthetic image detection through diffusion timestep ensembling,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method;dataset;benchmark,10.1609/aaai.v40i13.38060,2503.06201,w7138458380,,
curated:10b24e1d35ca792385ac,Exploiting the Source-Asymmetry Confidence Gap for Generalizable AI-Generated Image Detection,exploiting the source asymmetry confidence gap for generalizable ai generated image detection,2026,published,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) · Findings,detection,fully_generated,method,,,,,
curated:8503e319e1f4890c2e28,FAIR: Feature-Augmented Implicit Regularization for AI-Generated Fake Image Detection,fair feature augmented implicit regularization for ai generated fake image detection,2026,published,European Conference on Computer Vision (ECCV),detection,fully_generated,method,10.48550/arxiv.2607.22087,2607.22087,,FAIR,title prefix heuristic; discovery only
curated:8ebf01a335c20fdc902d,Fake Detection Based on Balanced Attention and Information Guidance for Collaborative Image Processing Tasks,fake detection based on balanced attention and information guidance for collaborative image processing tasks,2026,published,International Conference on Computer Supported Cooperative Work in Design (CSCWD),detection,fully_generated,method,10.1109/cscwd68734.2026.11582378,,w7167478990,,
curated:9c39067ac73e7354c2f3,Fake-HR1: Rethinking Reasoning of Vision Language Model for Synthetic Image Detection,fake hr1 rethinking reasoning of vision language model for synthetic image detection,2026,preprint_or_other,arXiv,detection,fully_generated,method;dataset,,2602.10042,w7128616555,Fake-HR1,title prefix heuristic; discovery only
curated:411724cd949b78c1af6a,FakeXplain: AI-Generated Image Detection via Human-Aligned Grounded Reasoning,fakexplain ai generated image detection via human aligned grounded reasoning,2026,published,International Conference on Learning Representations (ICLR),detection,fully_generated,method,,,,FakeXplain,title prefix heuristic; discovery only
curated:c495f498c11dab35ecbc,FALCON-Net: Feature Aggregation of Local Patterns for AI-Generated Image Detection,falcon net feature aggregation of local patterns for ai generated image detection,2026,published,IEEE Transactions on Information Forensics and Security (TIFS),detection,fully_generated,method,10.1109/tifs.2026.3683286,,w7154125740,FALCON-Net,title prefix heuristic; discovery only
curated:c420495aae5c20e0ea2a,FANB-Net: Frequency-Awared Attention and Noise-Injected Boosting for AI-Generated Image Detection,fanb net frequency awared attention and noise injected boosting for ai generated image detection,2026,published,International Conference on Multimedia Modeling (MMM),detection,fully_generated,method,10.1007/978-981-95-6960-1_26,,w7127900552,FANB-Net,title prefix heuristic; discovery only
curated:773aa77291d6869eaad8,Fast and Generalizable AI-Generated Image Detection via Model-Agnostic Feature Reconstruction,fast and generalizable ai generated image detection via model agnostic feature reconstruction,2026,published,International Joint Conference on Artificial Intelligence (IJCAI),detection,fully_generated,method,,,,,
curated:0ce4661dd62d1a9f8e89,FESA-CLIP: Frequency-Enhanced Semantic-Agnostic Decoupling for Generalizable AI-Generated Image Detection,fesa clip frequency enhanced semantic agnostic decoupling for generalizable ai generated image detection,2026,published,International Conference on Pattern Recognition (ICPR),detection,fully_generated,method,10.1007/978-3-032-31397-3_32,,w7172378517,FESA-CLIP,title prefix heuristic; discovery only
curated:be2900947b322f9eb905,Few-Shot Synthetic Image Attribution: Identifying Unseen Generators with Limited Samples,few shot synthetic image attribution identifying unseen generators with limited samples,2026,published,European Conference on Computer Vision (ECCV),detection;source_attribution,fully_generated,method;dataset,10.48550/arxiv.2509.25682,2509.25682,w4415338199,Few-Shot Synthetic Image Attribution,title prefix heuristic; discovery only
curated:dbbb2e6ee311ee6198c3,FIND: A Simple yet Effective Baseline for Diffusion-Generated Image Detection,find a simple yet effective baseline for diffusion generated image detection,2026,published,AAAI Conference on Artificial Intelligence (AAAI),detection,fully_generated,method,10.1609/aaai.v40i8.37547,2603.14220,w7138448571,FIND,title prefix heuristic; discovery only
curated:f380c0d31081fc59f1eb,FiSeR: Fine-Grained Source Representations for Cross-Domain AI Image Detection,fiser fine grained source representations for cross domain ai image detection,2026,published,International Conference on Machine Learning (ICML),detection,fully_generated,method,10.48550/arxiv.2606.00606,2606.00606,w7163168192,FiSeR,title prefix heuristic; discovery only
